,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,148250.0,0.097165991902834,52.0,50.0,,97455.33032798472,175445.19592094343,277332.2313411727,97886.58934685512,135149.30579249875,190598.1522934843,204716.2231507172,222246.8923199808,0.9914113182573936
1,2018-02-28,168900.0,0.0745341614906832,68.0,49.0,,99163.631457834,176306.24717973324,279151.88244174846,99000.00535946416,137158.32044673158,192672.54499994143,206999.0106794764,224689.73943804624,0.9928822723022188
2,2018-03-31,170000.0,0.1219047619047619,26.0,52.0,,101023.51584656251,179195.89072436866,281393.99459780013,100059.01623336524,139457.7088745683,195128.8671400993,209605.4777133205,227331.53373490085,0.9989723567302642
3,2018-04-30,169500.0,0.0873440285204991,17.0,58.0,,102816.69342706163,181296.6224514067,284381.7247311848,101668.0516605596,141807.55724522952,197800.54053112463,212351.80938935064,230152.79816788933,0.9996307655750104
4,2018-05-31,165000.0,0.1390728476821192,18.0,60.0,,104360.8012761884,184090.9957909161,287345.60218877386,103777.46756080828,144078.263609378,200389.4551415689,214909.32280321183,232723.63636273448,1.0011216011946988
5,2018-06-30,179000.0,0.1590163934426229,24.0,58.0,,105477.4288391844,186896.3578692432,289733.24683663034,105217.13130738153,145807.3714831914,202531.60810262224,217021.15437544952,234871.36598470705,1.0005360137449302
6,2018-07-31,175500.0,0.1797583081570997,22.0,57.0,,107119.09790100208,191867.8197342288,292602.45519619307,107222.23898473488,147921.77252052535,205217.3986228344,219650.12977899364,237536.676168461,0.9985147856303622
7,2018-08-31,174900.0,0.2069510268562401,31.0,58.0,,109039.7099767664,194676.38856309425,295644.16143873107,109468.73549106871,150352.53880165398,208027.9669555069,222432.7458204586,240485.2677855625,0.9988881124332112
8,2018-09-30,176000.0,0.1576271186440678,28.0,55.0,,111023.14216830318,196092.3850205464,298487.51433525933,112057.30593838647,153007.64527915817,210825.0542548102,225205.7846615739,243430.5916916013,0.9964487426007574
9,2018-10-31,158500.0,0.1826568265682656,42.0,50.0,,112132.1253949484,195799.26949178413,300205.2392183033,113886.47400160106,154912.2469575799,212886.5914626449,227375.6607316865,245641.3963381419,0.994592357230634
10,2018-11-30,175000.0,0.1108829568788501,21.0,49.0,,113417.38160134818,197370.0126111637,301779.7143070377,115421.04792741324,156632.1762441525,214882.83627698125,229616.32204643765,247828.55491185267,0.9949264921185405
11,2018-12-31,171500.0,0.1328125,41.0,52.0,,114852.08157708558,198213.81784668204,303676.94548004586,117267.31725849774,158227.9712878453,216984.1189352868,231999.7392400225,250092.21142709177,0.9929831064939286
12,2019-01-31,177500.0,0.1226666666666666,40.0,55.0,,116572.18851150625,197967.05587034425,305667.9137726697,118750.17585640708,159512.95789273843,218503.0820805127,233647.48954710123,251620.08517648504,0.9916025302602732
13,2019-02-28,160000.0,0.1191135734072022,33.0,61.0,,117809.93282250018,198255.45161738,307524.91116198205,118386.40875558685,159868.42673121745,219261.31522928528,234422.7617485959,252189.09935402105,0.9925811160000698
14,2019-03-31,185700.0,0.1105651105651105,21.0,62.0,,119397.33972180744,200769.7624734665,309451.0939954017,117904.56085739944,160121.21743925603,219640.5234796868,234683.19843195783,252233.5217706168,0.9961050436782154
15,2019-04-30,180000.0,0.1037344398340249,13.0,63.0,,121003.4755561035,202980.15536856084,311548.61569200014,117944.76722082908,160686.17137012398,220406.7607879769,235268.74247180112,252626.5152620685,0.9969293098934962
16,2019-05-31,192300.0,0.1434262948207171,14.0,58.0,,122656.12061702822,205875.63161492,313276.91105043766,120202.63876662005,161622.0256936419,221332.02269896268,235865.3602621992,253056.5810684313,0.9988770606029008
