,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,115150.0,0.1596774193548387,64.0,39.0,5000.0,70030.18190449901,137596.44458067877,248871.19805226463,51780.13154412535,82471.46409739293,131493.33466096743,231530.7807203446,274828.71747172874,0.9665308593221844
1,2018-02-28,115500.0,0.1366137908708319,54.0,39.0,5000.0,70481.60966436895,137059.87875392512,249745.96663582115,52131.1650558727,82829.26963159132,132053.29420912606,232529.96358374623,275996.660593753,0.9698279768439872
2,2018-03-31,119000.0,0.1521292217327459,33.0,42.0,5000.0,71204.43804956794,138509.38526646362,250889.4319675181,52595.82745386593,83497.90440890523,132786.19254302696,233744.4563825144,277503.71768706583,0.97422958220035
3,2018-04-30,134100.0,0.1584699453551912,33.0,44.0,5100.0,72003.61135662103,140254.55010173866,252096.88059911123,53086.03589960353,84267.52395309079,133520.00303970402,234911.67401675784,278867.15385226527,0.9740475714253508
4,2018-05-31,137500.0,0.1746736292428198,33.0,44.0,5400.0,72690.31666120136,142149.57982680624,253280.24343696143,53512.4937890728,84947.04146797243,134179.1222989478,235989.8979787877,280021.5435903045,0.9776911005264206
5,2018-06-30,145000.0,0.1836007130124777,32.0,42.0,6000.0,73095.41219794298,144185.33822917737,254183.85959935325,53696.317744218126,85348.94429678221,134667.18197605072,236823.2828620021,280806.1229513544,0.9811619297570257
6,2018-07-31,141000.0,0.2106185825194089,36.0,41.0,6000.0,73383.65126198718,146029.91279653017,255192.78729383965,53961.55554466419,85690.36288574505,135151.52741491477,237746.2295695818,281705.70572407125,0.9770818846594496
7,2018-08-31,139900.0,0.2223337515683814,34.0,38.0,5100.0,73710.6980462068,146937.47006073064,256140.73558698583,54308.91743438466,86176.47602122666,135722.75708386613,238642.9733963225,282676.7507008604,0.9765210681922782
8,2018-09-30,140000.0,0.2128673550436854,40.0,35.0,5000.0,74174.66516208362,147331.250238861,256991.807339064,54789.830516029935,86802.08766211513,136446.06019927692,239450.661953722,283540.2020779354,0.9717245945722914
9,2018-10-31,137000.0,0.2325390304026294,42.0,34.0,5000.0,74707.45898870843,147106.7950171794,257520.7074185088,55207.60518754498,87418.43736629396,137074.88571696563,240020.57865578443,284203.2201720916,0.9749066900875714
10,2018-11-30,140000.0,0.1955340977670489,51.0,36.0,5000.0,75457.82067450174,146786.4851254315,258119.55681436168,55727.36767303447,88106.31978101625,137833.83144655402,240633.99791714663,284982.2341297306,0.9736286192143008
11,2018-12-31,125250.0,0.133572710951526,50.0,40.0,5000.0,76212.68280440227,146031.71964344304,258817.0880480805,56287.10563980296,88756.18242734236,138531.91778179447,241299.9020042456,285914.8050568111,0.9662527055158264
12,2019-01-31,126800.0,0.1919575113808801,61.0,46.0,5000.0,77017.55850602871,145274.03723602928,259496.28580553803,56989.93952745004,89429.2152387818,139288.67547869286,241907.4900944139,286683.67355841433,0.9619329331940092
13,2019-02-28,125500.0,0.1501137225170583,47.0,51.0,5000.0,77895.9901527533,145801.03788973973,260533.0242961005,57719.543780074695,90266.63224999384,140233.02427768064,242869.0885588673,287721.3620291738,0.9673226143028222
14,2019-03-31,132950.0,0.154532967032967,30.0,53.0,5000.0,78743.79710237408,146747.3108603911,261556.65534441263,58404.27064924903,91135.84662618114,141070.66195300283,243834.32124600656,288609.44364968844,0.9725924984351464
15,2019-04-30,140000.0,0.1729971273539738,28.0,52.0,5100.0,79389.83595004123,148155.25959842623,262671.9709085278,58870.43014519845,91889.1141335087,141765.10199359411,244904.06816964725,289499.41377750266,0.9775259010768592
16,2019-05-31,146500.0,0.1819747416762342,27.0,48.0,7200.0,79769.92034784662,150455.24240889927,263411.4639254196,59184.97391192793,92376.3326467734,142206.65958281048,245596.6787304359,289852.56226556865,0.977880044252278
17,2019-06-30,153000.0,0.2033240997229917,28.0,47.0,6100.0,80050.24340147733,152935.43023770844,264229.54743265366,59385.03008896647,92791.32715712774,142788.19517069543,246374.3170765244,290268.20020317147,0.9828656257263564
18,2019-07-31,149950.0,0.2035685320356853,31.0,48.0,6000.0,80346.38067662645,154148.65197762617,264816.5829317639,59556.33543231303,93230.68318684289,143324.72431247716,246932.277643882,290446.78914476867,0.977460954863622
19,2019-08-31,148000.0,0.2189640997533571,33.0,48.0,6100.0,80474.98060146971,154507.3664684889,265160.5261292029,59700.68371797402,93503.60019001504,143607.70389928253,247271.2945646294,290585.52487292496,0.9775232020916134
20,2019-09-30,138500.0,0.2369299221357063,36.0,44.0,5900.0,80660.32831548626,154816.63375989645,265464.47269935184,59971.143885668185,93810.47047798923,143847.27287037775,247552.2705610128,290732.70564840897,0.9776094134530656
21,2019-10-31,140000.0,0.2301315037164093,41.0,41.0,5500.0,80869.01970641522,154651.01503689567,266046.8911905437,60361.37130554455,94171.53176363264,144227.42394427516,248093.1308644202,291271.49884223886,0.9739844779702768
