,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,170000.0,0.1583231583231583,83.0,40.0,5950.0,139486.1221402546,218716.66048279204,336477.5789838685,121458.81058931087,158281.2959862644,206592.6226031881,280973.0908576113,302862.16734393296,0.964813982147942
1,2018-02-28,171000.0,0.1321675477836519,45.0,41.0,5100.0,139966.0148124802,217116.33733031512,337256.8130418363,121852.25543018454,158807.78021807925,207275.2570046291,281874.1366046002,303789.2468217024,0.969775658626213
2,2018-03-31,180000.0,0.1460076045627376,29.0,50.0,7000.0,140524.96273307654,218200.223741181,338434.8310012231,122222.0531831965,159501.64260862526,208143.60593187888,282986.832201696,305144.22768802155,0.9680859372349976
3,2018-04-30,187000.0,0.15,20.0,60.0,8000.0,140961.81886619065,219987.4212895021,339314.542407988,122422.7845599951,160088.82866779526,208844.52088546447,283766.5343499233,305995.74904780084,0.9769075727813415
4,2018-05-31,186000.0,0.1811382113821138,19.0,61.0,9000.0,141564.66773756416,222375.43468749587,340691.53139111394,122741.3837212837,160833.4949173217,209851.9220284017,284949.31270297983,307252.8751816605,0.9768608408579952
5,2018-06-30,192250.0,0.215962441314554,21.0,55.0,9100.0,142164.4416972679,225198.56324421373,341910.88666767284,123164.91266283736,161504.07305676598,210804.043824358,286073.344634697,308334.9243480675,0.9827178090500794
6,2018-07-31,189900.0,0.2393648891551827,28.0,51.0,9750.0,142998.03419813758,228545.5826337321,343509.8044921412,123824.28767169038,162401.94198824748,211959.84285392147,287521.3751271861,309893.7046788352,0.9833435565860776
7,2018-08-31,195000.0,0.2447595561035758,27.0,47.0,9100.0,143912.7806315463,230110.8974672745,344977.4088980893,124644.09246366138,163369.36268820844,212989.94997894776,288818.6383987434,311420.8960227733,0.9812181608912516
8,2018-09-30,190000.0,0.2460024600246002,34.0,42.0,9000.0,144805.80405493162,230565.02802260057,346254.12964211515,125523.79548485191,164257.01971843882,213821.3860576986,289915.1377361613,312794.56450586143,0.9789052360558178
9,2018-10-31,178000.0,0.25970058050718,35.0,38.0,7500.0,145197.86160273163,229612.41003203843,346668.9293237701,126025.3713391544,164607.7184141573,214028.65940254045,290318.9377044434,313416.0843525652,0.9740678262316396
10,2018-11-30,185000.0,0.188609715242881,40.0,38.0,6000.0,145542.8368311208,228525.51283118423,346785.95106691454,126452.04272943242,164881.10155914744,214176.9365889401,290580.66313839663,313819.094451787,0.9714900287980776
11,2018-12-31,171975.0,0.1136018237082066,63.0,44.0,9000.0,145726.3045888093,226890.52174564608,346718.8540161264,126923.21947497428,165050.0727287779,214201.8519227875,290670.0611264362,313997.69865335064,0.9691600463434676
12,2019-01-31,185000.0,0.190755973364669,68.0,49.0,6600.0,146214.14421905353,226145.6477836369,346976.8919162508,127696.6431710694,165433.88487727343,214656.11426460804,291120.8194939672,314479.68440622673,0.9662890941408224
13,2019-02-28,178500.0,0.1474120082815735,51.0,58.0,7400.0,146859.42757787273,225862.97809167177,347529.1081528538,128518.08726808616,165893.54605364832,215405.8823503545,291929.3903616238,315125.3216130314,0.9683185679300454
14,2019-03-31,179750.0,0.1653021442495126,23.0,66.0,7500.0,147821.4879417047,227043.92868954377,348489.5773495077,129591.05163442848,166587.05000650173,216522.6824979434,293160.9798669126,316178.4775931653,0.9691595927053896
15,2019-04-30,186000.0,0.1673350346336128,19.0,71.0,7100.0,148585.72564330878,228393.2625900904,349471.1113998086,130492.6418395228,167188.49813776312,217491.4685519895,294305.380478697,316995.0174990461,0.9723098405144568
16,2019-05-31,190131.0,0.1992681304058549,15.0,65.0,9100.0,149041.00773473302,230079.1442917509,350051.5436789709,131126.06486269686,167578.61214710237,218125.84216920703,294969.8031339203,317283.52196903207,0.977929702084874
17,2019-06-30,204700.0,0.2151029748283753,19.0,61.0,9900.0,149554.60976116886,233450.36377472032,350582.7610344978,131820.77417996924,168122.37587261686,218832.13447629032,295559.06193991884,317541.13073453016,0.982265653684442
18,2019-07-31,203600.0,0.2330578512396694,21.0,60.0,9000.0,150195.70493524752,235710.5777276145,350974.7688937469,132710.07682229477,168813.09958585628,219500.29067229747,295999.9976254403,317896.2379748032,0.9824519022195618
19,2019-08-31,197500.0,0.235626453971419,21.0,59.0,9100.0,150970.218043549,237085.5506492904,351557.67343396414,133732.98620466352,169598.1994206257,220199.9723777052,296537.62107603234,318648.48539056466,0.9799711460035566
20,2019-09-30,199000.0,0.2574614627746802,31.0,54.0,7900.0,151533.2545769545,237801.82363694004,352003.0815460907,134210.08753308954,170124.81513531893,220648.8121018247,296916.0365106661,319263.94575593347,0.9787462065837936
21,2019-10-31,191500.0,0.2776036224312086,36.0,50.0,6500.0,152152.47007063765,237916.0048319411,352610.23481401085,134593.22630257186,170683.86650068968,221195.74708086025,297508.68359179166,320108.2757181122,0.9763993278842892
22,2019-11-30,190000.0,0.1921397379912663,41.0,48.0,6550.0,153002.9997874333,238018.18626094607,353547.06527452456,135273.7205391116,171485.2677548573,222078.96210411025,298490.6059488727,321315.35700207774,0.971655697442536
23,2019-12-31,195000.0,0.1377694470477975,64.0,61.0,5600.0,153965.03033784512,236998.3418005464,354469.3176593644,136339.5010969496,172353.80301940627,222983.4932411392,299515.0952606089,322601.1648993983,0.9726833469259296
24,2020-01-31,192000.0,0.2024875621890547,63.0,80.0,5350.0,155129.09257788456,236259.2046453012,355067.4112648622,138340.40189485715,173888.03540434103,223988.3837446242,300055.85947416787,323133.6716739657,0.9677048564148066
25,2020-02-29,186500.0,0.230607966457023,33.0,91.0,6444.0,156245.62951430405,235489.35269725072,355341.99255781266,140011.50848794365,175245.6734636577,224807.2346157135,300460.47025462106,323543.26533993083,0.9691763175182052
26,2020-03-31,192000.0,0.1322751322751322,14.0,96.0,6750.0,157265.36011991883,235915.9200327972,355612.06832866906,141218.27983207468,176326.72183779572,225530.14088257085,301005.0109916844,324124.69096750574,0.972996594587428
27,2020-04-30,202450.0,0.0829721362229102,25.0,120.0,8202.5,158172.65960763828,237636.00783283688,356050.1395560692,141379.30299431368,176674.80230879117,226178.55022572508,301976.1887943424,325287.04993339046,0.975493411270511
28,2020-05-31,216300.0,0.1238095238095238,14.0,145.0,7750.0,158766.55899077526,239306.6700862556,356371.60674812994,141292.65240425925,176815.7518266805,226621.58647294407,302705.8464751988,326154.3797336596,0.980502519130202
