,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,181750.0,0.190010298661174,50.0,51.0,5000.0,133675.30700725786,190578.3927883797,299832.8273018293,103118.9461143224,134806.25962571372,185568.4853085538,258380.19570949543,330046.73304627644,0.9746606334841628
1,2018-02-28,189450.0,0.1728778467908902,31.0,51.0,5000.0,134274.235343512,190453.0039951488,300161.2576449584,103443.94489688618,135288.155018268,186145.5046287669,258881.30886997285,330608.03272465174,0.9788858046330948
2,2018-03-31,194900.0,0.1853375272199371,19.0,54.0,5000.0,135066.20977589287,191510.09748316,300594.6145535155,104159.95867972814,136006.3907868656,186763.3237626385,259429.01053109844,331157.3017933275,0.9791982826203964
3,2018-04-30,202052.0,0.209205020920502,13.0,55.0,5500.0,135939.30600330944,192641.564584054,301374.85349840723,104994.41716080296,136816.41963091958,187460.0172720237,260220.01622877084,332141.4322918881,0.983216970998926
4,2018-05-31,200000.0,0.2422192151556157,14.0,55.0,5500.0,136672.6325971349,194604.9432813874,302411.4527564017,105741.3037606052,137483.83624828074,188150.13375154985,261132.99466165272,333342.8682192152,0.9843673801898982
5,2018-06-30,202853.0,0.2530931191664858,16.0,53.0,5100.0,137231.3334854845,196339.60569401569,303215.286675856,106170.1482285938,137916.77090021424,188702.2905999261,261854.6565234261,334214.67607658374,0.985813492063492
6,2018-07-31,205000.0,0.2879045996592845,20.0,52.0,5100.0,137895.00908591555,198226.7394240008,304117.3289485548,106672.01584257744,138353.57178510245,189478.00901696773,262690.5605507601,335106.52619117114,0.9859157255135064
7,2018-08-31,200328.0,0.2868298860278598,25.0,51.0,5000.0,138606.71409150868,199259.6190974367,305021.6197808871,107212.82309329193,138864.58574346453,190337.47181747743,263604.995533846,336075.870259331,0.9823852030382028
8,2018-09-30,195000.0,0.2513891975994665,30.0,50.0,5000.0,139453.23196649857,199721.076846522,305968.0975896807,107962.10041446508,139542.2260241459,191292.84551698025,264554.4686571923,337087.96518434974,0.9803372478169226
9,2018-10-31,191000.0,0.2837930248461363,32.0,50.0,5099.0,140131.45690773055,199218.4363534499,306580.5526751795,108441.1522338858,140110.89307765008,191901.01240433,265226.55397725484,337809.88518596505,0.9813858052547026
10,2018-11-30,198000.0,0.2210500490677134,36.0,51.0,5000.0,140834.3473997805,199335.4049906729,307211.8778454569,108925.18946357864,140703.1072429264,192449.0164577052,265826.84940534894,338592.53546289675,0.978710435237308
11,2018-12-31,199000.0,0.1512085441259134,47.0,52.0,5000.0,141430.43222534037,199000.5797459421,307840.5472606668,109441.73740891584,141183.90207397816,192926.9380674349,266421.1921156069,339417.5115714032,0.9793877122046036
12,2019-01-31,191000.0,0.2168744563641635,47.0,56.0,5000.0,142413.9860421874,199700.8109443625,309085.2093226093,110484.73896630666,142169.22457498024,193810.1051494697,267567.52968058136,340845.32722428784,0.97961971404102
13,2019-02-28,196258.0,0.1899673493618284,22.0,59.0,5000.0,143593.7520391456,200635.46293835467,310763.4822454639,111408.62344543108,143368.87110763486,194935.1831890764,269251.08058426826,342713.4745013264,0.976716214706211
14,2019-03-31,200214.0,0.1918073623027954,17.0,60.0,5000.0,145021.43979859332,202556.2564487232,313156.2285652631,112378.10412713728,144852.1450109585,196391.49578949864,271595.9133730055,345349.9107580046,0.9787495390852508
15,2019-04-30,212000.0,0.2101525512887953,12.0,60.0,5400.0,146367.11436774617,205121.19789751983,315718.215699141,113165.30402563536,146215.15963033203,197923.7066823969,273987.9006127922,348226.37156368967,0.9888242656261504
16,2019-05-31,217000.0,0.2308494007295466,14.0,59.0,6000.0,147604.2858769852,207899.1603885028,318117.4142382764,114318.08825492482,147499.45692772514,199366.8451070248,276022.488870554,350768.9112821869,0.990783786338054
17,2019-06-30,220000.0,0.2623074981065387,15.0,58.0,5500.0,148608.77165877892,209750.2379676521,319897.2282515183,115376.00112415144,148580.53663102724,200438.88104995867,277376.195304923,352629.46332021995,0.989501787557128
18,2019-07-31,219000.0,0.2682987759180614,15.0,58.0,6000.0,149411.14073709908,211189.2819114926,321185.42534008506,116294.5930709419,149398.26871126602,201174.5998558922,278333.4029045772,353749.82737257547,0.9875035246938392
19,2019-08-31,215000.0,0.2733794517038175,17.0,58.0,5500.0,150154.8044917141,212439.92704003857,322303.8460565277,116978.46365161786,150095.07463354376,201889.34085602345,279269.1655009662,354746.6274758671,0.9866136356945944
20,2019-09-30,210000.0,0.2662079915321513,18.0,57.0,5100.0,150870.919529318,212817.09976352385,323310.99885107524,117499.47531155687,150742.4160510729,202681.74245923967,280243.44758093724,355559.0047160504,0.986511607301081
21,2019-10-31,220000.0,0.2752688172043011,20.0,57.0,5100.0,151663.03210001616,213208.66510573425,324501.98032562685,118079.39029779712,151423.89126209373,203589.9015816589,281348.6580645323,356848.4062937533,0.982361475474998
22,2019-11-30,212000.0,0.2210462654974297,24.0,57.0,5100.0,152591.20492628627,214340.35398936493,326025.8841359396,118789.37805079018,152260.43350771815,204709.41634001903,282783.80231117544,358709.05653037754,0.983399692330758
23,2019-12-31,215000.0,0.1682406435816719,30.0,59.0,5100.0,153746.36089520258,214807.63134515283,328043.47745571885,119741.7026572522,153289.4369263338,206093.95857362845,284711.81485255546,361355.3514591483,0.9805341055341056
24,2020-01-31,215000.0,0.1880701754385965,24.0,62.0,5500.0,155087.1012316697,215105.649056342,329990.31100346905,121513.67467742272,154888.72944295892,207694.3455132328,286642.167899224,363678.8415546196,0.9801989150090415
25,2020-02-29,217500.0,0.2323454079765825,9.0,63.0,5100.0,156372.96624541355,215608.5133560249,331684.6978285422,123071.47154859127,156318.90412847287,209197.4220155785,288418.4825105411,365841.65676991246,0.9843045710947786
26,2020-03-31,226000.0,0.1838335607094133,7.0,66.0,5998.5,157785.60387213374,217928.9983169759,333468.42525334336,124537.59603665333,157768.72159676906,210925.51055770056,290311.8006776624,368093.5995060394,0.9930980133852432
27,2020-04-30,223250.0,0.178175313059034,9.0,70.0,5100.0,159082.09061171114,220414.88749410785,335326.0064222175,125252.41575952654,158751.99492879945,212618.2085778565,292335.221515346,370584.89187608473,0.9896103896103896
28,2020-05-31,220000.0,0.1922554347826087,8.0,73.0,6000.0,160175.46601676478,222591.34769421176,337092.42318699084,125989.2486074788,159575.40850462043,214056.5182420663,294121.09459266014,372789.95934083714,0.9907011295500688
29,2020-06-30,231223.0,0.2007168458781362,7.0,75.0,,161222.94535339237,225741.78733124712,338670.61964222015,126843.20937853912,160456.5390647526,215348.211625208,295649.54122398543,374485.83941971854,0.9936185791326492
