,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,105000.0,0.1222910216718266,96.0,12.0,5000.0,64680.42979790098,111017.22550913563,186270.82172505665,,55174.58822978919,112993.40531335906,162289.05241572074,239478.33705259368,0.9730258755463488
1,2018-02-28,95500.0,0.1015384615384615,29.0,14.0,5100.0,64829.14496762713,110652.00239968277,185971.789659632,,55354.681096354885,113312.36339996826,162830.89978727896,240251.6822985146,0.9763657847007952
2,2018-03-31,108000.0,0.1233283803863298,58.0,17.0,5250.0,64993.208959528274,111475.67682832268,185654.60767844552,,55416.73282810323,113522.54631583148,163108.62137679153,240699.2681819487,0.9807536993151202
3,2018-04-30,118750.0,0.1066066066066066,53.0,18.0,5000.0,65421.1233392233,113515.9130373418,185769.1853499014,,55709.92316157071,113848.71787098226,163436.28194180524,241097.8878705324,0.9862839102311212
4,2018-05-31,119000.0,0.1441860465116279,30.0,21.0,5000.0,65941.82177352236,115212.11787596054,186652.1051646605,,56162.97688026645,114491.78975014162,164221.9445921244,241999.3420838872,0.983695654952074
5,2018-06-30,100000.0,0.1466049382716049,33.0,21.0,5000.0,66552.59691186094,115992.1462081791,187837.50306209573,44127.925151922864,56759.92521346809,115340.21133862616,165305.05087570986,243104.9369250538,0.9798890435225064
6,2018-07-31,111000.0,0.1816745655608214,29.0,25.0,5000.0,67212.24935665334,117436.08317149022,189218.4080391282,44420.032004882174,57472.75472211159,116392.00815205324,166600.26660975753,244381.75540021723,0.9803084848863732
7,2018-08-31,102940.0,0.1458966565349544,36.0,26.0,5000.0,67748.15832322469,118045.8397412608,190569.3658849109,44642.76538513754,58255.50558199305,117564.77883857036,167929.4381757614,245757.8154560513,0.97843718575131
8,2018-09-30,108450.0,0.1593495934959349,43.0,23.0,5450.0,67776.54768934088,118432.41271188168,191882.8531008093,44936.29353991023,58748.18233258415,118785.41941156088,169295.96250405756,247115.9633114826,0.9795145001665652
9,2018-10-31,105000.0,0.1509740259740259,49.0,17.0,5000.0,67142.95013400329,117577.89438737147,192593.5334168469,45171.438059182285,58905.729460077855,119677.89725564694,170295.7099288845,248274.2026625021,0.9816668996254077
10,2018-11-30,111500.0,0.124777183600713,97.0,13.0,5000.0,66607.35157125459,117783.0324436885,192956.45282259383,45554.76657338716,58974.19029525644,120354.27647679388,170994.84374934467,249228.6165307512,0.984160361957944
11,2018-12-31,136500.0,0.0859813084112149,103.0,12.0,5400.0,66419.29141798576,117125.05821892526,193179.7822627145,46112.94687292184,59167.69431039371,120872.79122611484,171556.53245278457,250164.5562373423,0.974978880727456
12,2019-01-31,93000.0,0.1497227356746765,75.0,21.0,5000.0,66593.25783544518,118371.00870016096,193864.00320784847,46429.10303122746,59382.86781722178,121482.36965937616,172273.79307289002,251339.55183725007,0.9798450301091146
13,2019-02-28,80000.0,0.1117533718689788,63.0,28.0,5000.0,66834.36696160144,119908.41042410771,195039.50583415804,46153.85990849828,59382.49621784393,122065.20450539204,173178.97588721054,252799.8168396808,0.9753469130387604
14,2019-03-31,84000.0,0.1275303643724696,27.0,34.0,5000.0,67157.7998626684,121482.8677899975,196301.61911118904,45505.57735584455,59274.7719719176,122581.6903725274,173968.73297572494,254267.99515628183,0.9802838872878452
15,2019-04-30,100000.0,0.12,31.0,33.0,5000.0,67385.74599286144,122229.90223019393,197210.60914427583,44710.40382591096,58980.96381069328,122731.76175092028,174363.84843477307,255152.8468565445,0.9878636141537044
16,2019-05-31,95000.0,0.1245059288537549,30.0,30.0,6000.0,67513.59341704282,123319.55011978064,197763.49454758925,43996.59929088891,58726.291115421154,122705.016167739,174493.40824696244,255675.23896934537,0.983620886558508
