,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,271250.0,0.1174785100286533,52.0,40.0,,205546.2341607613,307312.29626036994,483888.32387854526,193471.7588522777,257032.2974263841,313007.807951271,374323.06774349423,435808.85565163946,0.9895580024677636
1,2018-02-28,265000.0,0.1283582089552238,90.0,40.0,,207173.5254323136,306904.96486870816,485220.05277106416,194941.0027243733,258757.78058685976,314602.45164712664,375970.3231092729,437700.42575824494,0.989595829575364
2,2018-03-31,309000.0,0.1085858585858585,32.0,43.0,,209073.51326053627,308547.23070981726,487177.64918383135,196985.86443171976,260896.2773868672,316337.6315892202,377758.70932577807,439803.2713849464,0.988953319129551
3,2018-04-30,309900.0,0.1167883211678832,31.0,44.0,,210866.80273131907,312271.41402087134,489276.242018573,198952.73039851256,262934.31496911583,318036.2137739915,379667.6299190512,442105.7011158287,0.9910818108795674
4,2018-05-31,325000.0,0.1395881006864988,26.0,45.0,,212563.92342610584,316610.22313005547,491743.4116870316,200524.27396768448,264755.57390927203,319971.4344030048,381953.2578898661,444799.8350714913,0.9928864548491242
5,2018-06-30,319500.0,0.1368653421633554,35.0,42.0,,214045.2242231101,319965.6392558693,494125.0940237744,201465.5673716356,266061.5533205306,321883.0430384003,384231.5098527549,447569.4328767604,0.9925448036752323
6,2018-07-31,315000.0,0.1639344262295081,42.0,43.0,,215409.36154563792,324915.5954755061,496921.6499209634,202254.30633472544,267246.9995937095,324008.8003149463,386718.2805292488,450620.1118415177,0.993034278094582
7,2018-08-31,286000.0,0.2183406113537118,49.0,41.0,,217014.1941750358,327981.144667171,500334.7169896271,203133.86045805443,268700.2295353653,326352.83966977894,389641.51574824814,454242.97279475775,0.991498476115726
8,2018-09-30,315000.0,0.1502347417840375,73.0,41.0,,218739.8871071737,329187.1173795666,503487.02119879256,204378.55662339265,270285.8690949864,328487.6104692451,392374.16892728646,457661.27448653645,0.9846314637551514
9,2018-10-31,320000.0,0.1809290953545232,38.0,40.0,,220107.7546534294,329493.7276954407,505767.8227429876,205294.4205938024,271280.231777452,329968.69327620487,394462.2812030173,460466.1169909896,0.9862824393938852
10,2018-11-30,313800.0,0.0947075208913649,41.0,39.0,,221251.99242642743,328701.10732418793,507348.0646303428,205890.86904892183,271825.02502736973,330899.82867538574,395893.3644128195,462589.6676211751,0.9884860646152808
11,2018-12-31,307500.0,0.0702875399361022,87.0,41.0,,222719.72412125304,328256.86287625734,509564.151429028,206520.62288995183,272732.2809822385,332274.13174963585,397867.589501464,465414.9052153877,0.9828626108511932
12,2019-01-31,297000.0,0.1470588235294117,63.0,44.0,,224709.9410092352,327120.16241676174,511958.7793379344,207532.35992029053,274182.6786020236,333881.57851218496,399824.804833964,467988.9084776884,0.9828945546150416
13,2019-02-28,301000.0,0.1182432432432432,66.0,49.0,,226799.99942811544,326755.72408453684,514158.0024861347,208621.52706247848,275821.69749187067,335700.100339667,401814.9996181846,470333.64431510726,0.9869732609493972
14,2019-03-31,260000.0,0.1470588235294117,18.0,52.0,,228975.7810408561,329002.16877437,516277.6379623891,209800.20625314745,277504.07721167285,337528.71213481337,403851.8668911544,472675.7433071762,0.989127390593523
15,2019-04-30,286950.0,0.1597796143250688,26.0,54.0,,230906.7565280284,331919.31495872623,518357.4200249699,210828.96270878924,279030.9039199748,339311.8078409005,405958.823992961,475153.609741592,0.9875232766748844
16,2019-05-31,329750.0,0.1675,23.0,49.0,,232535.2255845204,335271.5475113656,519883.10790271376,211978.52293237063,280447.2907133349,340823.1458390146,407776.5472928891,477441.319554673,0.9936971188371324
17,2019-06-30,349450.0,0.1818181818181818,22.0,48.0,,234291.388400314,340745.6295377432,521631.4762021762,213334.7592885757,282015.87329451577,342514.2554263634,409608.5425953334,479662.778916459,0.9926307373981796
18,2019-07-31,310950.0,0.1766055045871559,23.0,49.0,,235914.98869212915,344660.4373278732,523150.6146403907,214707.43975050608,283435.5985622528,344161.6891791001,411313.9596192591,481591.2774018431,0.9932862614287448
19,2019-08-31,300750.0,0.2293577981651376,51.0,51.0,,237588.38937901868,346013.164446035,524783.7267695249,215865.5690468411,284801.98312328896,345819.9265045954,412948.296292608,483360.9074066463,0.9909768565036224
20,2019-09-30,367500.0,0.175438596491228,55.0,46.0,,238508.13072169936,346647.28477390285,524994.7602588066,216088.96392452472,285241.5559703515,346668.5145934256,413576.1775932547,483739.5583094666,0.989227362874182
21,2019-10-31,312000.0,0.1835616438356164,53.0,41.0,,239416.4841116704,347582.79480356973,525650.2147109631,216232.85298483283,285605.25510821486,347633.75498481345,414468.3181495346,484544.5591436778,0.9895970570439588
22,2019-11-30,365500.0,0.1320754716981132,87.0,41.0,,240623.6452755929,348200.56859341235,527326.3072415474,216745.5779036564,286357.621196444,349163.6740457841,415957.13636783295,485816.8258271813,0.9906594291336864
23,2019-12-31,368050.0,0.0729166666666666,43.0,46.0,,242270.15234350783,347968.4322105418,530578.7452049326,218158.7503146932,287963.8195994668,351358.61752360617,418363.3511513739,488332.1001561624,0.9874119631183976
24,2020-01-31,305000.0,0.1218637992831541,85.0,48.0,,244361.16830964512,347054.94951520127,533551.5867522768,220012.75423612937,290107.6075970586,353591.80111119366,420745.2648015786,490509.6929831758,0.9870953452459308
25,2020-02-29,299900.0,0.1711409395973154,28.0,47.0,,246654.33207165336,347258.4642922328,536411.0772963715,222112.11376407777,292305.863631683,355669.61650498287,423199.4126154043,492735.06259351847,0.9877779451788034
26,2020-03-31,355000.0,0.1213017751479289,25.0,46.0,,249476.60587739607,351147.92481175315,539384.1893928145,224405.89546464648,294715.5990559897,357990.8608067714,426005.569665974,495427.0334065482,0.9902344563628224
