,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,180000.0,0.1133671742808798,86.0,20.0,10000.0,96446.74874040844,175557.93435999687,354656.3497670459,78207.1723411342,111348.81272816508,169942.44443792853,250596.6300306355,499094.730679171,0.9733426349931972
1,2018-02-28,195000.0,0.1036184210526315,83.0,15.0,10000.0,97418.21685834724,176663.26152225176,356563.8531016945,78937.61791111428,112545.93882494111,171557.57821856413,252501.0133440514,501587.9207772974,0.978543049027122
2,2018-03-31,245000.0,0.1309148264984227,47.0,25.0,10000.0,99076.09045395609,180458.0173846889,360161.9784612156,79976.27988368228,114182.69924036224,173402.53404186352,254909.0395018181,505971.0354070514,0.9839980130151168
3,2018-04-30,181051.0,0.1165730337078651,26.0,35.0,10000.0,100632.22728946085,182210.93035402824,363862.58431281993,81104.80873990171,115741.16438482996,175034.67739088705,257209.3377830256,510752.9098327514,0.9865190339620912
4,2018-05-31,205000.0,0.1664374140302613,33.0,40.0,10000.0,101796.89068844264,183932.75997126405,366741.289877278,82051.2555098019,116844.43990502396,176196.42851933322,259176.1260555928,515168.0479981491,0.9854052511668918
5,2018-06-30,224500.0,0.1712707182320442,37.0,28.0,10650.0,102245.17290462129,185275.21710743065,367511.9018304429,82592.65339669035,117368.87046001291,176645.0427140979,260387.44288239392,518679.719663719,0.9863438295371532
6,2018-07-31,203385.0,0.1834733893557422,42.0,35.0,10000.0,102723.07328665497,186981.88727440665,368289.6994214372,83262.49942896857,117873.20973821609,177159.4978889917,261909.3706930446,522871.8819743178,0.9843218369515054
7,2018-08-31,225000.0,0.1778711484593837,52.0,38.0,9600.0,103240.09250224038,188172.12315896704,369464.908791905,83995.79201274633,118559.93461556532,177706.53254127738,263447.76917841024,527280.3335290441,0.9823433427454522
8,2018-09-30,204750.0,0.1422287390029325,41.0,33.0,8500.0,104124.88234741334,189793.7901569121,371654.5581862408,85288.7771120107,119744.57969772573,178866.9350202931,265436.62790298,531662.9268923235,0.9795694020488642
9,2018-10-31,209250.0,0.1626865671641791,40.0,25.0,7550.0,105073.93139791983,190282.66658190268,373453.105436436,86634.8168717639,121146.34744708116,180091.30150581407,267324.59169513645,536010.1956090536,0.9795692760118432
