,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,290000.0,0.192571599045346,32.0,57.0,7500.0,215975.33985701416,301062.8551258433,502948.2337598072,256239.826150156,287040.0419434249,264589.519083424,334640.1482828121,468056.3405418997,0.9733426349931972
1,2018-02-28,293400.0,0.1672961253322143,13.0,58.0,10000.0,216887.91101792583,301747.66140442254,504199.3185938765,257308.1712598616,288003.2159805317,265535.90070590924,335506.8584525099,469168.1636694113,0.978543049027122
2,2018-03-31,300000.0,0.1915404950732996,12.0,60.0,8100.0,217843.57464273693,304828.05759296095,505641.6899822906,259043.6375249409,289326.1966171086,266496.28728200466,336472.2788853099,470377.3006664652,0.9839980130151168
3,2018-04-30,315000.0,0.2132250827903001,10.0,60.0,9000.0,218608.2756167812,307510.93912139727,506874.92683660425,260602.5066806957,290615.33519207995,267320.48326644185,337341.78283664194,471693.8257808541,0.9865190339620912
4,2018-05-31,320000.0,0.2470389170896785,11.0,59.0,8000.0,219351.87279957245,310597.7873640828,508568.8644467432,262195.419219013,292073.14237252,268176.21580560826,338241.0664306337,473291.66306771216,0.9854052511668918
5,2018-06-30,321800.0,0.2860040567951318,15.0,54.0,9003.0,219864.17600254223,313023.39434320683,510113.7753119736,262953.33216641407,292992.7187004441,268700.302974869,338856.8123733544,474702.52988040494,0.9863438295371532
6,2018-07-31,315000.0,0.3076187744957461,19.0,50.0,9500.0,220632.1637761568,315032.56898361014,512078.948020857,263611.9331910606,293851.4720431277,269438.0347119741,339845.29130230774,476670.12916811154,0.9843218369515054
7,2018-08-31,316350.0,0.3047452353169972,24.0,48.0,7300.0,221361.2646440472,314780.0379984344,513844.7787254857,264219.725602445,294636.9471621779,270111.67495127086,340666.490021331,478463.5937336132,0.9823433427454522
8,2018-09-30,295750.0,0.284892236869638,31.0,47.0,8000.0,222097.8260610377,313954.7133205178,515355.71332952793,265193.6224090599,295522.80404078617,270895.154251956,341518.52290827583,480101.94067126926,0.9795694020488642
9,2018-10-31,305000.0,0.2876525031552377,33.0,46.0,7333.0,222693.0051565291,312752.76213428355,516461.72879123135,266090.36304673355,296480.9944000183,271547.06852670334,342053.8055196746,480961.9907443053,0.9795692760118432
10,2018-11-30,306000.0,0.2480751811594203,33.0,47.0,7000.0,223346.98866911605,311600.45079016715,517837.2551039956,266602.2303462852,297315.343829734,272206.0765286006,342797.3204227244,482200.9884634893,0.9780497594059948
11,2018-12-31,302362.0,0.1700168590325509,41.0,52.0,5100.0,224135.9943187796,311343.5745060861,519062.8133787962,266982.3294498984,298050.89741236204,272918.90045250626,343557.9768034224,483324.96664240817,0.976273295121986
12,2019-01-31,296500.0,0.213697219361483,35.0,58.0,5990.0,224782.32172373607,309478.6041509016,519810.2953741525,267000.9131900437,298386.92033263185,273478.93426353374,344206.1364219268,484325.0076689793,0.9760850837931384
