,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,205000.0,0.099236641221374,,39.0,,129174.18116222818,200534.44953531816,327885.83559951343,94387.75027532208,146586.63353843207,192655.41241510515,228959.4265059484,268246.15293983783,0.9794248972544368
1,2018-02-28,165000.0,0.0689655172413793,,45.0,,130156.14190199476,200829.83895803,329354.58593667805,94684.25261437864,147591.85940860296,193917.5766761613,230323.6538878004,269705.7507499357,0.9839083215400912
2,2018-03-31,185000.0,0.0844155844155844,,50.0,,131347.9987086489,202725.93712060087,331506.2374587962,94966.2953072043,148510.76309277257,194901.0145707985,231334.12880559545,270695.84922470787,0.992665684481699
3,2018-04-30,162500.0,0.1018711018711018,,48.0,,132244.14144834512,204569.19062754008,333524.8528331004,95637.62293022365,149273.66755078212,195645.84834943057,232072.713297791,271507.9585646255,0.9975094019217406
4,2018-05-31,180000.0,0.0919540229885057,,44.0,,132663.51181807416,206983.28400451128,334841.6785549736,96262.1168738094,149873.63999675578,196291.73057139176,232684.3910608673,272328.1937396831,1.0000797866801987
5,2018-06-30,180000.0,0.1371428571428571,,42.0,,132489.19632038026,209475.6526596544,335304.9228159909,96621.69421718956,150261.3865115697,197059.0305917949,233454.28537611663,273273.6479798329,1.000091692136705
6,2018-07-31,190000.0,0.1965648854961832,,42.0,,132648.2125049321,212960.5825741148,336248.10276628,96907.17421511452,150818.78260827783,198121.8655819842,234577.4286641141,274690.25290393975,1.0
7,2018-08-31,182500.0,0.1351351351351351,,42.0,,132884.4862700604,213084.09056062385,337208.92627994966,97147.73370593,151346.39746798135,199011.7249446107,235636.4585223977,276062.9566498859,1.0001151191558713
8,2018-09-30,177000.0,0.1333333333333333,,36.0,,133304.40610036417,213105.63574441045,338029.22091965604,97648.07127294569,151944.80638803035,199656.60960348675,236395.5047840166,277060.6950214692,0.9941397193267808
9,2018-10-31,172500.0,0.1541666666666666,,36.0,,133632.8815908296,211957.2201178189,338282.70676025737,98048.70164768992,152523.41637948074,200167.42227906888,236944.65551202293,277696.3399849651,0.9909864471374742
10,2018-11-30,167000.0,0.0986238532110091,,37.0,,134442.23461220658,210801.02881653063,338789.8164486192,98550.53853343008,153332.6943531906,200975.46393466045,237734.01648203484,278484.0875443739,0.9890122905695566
11,2018-12-31,180750.0,0.0911458333333333,,39.0,,135574.69668877253,210203.33040290533,340232.1814704078,99169.93137692554,154260.72483324536,202075.59397211456,238937.724474319,279896.7404276468,0.984881985195958
12,2019-01-31,173750.0,0.1058495821727019,,37.0,,137014.77152762187,210617.8142956849,342238.5268442896,100109.8977816486,155367.32269733094,203195.9572055001,239980.216432618,281117.8310070271,0.9872174247357132
13,2019-02-28,188000.0,0.074074074074074,,43.0,,138860.92552468673,212389.4587298212,345035.09083316365,101346.73058830472,156687.49502217685,204418.6140536183,241014.81086858423,282467.92083020974,0.984300648536544
14,2019-03-31,157000.0,0.1088082901554404,,47.0,,140650.38047066153,214614.5980941548,347792.9707040093,102538.2667365318,157995.40207514228,205660.9147224717,241974.7101324578,283706.56167481927,0.986316382078242
15,2019-04-30,202700.0,0.1549893842887473,,54.0,,141800.9900959284,216199.72310121564,349526.4690150965,103147.92952585394,158749.30700717572,206478.37150362085,242576.7768065756,284510.0919980644,0.9935331333489834
