,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,357500.0,0.105984467793513,83.0,40.0,15000.0,287175.8574298066,418025.93301257736,726734.9364752118,265374.96469570446,321532.60572616506,421943.2984383908,559520.8047977289,911304.7107783412,0.9730244320517366
1,2018-02-28,371200.0,0.1153500897666068,36.0,43.0,14550.0,288847.8327595481,417506.4341992684,728382.4532975075,267853.5338505369,323300.844043033,423560.0247577086,561017.5611494752,912970.798240503,0.9727285633382317
2,2018-03-31,372500.0,0.1097457627118644,26.0,48.0,20000.0,290566.9332840451,420341.2351443681,730205.9365524482,270105.36672061565,325075.518106166,425357.321812964,562910.2005640237,914955.013324507,0.97979313013042
3,2018-04-30,375000.0,0.123719165085389,18.0,48.0,19000.0,292150.1468380482,424006.20085426816,732318.1098409431,272059.9138689768,326557.8328920268,427234.9085215737,565043.6861088596,917101.5110630888,0.984723126476444
4,2018-05-31,388500.0,0.1567656765676567,20.0,45.0,16000.0,294142.0806157825,430045.2469062692,736319.2624275739,273865.214973996,328577.7234837935,429864.2936651204,568519.7609871281,921952.4851167012,0.9865485334011854
5,2018-06-30,395000.0,0.1935042735042735,27.0,46.0,15000.0,296089.2668047491,435864.0113549727,740838.0877805249,274986.7529288662,330583.5472924393,432604.3626624302,572160.6500410892,927717.5486634772,0.9882657700593942
6,2018-07-31,385000.0,0.1901202469938251,19.0,49.0,19000.0,298223.9342788079,440981.6969961446,745518.8981329332,275531.4767356009,332969.29000226344,435528.2697200123,576041.0866908951,933716.3070164272,0.988980520001743
7,2018-08-31,375000.0,0.2074954296160877,34.0,46.0,15100.0,299902.5154159511,442223.0594590575,749233.8124615337,275418.3738376375,334766.11583525105,437732.706757873,579062.7381931972,939055.3476567096,0.9874829940711894
8,2018-09-30,385000.0,0.2288671650373778,33.0,39.0,19030.0,301406.0931948979,443002.6143264594,752744.1295698029,276047.792278986,336284.5667968205,439497.2543202328,581696.8055981785,944755.2546401474,0.983160239187011
9,2018-10-31,424950.0,0.2291975125851347,46.0,36.0,15100.0,302184.09070080734,440711.0058881313,754916.6049559269,277276.3681375087,336835.1975983945,440161.0546695025,583052.2026245334,949470.2748979249,0.981806969859916
10,2018-11-30,390000.0,0.1541994750656168,49.0,35.0,14900.0,302484.22872712504,437948.6233280491,755894.071005838,278626.5131030484,336931.31998377474,440202.89496162726,583415.1424272993,952452.7429534716,0.9782211752698796
11,2018-12-31,355000.0,0.0769819992340099,70.0,38.0,10100.0,302301.80856534635,435083.3851256888,755373.6257186708,279818.6362499129,336629.571744002,439610.9773141555,582760.0287321712,952676.9331512916,0.9758829842411776
