,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,174500.0,0.1843100189035917,,37.0,5000.0,115100.68510888208,187491.4577985283,304260.1709021029,91266.3743219712,126818.10998414434,180990.406831838,270092.28688401805,381508.7434067413,0.9739467570506994
1,2018-02-28,180000.0,0.1788139429606156,,39.0,5000.0,116147.54926240812,186621.6933109504,306109.5141929793,91973.15446288872,127691.65043823108,182098.43433923533,271616.7508580392,383742.9856884056,0.9759353660464472
2,2018-03-31,185000.0,0.2073761854583772,,40.0,5000.0,117308.8376668518,187757.1952294438,307360.3514873834,92628.6320410234,128197.0286397246,182814.5651529093,272556.3933244625,385038.9042085565,0.9756654617154124
3,2018-04-30,185000.0,0.2031470647569094,,41.0,5500.0,117836.24172229425,188420.38037583765,307533.1609327555,92859.03058965312,128394.60726396496,183135.62225524805,272865.1498069733,385599.0736503084,0.98217500537332
4,2018-05-31,185000.0,0.2149173394848135,,43.0,5000.0,117905.16954522236,189342.3043768991,307049.9439847097,92833.11561176369,128367.29641343618,183267.3502526986,273021.4569855605,386201.8335923804,0.9796087414593848
5,2018-06-30,189900.0,0.2216757741347905,,44.0,5000.0,117194.7553183917,189596.55730944988,305924.35144045483,92500.18802436476,128039.2832579863,183084.12237688733,272745.37937102566,386426.0151210906,0.978279821943038
6,2018-07-31,187000.0,0.2395492548164303,,43.0,5000.0,116756.64391668832,191540.4640367148,305360.57540709665,92460.1462354528,127973.6702513415,183158.20725051465,272865.3587432595,387211.01718876086,0.9770645711831564
7,2018-08-31,185000.0,0.2422728114010734,,44.0,5100.0,116215.02976251976,191368.07750023488,304944.5634182454,92183.04259624604,127869.3074020078,183164.7994765473,273033.4510227275,387996.6958860583,0.975681088668832
8,2018-09-30,182250.0,0.2158522508657175,,45.0,5100.0,115949.55249164626,191070.6453006632,305029.5940531385,92231.92043211633,128195.00543127256,183431.57126590365,273556.3865402935,389220.9378346121,0.9788283637983036
9,2018-10-31,178450.0,0.2277227722772277,,43.0,5100.0,115282.3450940504,189722.7093130172,304341.2154158624,92167.95765435464,128346.67503584332,183324.5089796872,273528.432385303,389433.2480151793,0.9765505375451344
10,2018-11-30,187000.0,0.1669948798739661,99.0,41.0,5000.0,115468.9046217796,189619.48029669127,303998.895774221,92252.76472151314,128718.96394195435,183392.3286124004,273574.6898158431,389894.7750038639,0.9775841291313055
11,2018-12-31,185000.0,0.1107601600336913,92.0,40.0,5000.0,116221.8475466742,188887.3246579412,303843.1357413339,92336.04836487262,129016.87436357811,183495.6366873776,273623.27840457606,390230.6290665162,0.9748489722878162
