,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,,0.145631067961165,,16.0,,103089.34986900096,167649.40359471724,266472.1046591641,126908.9873155253,140492.21874044632,170403.17362558524,199190.00084477512,223178.69302112405,0.979738452763688
1,2018-02-28,,0.0646766169154228,,22.0,,103210.76243789733,166485.27653187502,266114.5899701665,126810.15093694052,140836.25188879663,170720.7934557318,199838.78250570816,223930.7185950269,0.9875815000141244
2,2018-03-31,,0.064516129032258,,28.0,,103830.64421301705,167856.611378979,266613.9809061815,126998.246994106,141339.24832395415,171044.22391025114,200580.50721671744,224899.81933388265,0.9952087041024772
3,2018-04-30,,0.0763052208835341,,27.0,,104191.64756770313,169690.45570863533,267629.2215358031,127423.20437595656,141832.4356250106,171452.34534253727,201438.47601148987,225888.89878482115,0.9933935692814856
4,2018-05-31,,0.1533101045296167,,33.0,,104495.9205387344,171855.28432567406,268951.9484517398,127850.91738812304,142418.6054119717,171863.11561414157,202297.92852463308,226863.60747074903,0.9953448360497124
5,2018-06-30,,0.1714285714285714,,30.0,,104226.17611836689,173745.49689450997,269189.4473865494,127861.62224418506,142695.18667656954,172059.16944951325,202857.5086957948,227417.3185513676,0.9974063866736254
6,2018-07-31,,0.2113095238095238,,25.0,,104306.55337471362,176478.13736507398,269785.5279209797,127964.62724199316,143076.80492046376,172540.71254811567,203677.5386015407,228230.90653971385,0.9989278055754108
7,2018-08-31,,0.1854103343465045,,20.0,,104644.5396029082,177202.54787740274,270476.5270873517,128308.10692652616,143565.22965721964,173305.37584159593,204566.77757185747,229150.1384692965,0.9930182329775612
8,2018-09-30,,0.1766917293233082,,15.0,,105165.81719322228,177639.30698411452,271532.1916835656,128967.8696852664,144386.57640203077,174587.3798716565,205716.7345144278,230301.8209553189,0.9929206175950394
9,2018-10-31,,0.1717557251908397,,11.0,,105104.54189595568,175738.86375423853,271834.14084782684,129331.19171983116,144973.7044506939,175539.2902750642,206364.5113328211,230876.80687973945,0.9942220726712016
10,2018-11-30,,0.1016260162601626,,11.0,,105342.73720434972,175742.89328274978,272114.4416933409,129860.18636445329,145672.46760374858,176584.2943797866,207080.42702714063,231483.11826695048,0.9897232608073342
