,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,,0.1639344262295081,,39.0,,39026.84879150736,84779.97348136539,151578.2854154473,31584.37332597856,45090.5137660103,90170.85246297331,125931.68239294935,144255.66790365076,0.9826543638919242
1,2018-02-28,,0.1440329218106996,,42.0,,39724.81788799659,85053.07968525683,152196.74296462772,32089.26363117476,45645.61894407438,90852.66392272578,126740.37837369052,145358.40955783016,0.9871413903746672
2,2018-03-31,,0.1895910780669145,,43.0,,40723.96844527973,86918.41868008257,153366.8662268157,32826.300430038464,46514.503998407024,92077.20082892472,128001.5445803162,146777.38767196206,0.9889360915399458
3,2018-04-30,,0.1944444444444444,,40.0,,41571.66520506399,88009.27100026738,154583.74862575522,33397.23430112065,47284.94855136218,93245.47694869724,129193.88906128838,148173.53101816017,0.9900907201531984
4,2018-05-31,,0.1673306772908366,,40.0,,41939.76170114874,87846.71420874707,155368.10897739723,33647.846502735105,47638.77307700599,93818.24934622843,129908.71786309624,149181.85630994986,0.9925214494530404
5,2018-06-30,,0.1379310344827586,,43.0,,41600.31793120263,87321.28469873226,155235.80057335147,33455.33727281156,47370.82109700498,93338.83731165984,129729.82734857131,149237.8387978084,0.9924920488555246
6,2018-07-31,,0.1846689895470383,,43.0,,41234.34411069518,89019.22653195214,154977.39022688393,33290.94776600903,47084.160730740645,92785.69150736443,129332.90043404471,148952.026757685,0.9918963405229344
7,2018-08-31,,0.202572347266881,,42.0,,41041.31639676574,88985.99505824834,155053.76348813318,33210.04273859827,46955.66671013411,92522.31537646009,129276.6799861713,149011.83837035942,0.9896758130250012
8,2018-09-30,,0.1906354515050167,,46.0,,41019.97127886496,88882.49638729115,155500.4281979881,33130.54622905287,46923.69279756945,92653.66251324576,129663.8969141324,149637.17394010656,0.9864142456024833
9,2018-10-31,,0.1471571906354515,,44.0,,40705.91666084493,87698.24469600442,155474.1897988637,32814.57117282596,46598.08230769209,92340.96344919514,129868.40050793414,150198.7323994953,0.9877667191150448
10,2018-11-30,,0.1070110701107011,,42.0,,40501.15801554277,87381.82786368762,155464.13048181272,32695.483218359364,46438.88923879386,92169.8965990896,130184.79247488912,150795.09255077288,0.9872800981340832
11,2018-12-31,,0.1220472440944882,,42.0,,40478.15795673765,86423.30046691888,155350.37004012786,32830.839902006286,46455.943191500766,92037.7656378639,130448.7272351513,151060.1854032266,0.9815255402072448
12,2019-01-31,,0.1416666666666666,,42.0,,40583.26745624762,85492.38483183667,155688.3255642743,33139.91929936054,46590.428240621695,92164.39300003326,131111.00764945193,151364.14876561423,0.9790843142243468
13,2019-02-28,,0.1163793103448275,,43.0,,40472.574905806425,84314.94074622376,155933.35442836618,33169.59658770537,46443.05573506493,92055.51891476211,131673.11241803912,151302.2149235184,0.9827528676091464
14,2019-03-31,,0.1617021276595744,,48.0,,40328.16171847063,84335.52357410405,156035.73528617993,33077.18636503738,46292.5531609302,91906.5205019999,132032.39884103328,150995.32438345658,0.9872703258521978
