,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,205618.0,0.1518264840182648,55.0,34.0,6000.0,175229.18759926307,245874.73283070725,369511.8561096348,142638.08157265864,179014.1614222331,238881.27869106515,275915.0341816905,345145.6310999077,0.9795479009687836
1,2018-02-28,251534.0,0.1211750305997552,52.0,34.0,5000.0,175798.64865218708,245381.5207798548,369952.2589044575,143207.78349888322,179467.15857626568,239390.92305448256,276493.9473757448,345507.93996626814,0.9777681962638556
2,2018-03-31,213000.0,0.1483097055616139,34.0,34.0,5000.0,176752.89531800486,247375.9632113627,370918.03344216,144273.70216117232,180330.02404202195,240099.1981439702,277199.1749345641,346268.2709896252,0.993152759345021
3,2018-04-30,239703.0,0.1673427991886409,26.0,35.0,5000.0,177610.47899006007,248649.9313463076,371736.1942955792,145311.2640888302,181177.77017711327,240681.04123791715,277667.7761178666,346880.12065230444,0.9929603556872916
4,2018-05-31,267520.0,0.2128755364806867,24.0,37.0,5000.0,178473.13926974463,251795.1899176271,372862.1459139517,146328.06011068096,182096.97836484,241320.4665532637,278222.93724809965,347774.7634006744,0.9968243886948236
5,2018-06-30,258653.0,0.2051476154428463,18.0,40.0,6000.0,179183.303665572,254362.1129309846,373870.8134651205,147408.6762063373,182944.0291825191,241922.4258344268,278835.61666121375,348665.9741433175,0.9916782538390528
6,2018-07-31,253267.0,0.2332129963898917,23.0,39.0,6000.0,180145.7954590314,257097.1057818168,375217.4066454235,148472.94213344454,183977.1447213197,242888.24071516065,279984.9269184105,350123.48254721385,0.993939393939394
7,2018-08-31,236591.0,0.2248908296943231,30.0,36.0,5900.0,181056.39622847503,257784.9462372209,376371.0892416672,149041.79158080972,184863.8427741326,243893.50595632783,281279.99840185285,351542.44272510335,0.9888579387186628
8,2018-09-30,255431.0,0.209214501510574,46.0,31.0,6000.0,181817.76565401096,258635.7789171641,377386.2768081965,149252.6042047326,185420.82485114053,244797.68902551083,282492.18134847755,352960.83624497027,0.9824561403508772
9,2018-10-31,258145.0,0.2417840375586854,36.0,29.0,5100.0,182221.05489812745,257976.48757204923,378063.6181914734,149577.57290815216,185546.539339282,245351.88951795173,283239.8527728957,353923.5994783108,0.9803921568627452
10,2018-11-30,265187.0,0.1729587357330992,44.0,29.0,5100.0,182547.44347974096,257261.19192177017,378650.1015217284,150272.60937435925,185611.84602637435,245827.8931370563,283764.82595547586,354672.4923765058,0.9883991481557812
11,2018-12-31,252076.0,0.113837095191364,80.0,32.0,5000.0,182762.51631643405,255970.5001641946,378914.33028065134,150864.46263701186,185580.61259869373,246105.15134160264,284114.93897923455,355050.7638165702,0.9790583856804572
12,2019-01-31,280086.0,0.1730205278592375,57.0,39.0,5000.0,183284.6836566069,254930.0651266228,379498.50560221495,151309.64202687074,185930.85536965125,246737.6152172693,284734.0235843628,355608.99415742775,0.9816648179363552
13,2019-02-28,266932.0,0.0994871794871794,41.0,43.0,6000.0,184064.79164224048,255322.5013065665,380546.4488204142,152147.4047561237,186600.7202057457,247670.4873350933,285698.45497936953,356575.0577101973,0.9782608695652174
14,2019-03-31,250293.0,0.1398390342052314,34.0,49.0,5000.0,185330.2828541086,258004.39563242008,382411.26218498265,153386.16030781416,187823.66760826387,249164.66656114496,287149.7202771727,358117.34077108814,0.98627983458296
15,2019-04-30,256260.0,0.1770925110132158,15.0,52.0,5116.5,186803.5686085713,261011.16665455708,384443.8082497018,154571.02345137825,189231.98663576008,250883.79052184752,288868.3366976769,359875.33851430163,0.9882352941176472
16,2019-05-31,256675.0,0.1867007672634271,16.0,52.0,5000.0,188122.1093116527,263593.7598007129,385892.4852386362,155389.89116431458,190445.639744401,252242.12443470143,290103.8088811823,361069.7329542741,0.9900390689517448
17,2019-06-30,282466.0,0.1944444444444444,18.0,48.0,5100.0,189214.95475527912,266411.05324489163,387159.7906178604,155625.65015290733,191555.7908262272,253405.7518309959,291070.02923403675,361947.1647595764,0.9929824561403509
18,2019-07-31,296940.0,0.2345381526104417,27.0,45.0,5700.0,189908.6037956574,268994.7768363348,388211.0855760439,155649.9538419099,192307.4557896204,254319.24649586287,291857.89951577486,362745.9068198349,0.992844364937388
19,2019-08-31,269343.0,0.2437185929648241,34.0,43.0,6000.0,190963.3586794849,271376.1854769374,390394.6988543008,156084.08471900166,193402.462286534,255902.7909963371,293678.7450377803,365054.1714351713,0.988219329226709
20,2019-09-30,262742.0,0.2383053839364519,32.0,41.0,5900.0,191688.2297173304,271517.540889724,392523.2716356481,157030.35574058618,194009.16710360264,257120.9505052947,295391.14989952696,367786.375507286,0.9894151949999026
21,2019-10-31,275736.0,0.1990610328638497,41.0,41.0,5000.0,192352.5008955887,270883.4886704041,394448.67582034826,158553.83849749932,194395.7996605108,258083.2003632465,296919.2327854347,370509.67347042094,0.9838369641602248
22,2019-11-30,271408.0,0.163135593220339,45.0,41.0,5000.0,192828.5654905984,271307.3641525562,395863.4560133632,160161.8983450051,194613.75823325824,258787.21576712743,297970.0631820687,372471.0568543061,0.9821428571428572
