,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,245000.0,0.1332453825857519,,14.0,5000.0,182266.41876831147,261107.7634310892,389204.11804257566,114867.11124422548,189961.6885560077,239960.22674219983,279880.5065687652,350395.57986869937,
1,2018-02-28,229175.0,0.121761658031088,,20.0,5100.0,181761.1775579527,260022.39179867064,389051.2828095935,114274.65772649454,189225.11070694923,239524.5397223608,279623.13114604977,350347.2714346382,
2,2018-03-31,245000.0,0.1443914081145584,,31.0,5000.0,181840.2936750225,261812.59964253107,389895.0466381318,114091.32354950633,188965.7281796462,239486.94130328143,279891.5833531112,350779.59365643404,
3,2018-04-30,257400.0,0.1790055248618784,,33.0,5000.0,181865.79249534823,262968.3195425487,390634.27523519314,113856.88640936732,188899.4861081024,239438.8431834421,280163.5231317071,351223.1349035233,
4,2018-05-31,260000.0,0.2233502538071066,,32.0,5000.0,182130.86650488805,264761.1567021069,391635.1736412903,113775.9317592521,189189.4994960984,239761.8594385616,280618.2926891301,351833.05744883465,
5,2018-06-30,253450.0,0.2295081967213114,,26.0,5100.0,182092.62236423136,265796.0663029816,392050.5063030829,113569.40341356328,189157.93773478337,239769.3459712372,280701.11830765614,352161.7484178045,
6,2018-07-31,258500.0,0.2507204610951009,,21.0,5100.0,182373.1760254236,267476.05138173566,392504.8051197038,113707.40909467528,189455.70242607943,239940.24634976804,280908.30944615643,352506.70350800385,
7,2018-08-31,260000.0,0.2120343839541547,,16.0,5100.0,182419.25763822976,266445.0149982659,392328.8411225174,113717.93964019656,189383.0731003212,239663.07053970228,280827.18385396124,352417.9883930387,
8,2018-09-30,238000.0,0.2382775119617224,,23.0,5001.0,182363.08010649064,265673.6582334299,391986.1859750571,113440.58128257956,189066.15797421164,239257.11449012585,280643.6894221349,352315.73945566564,
9,2018-10-31,224950.0,0.2069317023445464,,19.0,6000.0,181950.80699374265,264066.5460808428,391145.3967642008,112895.04778569638,188185.3447972753,238479.7597105522,279953.64794868854,351809.07089603686,
10,2018-11-30,229000.0,0.165058949624866,,12.0,7000.0,181581.6694873334,262029.13756152827,390394.8365763013,112372.0181065843,187316.74843720347,237615.7573902573,279122.6120307956,351438.1748993834,
11,2018-12-31,210000.0,0.0846625766871165,,7.0,5900.0,181244.96674166387,260536.17117834988,389624.898536932,111871.60888957157,186688.55139773816,236891.2233292373,278300.8364680734,351036.2510116506,
12,2019-01-31,265000.0,0.1458852867830423,,15.0,5000.0,181192.1191768181,259875.95070343863,389545.9347785893,111675.5232333789,186714.4145759514,236636.42880716184,278016.94569601555,351309.41599349753,
13,2019-02-28,238000.0,0.118925831202046,,18.0,5000.0,181453.15574989244,260474.8277929136,390521.897374802,111840.90259084255,187112.0731422117,236990.40694909115,278524.7677894664,352519.9022114259,
