,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,400000.0,0.1337420242712373,20.0,71.0,11000.0,303471.39853444806,461630.3062109056,759044.9478534668,344202.30416373553,365709.36865053367,438279.56607034616,589630.6874730388,842909.0297751782,0.9730244320517366
1,2018-02-28,387000.0,0.1124530021647487,10.0,72.0,14000.0,305456.06480536674,462451.04045117,762717.8226037499,346451.41004273354,367986.100502525,440815.5739574561,592499.1222658996,846878.8640933797,0.9727285633382317
2,2018-03-31,405000.0,0.1191526073619631,9.0,75.0,15000.0,307783.83458703454,467342.562503698,767115.5998031182,349518.3554917699,370689.555337638,443712.679404139,595826.9660398029,851544.8898005881,0.97979313013042
3,2018-04-30,430000.0,0.1519382263473987,7.0,76.0,19500.0,309959.72472737124,472871.92450133,771897.6267113172,352672.1409431289,373205.3645526898,446511.7122543114,599197.883404561,856742.6341553802,0.984723126476444
4,2018-05-31,442000.0,0.1925214094266849,8.0,72.0,20000.0,312154.1342418168,479877.66140747047,777371.8746050693,355823.420482625,375747.4595297017,449444.38793192623,603019.0335482953,862900.3414773637,0.9865485334011854
5,2018-06-30,465000.0,0.2130421019309908,8.0,65.0,15100.0,313920.61171119084,486589.711372049,781937.6122357375,358032.9757273924,377814.66246794094,451947.02105580905,606352.8896093168,868341.2120099462,0.9882657700593942
6,2018-07-31,460000.0,0.211442301448146,12.0,62.0,15000.0,315879.74177111575,491982.6585450053,785968.0130647031,360248.4765751982,380196.6891355778,454516.2185261769,609696.4420056569,873093.7650410128,0.988980520001743
7,2018-08-31,450000.0,0.2099395567494963,13.0,59.0,14000.0,317589.2113610506,493209.6042036665,788983.8967871726,361963.3909894652,382276.73482266377,456537.3339160372,612302.2030245854,877007.1001413941,0.9874829940711894
8,2018-09-30,415000.0,0.2633528866934239,12.0,55.0,15000.0,319151.7004980252,492770.8295473801,791549.0637530504,363600.988126731,384113.0290268813,458216.8513539128,614507.5225506154,880355.4052511841,0.983160239187011
9,2018-10-31,417300.0,0.2751710359024036,15.0,49.0,15000.0,319912.4462640819,488894.7720666394,792325.4942641492,364467.6816579108,384937.3218308801,458781.0977119128,615191.2657988333,881853.0716692352,0.981806969859916
10,2018-11-30,425000.0,0.2164750957854406,25.0,47.0,11300.0,320376.0309786227,485544.55923005857,792377.181619339,365303.07923077326,385438.2752711548,458932.3312299943,615326.1607471702,882529.8992798403,0.9782211752698796
11,2018-12-31,410000.0,0.1266399925560621,33.0,55.0,10000.0,320451.4605842467,481640.06537519576,791217.4298395184,365766.1169825986,385458.3277291026,458482.1168183704,614461.7176953536,881615.9800338565,0.9758829842411776
12,2019-01-31,420000.0,0.1779959958051291,25.0,65.0,10900.0,320693.84230713994,477857.24590581504,790399.6907444829,366156.23631955805,385653.5836140034,458257.7105971988,613928.4330458812,880870.6280475195,0.975691852264233
