,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,147500.0,0.0968,94.0,34.0,10000.0,83921.57444085901,144213.95882097082,258998.1770105085,63485.74983950035,96968.57843365688,140965.8745397055,205056.30848175983,310957.54736480134,0.9765418606348816
1,2018-02-28,147000.0,0.0863708399366085,82.0,34.0,9000.0,84471.058880142,144326.49908435752,259211.0042727804,64048.68491021917,97457.094377716,141651.58892545916,205766.31327676983,311648.4323626625,0.9754744281611646
2,2018-03-31,140000.0,0.1269146608315098,42.0,41.0,5100.0,85257.91222409603,145812.06776675498,259862.94090784,64709.027833810425,98184.93718148896,142480.58297173056,206627.7570786165,312403.59106389823,0.9803591999975672
3,2018-04-30,138600.0,0.1071203528670447,23.0,48.0,5950.0,86018.3935715418,146682.15959674743,260503.39963752715,65371.35212205846,98962.01143091913,143099.34226929562,207254.35095452663,313030.71157769935,0.9814716929355732
4,2018-05-31,149000.0,0.138283378746594,29.0,45.0,7500.0,86455.09408446767,148308.76893403105,260977.62741445107,65696.28521095135,99471.6654860864,143503.74931778965,207732.8436265436,313728.46732768463,0.9816203798037882
5,2018-06-30,145000.0,0.165785997357992,48.0,40.0,7600.0,86473.83135935817,149431.25177184504,260977.33683254253,65696.0283339054,99663.84495144244,143543.84576311905,207922.3701306909,314455.42822542414,0.9865063912196984
6,2018-07-31,140930.0,0.1582781456953642,53.0,39.0,7000.0,86740.60812589261,150607.43875569355,261587.70269994484,65942.28143282338,100107.41133690078,143936.85960189684,208865.12244448063,316300.1117125752,0.9805917591672946
7,2018-08-31,141352.0,0.1692415730337078,50.0,39.0,5900.0,87433.55246334952,151921.32174358924,262625.4062056483,66511.7898078968,101106.42219277222,144813.26447027535,210448.9303773205,318723.7434225167,0.981583410448527
8,2018-09-30,149750.0,0.1380301941049604,65.0,36.0,5100.0,88503.23120764345,152939.54616841843,263906.1330195163,67286.4177810113,102480.19204355765,146175.70634391,212233.25818298224,320881.0943575133,0.9829910953061248
9,2018-10-31,144950.0,0.1737536656891495,59.0,34.0,6000.0,89464.69134970878,152791.2116725258,264716.0611877388,67848.92772485419,103697.95441318056,147413.881907097,213672.0938445575,322562.43976198294,0.9783207636820246
10,2018-11-30,140000.0,0.1466458658346333,89.0,36.0,6000.0,90353.09994482656,152851.40031488214,265502.8424962768,68420.02497938089,104655.10825326967,148541.28789106171,214910.89892606376,324356.2722478336,0.9739740418068894
11,2018-12-31,139900.0,0.0826377295492487,80.0,39.0,5800.0,91439.1556218018,153566.31377439605,266819.7804823109,69271.2901427989,105696.92468729282,149671.5329799998,216426.4029643427,326840.167451742,0.9750713059039356
12,2019-01-31,175000.0,0.1095435684647302,76.0,43.0,5000.0,92822.3670491772,155094.34983899875,268984.0076742491,70288.97791942199,106929.21276586653,151077.02941759405,217549.27959309696,328618.26182785776,0.9759568476160724
13,2019-02-28,144982.0,0.1118421052631579,58.0,42.0,5000.0,94561.84958302647,156643.57072751637,271897.7500311776,71368.95409738774,108485.77539912802,152774.410196298,218685.42402593416,330506.7059333893,0.9756350685921086
14,2019-03-31,147000.0,0.1386061080657791,41.0,43.0,6000.0,96219.08338712012,158186.68285122173,274592.3181048931,72287.61621863102,109920.16280558276,154378.83724394473,219374.2663706797,331974.0182482472,0.9768867474962591
15,2019-04-30,144500.0,0.1562740569668976,31.0,44.0,5100.0,97624.5308392347,160177.43905355496,276884.0705325531,73061.95370376362,111214.13155463086,155720.86012685698,220263.5575905328,333826.37894900894,0.9834558685751246
16,2019-05-31,150000.0,0.1849056603773584,32.0,43.0,5100.0,98419.52642688902,161785.58429038775,277941.38874576375,73502.84856351715,111920.06520356852,156248.14297638182,220412.91074639672,334474.2007663671,0.9812179616219376
17,2019-06-30,150500.0,0.1909361069836552,48.0,40.0,6000.0,99031.25884745744,164191.83688619183,278886.99260689487,73834.90999193344,112517.61591177656,156640.59738709204,220651.5299442024,334945.8955507518,0.9828622043695848
18,2019-07-31,164000.0,0.1702763256161314,61.0,39.0,5000.0,99557.41669327609,165445.5596157443,279363.3062256801,74196.63723600836,113040.17629678488,156972.51097701187,220729.62750025373,334946.0022197711,0.9805045609964692
19,2019-08-31,151277.0,0.1772525849335302,48.0,41.0,6000.0,99587.4635589627,163924.6468892133,279039.7278727069,74160.66316424211,113090.61973038204,156995.37521415224,220491.59355781824,333782.7176737622,0.9802446856167298
20,2019-09-30,152000.0,0.171912832929782,37.0,42.0,6000.0,99493.97175421652,164146.06701015835,278282.92013260536,74092.2491631164,113033.34506005191,156941.7671907449,220089.1470102513,332094.2671338364,0.9814561643963456
