,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,185000.0,0.1066147859922179,95.0,31.0,10000.0,85951.63300420267,174482.83904759784,406488.1865346315,136210.6833448737,139237.98092986664,170779.0712118641,293461.3871119392,588032.7231764897,0.9782322033815484
1,2018-02-28,200000.0,0.1127272727272727,39.0,32.0,10100.0,85975.50229076493,174296.34984584228,408176.12046939,136910.46059852533,139954.46902823602,171665.05211638962,294829.0574050254,589720.9668311807,0.9755416319736998
2,2018-03-31,220000.0,0.1272850372376438,33.0,33.0,10000.0,85736.07036262592,175227.73033266945,408496.6881894145,137633.76229617736,140481.13717595531,171929.35363225618,295132.29564221675,588985.4892443808,0.9790919991942908
3,2018-04-30,200000.0,0.1492829204693611,47.0,32.0,10000.0,85850.49963658693,176592.49158166625,408937.1074145176,138388.26082880134,141184.25590594413,172143.38656220716,295384.45208757045,588499.8793116016,0.9783872683123992
4,2018-05-31,209000.0,0.1339343206696716,56.0,31.0,9800.5,86166.63343707118,178309.83284905704,409674.1324791292,139063.90144776437,141759.96690420396,172234.7745675972,295534.2531082348,589392.9452005137,0.9816143545260936
5,2018-06-30,191500.0,0.1460234680573663,69.0,29.0,10000.0,86400.15052985847,180006.9369796939,410449.3698399015,139459.14544298817,142168.2945986788,172419.37928535524,295868.0404885938,591138.5428711647,0.9828013026344984
6,2018-07-31,215000.0,0.1476063829787234,54.0,30.0,10400.0,87087.68981556187,183224.97541139228,412722.66362632514,140507.98769120115,143142.0839199083,173245.8298313895,297188.45150310657,595261.3140174557,0.9803680353991628
7,2018-08-31,204950.0,0.16,93.0,28.0,10000.0,87735.22921172797,183987.085975426,415577.2109800778,141764.3705427449,144311.04623232258,174279.46841079273,299017.3006990784,601019.1991334651,0.9814030723460996
8,2018-09-30,230000.0,0.1565914056809905,68.0,26.0,10000.0,88802.09458274786,185978.1095771225,419463.3085998655,143505.10392113135,146063.27480913143,175891.63152392046,301481.8285639115,608022.536964878,0.9811825403011492
9,2018-10-31,195500.0,0.15703125,62.0,27.0,10000.0,89528.25507291262,186416.23136556504,422306.4222947373,144767.1928835048,147464.8422869489,177157.98982904968,303366.3524171984,613044.4740831717,0.980209426204632
10,2018-11-30,182650.0,0.114859437751004,69.0,27.0,10000.0,90588.72117180756,187386.87907617007,425327.2174183515,146045.3412730293,149169.51202445038,178840.8762217009,305502.9277473825,617327.2684718794,0.9781873603002316
11,2018-12-31,184950.0,0.09006734006734,102.0,27.0,10000.0,91485.5589061778,187850.42998251045,428440.6781219136,147195.17468069866,150598.07845858415,180343.6540196089,307671.1780785317,622128.0185367999,0.9817452235717342
12,2019-01-31,217500.0,0.1501191421763304,84.0,31.0,9500.0,92799.28952788832,187492.005843472,431118.44489325857,148621.80335577743,152083.7195939374,181761.03262743392,309367.860073665,625598.7638966335,0.9756772665327
13,2019-02-28,194500.0,0.123076923076923,74.0,35.0,10000.0,94193.19562461128,187642.88576654057,433048.4230103563,150090.83808031515,153414.8321659305,182781.3981063019,310570.7841762383,627124.1960324583,0.9797043185381932
14,2019-03-31,195000.0,0.1419019316493313,62.0,35.0,10000.0,95576.61143329435,188139.75195399483,434354.5483351758,151466.17793513063,154427.14642330553,183345.0616843397,311094.5366455275,626929.7648303474,0.9785152809190948
15,2019-04-30,227000.0,0.1398243045387994,56.0,32.0,10000.0,96354.57058194156,189424.7897200228,435805.1362655849,152530.31180411763,155175.06367735888,183797.2914709552,311685.52179984906,627638.0505163263,0.9825124970695516
16,2019-05-31,214450.0,0.1741038771031455,45.0,31.0,10000.0,96615.67953723473,190333.5013286364,436574.6079345684,153128.01380275853,155332.75554156298,183840.9763881128,311811.9688476145,628311.5493370945,0.9845702538242518
17,2019-06-30,200000.0,0.1716641679160419,65.0,30.0,10000.0,96526.86258925706,191722.5552488014,436467.5896945268,153398.85284550258,155468.05541594813,183909.87920158697,311693.4262592482,627981.9391616967,0.9845831909515396
18,2019-07-31,190000.0,0.1705246913580247,84.0,32.0,10000.0,96365.14051277773,193283.61898134745,435926.88654638414,153611.53771690183,155647.86075263485,184048.56532004604,311444.21029085555,626413.4098285985,0.985288232602626
19,2019-08-31,213250.0,0.1623119556611243,83.0,32.0,10000.0,96385.94443440656,194049.0353792546,435254.78452682105,153861.8138350964,156061.4600920182,184520.49551834151,311334.1332505409,624284.1677040157,0.9832942996568176
20,2019-09-30,231250.0,0.1606837606837607,82.0,31.0,10000.0,96621.1491678656,194665.40061286383,434891.6030673008,154081.2414467833,156547.04150171345,185169.82098771687,311589.0414624229,622408.3427205059,0.9837952185383696
21,2019-10-31,220000.0,0.1666666666666666,83.0,31.0,10000.0,96969.47118516536,195217.4168987877,435167.5268082178,154552.88663839933,157113.12706793283,185906.771986099,312220.50065232307,621425.1331324377,0.9786889755578706
22,2019-11-30,227250.0,0.1412380122057541,62.0,32.0,10000.0,97222.61349241003,195646.1150025619,436492.3607572936,155325.7814707211,157911.95661829843,186953.7653183902,313593.00297713623,622079.5731039009,0.979377771949064
23,2019-12-31,229000.0,0.1049723756906077,71.0,36.0,8900.0,97623.8595103666,195801.71806142968,438473.533413126,156398.6702972574,158894.20239492648,188156.4197472561,315352.54017505323,624406.0236959452,0.980713706749802
24,2020-01-31,253750.0,0.1499556344276841,87.0,36.0,10000.0,98012.24643218126,195675.6960645117,440504.4804486497,157521.7971322917,160023.0561244686,189433.00797150083,317107.1776607901,627723.4926983819,0.982639598385836
25,2020-02-29,233975.0,0.1898839137645107,69.0,35.0,10000.0,98839.72862782696,196325.05229525387,442710.9667300139,158747.9246820036,161268.5936911661,190645.768951125,318682.06002277794,632062.169544574,0.980483623204353
26,2020-03-31,235000.0,0.1201000834028356,63.0,34.0,10000.0,99903.781382753,197913.3614170946,444360.51833738206,159837.24010111982,162451.63805467737,191834.3145052062,319895.0752945538,635445.6695118056,0.9868300231394376
27,2020-04-30,220000.0,0.1022727272727272,66.0,38.0,10900.0,101114.44873836318,198916.22175904064,445292.01193166274,160499.19316198438,163189.17329107167,192635.96461073743,320721.3042992495,637440.0446558512,0.9865436697255052
28,2020-05-31,215000.0,0.1270903010033444,87.0,40.0,10000.0,101795.171930016,199936.99026800817,444805.2039033549,160834.95471937838,163328.32947109468,192872.3802093097,320631.8133506472,636567.3688489822,0.9853899993079684
29,2020-06-30,250000.0,0.1484823625922887,92.0,42.0,8500.0,101814.15442757728,201146.18344273328,443847.6041875439,161168.19312717253,163190.35000427277,192818.87211912745,320252.56520160567,634199.5496809649,0.9895020472445856
30,2020-07-31,257750.0,0.1347331583552056,64.0,43.0,10000.0,102063.41724801016,203851.04776206097,443908.5490870132,161799.37335799527,163555.8183201816,193322.715920802,320586.33401031053,633348.9863436782,0.9898981184043272
31,2020-08-31,272500.0,0.1429915333960489,83.0,42.0,,103107.71812878484,206466.68650156487,446021.5188522624,162669.28222160714,164544.77279836847,194676.9160849536,322301.6084273169,636159.6339877952,0.990978760983354
32,2020-09-30,279160.0,0.130901287553648,37.0,41.0,10000.0,105216.39199020302,209631.98274281583,450632.2019290204,163846.8197608292,166380.17247196086,196846.89834608205,325385.014491997,643362.8340823809,0.9912309573009628
33,2020-10-31,309900.0,0.1440281030444964,53.0,40.0,,107586.15520117478,211884.10659617893,455621.93587289937,165224.4153698962,168540.8635214082,199349.8566619768,328758.6474508683,651828.3553606147,0.993139467482731
34,2020-11-30,274000.0,0.1256476683937823,52.0,41.0,7100.0,109677.43344271778,213898.8435023036,461678.6382299519,166848.58607077904,171086.34512275344,202106.8277333208,332820.58598136005,662635.0566969207,0.9909716182582398
35,2020-12-31,266000.0,0.102127659574468,28.0,48.0,7600.0,111211.5217664818,215181.97735556416,467672.6798817183,168354.71380826805,173389.76996244804,204738.4350634852,337190.560395859,674693.4359601173,0.9935417585089418
36,2021-01-31,257450.0,0.1038961038961039,45.0,56.0,10000.0,112618.23289500266,216547.8599527988,474453.4659813872,169766.3231438649,175594.68375554928,207324.2872853564,342175.7175058742,688559.4705904189,0.991248006655748
37,2021-02-28,249900.0,0.0658682634730539,26.0,63.0,10000.0,114294.70227239192,218987.29309500585,481260.488260417,171627.92979361923,178029.3165198847,209975.9619015485,347231.6410897615,701832.9589491198,0.9904993806884244
