,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,113000.0,0.0550161812297734,,33.0,,64212.34079512197,100591.12066644173,172673.19729124694,,77912.06566442623,114224.80713555712,145271.00945872685,177369.47288653217,0.9732199256503468
1,2018-02-28,108560.0,0.0608108108108108,,33.0,,65203.93244595604,100277.3471346665,174261.17627598546,,79562.24504344922,116406.28731264574,147979.01023091457,180351.83781628736,0.9773665144997014
2,2018-03-31,119000.0,0.1266666666666666,,29.0,,66603.16871769638,103600.04960315616,176973.06946738795,,81318.1509934865,118736.79810349566,150936.53563083222,183576.00675218893,0.9813461122025272
3,2018-04-30,123000.0,0.1314102564102564,,29.0,,68567.14757886993,111204.64487157638,,,83850.50027548052,122157.42581082422,155487.36934566576,188668.1807080817,0.9862158400355244
4,2018-05-31,107120.0,0.1123595505617977,,31.0,,71168.18150197742,118386.70059679072,,,86956.9810690097,126244.31511089572,161066.38553622834,195282.8988677068,0.9916839192748538
5,2018-06-30,134000.0,0.1306413301662707,,31.0,,73785.19092970884,124145.00827704364,,,89880.10458148923,130117.66538835142,166504.76044589808,202130.86708581995,0.9939165547134198
6,2018-07-31,116000.0,0.1638141809290953,,27.0,,76521.26691133196,128918.24443487076,,,92053.17427684068,133027.10444472384,170311.84634227236,207110.5642104583,0.9920515124356918
7,2018-08-31,115000.0,0.1732673267326732,,27.0,,78528.70996359922,130660.53803159046,210922.1088715868,,93330.76380193734,134681.24212629095,172418.90691275243,209840.22852389017,0.9895570832827356
8,2018-09-30,122250.0,0.1322751322751322,,26.0,,80058.47171805316,132749.03016031455,214209.51834330647,,94294.15331814787,136019.35674768477,174163.54749255386,211796.52852724527,0.9846187340259868
9,2018-10-31,125900.0,0.15625,,23.0,,81162.36333755656,135823.49089276337,217597.785135373,,95118.582689807,136924.68412859354,175676.53479290803,213461.21876200684,0.9785753513231786
10,2018-11-30,137700.0,0.1073825503355704,,23.0,,83063.90890590145,138755.56350999782,222893.08841253785,,96486.43313122432,138480.4700233494,178149.40544277386,216215.5917218701,0.9780576890667227
11,2018-12-31,144500.0,0.097165991902834,,27.0,,85448.18817949924,142874.9662529915,230220.37514021943,,98280.96316058906,140377.46234630232,180921.9364707017,219256.3474386916,0.9751694635380346
12,2019-01-31,82000.0,0.1393442622950819,,32.0,,87159.81867198621,140398.1235318058,235830.27005599768,,99088.56807441173,140552.81450801087,181132.29764890808,219700.392885772,0.97328122867896
13,2019-02-28,121025.0,0.1093117408906882,,34.0,,87826.92180561273,138092.7605785583,239040.59679379748,,99021.85931776196,139410.3899794483,179154.37458972994,217714.75017079464,0.976388625304616
14,2019-03-31,120000.0,0.0887096774193548,,41.0,,87920.307417953,139671.44349486535,239642.8657138473,,98430.94416838432,137526.0928755612,176026.98691149443,214593.7998442854,0.979482125574462
15,2019-04-30,100000.0,0.0950704225352112,,45.0,,88730.93112114909,143762.6726867633,241003.50483871263,,98539.81291490135,136956.93453075577,174828.1882540524,213336.91124081632,0.986080219671152
16,2019-05-31,125000.0,0.1085043988269794,,42.0,,90216.05190882068,148582.56809467182,242859.0533218278,,99051.15907697532,136899.33983226595,174407.19919635847,212937.01509499087,0.9893359809140656
17,2019-06-30,148300.0,0.1492146596858638,,31.0,,91295.66235304569,151164.3821765572,244267.9246879404,,99420.50263427588,136713.48663426988,174009.32511243012,212529.60414544863,0.9931688580254178
18,2019-07-31,132250.0,0.1725,,29.0,,91405.82496197292,152026.13611413733,244763.8379986848,,99509.2764903278,136373.15867423822,173399.83946095422,211841.723572653,0.9922643313145836
19,2019-08-31,165000.0,0.1947743467933491,,29.0,,90587.75591892184,151931.82594638522,244497.31907124605,,99295.92865537324,136033.39673799093,172964.86802798597,211429.55262027032,0.987105726049612
20,2019-09-30,120000.0,0.1679012345679012,,30.0,,89514.92600452098,150734.63458077348,244150.5894726893,,98993.36085058143,135893.41261930272,172822.89392971736,211344.1565242544,0.9863152783853236
21,2019-10-31,122500.0,0.1475409836065573,,28.0,,89258.82815291442,151362.2602072715,244649.6835229937,,99068.92027113464,136257.29191080964,173266.60563947275,211978.1173629849,0.9827372003602562
22,2019-11-30,129900.0,0.124223602484472,,25.0,,89444.93210902707,149363.36152899367,245524.3396847869,,99412.05951839512,136893.875230231,174042.053563874,212988.9513497409,0.9795697335860184
23,2019-12-31,102000.0,0.0985401459854014,,28.0,,89873.88480072499,147337.90547354278,245958.68278349936,,100026.31328681223,137673.33540510206,174877.20972779547,214047.2838809636,0.9790244987607484
24,2020-01-31,136000.0,0.1031746031746031,,31.0,,90668.66422447877,147580.98507507105,246985.20730254924,,101200.98960955108,138667.25865455155,175720.20070775223,215071.79071883264,0.9723703246008496
25,2020-02-29,146000.0,0.1069958847736625,,41.0,,93030.52720724084,150271.2487879079,249855.6843030992,,103344.03831386076,140392.95797725642,177242.56888014553,216630.3577705428,0.977934751746928
26,2020-03-31,137200.0,0.0923076923076923,,41.0,,96491.6526610551,152370.04789210242,253983.3098273727,,105832.8980633174,142383.97382209453,179010.9469891213,218440.4023541937,0.9850784906316458
27,2020-04-30,146000.0,0.03125,,46.0,,100518.26761744409,157155.77646944902,257531.5292965612,,107874.71988629091,144002.88468081938,180560.5640643819,219809.8307063491,0.98881574798713
28,2020-05-31,185000.0,0.1195219123505976,,45.0,,103142.14179404936,160098.59592424936,259167.2848709875,,108814.47566342384,144640.99845614634,181031.699837956,219787.9354617021,0.9857074035738232
29,2020-06-30,136000.0,0.1080139372822299,,54.0,,103665.18406153897,158101.2989491878,258471.23897805857,,108212.04015464585,144237.0810553702,180971.9757178221,219075.6954608176,0.9943043609935704
30,2020-07-31,147100.0,0.0729166666666666,,63.0,,103050.036243746,159287.9848007597,256936.11864884256,,107005.49531536236,143688.34333826916,181118.93903399687,218804.2991019192,0.9958435815705928
31,2020-08-31,165375.0,0.1204379562043795,,62.0,,103009.3593997052,162603.77087844568,256452.95693221813,,106036.98866177056,143658.03743410864,182116.8359193736,219751.5620065084,0.9937493966709128
32,2020-09-30,150500.0,0.0941176470588235,,62.0,,105305.70048787235,166797.5946993241,259078.05452583064,,106792.2921279301,145146.83004931055,184461.39979226995,222404.70205074843,0.9951916872495464
33,2020-10-31,148050.0,0.1393939393939394,,67.0,,107835.72914568502,166608.67595427757,262166.8096626909,,108310.46976249856,147363.24431440144,187563.57906642056,226028.21983359507,0.9982116982438264
34,2020-11-30,148000.0,0.0845070422535211,,88.0,,109750.72251561184,165942.42043481508,265249.4978267479,,110494.48918465804,150294.93789422853,191488.1417755625,230421.0074365847,0.9974796425922332
35,2020-12-31,149900.0,0.0521739130434782,,86.0,,110031.71630131826,163668.58453300913,267455.4869828263,,112603.7792687363,153220.26088103885,195652.8396687243,235049.977454157,0.9949339903311656
36,2021-01-31,123000.0,0.0526315789473684,,83.0,,110517.43560880788,163610.13191083816,270567.4261616557,,115052.96975241578,156508.47804479836,200231.85893592125,240099.38270333203,0.992790926346491
37,2021-02-28,145450.0,0.0495049504950495,,86.0,,111911.85295839132,165396.57160763693,274596.7725700226,,117716.17027175134,160177.8581738984,205401.1563300417,246115.0818958509,0.9949564355388192
38,2021-03-31,165000.0,0.0775862068965517,,101.0,,114021.9280986499,167489.07348045558,278966.29032980354,,120709.05314763996,164214.21891079974,210730.4580034192,252216.617317896,0.9981186447152216
39,2021-04-30,166950.0,0.0666666666666666,,95.0,,115560.1094195488,171582.8223926888,283649.31654312694,,123545.12353032858,168077.62960962186,215808.6324071658,257989.34122009808,1.004724414320591
40,2021-05-31,168000.0,0.0839694656488549,,85.0,,117188.0906072414,179581.81245903793,288774.81899367,,126293.3764909426,171622.81597125836,220296.2553806448,263141.0424350028,1.0110547711277025
41,2021-06-30,168000.0,0.1233766233766233,,81.0,,119266.19100332331,185949.5351524084,294414.1597506343,,129013.4681369788,174814.85394525086,224148.0373712853,267572.0259047156,1.0145531724039103
42,2021-07-31,200000.0,0.1693989071038251,,86.0,,121254.28583012716,187465.64444630625,299132.0111713377,,131568.5449609019,177809.2042837231,227839.55016764672,271429.77586116083,1.0085806658546732
43,2021-08-31,171500.0,0.1777777777777777,,80.0,,121356.88832819156,186041.94545640965,301379.507186922,,133505.24180214887,180083.24845853852,230895.4101605901,274395.0509427071,1.0023921857701212
44,2021-09-30,210000.0,0.2,,70.0,,120624.37678866777,185241.12107966864,302154.0197601809,,135014.36791374444,182011.67456770115,233662.3043347562,277151.22994050506,1.001297063410273
45,2021-10-31,155000.0,0.1826923076923076,,58.0,,120274.84955386272,184602.6321879229,302520.1646352668,,136167.54802802205,183497.07753983885,235887.720685508,279746.8595787159,0.9991513949783302
46,2021-11-30,185000.0,0.1666666666666666,,54.0,,121794.08863755628,185975.69045589457,304430.66688946803,,137707.90188659143,185461.4775822853,238579.3891469933,283059.1623547642,0.9987134740539618
47,2021-12-31,175550.0,0.1015625,,60.0,,123823.7135191291,185354.9390229347,306623.24592275097,,139194.71375763862,187496.127255072,241454.20999195604,286604.25090473937,0.9971487006973098
48,2022-01-31,195750.0,0.1492537313432835,,70.0,,126142.76334562324,186549.41043093224,310605.89582346857,,141149.2935115511,190420.8831080629,245388.35404589365,291767.819640225,0.9967018680342687
49,2022-02-28,160000.0,0.1037735849056603,,89.0,,128141.70327829209,189631.8012674752,315857.38068378274,,143862.5725103485,194383.5525275519,250520.59658607704,298324.2360268008,0.9990778680185354
50,2022-03-31,178500.0,0.094017094017094,,104.0,,129649.9232781076,192319.48514774573,322167.2773421628,,147105.04854144345,199120.9790749523,256598.53493157515,305924.12931322854,1.0046443873491082
51,2022-04-30,148950.0,0.1641791044776119,,106.0,,130239.90193562546,196622.2483790139,327877.2278320183,,149981.81557269918,203214.0509924316,261883.4202355137,312255.00549715,1.0129240167551603
52,2022-05-31,185000.0,0.1643835616438356,,80.0,,129668.32043897134,198980.13953193,330803.7976432178,,151363.69821389206,205389.196185446,264950.20812469284,316085.9556772127,1.0174837257200002
53,2022-06-30,182000.0,0.2024539877300613,,65.0,,128829.46210084677,201429.7776909629,332365.837441239,,152206.95916558805,206662.2319569905,266785.40671227867,318464.5026341484,1.013937745241165
54,2022-07-31,189900.0,0.2524271844660194,,61.0,,128310.0935678165,202553.6217011109,331584.9308504139,,152809.74772325126,207154.9928535466,267167.79386014264,318941.5873280041,1.0015898480622756
55,2022-08-31,160000.0,0.25,,60.0,,127389.07649554848,200146.03167089555,329914.821569726,,153112.85278734882,207223.89403051927,266949.2167664652,318569.147810554,0.998277076962224
56,2022-09-30,185000.0,0.2075471698113207,,54.0,,126941.51184281554,199280.27877608,327564.5061107829,,152898.96745936642,206623.10703978705,265912.7157891004,317102.87034008064,0.9964011598344672
