,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,256000.0,0.1423357664233576,,48.0,,211714.4729559184,295852.84021462314,423013.93003752007,150456.00236759215,179133.63415111,255796.2974535088,340671.78320000594,408363.89479907975,0.9819114129107364
1,2018-02-28,264000.0,0.1436077057793345,,49.0,,211160.4072707283,294227.93206389976,422105.6082727472,149813.48194446944,178744.49200916642,255804.887809068,340926.32456674,408136.6906868676,0.990882872652186
2,2018-03-31,249950.0,0.1573604060913705,,50.0,,210904.80883635583,295613.2599047288,422147.2621446834,149108.79935803323,178533.58303255646,255871.8021177717,341517.8478242131,408462.9645242182,0.9895603614347964
3,2018-04-30,277400.0,0.1443932411674347,,50.0,,210914.6716243701,297468.9711400617,422636.59727897216,148907.33194521783,178496.8141052609,256011.0022803432,342049.2910306749,409021.9512275429,0.9958081478482572
4,2018-05-31,282200.0,0.2322485207100591,,52.0,,211365.34064008,300248.82923679624,423837.3773231203,149772.14942428746,178881.799642605,256496.8009289569,342974.502041983,410296.8156399653,0.9950541499382562
5,2018-06-30,264900.0,0.2147147147147147,,53.0,,211914.4163464105,302833.6567666283,424946.7788599466,150386.91244856527,179247.62653079125,257155.04710938525,343971.05263046897,411659.5456190895,0.9986493847163675
6,2018-07-31,275000.0,0.227994227994228,,54.0,,212852.91577467296,305112.1989582577,426257.3939099265,151218.6708274842,180126.83367348663,258217.65563679417,345020.0058149316,412864.5866875008,0.9989092129225706
7,2018-08-31,280000.0,0.2763358778625954,,53.0,,213986.1034667959,305892.0723347173,427644.3547945707,151710.2182196137,181313.7168286509,259190.56110898653,345804.6594361684,413886.59675582335,0.9895800184502532
8,2018-09-30,276500.0,0.2176759410801964,,52.0,,215171.7376395632,306151.8875111304,429013.8408991678,153166.51639317124,182935.7478466065,260160.75677350248,346500.2405258608,414815.8878544399,0.993027130334172
9,2018-10-31,265000.0,0.2704918032786885,,52.0,,216455.67978919312,305357.2360734399,430550.4837762751,155127.38024940624,184690.4250598432,261256.26349129635,347523.5704226273,416341.0025841874,0.9910875059729548
10,2018-11-30,259900.0,0.1566484517304189,,51.0,,217413.80818724388,303459.7069585526,431345.42961506656,157112.0782598978,186114.1655500804,262264.41487510654,348379.4905916472,417564.3060290031,0.99032076192305
11,2018-12-31,258000.0,0.1588983050847457,,52.0,,218042.13143832187,302425.29589766724,431607.89753349015,158378.39884147057,186914.3098864765,262917.0610595018,348807.62793082587,418242.3974469877,0.9892664370295547
12,2019-01-31,266500.0,0.1910828025477707,,54.0,,218508.0289941742,301701.179743392,431487.716904874,159316.17960399753,187158.6041613424,262946.9581090271,348691.7673660294,418009.7938273057,0.9896188476621828
13,2019-02-28,258950.0,0.1623246492985972,,57.0,,219211.67332117257,301839.6488027542,431922.60500373336,160175.94760639727,187209.9722272032,262978.6795294404,348699.3394884624,417577.48617301096,0.9918490914041884
14,2019-03-31,269900.0,0.1594202898550724,,59.0,,220475.3333168376,304077.15065044945,433048.64249525726,161017.92255755948,187396.16708665912,263228.5556737618,349040.4827914506,417321.2262983899,0.99262144970641
15,2019-04-30,265000.0,0.1813559322033898,,59.0,,221835.911517864,306518.8817824197,434323.6465156235,161787.4308477048,187861.6338790297,263795.2123074353,349632.05349922524,417547.4475236954,0.9969696969696972
16,2019-05-31,279900.0,0.2143974960876369,,55.0,,223033.27755668704,308418.72485964553,434947.40894345095,162115.07765642935,188384.6837666561,264135.804646347,349879.7841669403,417654.6518199557,0.9971789985199156
17,2019-06-30,279000.0,0.231496062992126,,54.0,,224083.5321076197,312012.2096180901,435600.14637036464,162318.18274909278,189053.1610608979,264595.95190722746,350281.7760146091,418178.01446452894,0.9964094672821864
18,2019-07-31,305000.0,0.2504230118443316,,56.0,,224969.68447494693,314477.9704750276,435828.6091899568,162540.57112010408,189671.41860524303,264954.60085716075,350477.07359291584,418227.7543401023,0.9986291665257312
