,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,185500.0,0.1235521235521235,28.0,49.0,,130905.57873043134,196428.96752142024,305045.7956556119,,146629.5429817572,208927.55150699423,242480.8742823092,,0.9913875388095316
1,2018-02-28,188000.0,0.1473684210526315,12.0,51.0,,132591.58023309367,196694.52906712284,307046.137711503,,148425.05059755963,210666.09246868128,244265.7827894151,,0.9931094381574352
2,2018-03-31,175200.0,0.1448275862068965,11.0,56.0,,134446.93095813968,198584.68612457527,310012.3949270405,,150543.3636002318,212963.1555843018,246809.572261534,,0.996925762960472
3,2018-04-30,187000.0,0.1586206896551724,13.0,55.0,,136103.80070414642,201170.5341585991,313090.15883925575,,152429.11379437672,215068.89413655363,249460.92801527507,,0.9976019683601064
4,2018-05-31,188000.0,0.2376543209876543,32.0,55.0,,137325.44682597797,204623.75119971109,315724.7390311173,,153764.59077382815,216627.2535372913,251565.38576349235,,0.9978879411868424
5,2018-06-30,194000.0,0.136734693877551,10.0,60.0,,138258.3156467043,207849.0408449514,317855.06248500856,,154812.68966296778,217677.2439949334,252932.40352332825,,0.9971328914561688
6,2018-07-31,195000.0,0.1530054644808743,10.0,63.0,,139177.18091383795,211040.03205880025,319677.6161130012,,155778.19898486047,218799.99496263103,254036.2213479365,,0.9972051783284964
7,2018-08-31,233450.0,0.1957671957671957,21.0,56.0,,140086.06391272205,212510.63645236945,321111.018317043,,156787.76048832864,219947.1919753256,255129.32132678232,,0.9937762264101836
8,2018-09-30,186000.0,0.217391304347826,14.0,51.0,,141114.3875411856,213788.4605248042,322389.8518124388,,157851.6737052286,221430.1111510369,256783.7105734693,,0.9931622446737488
9,2018-10-31,190500.0,0.1994680851063829,21.0,47.0,,141973.07401475264,214459.81205436843,323196.3985855914,,158755.2346873212,222836.1268346377,258444.3891929535,,0.9902372567468852
10,2018-11-30,191750.0,0.1566265060240964,34.0,43.0,,142677.12600458344,214019.1788102062,324045.78341463185,,159449.0383432914,224100.65845804755,260021.95783273285,,0.9891706215890748
11,2018-12-31,176000.0,0.1304347826086956,48.0,40.0,,143017.16076367034,213438.00776734704,324305.04680179595,,159636.31366063966,224797.49556823733,260791.84858568656,,0.9877648199289484
12,2019-01-31,192000.0,0.1591695501730103,60.0,49.0,,144092.22081084098,213775.8977552011,325585.6528237873,,160611.16200809096,225991.7642209275,262179.34233521385,,0.9866047693315162
