,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,213900.0,0.2277625864564902,50.0,36.0,7000.0,150238.934533053,232545.3457267114,408664.1747613932,131853.20042739747,183433.8782759868,237473.48733472297,298450.409093505,430181.8568210786,0.9657794258771992
1,2018-02-28,217750.0,0.2669625871908687,47.0,35.0,8002.5,150898.83434159562,232694.15942434853,408176.612895578,131953.081562571,183416.4748081702,237912.02363117595,298563.778574806,429064.17682511127,0.9687982692216904
2,2018-03-31,221000.0,0.2589837065694517,54.0,35.0,7900.0,151593.47896673126,234144.458968247,407910.5798075786,132324.09020856093,183524.0097328792,238248.48744093347,298590.8670186508,428162.3189813026,0.9711760346714026
3,2018-04-30,230000.0,0.2309521921826687,55.0,37.0,7000.0,152156.17248954924,235034.655470932,408237.4506227426,132678.95132636727,183706.91293683965,238488.8927492913,298668.09515953687,428105.8658367344,0.9714883804652046
4,2018-05-31,220000.0,0.1982773180206046,51.0,38.0,6000.0,152707.9603444729,236243.7840729089,409227.60364321416,133080.9949564686,183935.87927343865,238795.1762120184,299034.4520731692,429123.4243312104,0.97352256984325
5,2018-06-30,221000.0,0.1900254823443757,55.0,39.0,6000.0,153082.62651795257,236263.3052713518,409833.7998801916,133135.43178480156,183906.070760388,238943.5006206116,299196.8973179712,429621.6833195891,0.9741922586154594
6,2018-07-31,218000.0,0.1801088097737902,51.0,40.0,5100.0,153762.22618308433,237759.8429026582,410937.12360484136,133520.90658193437,184355.7034859381,239558.1224965877,299798.6366025341,430325.87457474304,0.9720641381654744
7,2018-08-31,217000.0,0.1902147269340131,46.0,40.0,5100.0,154424.74611167694,237941.4455458441,411873.1993719272,133921.88672774882,184873.2955775821,240256.6184342985,300441.98495052964,430833.5515485226,0.9715907582890938
8,2018-09-30,210000.0,0.1699561403508772,49.0,39.0,5100.0,155292.72044140007,238310.2770552072,413277.372336623,134684.60801478894,185742.7389989371,241226.0291811388,301481.34108981723,432034.6909927128,0.9723972654704074
9,2018-10-31,212800.0,0.2149532710280373,45.0,38.0,5500.0,156058.3546400918,238335.44047820987,414450.3331016757,135504.8881860358,186396.2681464102,242010.69467160656,302423.1701020541,433269.3780214186,0.9718529267120062
10,2018-11-30,210000.0,0.2109562283583414,47.0,37.0,5400.0,156907.99477575606,237892.195838072,415702.44065832585,136436.4738571178,187123.9005454195,242710.56163897007,303347.8640518901,434783.7064463216,0.971180340009114
11,2018-12-31,220000.0,0.1641264100576939,54.0,37.0,6000.0,157761.0716815614,238274.0887176529,416970.54089471255,137549.96923892095,187769.47341184472,243343.12226590567,304195.7859216666,436084.6681352765,0.9710325938144332
12,2019-01-31,225000.0,0.2891738966427763,61.0,38.0,6000.0,158536.5596873837,237629.63520449933,417622.43810391513,138548.94511650025,188215.0352179706,243716.9054818209,304629.47795772547,436551.4859864125,0.9660924589097458
13,2019-02-28,220000.0,0.2883991745283019,53.0,37.0,7000.5,159160.9331578655,237929.7357113694,418034.2377404445,139206.82702465248,188409.79732082225,244020.40877833785,304939.51052342454,436533.5012351336,0.96753312636432
14,2019-03-31,222000.0,0.2941953474719307,59.0,38.0,7400.0,159424.44720121028,238284.0005806225,417759.3573970185,139317.66279774773,188212.3480278214,244003.53248294955,304847.8552760634,436210.7663937874,0.9721962255414228
15,2019-04-30,235000.0,0.2338447585216536,64.0,38.0,6000.0,159450.39345920645,238728.410627403,417196.2953253847,139223.32988082577,187840.5082795883,243909.93154961176,304640.0172819016,435901.4523976832,0.9737342574354224
16,2019-05-31,235000.0,0.2349387755102041,62.0,38.0,5954.5,159148.97670075856,238454.0121906584,415846.11378868297,138949.12399330517,187163.9001264076,243447.39849739708,303986.5102781745,435038.9786910159,0.9751531062115346
17,2019-06-30,230000.0,0.2022452046318394,63.0,38.0,5000.0,158942.1417939221,238559.18625003204,414573.4925130985,138845.50469139163,186688.7666591448,243103.1409501001,303372.040598566,433853.1825109208,0.9755750244128284
18,2019-07-31,225000.0,0.1916650662569617,71.0,39.0,5000.0,158782.49728403098,238792.6568769972,413604.4235293486,138731.71584665778,186324.1417529295,242818.83582130584,302853.71340058726,432708.8105022215,0.9755600056230664
19,2019-08-31,220000.0,0.1822890220371686,57.0,41.0,5000.0,158864.90066657343,238996.0642518648,413500.9054929786,138850.17678679366,186329.8481151432,242983.108723368,302915.2669925328,432412.23864086345,0.9735209686372562
20,2019-09-30,222000.0,0.1760665972944849,53.0,41.0,5000.0,158906.0100413507,239005.2563382616,413697.9606472447,138964.19453485345,186371.28777763413,243177.8275034297,303179.2201119103,432690.4775748424,0.9741186860432932
21,2019-10-31,225000.0,0.2016580103875349,48.0,41.0,5000.0,159244.29895131022,239709.5220286444,414507.3350623223,139286.1345936877,186728.66854539668,243731.4969379242,303907.67926588084,433725.49921111175,0.973204418426681
22,2019-11-30,226000.0,0.1810158854677387,42.0,41.0,5027.5,159888.3688377971,240653.55090299805,415792.3055499867,139867.77992626905,187462.16608320348,244629.44343456265,305049.6048914771,435175.03311898577,0.9741057519369192
23,2019-12-31,235000.0,0.1699509852955886,47.0,42.0,5000.0,160861.71191370147,241609.6264959568,417757.46989905456,140551.3086903252,188442.6728054056,245926.8873510924,306789.3600911456,437519.3736109209,0.9722608879432946
24,2020-01-31,238000.0,0.2604025634082498,56.0,43.0,6000.0,161900.68876053832,242377.37367580985,420013.820799567,141184.58886907165,189449.46965867103,247401.04799633464,308900.37304834864,440291.2340550948,0.9698108195066218
