,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,237500.0,0.1746062235881675,40.0,51.0,6000.0,164310.1009618391,262664.38590132684,490539.0109512176,183819.3776088277,190402.60238973683,234073.43971019427,323940.8411357421,445852.1640155015,0.9724121906834776
1,2018-02-28,237000.0,0.2015278283012004,19.0,51.0,5250.0,165530.8136315733,262649.73006553185,492921.4730867962,185301.1551969916,192027.48254196867,235631.2712368965,325533.9249997432,447419.3475404838,0.9735119925730794
2,2018-03-31,245000.0,0.2024942566458812,20.0,52.0,6000.0,166808.90615515257,263980.8099109248,494433.9651312728,186400.2092202132,193362.626254705,236809.5281246325,326680.9489376444,448382.1700375018,0.9756374934450708
3,2018-04-30,253000.0,0.2123708010335917,17.0,53.0,6000.0,167690.27712292655,265633.41659376974,494640.19605652505,186546.5354425453,194036.5453083292,237471.6730032057,327186.54571788426,448570.6223447766,0.977430013225152
4,2018-05-31,252250.0,0.2402444757874941,17.0,53.0,6000.0,168528.96429753277,267964.5337585386,495692.5351614808,186872.92487345825,194583.0107621845,238151.4594243648,327852.4906104093,449465.5383805644,0.9792468437613964
5,2018-06-30,257500.0,0.2384989794316219,20.0,52.0,6952.5,169050.54535464765,269330.3103772876,496554.8779108893,186726.4728369513,194808.1107451674,238713.1517175744,328367.2767129519,450287.8101906565,0.979629114267528
6,2018-07-31,249000.0,0.2526934378060724,21.0,51.0,5500.0,169790.4501522956,271154.8055134545,497983.2969892847,187003.7063097452,195317.22333543675,239483.9120644986,329163.02306588937,451339.8648024204,0.9810243568419408
7,2018-08-31,245000.0,0.2615283267457181,28.0,50.0,6000.0,170730.42797005942,272595.8569755715,499344.7123169181,187498.44722248547,196108.88848924925,240387.77762508657,329945.6579071036,452133.1826047155,0.9820011639568488
8,2018-09-30,250507.0,0.2247210908446963,29.0,49.0,5400.0,171783.37992334072,272513.3940473184,500893.7021577042,188494.78394106045,197084.920444708,241290.99973496585,330750.96502274834,453127.5857908805,0.9757315494854508
9,2018-10-31,245000.0,0.2769382391590013,31.0,48.0,6900.0,172716.5528202737,272294.7684037191,502243.7382293069,189417.68400593227,198071.51131554585,242136.93241567785,331453.9086395816,454185.6436308851,0.978828783036342
10,2018-11-30,245000.0,0.2340498710232158,33.0,49.0,5100.0,173540.3739215814,272264.2900166159,503421.4118331312,190159.3650044417,198989.8188142921,242821.8466847209,332029.44430590124,455507.4241469,0.9759483738148972
11,2018-12-31,243000.0,0.155688622754491,40.0,50.0,5000.0,174348.075903333,271537.6574575505,504301.4516569942,190843.6080296889,199917.5032922729,243493.2014854855,332474.07287681405,456515.42272357707,0.9727218158098248
12,2019-01-31,245000.0,0.2331223628691983,51.0,51.0,5467.0,175175.54146121032,270215.35727593605,504087.3274969392,190864.5847904638,200388.1677272761,243990.5139211279,332652.5786308511,456935.6222131719,0.9730326182960134
13,2019-02-28,244500.0,0.2059676044330775,25.0,53.0,5100.0,175923.4726730031,270287.5420731881,503096.2949251365,190319.9396433799,200531.0643430676,244410.32647550848,332762.99782587605,456703.6768501906,0.970529578456329
14,2019-03-31,249900.0,0.2367225442581858,20.0,54.0,6380.0,176903.3667754332,271975.50256599457,502700.4279439449,189594.27021494217,200646.0189705225,245012.1578624012,333314.16586767056,456970.91294028127,0.9760937963982016
15,2019-04-30,253000.0,0.2535428219346888,22.0,54.0,6500.0,177902.14492778352,273691.12980014755,503096.0007070024,189165.7095491495,200792.58098043903,245635.94866875155,333962.825391963,457473.7077000999,0.9776677382019492
16,2019-05-31,265000.0,0.2700828937452901,25.0,52.0,7100.0,178890.15002770373,275486.7515142466,503494.4606381233,189110.63455687664,200907.10875804257,246139.0829576674,334285.3879859931,457565.425315262,0.9786842669291612
17,2019-06-30,270000.0,0.255128399939219,25.0,52.0,6000.0,179783.61907310688,277687.25276004657,503893.24931324,189231.3652369461,201192.33029452016,246658.1572003693,334450.18869962747,457440.5820273082,0.9807326257072114
18,2019-07-31,259000.0,0.2877055599060297,28.0,52.0,5612.0,180539.128514672,278984.4931173713,504181.55249087495,189499.5366679477,201608.74996784664,247248.02655700807,334575.130463773,457082.6778315853,0.9788541085616836
19,2019-08-31,265000.0,0.2703821656050955,28.0,52.0,5001.0,181360.17348336105,279777.313502632,504636.1361793426,189819.40106963672,202103.87353099664,247977.2704259116,334903.2810715992,457073.2278274528,0.9784350765365282
20,2019-09-30,267500.0,0.2528794037940379,33.0,51.0,6000.0,182002.41223719265,279978.1862606711,504782.16595699295,189866.40256925384,202325.58013803707,248536.92825527504,335189.1453497429,457100.93842919054,0.978522004577728
21,2019-10-31,257000.0,0.2739094650205761,31.0,50.0,6000.0,182825.2427467897,280119.26845135336,505481.18200363714,190154.07788054715,202789.2894113997,249239.34603195303,335846.4392014752,457698.76581569033,0.9744450931044174
22,2019-11-30,249000.0,0.225604297224709,33.0,51.0,5900.0,183761.92217233745,280670.1974651983,506617.2958056976,190814.04448824545,203553.4220889498,250081.9256858795,336774.4209564409,458590.7079714607,0.9767241470998428
23,2019-12-31,264950.0,0.1573873696635845,39.0,52.0,5100.0,184804.12136970228,280486.03035407234,507886.8891886847,191855.2293400384,204520.2724834263,250952.8559746562,337847.7833916512,459735.6708136464,0.9742740100333636
24,2020-01-31,265000.0,0.2098696461824953,43.0,53.0,5100.0,186059.10503223471,280592.20066938136,509348.1694368008,193057.8182299808,205756.0107160198,252057.8763083728,339177.66030771274,461409.6846429471,0.970068833702836
25,2020-02-29,271500.0,0.2572744014732965,22.0,54.0,7500.0,187252.70587248768,281191.5831893586,511259.53378754976,193980.45760149148,207005.8203513188,253211.2480261224,340677.1982493033,463761.2552464815,0.9758240666151796
26,2020-03-31,270000.0,0.1973778735632184,17.0,56.0,6000.0,188539.46965808416,283009.035824421,513476.17683232046,194647.92015943583,208323.5897167528,254580.9066741869,342285.0195089141,466316.8471691776,0.9783429321854916
27,2020-04-30,275000.0,0.172031076581576,20.0,58.0,5000.0,189626.3515447115,284747.01792870497,515017.0733701049,195140.92635850245,209272.82005639625,255522.26610709648,343245.77799567,467879.94985048566,0.980142488168053
28,2020-05-31,270500.0,0.2039861351819757,21.0,59.0,5900.0,190461.0544440277,285957.13527342264,515111.3479024035,195277.4996967969,209721.5800486609,255983.4489677224,343524.7419927099,468256.26791313913,0.979540367857964
29,2020-06-30,275000.0,0.2140407868615773,18.0,59.0,5500.0,191130.96526751216,287953.21995379205,514407.9426559491,195126.0450983924,209773.03035283976,256238.9871792493,343560.6932881749,467891.4313469345,0.9789858925123576
30,2020-07-31,293700.0,0.2163209924403954,17.0,60.0,5900.0,191980.3504632089,290567.02188262256,514557.60557343945,194833.0822821484,209856.801514304,256958.9940300074,344287.5560368705,468381.2767284477,0.9837693760210616
31,2020-08-31,306000.0,0.2044380521882063,16.0,61.0,7500.0,193304.9007362997,293025.2396512956,516935.7651690698,195191.17720895328,210453.9242790652,258483.81157569087,346191.8554789973,470567.8901490976,0.9846090968200552
32,2020-09-30,300000.0,0.2004376367614879,11.0,60.0,9000.0,195342.3393600762,296687.98319354415,521984.1365905772,196229.03351942773,211765.6928452674,260994.2043819184,349522.6276186188,475009.4392747472,0.9873707629031128
33,2020-10-31,312000.0,0.2116886013830024,12.0,61.0,8450.0,197750.20619257787,299515.6933309121,528655.4845232719,198094.86917878684,213736.5682286276,264034.90724399855,353705.9962871641,481037.1937714436,0.9865560406755906
34,2020-11-30,304900.0,0.1899185336048879,13.0,61.0,7000.0,200420.75167422,302112.9167092973,536390.0318618319,200390.04645199687,216152.7597541604,267423.83775369154,358486.6549642864,488213.6727365393,0.9885810397680816
35,2020-12-31,303500.0,0.1651053864168618,14.0,63.0,6250.0,203029.96738526164,304896.3411435269,544333.4691898924,203362.12277848367,218824.9173315112,270800.31962295243,363208.9329235987,495857.7429527457,0.986621556075606
36,2021-01-31,299000.0,0.1430170724881052,10.0,68.0,10000.0,205680.9242425987,306927.81568367843,552380.2501744184,206220.4621139273,221414.7990264575,274175.7988117784,368003.1636465037,503829.7066634909,0.986527680355355
37,2021-02-28,312500.0,0.1196844993141289,5.0,74.0,10000.0,208692.5765195656,311275.25940744503,561549.3344550262,209527.0697372541,224468.16788431,278089.4379526549,373404.7299952524,512437.2283680054,0.9874604730375456
38,2021-03-31,330000.0,0.1230925737538148,4.0,77.0,10000.0,212102.302587022,316628.14136810915,571607.9668623391,213059.71883299985,228122.85410352208,282403.9724407057,379294.6857311242,521489.0520662316,0.992065802751458
39,2021-04-30,325000.0,0.1147098515519568,4.0,75.0,10000.0,215656.567835528,322893.5275559459,583248.6712817797,217289.12530839685,232286.4667261408,287113.0744009832,385637.85164554016,531505.8557523559,0.996410258806556
40,2021-05-31,347000.0,0.120769504809405,4.0,73.0,10750.0,219399.02639354696,331037.6638676522,596406.4925215482,222464.0935267499,236959.15649462515,292165.9542060792,392570.7278133491,542976.4944174379,0.9971868969173364
41,2021-06-30,345375.0,0.1505376344086021,4.0,70.0,10100.0,223318.39701278027,339031.48457215214,610311.8290131035,227981.44604900456,241920.0913353087,297632.79265907005,400016.1501386237,555134.7162813944,0.9999977613845972
42,2021-07-31,335000.0,0.1876582278481012,5.0,68.0,10000.0,227222.027779946,345041.0156575496,623060.661900511,233570.78679351413,247257.20808146137,303102.66673056537,407418.2090025412,566414.1109386551,1.000829592524605
43,2021-08-31,335000.0,0.2013574660633484,5.0,67.0,10000.0,230345.44055830792,348314.1377670892,632383.6270304798,238079.46711298384,251922.94428528217,307496.539168019,413481.9754831007,575049.9881555624,1.000128957163984
44,2021-09-30,333000.0,0.2032655781406198,7.0,67.0,10000.0,232759.06869267183,351636.0834046348,639237.2580959927,242239.8077325177,255931.120937719,310915.86493739433,418515.9815186229,582041.0220744963,0.998201529415594
45,2021-10-31,340000.0,0.1791147994467496,5.0,67.0,10000.0,235043.33614571227,355034.1852957274,645486.3074090731,246092.10188233355,259384.3786558852,314069.3698274142,423193.1404309304,588755.782744031,0.9988228752633108
46,2021-11-30,338000.0,0.1681981622053535,6.0,68.0,10000.0,237733.0825862432,358830.0132028733,652983.2815973043,250299.1406199214,262862.9988396642,317696.1478296174,428405.3330163655,596664.3139430616,0.9980357749349033
47,2021-12-31,351000.0,0.1272638277043563,6.0,72.0,10000.0,240622.8832581004,362313.0944374667,661803.6098099272,254683.43444778424,266431.31520040525,321688.1615079571,434058.95249164687,605686.6330230572,0.997721804699523
48,2022-01-31,340000.0,0.1304775972427375,4.0,78.0,10400.0,244539.5975228595,368939.42485090793,674389.5225108941,260146.71394488192,270992.2737515376,326974.5825975815,441335.1118701291,617575.1333103952,0.995031709694893
49,2022-02-28,355000.0,0.1026276648487853,4.0,80.0,10000.0,249404.0016192228,376746.0512849456,690081.6864399315,266504.3363412564,276534.4299195022,333565.41515980934,450143.93383201305,631706.0261448486,0.9983558640847644
50,2022-03-31,381000.0,0.1067789100575985,4.0,79.0,10100.0,255270.582623884,386886.2946968482,710224.1532826192,273975.95532515564,283322.9560341431,341616.7331732972,461041.9341485515,649239.5264825894,0.9979043511096836
51,2022-04-30,390000.0,0.1293031066330814,4.0,77.0,15000.0,260916.71121804672,396996.3686480325,730973.0328750577,282135.8623992941,290546.0408685,349687.34006330854,472088.3526354861,667143.217460469,1.0043105518476672
52,2022-05-31,410000.0,0.1737466513585916,4.0,72.0,14693.5,266091.1817377464,405792.904406856,751070.640868932,290489.6107134957,298069.8492287924,357280.02661812044,482511.2676737961,684307.9646797486,1.0034226759387228
