,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,241250.0,0.096192384769539,62.0,39.0,10000.0,175586.41570792548,291654.1686622212,515003.8569276544,146449.55187682644,191703.6140810117,267198.2770446773,408510.8379113779,577061.6695886004,0.9826543638919242
1,2018-02-28,258500.0,0.1039850560398505,45.0,42.0,10000.0,176461.08388100052,291795.14353033423,516353.4382723447,147019.4471655963,192644.1175003437,268247.86452321586,409664.242154138,578420.1168868534,0.9871413903746672
2,2018-03-31,259000.0,0.1243272335844994,14.0,45.0,10000.0,177884.1422670832,294906.8446158007,518381.0471889069,147958.54616128575,193926.82254445925,269651.553153377,411263.7560163873,580414.4112697052,0.9889360915399458
3,2018-04-30,291250.0,0.1500243546030199,22.0,46.0,10000.0,179277.56704433975,297697.36508139723,520131.77288866113,148955.07818929435,195087.8703536412,270918.02747938683,412617.1906950282,582108.0714999516,0.9900907201531984
4,2018-05-31,275000.0,0.1733809280979092,27.0,43.0,10050.0,180699.46271474528,301417.7970265119,522485.926506908,150150.10978857335,196348.64069681088,272354.1937956679,414512.7219569101,584827.5895948716,0.9925214494530404
5,2018-06-30,287000.0,0.1564866229177183,35.0,42.0,10000.0,181500.5689267925,304624.7775597448,524358.1893370975,150961.28069394417,197170.6558035673,273369.84015539306,416042.0840913181,587168.4201999808,0.9924920488555246
6,2018-07-31,285000.0,0.1580324437467294,30.0,40.0,10000.0,182585.19017006693,308678.0603177178,526730.5726088375,151991.1043167874,198449.14342842344,274828.444454307,417978.1555726121,589944.5722891284,0.9918963405229344
7,2018-08-31,275000.0,0.159320233669676,61.0,41.0,10000.0,183568.5212962391,308868.2895593081,528624.4939978608,152846.99550468393,199570.1035779589,276049.6148368095,419350.4162449868,591964.9514467012,0.9896758130250012
8,2018-09-30,259000.0,0.148108684070325,32.0,40.0,10000.0,184496.7392994004,308278.1486748334,529991.3599662571,153734.2318283272,200660.566378374,277159.53620513226,420367.3099979165,593272.3201189842,0.9864142456024833
9,2018-10-31,254657.0,0.1686615886833514,41.0,38.0,10000.0,184751.44511819817,306334.7770648905,530183.4609288704,154090.66968397616,200990.7890355952,277494.62635136506,420549.0200131628,593417.7254777381,0.9877667191150448
10,2018-11-30,261700.0,0.1087470449172576,86.0,36.0,10000.0,185065.3516258814,305260.7487449433,530181.3742456076,154323.8163970268,201355.72584475583,277768.1743357171,420794.4515507402,593413.5098079258,0.9872800981340832
11,2018-12-31,265000.0,0.0750536097212294,49.0,39.0,10000.0,185521.80063354832,304182.4930609256,530235.0297439434,154566.23295552333,201761.99738007537,278086.816708805,421041.8894950975,593475.7970004565,0.9815255402072448
12,2019-01-31,266000.0,0.108695652173913,66.0,41.0,10000.0,186408.9839658505,303640.40145330434,531026.2085245979,155211.27676016142,202633.1029561473,278873.279853567,421872.3695646306,594373.1494348022,0.9790843142243468
13,2019-02-28,259900.0,0.1133036282622533,61.0,46.0,10000.0,187362.38222759296,304574.5987916171,532530.3021512245,155971.39969316064,203694.91504577769,280122.9160400768,423289.5991605405,596037.9438901885,0.9827528676091464
14,2019-03-31,270000.0,0.1136853448275862,16.0,48.0,10000.0,188405.9900901504,307419.465085926,535165.7043578102,156902.7181081108,204991.4727664101,281789.71433085663,425562.5979547627,598876.5540983323,0.9872703258521978
