,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,275000.0,0.1546572934973638,29.0,52.0,10000.0,189877.8195533047,292643.68009537144,432342.0515857081,146170.91628652532,210105.55771974256,297896.91240200755,399366.66591468506,433712.8740344076,0.9952317035182582
1,2018-02-28,262000.0,0.1501597444089457,14.0,55.0,8300.0,192256.5198294809,294067.46776540874,435086.42141335824,148239.7881326997,212629.531935438,300232.4694205204,401867.940543203,436883.7939099608,0.9974034559419712
2,2018-03-31,264409.0,0.1638044914134742,13.0,59.0,10000.0,194560.1998061192,297307.8750629729,437774.4744851869,150262.6287946975,215020.4384788221,302646.9367624027,404411.5345660164,440287.14905066666,1.000017224617332
3,2018-04-30,279000.0,0.1824146981627296,11.0,59.0,10000.0,196089.127631515,300210.4061494802,439941.1774981332,151402.2333255771,216514.36711629524,304356.2268710485,406588.0078415666,443018.8407074884,1.000997576730447
4,2018-05-31,290000.0,0.2309495896834701,15.0,57.0,10000.0,197347.54372120337,303431.3332284233,441874.9510167453,152737.50048642195,217731.5006685959,305640.4262551314,408514.42077365634,445356.96554583655,0.999937254290932
5,2018-06-30,291400.0,0.259009009009009,18.0,54.0,10000.0,198264.36930378265,307051.9677764364,443567.49644925934,153781.62029711634,218634.88449653747,306616.573340673,410076.03093984845,447263.8896853083,1.0005397766505506
6,2018-07-31,285000.0,0.2879914984059511,19.0,51.0,10000.0,198944.8776784209,309172.0352864194,444901.91408014885,154535.7051311348,219342.29411545093,307579.7080952022,411250.8392271749,448332.5199615929,0.9978586747443356
7,2018-08-31,279000.0,0.3089171974522293,19.0,50.0,10000.0,199813.59953397964,309356.9324699981,446203.4693740665,155128.74285384148,220162.7911317177,308612.86334942235,412424.3989509188,449498.4069053636,0.9957346824685688
8,2018-09-30,275500.0,0.2589771490750816,14.0,46.0,10000.0,200722.7106729037,309097.9009407899,447377.3360160583,155900.60065568358,220891.6988192864,309539.042883255,413630.3246326142,450580.651523694,0.992991081249572
9,2018-10-31,266900.0,0.2863436123348017,28.0,52.0,10000.0,201411.8287102812,307350.7759659801,448448.2058756709,156522.09795605554,221502.26125714983,310143.64726067724,414767.12007287145,451980.9927766562,0.989870188012509
10,2018-11-30,290250.0,0.1127232142857142,36.0,70.0,10000.0,201627.65395540025,305741.54158596264,449202.2841177193,156741.32827150897,221775.63422832548,310493.86710557423,415666.605229436,452937.996533677,0.9895963862226476
11,2018-12-31,335000.0,0.0813253012048192,8.0,83.0,15000.0,202206.3937077812,307260.89536133385,451074.2382157608,157391.27404641654,222497.04503367035,311673.7590976609,417512.5070530831,454942.6542631071,0.9883132251141684
12,2019-01-31,326000.0,0.1388518024032042,10.0,79.0,15000.0,204221.6933590681,311131.4925811239,455813.59538368415,159483.56523876588,224639.21120285703,314954.8863104803,422093.2141186346,460062.69406276447,0.988744039414998
13,2019-02-28,312500.0,0.1392757660167131,9.0,72.0,11950.0,207749.3579439801,318090.6224088347,463518.621091552,162546.3242834618,228295.2023854259,320564.30208090873,,468241.73198194336,0.9878372262982036
14,2019-03-31,329250.0,0.160919540229885,9.0,69.0,11000.0,212132.5891261101,325949.7150060606,,166100.07597849422,232791.1482318829,327299.0733785154,,478345.5284333305,0.9908190103006248
15,2019-04-30,325000.0,0.1859838274932614,8.0,68.0,10175.5,216594.279026367,333275.1878024998,482474.3988205636,169492.7498375048,237423.5289202788,333823.03915078385,447707.8030173832,487804.0783437552,0.9940540583743348
16,2019-05-31,327000.0,0.2383790226460071,10.0,63.0,12000.0,220422.46945965567,338321.14266952954,490063.4289487979,172659.5374169329,241382.6900844825,338790.5126624725,454929.41056968615,495380.8270401848,0.9957654633869428
17,2019-06-30,355000.0,0.2943871706758305,13.0,59.0,14000.0,223457.6098141958,343868.1688722416,495697.06411529327,175199.54209871087,244627.7632975914,342586.2584650529,460323.0346144191,500829.486004378,0.9954805287700657
18,2019-07-31,314250.0,0.3005347593582887,15.0,54.0,10700.0,225384.6820231436,346677.6888075648,499454.5177666638,176625.43138388023,246300.63430242203,345230.959181023,463929.4320683971,504411.9055647299,0.9945398725995772
19,2019-08-31,310000.0,0.3156756756756756,23.0,51.0,11000.0,226720.7668818381,347095.5666433888,502309.0843792022,177492.0144401039,246922.3891215076,347400.78750048106,466797.1549544072,507229.0856911384,0.9928740682186928
20,2019-09-30,296500.0,0.2899669239250275,23.0,49.0,10700.0,227494.74508539904,347798.5886935932,504439.0898192985,177430.106778906,246549.45269625416,349148.758259679,469123.6310987824,509581.96313347406,0.992417203684879
21,2019-10-31,325000.0,0.3239766081871345,27.0,48.0,10000.0,228375.5938851116,347585.3304233868,506750.5337336722,177609.46754950195,246515.9987608705,350899.77273355605,471648.0168145215,512568.7522957713,0.992824816931412
22,2019-11-30,303864.0,0.2408163265306122,35.0,49.0,10000.0,229189.10884760463,346585.69724624924,509117.2129441467,177809.57317169942,246779.1834601457,352646.85345079406,474146.9116705905,515538.168858808,0.9915196335938696
23,2019-12-31,294500.0,0.1495327102803738,28.0,49.0,10000.0,229383.75208137665,343794.13409409864,510534.1966019187,177898.09323564757,246696.8037933329,353499.20969912986,475700.8664099992,517221.4532018372,0.9903483170574674
24,2020-01-31,325000.0,0.2102473498233215,42.0,56.0,10000.0,229318.2091716892,342474.65198752284,510863.114033039,179297.75318471517,247225.73687638124,354062.2316658272,475925.1170656315,515872.130473767,0.9883007975237712
25,2020-02-29,305000.0,0.2458715596330275,12.0,63.0,11000.0,228958.9506342253,342646.0650343066,510138.07884085,181898.4902126396,248179.17449112423,354355.04693723324,474878.50811154256,511925.2521362559,0.9934234670305198
26,2020-03-31,310000.0,0.1908006814310051,10.0,71.0,11000.0,229250.8522755848,345649.4328083843,509719.0940930059,186111.7366003732,250195.1740121469,355391.8681621871,473947.29982610006,507407.69629474025,0.9962847210738652
27,2020-04-30,315000.0,0.1692307692307692,16.0,75.0,10000.0,229383.748417876,347010.1167364316,508933.2012919259,189592.6387949275,251456.0623488929,355791.803281996,472903.8130370381,503658.5255506953,0.9969357672235736
