,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,265000.0,0.1186440677966101,12.0,75.0,6000.0,211222.2289770897,290805.04491481336,428750.9332549076,156779.66727428662,198384.58203625816,261885.971890032,331020.5852692958,408826.29515323305,0.9913875388095316
1,2018-02-28,269576.0,0.1050903119868637,7.0,76.0,10000.0,213687.5155299049,294068.7618748767,432951.3078058017,159088.83015432805,200617.2523939337,264768.5362390654,334493.64163242903,412843.4476448285,0.9931094381574352
2,2018-03-31,278000.0,0.124056999161777,7.0,76.0,10000.0,216063.96962746512,297908.51155333634,436955.6909743008,161431.20725890688,202765.8544436598,267557.44387798273,337786.5738536571,416584.94202615647,0.996925762960472
3,2018-04-30,285000.0,0.1518175338560228,7.0,73.0,10000.0,218508.5010518221,301818.95049907395,440580.42048004427,163521.4568876327,205045.11795868888,270210.4732213027,340770.9496895054,419995.167604248,0.9976019683601064
4,2018-05-31,290000.0,0.1722516166960611,7.0,71.0,10000.0,220489.7349681328,305347.13727737893,443357.2688869136,165262.18802921966,206917.2112295204,272282.9942812689,342986.01280509325,422605.3302220293,0.9978879411868424
5,2018-06-30,295000.0,0.215542919036014,9.0,66.0,9100.0,222090.3708403482,308319.70501761086,445450.2916880432,166317.26740724215,208307.6403620318,273877.87209455256,344665.0798081266,424568.1174769556,0.9971328914561688
6,2018-07-31,290000.0,0.2393311704517095,13.0,60.0,9100.0,224023.0137193337,312475.9993898711,448336.5858914936,167756.6249290402,210116.6995153817,275864.4460753338,346767.8774842765,427111.413544857,0.9972051783284964
7,2018-08-31,290000.0,0.2750759878419453,18.0,58.0,6625.0,226063.08582219703,313222.95984303224,450865.36607197183,169424.0336734976,212171.18740042232,277897.8713585245,348729.23867913266,429215.5641376837,0.9937762264101836
8,2018-09-30,285000.0,0.2499339498018494,16.0,56.0,6350.0,228172.4855038914,313314.3965670345,453427.1071874889,171665.74638374816,214453.58911892888,279962.9904049612,350763.03728802194,431368.6117916379,0.9931622446737488
9,2018-10-31,280000.0,0.2601740106651698,23.0,57.0,7500.0,229810.9278863113,313168.50075576006,454906.97389753925,173406.1543936071,216157.9115017517,281484.00952938787,352179.85265394254,432639.3022893654,0.9902372567468852
10,2018-11-30,278000.0,0.2315457413249211,19.0,56.0,6000.0,231527.87529512943,313044.17110156536,456804.5895680341,175126.82775267924,217808.2443723553,283121.5889540212,353843.5956717509,434390.4341245042,0.9891706215890748
11,2018-12-31,280000.0,0.1463040980467254,31.0,61.0,5500.0,233379.1850703444,313236.6312705831,458944.3540690167,176807.06829036694,219514.0428345189,284927.20530936006,355666.84410810866,436471.5357218154,0.9877648199289484
12,2019-01-31,278000.0,0.1653322658126501,26.0,69.0,7000.0,235505.0825890191,313376.2282905462,460626.6741203363,179823.8348785747,222144.8345438341,286774.31552374153,356804.48585052136,437361.82371115166,0.9866047693315162
13,2019-02-28,289000.0,0.1426209177346011,11.0,76.0,6500.0,237848.77561578143,315211.2089727519,462034.549404063,183319.36450133089,225397.49523418795,288820.3102265577,357670.63178448705,437456.69922502217,0.9903020519435056
