,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,136000.0,0.154790616092962,92.0,33.0,5000.0,86404.70269703354,150500.09500144474,262296.7362534527,84059.05389717993,95320.169132041,140339.52347984453,210931.92988160555,288114.7100072627,0.9724121906834776
1,2018-02-28,144000.0,0.1462370437133844,90.0,33.0,5000.0,86928.52271141732,150713.6062304853,262780.5276162702,84374.16026094883,95781.33327595513,141016.97140501012,211524.09939577384,288492.9883279552,0.9735119925730794
2,2018-03-31,150000.0,0.1504590984974958,36.0,36.0,5000.0,87639.63714964698,151938.30051288108,263477.1812233223,84987.01982360017,96355.25064940836,141659.18130517003,212123.98352030097,288968.59393213154,0.9756374934450708
3,2018-04-30,148000.0,0.1706267922982384,38.0,39.0,5000.0,88355.41305347695,152897.85280772997,264277.29359277955,85630.61706004124,96961.37797502236,142193.3693571886,212719.86454579871,289607.1528847988,0.977430013225152
4,2018-05-31,155000.0,0.1892117917624921,37.0,40.0,5000.0,88802.10492104593,153893.7536955098,264957.5871359708,86163.04928282574,97341.24098383808,142538.28211336498,213217.28013320555,290304.89311637887,0.9792468437613964
5,2018-06-30,157450.0,0.173584134123901,25.0,40.0,5000.0,88812.16422327432,154709.3625020233,265203.3709186979,86396.55374679486,97497.40156708613,142721.4778816753,213485.8411390549,290623.03668952826,0.979629114267528
6,2018-07-31,155000.0,0.1971399387129724,22.0,39.0,5000.0,88975.81485599886,156347.03376353678,265793.3382309913,86844.04340910242,97946.23363073503,143173.34641734514,214118.5428342598,291074.74704443594,0.9810243568419408
7,2018-08-31,150000.0,0.2054054054054054,36.0,37.0,5000.0,89277.34666906844,157072.85967989312,266495.8304349719,87225.10327156288,98658.14572902973,143725.2109345426,214789.9954917466,291442.7166583105,0.9820011639568488
8,2018-09-30,155000.0,0.1758042591753511,42.0,36.0,5000.0,89824.04193399897,157673.62746057878,267219.3022847937,87838.83938055235,99516.77590786557,144446.3633441543,215500.6785974748,291828.07999822136,0.9757315494854508
9,2018-10-31,146500.0,0.2132669232510753,44.0,36.0,5000.0,90251.04691792214,157749.09823454503,267619.0376872761,88147.0080220051,100170.87071264484,145037.59641301652,215957.77194303213,292130.73669737525,0.978828783036342
10,2018-11-30,150000.0,0.1409774436090225,97.0,36.0,5000.0,90878.47010739794,157971.8019970499,268037.6084216812,88772.54546275258,100870.00951770636,145776.21487922393,216482.8401063024,292544.92272353923,0.9759483738148972
11,2018-12-31,149100.0,0.100627286983795,92.0,38.0,5000.0,91635.5607446364,158063.59588616306,268755.7702141981,89333.16316269113,101638.33465147,146602.72205747486,217191.0154523749,293179.5424034316,0.9727218158098248
12,2019-01-31,142000.0,0.157535975763696,80.0,42.0,5000.0,92347.12743905956,157561.42170448313,269482.6823176502,90070.10981122318,102335.47742975364,147386.16629124104,217809.37247780047,293767.3924424018,0.9730326182960134
13,2019-02-28,148900.0,0.1410979989738327,36.0,44.0,5000.0,92846.34681373042,157803.81617808848,270265.15102536645,90686.5205638605,102874.87572741148,148061.36697846197,218454.43997228143,294455.2561298011,0.970529578456329
14,2019-03-31,151950.0,0.1632453567937438,47.0,44.0,5000.0,93389.83690206772,159044.05477655702,271232.7024962406,91203.1065132512,103403.49551732407,148678.98120258725,219102.0882696508,295224.7950397066,0.9760937963982016
15,2019-04-30,160000.0,0.1735941320293398,28.0,43.0,5000.0,93968.93307536196,160274.51042656595,272180.3376580388,91477.50872711888,103934.55042744358,149300.42137206803,219786.8598645845,295926.03975152696,0.9776677382019492
16,2019-05-31,167500.0,0.1909112204263293,39.0,42.0,5000.0,94528.87778169748,161366.01209616754,272891.47976340965,91530.6541230698,104324.70091718432,149781.8362307037,220257.33516089665,296307.2826167441,0.9786842669291612
17,2019-06-30,169950.0,0.1823004581625271,26.0,43.0,5000.0,95007.7003859746,162934.14989560575,273357.62356944085,91832.57668072234,104677.97404566534,150261.63347522623,220645.1583345559,296507.1664055724,0.9807326257072114
18,2019-07-31,174000.0,0.2220591831743702,28.0,44.0,5000.0,95389.76454025623,164099.0842911546,273933.3130597135,92251.44353085684,105006.30448465823,150763.61477235964,221160.6415352793,296778.5821936622,0.9788541085616836
19,2019-08-31,159900.0,0.214702154626109,44.0,44.0,5000.0,95805.22005694424,164990.31735417008,274687.6662310558,92866.5147962619,105450.03166682732,151417.88157673387,221853.150801469,297357.0810838582,0.9784350765365282
20,2019-09-30,160000.0,0.2221329046087888,44.0,42.0,5000.0,96159.58601461296,165723.6061228474,275500.8500855406,92994.243416593,105843.7894159193,152053.39214084123,222632.6855194251,298226.5704833459,0.978522004577728
21,2019-10-31,162750.0,0.213719595517901,59.0,41.0,5000.0,96679.10085481092,166262.8108532332,276524.3132495139,93017.3352753573,106318.88269995005,152827.67726668197,223527.59601457173,299275.64030249463,0.9744450931044174
22,2019-11-30,165000.0,0.1795629060838748,67.0,41.0,5000.0,97362.55635811196,166862.04534476768,277957.4866615047,93427.93441303325,106951.844271514,153773.7870580957,224736.5834840144,300727.8232509641,0.9767241470998428
23,2019-12-31,162000.0,0.15,54.0,45.0,5000.0,98065.26735933806,167055.75199397997,279588.06872663274,94116.58119008657,107614.9130467811,154810.46767275265,226178.32481670307,302471.5078009243,0.9742740100333636
24,2020-01-31,157200.0,0.1959295261239368,55.0,48.0,5000.0,98824.2748379865,166953.07876579388,281164.14329593576,95156.62672448908,108636.3818349873,155809.70923082702,227493.37142656007,304035.5893023031,0.970068833702836
25,2020-02-29,161000.0,0.216875200513314,35.0,48.0,5000.0,99574.79696932933,167239.28343780935,282452.8583070634,95787.9561446128,109504.550900111,156636.14900369526,228551.58298010263,305357.39363928366,0.9758240666151796
26,2020-03-31,170000.0,0.1549382716049382,46.0,47.0,5000.0,100526.1020929068,168745.7098251784,283591.8876867647,96655.10727630586,110458.76326564443,157438.073063395,229423.2995182393,306405.36181221064,0.9783429321854916
27,2020-04-30,172000.0,0.1484759095378564,54.0,54.0,5000.0,101488.20783625916,169982.77688629855,284434.9990812252,97589.11734542412,111142.31990411376,158064.08302079898,230086.8533004519,307257.2647409915,0.980142488168053
28,2020-05-31,180000.0,0.167269142293789,39.0,61.0,5000.0,102294.6639051655,171243.58116731263,284920.99701034365,98436.50358361565,111748.30207163916,158598.08224961086,230527.3756781423,307731.99757280573,0.979540367857964
29,2020-06-30,181000.0,0.1799714896650035,22.0,63.0,5025.5,102711.51491994054,172605.64381911175,285215.31687152066,98744.86835692266,112079.22127575747,159033.5735070091,230937.4371477413,308146.3891326037,0.9789858925123576
30,2020-07-31,185000.0,0.1792101341281669,21.0,60.0,6000.0,103094.66577167068,174432.28563316507,285939.0586631975,98508.0927953028,112369.57058771267,159739.07345639428,231825.06817276272,309174.1155492955,0.9837693760210616
31,2020-08-31,180500.0,0.1672473867595819,25.0,60.0,5000.0,103901.37656169628,176273.4396513245,287556.1531721284,98179.74116302312,112996.51137216906,160776.8360809477,233306.60428908528,310896.4441034267,0.9846090968200552
32,2020-09-30,188250.0,0.1738085702843412,19.0,61.0,5010.0,105454.17556548608,178480.24111536326,290201.06190395384,98945.37846862793,114229.09355699275,162184.65305511325,235294.0009753892,313268.13166407746,0.9873707629031128
33,2020-10-31,185000.0,0.1776094276094276,10.0,61.0,,107383.32629952524,180033.25245962874,293397.5357283314,100468.29824043548,115838.0068675503,163866.2687846536,237688.6852253029,316246.37935974466,0.9865560406755906
34,2020-11-30,189000.0,0.1652340019102196,23.0,61.0,5500.0,109292.90706339075,181528.7391855568,297024.6201227811,102842.80317212128,117590.3085526653,165738.3182117264,240462.63539280827,319854.31264899176,0.9885810397680816
35,2020-12-31,178000.0,0.1277602523659306,16.0,69.0,5001.0,110793.34750444267,182701.45590812687,300705.255974669,104525.1025481716,119078.06624471606,167683.11833193238,243453.5999786452,323883.2723729769,0.986621556075606
36,2021-01-31,189000.0,0.1397021058038007,13.0,75.0,,112195.31498906722,183588.3591688464,304410.2561686915,105575.25274346954,120381.8032702478,169628.04904926906,246523.24272956816,328080.21657640004,0.986527680355355
37,2021-02-28,183900.0,0.1137855579868709,12.0,76.0,,113752.34964673384,185532.5279030604,308159.1664449084,106551.7206075883,121823.5902725436,171640.0482893888,249588.7820116389,332278.84717584815,0.9874604730375456
38,2021-03-31,185000.0,0.1078278900984966,12.0,78.0,,115591.85118781123,188493.0975924408,311720.84041654406,107877.61268984507,123624.8154224338,173835.5927590021,252632.1933186916,336275.04336945846,0.992065802751458
39,2021-04-30,205000.0,0.0949238578680203,5.0,81.0,,117252.97250677536,191543.1594905273,315446.3509578849,109801.741942627,125477.24777593736,176095.49345448148,255791.9911528512,340532.5612309137,0.996410258806556
40,2021-05-31,204450.0,0.0844868735083532,6.0,79.0,,119028.96913567744,196381.7545296036,320021.2590663801,111926.05473008456,127461.76612632311,178824.0560099535,259640.72318597257,345669.2574431463,0.9971868969173364
41,2021-06-30,215000.0,0.1239436619718309,5.0,73.0,10000.0,121121.70524395411,201797.18045706028,325583.1140364313,114209.78220423246,129777.3043303352,182146.8243524081,264291.43631259346,351731.724499078,0.9999977613845972
42,2021-07-31,202500.0,0.142679386146827,5.0,70.0,10000.0,122824.59111279926,204241.86443976287,331009.4909347139,116149.47613758012,131872.61303551492,185258.99255033224,268984.7392033003,357919.24427650805,1.000829592524605
43,2021-08-31,205250.0,0.1574225122349102,8.0,67.0,10000.0,123402.66680250422,204922.55954350453,334712.9480771052,117130.52945544536,133186.0773211637,187388.27767254063,272753.5845671725,363181.60770263657,1.000128957163984
44,2021-09-30,208000.0,0.1587232181897682,6.0,65.0,10000.0,122841.5624591404,205418.7200119785,336838.9504965747,117222.63525658227,133514.40557933005,188307.489592279,275457.83569155046,367678.2690205944,0.998201529415594
45,2021-10-31,206000.0,0.1482504604051565,9.0,65.0,10000.0,122517.0148862154,206346.5307897589,338830.32560877537,117293.854469273,133938.56218485555,189200.24167473745,278120.19679643464,371989.1684220911,0.9988228752633108
46,2021-11-30,210000.0,0.1390134529147982,11.0,67.0,10000.0,122926.53270664114,208023.74748256445,341810.7671096504,117881.76193962,134829.8178588619,190563.8757637251,281316.02336759504,376968.8998552554,0.9980357749349033
47,2021-12-31,207000.0,0.105297157622739,14.0,75.0,10000.0,123688.78129146875,208876.07681038388,345341.17614784767,118784.36367742548,136027.51560489798,192341.46627196856,284942.1417810621,382103.30921283015,0.997721804699523
48,2022-01-31,206000.0,0.1066576086956521,8.0,84.0,10000.0,125700.5542960446,213041.6311788692,349914.6843868948,119922.49001799598,137920.22255526402,195425.2346899873,289415.02070641104,387784.9763017466,0.995031709694893
49,2022-02-28,220000.0,0.0953002610966057,5.0,90.0,10000.0,128363.6329138355,217223.2608170112,355082.96092738095,120976.70852316874,140154.29650082576,199440.36604422444,294576.53774378484,393796.5494883016,0.9983558640847644
50,2022-03-31,220000.0,0.0980735551663747,5.0,88.0,10000.0,131624.1666217686,222322.63373295983,361497.2043863207,122120.94085054108,142898.96821706576,204375.8870357845,300619.177500146,401077.672034385,0.9979043511096836
51,2022-04-30,230000.0,0.1240560949298813,6.0,84.0,10000.0,134367.59042247784,228304.80553270003,368366.0291764517,123235.38232940268,145531.18719105356,209091.2850153615,306761.3893946181,409014.90949237,1.0043105518476672
