,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,132900.0,0.1247524752475247,,1.0,5000.0,97387.46460614805,155672.81239469087,258401.9062674503,111891.7310211598,99392.48268768692,158419.44533837904,229932.85548294144,309948.36614208407,0.9721718996850758
1,2018-02-28,146929.0,0.1106719367588932,,3.0,4000.0,97705.26925083216,155824.51464336668,259420.35324077404,112529.77643428724,100100.84981163596,159387.4175506269,231181.0692869263,311114.411162324,0.9731645911547748
2,2018-03-31,150000.0,0.150375939849624,,5.0,5950.0,98441.05087536124,157942.08245797656,261051.1493621677,112448.47062310977,101026.1025278365,160616.20954301444,232822.90767355709,312820.26016322343,0.9780657479774834
3,2018-04-30,142250.0,0.1509803921568627,,-1.0,7450.0,99400.92735898693,159866.30504499003,262801.3412341844,113268.1801357816,102158.4753380505,161839.160235732,234505.0739066623,314694.2864085082,0.982651745920842
4,2018-05-31,150000.0,0.1508379888268156,,17.0,5100.0,100345.51821318612,161616.7426536473,264442.4094942711,114434.89750336968,103192.17327609088,162903.51699616582,235972.63768489208,316517.9179384405,0.9819538385285044
5,2018-06-30,138500.0,0.1550522648083623,,43.0,5000.0,100798.29095825266,163247.44970283323,265561.4837497803,116287.38435446109,104211.47825939524,163773.58994360207,237261.4520434168,317937.60891972267,0.983492929120292
6,2018-07-31,146500.0,0.1606837606837607,,47.0,5085.5,101197.60209840932,165703.49186472458,267115.3499569556,118270.6250454121,105215.40624041494,164979.3809203473,239000.7351183352,320015.8647696506,0.9832301420255984
7,2018-08-31,154500.0,0.1577181208053691,,48.0,7550.0,101736.9366951484,167242.6599520133,269059.36404633336,120180.17141438658,106380.15683458593,166348.1611295526,241056.2258805344,322446.2033891428,0.9802652388987582
8,2018-09-30,139900.0,0.1247803163444639,,39.0,5085.0,102287.98846824736,167647.57370052717,270883.76967893966,121528.58384667384,107477.618569261,167816.64017843772,243228.11394878864,325163.22877114627,0.9793733882046624
9,2018-10-31,118000.0,0.1623931623931624,,26.0,5750.0,102620.85932035733,167519.8145963591,272167.5978543614,122916.0039788366,108475.00316321832,168995.1552296347,245016.53531330428,327425.41574858694,0.9763565554522056
10,2018-11-30,137500.0,0.1550802139037433,,12.0,5000.0,103132.0458063957,167781.44186608534,273251.7995542802,124637.30647045012,109335.89154595564,170019.16456960584,246598.18356954225,329605.1537902032,0.977097051916364
11,2018-12-31,142700.0,0.1025641025641025,,26.0,5000.0,103579.06846396612,166855.28416076573,274278.9708534575,126145.95334229186,109878.2216547755,170726.70202013207,247572.95709239328,331043.4832339978,0.976620838102316
12,2019-01-31,137500.0,0.1531190926275992,,32.0,5000.0,104206.30012289462,166322.90814255225,275593.76224692125,126332.46630026169,109791.61924064542,170634.93556653117,247442.31879159863,331052.1711039694,0.9751529096218756
13,2019-02-28,137000.0,0.1294820717131474,,25.0,5000.0,104885.0573389262,166860.74164115964,277191.6036754174,125348.3504503552,109375.76747873092,170009.68459110172,246580.92840177863,330147.9590120552,0.9784412012690352
14,2019-03-31,145000.0,0.1470588235294117,,23.0,7050.0,106328.6818671954,169663.6617456279,279632.47503151,123741.78519695916,109113.5731040128,169703.10215555553,246202.39197499087,329897.27773964003,0.9801761733151384
15,2019-04-30,150000.0,0.1678832116788321,,34.0,5100.0,107904.00206749234,172300.15363955026,282061.3133879767,122411.56861013822,109174.37503463216,170175.60748980936,246676.4257986561,330640.776818176,0.9829082675048396
16,2019-05-31,149900.0,0.1449814126394052,,28.0,5490.0,109543.78649619616,174994.56503771237,284420.2600225859,121248.71746095792,109502.21137299704,171206.83989332383,247779.57888699425,332001.3538175453,0.9845700869440606
17,2019-06-30,152500.0,0.1500904159132007,,25.0,5000.0,110766.01610994506,177148.0017479038,286178.6304548653,120639.38594753711,109841.54807503716,172079.93295903853,248583.2943140308,332831.72305298544,0.984070529286792
18,2019-07-31,162250.0,0.1468048359240069,,13.0,7800.0,111713.69074675512,179243.5961730543,287737.19913057215,120651.328165895,110359.5248285742,172967.2252204627,249433.35652605,333555.7013676136,0.9824309932330748
19,2019-08-31,145000.0,0.1972789115646258,,10.0,5100.0,112475.28665120657,180943.6306225561,289322.9176456931,121355.6049233465,111007.14962153565,173885.48612238004,250425.96012235383,334554.3289622303,0.9837259192103448
20,2019-09-30,154900.0,0.1899350649350649,,10.0,6800.0,113135.81078520684,182228.0855936552,291239.1430789754,121616.21583576551,111769.28729008448,175031.44633364552,251886.70152943407,336408.40535610315,0.983790936198996
21,2019-10-31,157500.0,0.194675540765391,,14.0,5000.0,114233.30607380388,183851.0762893327,293759.6590927764,121506.993471829,112822.55065448864,176525.57339107952,253916.54627977265,339121.90965070063,0.981221418916312
22,2019-11-30,142400.0,0.146690518783542,,18.0,6000.0,115556.8845277686,185537.89163272924,296602.42297372565,121535.55168622186,114189.66176083514,178421.9103235427,256394.2036112529,342079.2352014228,0.9816255539542068
23,2019-12-31,160000.0,0.1150943396226415,,27.0,5000.0,117098.98735361516,185617.33481337733,299449.966666938,122938.82117393684,115879.07036978428,180381.6191347489,258889.6258861455,344815.0834658425,0.9798557014273162
24,2020-01-31,136000.0,0.1420118343195266,,36.0,5000.0,118163.3563229799,184788.5410632085,301486.2839368935,124983.5650768291,117436.33330432967,181942.27915453268,260631.0547144145,346408.66427280824,0.9774616972810736
25,2020-02-29,150000.0,0.1710261569416499,52.0,47.0,9000.0,118702.13517458674,183438.04901002487,302261.8869043607,126736.52731056156,118624.51331275245,182711.990338144,261584.60714962,347263.3217728074,0.979768092319562
26,2020-03-31,173000.0,0.1219512195121951,14.0,61.0,5100.0,118975.74518927671,184543.71732817503,302413.8107615283,128133.76018878106,119530.72974577238,183136.74908593344,262167.56067563273,347811.1931370316,0.9842456748612948
27,2020-04-30,175000.0,0.1266968325791855,17.0,78.0,5000.0,119804.92245170438,187517.2959070505,302578.32098482613,128554.19824817458,120390.48081815428,183670.47410312176,262566.3803768173,348041.2433071399,0.9880345499894416
28,2020-05-31,185650.0,0.1463963963963964,17.0,75.0,5000.0,121060.06704954564,190217.6717375177,303233.17026886274,128240.31830835762,121370.11706829886,184563.1387824884,263205.41151730245,348503.4869327089,0.983685513431549
29,2020-06-30,171000.0,0.120950323974082,18.0,76.0,7900.0,122546.42576254568,193320.68839340223,304199.34664249065,127313.92079402816,122635.5139876834,185908.3645648144,264377.81865970325,349389.1313409152,0.9893846398109084
30,2020-07-31,176500.0,0.1594202898550724,20.0,86.0,7900.0,123688.2003166109,195954.87831044555,305390.4808469857,127458.42455793147,124246.45074732893,187485.2631218375,266441.1469050319,351530.19074160856,0.9910631460091928
31,2020-08-31,177000.0,0.1147540983606557,11.0,97.0,7050.0,125050.37315527632,198634.14557448623,307567.15530047263,127910.00398299552,125856.88192009182,189340.129959294,269131.158800009,354713.7313325647,0.9904793798134968
32,2020-09-30,179950.0,0.1548556430446194,8.0,99.0,5500.0,126911.25506723567,201670.1511638578,310893.9123829222,129067.97833421308,127889.41853615252,191591.6240141765,272385.03246989707,359085.129434076,0.993826803589992
33,2020-10-31,173000.0,0.1453634085213032,7.0,97.0,5100.0,128863.37684663296,202042.59687403703,314274.6351938361,130419.20929023255,130331.7541372378,194173.2864468108,276023.90469910955,364055.61505012616,0.994175106317778
34,2020-11-30,189000.0,0.1079545454545454,14.0,87.0,5000.0,130090.4362905852,201995.7384744156,317098.8140052429,132773.6703781397,133249.34338522828,197100.3505426696,280016.1935741757,369532.0490943522,0.9944180715026
35,2020-12-31,188500.0,0.1651651651651651,12.0,88.0,5000.0,130617.80634706184,202074.2633956024,319452.696841725,135657.5096685444,136056.25641292144,199991.02501167703,284180.77772710787,375126.8389488076,0.9919431738404464
36,2021-01-31,177000.0,0.1163366336633663,18.0,93.0,7429.0,131243.6990226406,202629.58345612555,322651.5890537432,138233.47557203923,138652.87701871907,202925.87226600712,288791.7656389169,381523.177738566,0.9914554492611656
37,2021-02-28,185152.0,0.09375,9.0,96.0,9600.0,132683.0569229263,204898.2571205089,327168.7851222452,141088.7432903905,141444.1180404103,206184.9101428259,294006.66020705365,388687.0045775288,0.993553490434263
38,2021-03-31,189750.0,0.0942928039702233,8.0,87.0,10000.0,134583.76868446814,208368.48400108528,331969.6855352921,144107.0491717748,144346.69467689228,209753.27473724485,299315.9726209292,395636.9553791061,0.9970363760098622
39,2021-04-30,204900.0,0.0657276995305164,6.0,93.0,10000.0,136724.3624521685,213651.2413655436,337571.3356178408,147529.0383507069,147372.4492859895,213766.9401247551,305055.44436741795,403340.12692834623,0.998908184590022
40,2021-05-31,204000.0,0.1044776119402985,8.0,94.0,10000.0,139127.4511971163,220803.8173557019,344055.3905431537,150819.11175047848,150569.62762415397,218401.38388918657,311615.6424504063,412257.8613258752,1.0033475879695632
41,2021-06-30,209750.0,0.130346232179226,13.0,82.0,10000.0,142370.24848772056,229395.98375825275,352486.3281347843,154259.14995656416,154318.804669654,224161.97107706955,319844.22247503017,423579.6287584468,1.003256329240695
42,2021-07-31,235000.0,0.1808695652173913,9.0,63.0,10000.0,145996.69175549454,236433.658438339,360976.3954614706,158048.74713304138,158479.50682252256,230361.85643624,328537.8750831051,435111.0650506842,1.0023365497049372
43,2021-08-31,215000.0,0.214170692431562,11.0,50.0,10000.0,148807.56151508205,239302.4901514444,367453.8346547524,161217.47070341147,162243.87383588668,236051.69006958263,336305.58155935555,445124.96959152847,1.0006993466451508
44,2021-09-30,225805.0,0.1799687010954616,21.0,51.0,10000.0,150615.2144575707,242082.91403882307,371956.0740865904,163910.58891651427,165562.24173150663,240754.20853348327,342835.32109793,453777.376557038,0.9970696078216772
45,2021-10-31,267200.0,0.1914529914529914,15.0,52.0,10000.0,152224.034528847,244842.2705094252,376029.74762742384,166598.31434646566,168484.12634693313,244908.0916930712,348883.08074400364,461982.8210853122,0.9957765144342372
46,2021-11-30,226000.0,0.1672862453531598,17.0,53.0,10964.5,154796.64687537076,248336.25570913247,381506.4379167741,171076.71873502704,171928.34581120353,249161.49223586143,355177.3157800325,470766.7242077541,0.995107281100598
47,2021-12-31,238500.0,0.1092436974789916,22.0,48.0,10000.0,157568.05786003498,249942.0777591563,387772.8382734736,174276.5812437985,175270.51068443854,253691.80508221683,361866.4851146848,479565.7990576015,0.9942261837939966
48,2022-01-31,248350.0,0.1625835189309576,22.0,54.0,10000.0,160263.24761122218,251627.58825636457,394493.5668521416,176346.672421927,179111.6475641372,258762.25074845625,369023.5298992531,489072.5688230695,0.9959333177714662
49,2022-02-28,240250.0,0.1495726495726495,12.0,68.0,14900.0,162793.269493947,255560.73601425227,401682.8874301617,176679.3085776711,183318.816891828,264761.2849589475,377394.6587974157,499798.176863998,0.9938208109569766
50,2022-03-31,265000.0,0.160919540229885,8.0,71.0,10000.0,164261.06839684732,257697.40886025192,408098.0629980806,176716.72955754006,187421.3674848967,270870.0920474883,386029.4344411818,511478.0621040384,1.0033404029392985
51,2022-04-30,259900.0,0.1897810218978102,12.0,62.0,14900.0,165335.681738208,263482.90208570764,414319.393372456,177167.93905033308,191253.41673376737,277012.66242660687,394940.13672545366,523475.9420454257,1.005335361796229
52,2022-05-31,262250.0,0.216696269982238,10.0,49.0,12500.0,165513.4109503367,268382.31013298634,418967.8998636473,177647.01989136395,194211.9622605498,282193.3029352832,402638.42335525225,533883.8550762339,1.0055345612067716
53,2022-06-30,272000.0,0.2568027210884354,11.0,50.0,14500.0,166240.32928037306,272547.4441393417,422804.130797002,179838.82733562877,197342.68300406565,286839.1765705061,409206.8341386684,542613.2135049402,1.0007226033571162
54,2022-07-31,250000.0,0.2390953150242326,15.0,44.0,14000.0,166456.79867855363,274157.53132083843,424052.6815022922,181579.62160671767,199648.09649194183,289833.1022952603,413014.6863889801,547601.9971514901,0.9960930410751478
55,2022-08-31,240000.0,0.2360248447204969,16.0,37.0,11000.0,166369.42499335474,273309.6134849396,423252.3370470396,183065.35897870903,201111.1656841604,290949.4358468902,414141.8716860144,549350.9413906224,0.9904833819807284
56,2022-09-30,239900.0,0.2359375,19.0,31.0,10000.0,165673.76859251954,271724.45624396706,420828.75207848864,182841.29188548223,201535.1779946645,290634.3165913536,413128.6610287675,548022.3141825598,0.9862854553323248
57,2022-10-31,243500.0,0.2622950819672131,17.0,23.0,10000.0,165332.93501837907,271109.997871012,418963.4936796062,182291.8324635541,201810.4654614568,290345.75096689555,412275.19649387966,547267.2652814223,0.9835294349887904
58,2022-11-30,233200.0,0.2531645569620253,25.0,5.0,10000.0,165042.831348856,269057.27255994413,417481.701983604,182266.72206747704,202252.21439897644,290288.7725201871,411686.5337362416,547246.857848524,0.9790359934910444
59,2022-12-31,237000.0,0.1893687707641196,52.0,,10000.0,165020.43412891575,266293.0736441163,416597.0625864444,183542.5520856656,203016.69689513856,290465.2977548837,411653.1443370095,548289.3378929283,0.9776245015382284
60,2023-01-31,249000.0,0.2168067226890756,63.0,,10000.0,164980.60911016804,263878.7843477732,415288.2685230922,184814.2471683352,203839.25804859903,290275.5347949806,411119.3435458901,548474.1493885011,0.9764657178697832
61,2023-02-28,225000.0,0.1735985533453888,36.0,54.0,10000.0,165718.86961265255,264597.9179805187,415033.7062340148,184838.66263372745,204941.5887835401,290940.1871314868,411544.2060853707,549523.4559501959,0.9787433900765506
62,2023-03-31,240650.0,0.2250423011844331,24.0,29.0,10000.0,167140.88197649876,266715.96729939687,415459.8205998757,182305.059219494,205568.9333083481,292007.79136397137,412452.4362161874,551079.3563640303,0.9813877971004938
63,2023-04-30,250000.0,0.219298245614035,16.0,31.0,10000.0,168964.81696180784,270852.26975016383,416869.11915630015,178669.49360943784,206225.0061580387,293880.2115898558,414384.2104775484,553895.7016456162,0.98602511073222
64,2023-05-31,267925.0,0.2079566003616636,19.0,32.0,10000.0,170400.0281387362,274037.86038589414,417818.5276998226,174581.66304139313,206796.57699176765,295728.6983555311,416259.7748347247,556326.2259176223,0.989612307533337
65,2023-06-30,240000.0,0.2392638036809816,28.0,43.0,10000.0,171234.79357154376,276794.060513288,418659.19088762574,172173.27261827982,208080.9824081013,297755.8830024363,418214.8939086277,558595.9066799959,0.9896075001118894
66,2023-07-31,250000.0,0.2031602708803611,22.0,49.0,10000.0,171544.0339654657,278151.9043635319,418759.52425084944,170546.25730770663,209144.0023012312,299179.0702792552,419477.0688758439,559891.5593260395,0.9880557647571724
67,2023-08-31,272500.0,0.2631578947368421,16.0,44.0,10000.0,172039.9249417053,279166.04999452725,418906.32793667744,170221.67052463253,209948.61250995644,300319.4280987976,420452.5572363372,560961.1551135912,0.9881868078995834
68,2023-09-30,275000.0,0.2572062084257206,22.0,34.0,10000.0,172753.143883615,279088.9755163006,419121.682944556,169903.5710088171,210379.75723033503,300940.3867143524,421080.4670437079,561815.5479716416,0.98376534533995
69,2023-10-31,275000.0,0.2668112798264642,19.0,29.0,10000.0,173021.62587032793,277346.25485614216,419378.1635984081,169419.3833316473,210738.4282743136,301581.9006404311,421828.15968102106,563196.746526241,0.9842331030808372
70,2023-11-30,230000.0,0.2258064516129032,29.0,,10000.0,173168.46490104793,276551.08032608364,419716.7206206999,168831.98510733552,211028.77753060585,301869.6012203223,422291.447398281,564289.5205191652,0.9797918961426598
71,2023-12-31,238700.0,0.1835748792270531,29.0,20.0,5100.0,173360.28612945098,274462.3119370962,419764.3532801455,167603.43125116514,211393.8643891812,302211.4210327578,422928.6683500223,565674.8682307954,0.9775916409467676
72,2024-01-31,268900.0,0.2531969309462916,64.0,19.0,10000.0,173551.21156720133,271109.7029370932,419164.2563763046,165861.2860911286,211840.4350969288,302969.6145799891,424129.94042329193,567380.819542008,0.9770891327031824
73,2024-02-29,258000.0,0.2556390977443609,51.0,25.0,10000.0,174055.50047431735,272664.6892343818,418921.2670746888,163291.94444127337,212838.24602637743,304646.40384869144,426244.74596477015,570062.736805708,0.98014555119702
74,2024-03-31,275000.0,0.237410071942446,27.0,30.0,10000.0,175391.13811515158,275953.4725182902,419515.3647183799,161672.1672795074,214095.76896261645,306636.0935726953,428564.4912878177,572522.6273417418,0.9817076247993926
75,2024-04-30,,0.2283298097251585,36.0,32.0,10000.0,177574.04990785368,279523.1502071916,421213.4094881921,161197.63768218292,215647.95625030785,308107.6894069095,430170.9338310506,574345.4265705994,
76,2024-05-31,,,,,,,,,160689.76452381402,216456.75211072943,308922.6388886227,431224.9633848806,575918.7930173523,
