,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,195000.0,0.1501416430594901,67.0,39.0,,138207.79328306337,209938.382291856,323858.28917983774,142092.28457336806,163176.35463847188,224745.2788901565,262454.5599278102,282445.1688950201,0.9895580024677636
1,2018-02-28,212887.0,0.1366279069767441,35.0,37.0,,139038.62289625892,210723.46310213205,324535.647755098,142926.25364614202,164077.06756279632,225639.6000495845,263320.345957947,282953.44869289704,0.989595829575364
2,2018-03-31,188000.0,0.1581920903954802,36.0,42.0,,140470.67288036607,213533.91168793896,326100.8210136725,144367.55551908302,165510.14019173916,227059.3142138013,264838.22556280723,284326.36544510024,0.988953319129551
3,2018-04-30,205000.0,0.1329639889196676,29.0,50.0,,141621.74782066423,214962.2040004008,327987.81611319835,145243.6042251337,166686.8541367707,228490.7763001349,266373.84072364896,285787.44668233854,0.9910818108795674
4,2018-05-31,188250.0,0.183206106870229,18.0,49.0,,142347.71213681393,216838.28345581944,329819.10578589584,145687.467365592,167344.54425799762,229675.5262964441,267553.3040540498,287004.7551045402,0.9928864548491242
5,2018-06-30,189500.0,0.205607476635514,21.0,47.0,,142690.21289255374,219867.5453951601,331217.61461036064,145851.353131915,167741.89837548594,230626.58768526828,268272.14908496203,287610.1380816799,0.9925448036752323
6,2018-07-31,221250.0,0.2089249492900608,34.0,48.0,,143338.01210084066,222593.8804850854,333151.9070317944,146448.73884716176,168460.47479440024,231994.6736214537,269456.1552411709,288807.0993006469,0.993034278094582
7,2018-08-31,193400.0,0.2244488977955911,30.0,46.0,,144327.42250610012,223790.29791316853,335259.8492586894,147343.23393687067,169591.7220998702,233512.8607015335,270956.8473079342,290388.8629868899,0.991498476115726
8,2018-09-30,220000.0,0.1554621848739495,41.0,40.0,,145374.43739101387,224765.40217194683,337127.2260032612,148193.10564790296,170701.96443029522,234930.8101193244,272528.36764963955,292052.9651464434,0.9846314637551514
9,2018-10-31,218000.0,0.1733333333333333,44.0,35.0,,146390.18937019273,224910.308680072,338494.9808419481,149091.8889413824,171810.56699266055,236054.3331376521,273938.8363426088,293827.37336456584,0.9862824393938852
10,2018-11-30,222000.0,0.1307692307692307,40.0,35.0,,147600.5000677741,225382.95544088449,340117.80044234486,150225.02977043905,173113.00534429643,237364.39286954727,275520.2983910726,295726.23895914346,0.9884860646152808
11,2018-12-31,219000.0,0.0793650793650793,55.0,40.0,,148997.176107973,225892.6880537181,342386.3895759724,151619.70723942458,174612.07762916872,239025.2288945863,277499.09883021004,297840.8960041202,0.9828626108511932
12,2019-01-31,208500.0,0.1163522012578616,88.0,48.0,,150680.87674647267,226130.74422001195,344518.1995030116,153503.46747545796,176279.6799894989,240661.0800220364,279319.49788555107,299778.5525233064,0.9828945546150416
13,2019-02-28,221000.0,0.1437908496732026,45.0,58.0,,152203.59223471853,226091.92820763664,346263.8694432376,155234.68586333384,177655.44002177706,241998.8232632978,280885.5834203156,301739.0992307381,0.9869732609493972
14,2019-03-31,213000.0,0.1406727828746177,15.0,59.0,,153728.85048256573,228122.3628358684,347465.1728160676,157032.15847585298,178897.13454623413,242999.3427212269,282066.87037354545,303644.89957645664,0.989127390593523
15,2019-04-30,202200.0,0.1788617886178861,36.0,56.0,,155079.3261459953,230799.2840559641,348901.8855983427,158544.9649784494,180075.49318340467,244205.77330105088,283319.7891783462,305452.7643529575,0.9875232766748844
16,2019-05-31,210000.0,0.1858190709046454,23.0,46.0,,156236.2518904583,233253.83257837032,350225.5405535144,160036.0152863535,181191.1047998015,245438.469730016,284423.3997812919,306833.1016249284,0.9936971188371324
17,2019-06-30,215950.0,0.2039312039312039,22.0,54.0,,157290.39555073486,236982.0963690905,351859.8927194018,161533.43692849088,182423.15507964385,246893.730519581,285787.35290553706,308332.4956673789,0.9926307373981796
18,2019-07-31,255000.0,0.2162790697674418,14.0,63.0,,158210.82417520706,239311.91707345864,353448.12911624584,162859.93961185557,183552.5604928114,248164.97649751624,287207.4208299503,309840.26930796326,0.9932862614287448
19,2019-08-31,220000.0,0.2398081534772182,31.0,68.0,,159407.26560489828,241388.53238229625,355528.7065871503,164171.9829349829,184982.46463630605,249825.03240467407,289152.1585937498,311852.830749316,0.9909768565036224
20,2019-09-30,225000.0,0.2167487684729064,24.0,56.0,,160415.94804035494,242176.5215388468,357256.2959048737,165031.04976156927,186115.4398469173,251192.70977308849,290782.7133799543,313553.3440333313,0.989227362874182
21,2019-10-31,236500.0,0.2103896103896103,34.0,51.0,,161682.84958875968,243121.99576482648,359274.2880992696,166198.95290136908,187490.07837440944,252785.77328336457,292620.1918764606,315604.62607976975,0.9895970570439588
22,2019-11-30,273500.0,0.1476323119777158,44.0,46.0,,162821.3755658523,243171.49305418765,361264.4855627406,167312.388657654,188738.59548348165,254211.88293123795,294323.0555576344,317538.9865135433,0.9906594291336864
23,2019-12-31,229500.0,0.1100323624595469,42.0,47.0,,164080.55010882983,242735.030216965,363142.3325394479,168494.74748712638,190180.47897788743,255666.1633524825,296044.4512450691,319507.4084633025,0.9874119631183976
24,2020-01-31,215000.0,0.1401273885350318,53.0,49.0,,165092.53492400635,242255.67625405715,364562.8316193381,169236.5685075707,191403.45221987544,256842.5603563548,297471.3076824209,321015.60794560285,0.9870953452459308
25,2020-02-29,215000.0,0.1967213114754098,17.0,51.0,,165883.65209557491,241717.62716812128,365788.5652893069,169850.43228711883,192313.3827785981,257773.3972082386,298760.21380205086,322455.8008484302,0.9877779451788034
26,2020-03-31,245000.0,0.1589595375722543,15.0,55.0,,166659.9411645294,243674.4786613028,367467.8419978297,170743.23712366773,193148.79980348647,258756.8546735785,300094.6316628014,323859.59738081513,0.9902344563628224
27,2020-04-30,249000.0,0.1041666666666666,14.0,60.0,,167465.83445548287,246102.80973187264,369368.4867395369,171852.25712063196,193880.15550048143,259799.7995162772,301416.2490189768,325354.6670571018,0.9952271791554717
28,2020-05-31,225000.0,0.1066666666666666,39.0,60.0,,168251.80006489813,248076.71209418325,370845.8295303906,172929.03224803755,194594.47731058145,260672.8025616269,302345.1710520333,326248.62677050004,0.9913375294243784
29,2020-06-30,244500.0,0.1671388101983003,27.0,62.0,,168889.51636798683,250779.4910918555,371894.0944957287,173688.2460987585,195224.1547695133,261469.0692336685,303189.5469087588,327117.1524658327,0.9919055797934704
30,2020-07-31,253750.0,0.1367292225201072,15.0,68.0,,169746.75677776997,254989.2482649514,373367.418358323,174367.32304767173,196298.2566858937,262865.73574642866,304629.811678682,328329.9820500296,0.9942064325310788
31,2020-08-31,242000.0,0.1303191489361702,16.0,71.0,,171261.31007315914,258208.06784939792,376204.500644104,175506.27717759684,198121.0732383025,265203.9558703521,307189.68208977976,330760.9833447405,0.996056725128272
32,2020-09-30,242500.0,0.1238390092879257,12.0,64.0,,173903.48615404012,263222.66999293794,380970.0638277793,177811.8617969538,201101.9403543788,268820.3233593067,311218.28180640424,334726.4934027176,0.997239789586264
33,2020-10-31,245000.0,0.1312056737588652,21.0,60.0,,177195.11913360373,267007.49042270094,386896.4903077981,180795.77509284776,204662.3108964116,273075.7648468561,316132.4607975712,339794.75090544234,0.9988532014406548
34,2020-11-30,234000.0,0.0978260869565217,8.0,60.0,,181152.40180995336,271421.625618337,,184668.99311625664,208982.5368520908,278258.19629036804,322181.99807595834,346161.85323355737,0.9998722178686332
35,2020-12-31,247000.0,0.0795454545454545,11.0,60.0,,184869.4075669956,274691.4162518717,401739.11344262265,188228.7760258756,213105.96438623848,283573.41443645925,328586.86642673105,353034.1953700168,0.9994538531788794
36,2021-01-31,232500.0,0.1015037593984962,30.0,66.0,,188347.51526374416,277043.3557273159,409037.2563823661,191627.09711458083,217056.83909098804,288777.808683386,334871.20242505026,359825.4334825668,1.0005826875686985
37,2021-02-28,242700.0,0.1,7.0,74.0,,191994.71819076632,282109.6075580484,416871.0626704224,195008.0985632093,221210.4494889832,294197.1826066773,341518.40059770696,367135.1592299817,1.0022304719148738
38,2021-03-31,279000.0,0.1265822784810126,7.0,81.0,,196205.7316782392,289425.14148779487,425239.4279909046,199336.4192039843,225970.29381094323,300057.5110572775,348461.25094600813,374582.5916160781,1.0087064174911382
39,2021-04-30,254700.0,0.125,6.0,79.0,,200913.27722810945,297274.1571725212,435301.1055714343,204536.822982069,231386.3847783873,306727.8184585786,356436.19090924365,383280.4039336626,1.0150629463753147
40,2021-05-31,300000.0,0.1060070671378091,7.0,77.0,,205494.52176558413,304896.9456754295,445340.0980591552,210088.60644710413,236752.80401306823,313275.4782148681,364025.7655953696,391430.7462212737,1.014714327284728
41,2021-06-30,289900.0,0.159322033898305,7.0,78.0,,210177.6498074011,313415.0462587587,455047.2175541918,216167.59774374345,242225.7684682094,319750.8688683333,371317.03377244505,399339.83016092767,1.0185027314122004
42,2021-07-31,299500.0,0.1835443037974683,10.0,81.0,,213814.6853421668,318202.33638027235,462551.77150443225,221757.02025860097,246813.9210051956,325108.9725927301,377109.9628139818,405742.46879783977,1.0147450205623658
43,2021-08-31,310000.0,0.2024539877300613,15.0,79.0,,215688.1958024845,319145.5977402067,467217.16110401385,225835.51449671705,249793.2800872993,328852.3828552996,381414.53615797707,410691.7684121454,1.0087700358389495
44,2021-09-30,320000.0,0.1776315789473684,10.0,67.0,,215589.72029499788,319779.0910145666,470000.0098898671,227741.3831723892,250955.0729245577,330878.22429348784,384352.52070234384,414249.68059734936,1.0063426062870149
45,2021-10-31,278500.0,0.1595744680851064,10.0,62.0,,215604.74021869863,320805.929646642,472923.2670738114,229106.7984319112,251855.7545422144,332587.67418273323,387302.7627298312,417694.6890643896,1.0047163590520118
46,2021-11-30,320000.0,0.1715481171548117,15.0,62.0,,216848.10234063896,323103.31324678473,477392.49568933086,231243.51852919973,253572.7289624081,335194.1812644112,391106.038197146,422206.4841535756,1.0000577937345352
47,2021-12-31,325000.0,0.0566037735849056,6.0,71.0,,218632.56337300976,323207.41185972816,481843.2434288048,232889.79241734577,255618.26522931457,338423.09653293964,395492.5437159138,427428.3657626806,0.9953232028652508
48,2022-01-31,285000.0,0.0792079207920792,6.0,73.0,,221865.12068545973,327286.17268266634,487411.9102317708,234423.880543754,258729.6343661414,343090.99072223745,401031.8798491521,433725.4525676544,0.9998922395049968
49,2022-02-28,271000.0,0.1014492753623188,6.0,77.0,,226105.1966597029,332347.16274916526,493541.37435655104,235908.1472607633,262737.7407902827,348677.1677230624,407295.3235323737,440490.9477992328,1.0031909124453489
50,2022-03-31,345000.0,0.1148936170212766,5.0,76.0,12700.0,231766.4938397057,340194.8787647328,502324.0902638182,239148.3885436713,268064.4852896615,355547.28651784523,414743.38332365936,448469.6655125129,1.009231437709731
51,2022-04-30,363000.0,0.1374045801526717,7.0,74.0,19000.0,236616.5318860997,346705.3559742004,511382.4380406805,242856.1942725795,272946.1658682394,361925.5330319076,421717.7260339645,456175.33194158506,1.0132857087392035
52,2022-05-31,317500.0,0.1713286713286713,5.0,63.0,20500.0,240452.27979080085,353188.0549946385,520146.0255422344,246314.8064051381,277111.8037128461,367779.26344891824,428162.2624761144,463203.2617370353,1.0108657443009637
53,2022-06-30,357500.0,0.2419354838709677,13.0,56.0,16000.0,243407.9361107417,359180.83153303165,526921.6408363623,248920.21410248303,280494.4776525905,372532.7898821684,433276.99947080994,468718.7047230554,1.0061317111418255
54,2022-07-31,390000.0,0.2529411764705882,18.0,50.0,20000.0,244827.17138919144,357867.31774360006,528826.6047030595,249604.18142276685,282021.96784497966,374676.7078921652,435403.50701757614,471179.01314742304,0.997566368581392
55,2022-08-31,345550.0,0.26,23.0,49.0,16000.0,244989.52571873472,354994.5779194538,526780.44986731,248593.2596985897,281709.1824732811,374334.7114999167,434814.4900028244,470806.4966194032,0.9937208668414442
56,2022-09-30,325000.0,0.25,24.0,47.0,18000.0,243904.7536328984,352003.15802377684,521924.40938392543,245876.8826366808,279804.6937073094,372058.0996273197,432208.6618051709,468381.4055245704,0.9915177102970884
57,2022-10-31,282000.0,0.2287581699346405,30.0,41.0,14500.0,243475.84253746577,350152.8588156265,518971.8413264773,244000.35694312,278559.5266964839,370543.4325412287,430648.53495212673,466909.7865460776,0.9911480596762025
58,2022-11-30,374825.0,0.2291666666666666,33.0,31.0,15000.0,243189.6755707737,346646.3304688323,516454.2993262987,242448.1234990482,277661.68922119745,369229.1538235536,429231.5239490664,465540.7210465178,0.9872413548724436
59,2022-12-31,334999.0,0.1607843137254902,28.0,27.0,12250.0,242685.87030644936,341966.1536341023,514776.1280735049,240973.95893442945,276661.47208572965,368048.41093029967,427688.04373208265,464035.3149712309,0.984868879927812
60,2023-01-31,330450.0,0.2159090909090909,47.0,32.0,15000.0,241657.55476988075,338951.9589033441,512487.9650036825,238646.6741172264,275322.01362147136,366703.9326868898,425601.5537325787,461792.3684701323,0.9799742380487378
61,2023-02-28,313500.0,0.1744186046511628,11.0,40.0,20000.0,240636.43116616388,338277.928097643,511413.17516331776,236749.2819969845,274205.40625188965,366057.04415511136,424419.6045368714,460825.5493640544,0.9862623929361904
62,2023-03-31,333000.0,0.1715328467153284,13.0,45.0,15050.5,241108.82088504903,341459.3501667091,510992.1378794839,236350.92025352744,274398.9508777962,366399.4932137509,424370.6082542439,460996.375586508,0.9929169702333192
63,2023-04-30,335000.0,0.1872791519434629,20.0,50.0,17500.0,243138.6686205798,347350.63599408284,512491.6594615728,237914.26417119743,275985.5877822977,368066.05734941474,426037.9320795981,462733.17744508287,0.991627110876494
64,2023-05-31,340000.0,0.2233009708737864,18.0,49.0,10000.0,245912.68827167084,351952.5600977899,514970.8385552084,239728.3789178861,278153.853224248,370440.47275389,428558.25135002425,464865.11176416633,0.9954174255416705
65,2023-06-30,330000.0,0.2729805013927576,25.0,44.0,12900.0,248543.19473095727,357597.1348582715,517984.8677619462,241353.7156249252,280397.4651934569,373330.0116163238,431953.5585688112,467728.8986775458,0.9942360205710424
66,2023-07-31,316000.0,0.250632911392405,26.0,37.0,14600.0,250393.9329154185,360658.728283297,520400.3073048368,242197.6565280445,281999.82550933934,375670.0977786458,434933.977931811,470308.8899106672,0.9968484468929528
67,2023-08-31,329000.0,0.2787286063569682,23.0,32.0,15000.0,251912.66891493383,360634.9677439111,522348.8122768073,243020.94054768083,283250.49068573845,377432.5903311935,437324.97801421705,472527.75211551023,0.990333020922434
68,2023-09-30,385000.0,0.2429667519181585,29.0,23.0,16000.0,252283.2299444944,358109.0965566752,523449.42776517454,242892.9184376549,283363.3313765163,377862.0017265808,438187.6675925499,473225.4646361223,0.9931669225114212
69,2023-10-31,320000.0,0.2168021680216802,40.0,20.0,14000.0,252147.5405424478,356001.3491445512,523815.0949092144,242285.3439956808,283048.8219788302,377565.2026275902,438226.0096789187,473217.4973574045,0.98622406607907
70,2023-11-30,280000.0,0.1661971830985915,31.0,26.0,16750.0,251631.8845079188,353138.1524778111,523042.0416688548,241346.2095477558,282542.403452416,376743.44834151695,437281.0201705445,472022.140388928,0.9839045251582678
71,2023-12-31,320000.0,0.1377049180327869,38.0,30.0,15000.0,251010.37268345847,348764.15910073766,521496.5227366551,240756.22031658003,282035.3991247515,375881.03102623904,436236.1066505395,470672.03282009874,0.9854222378886918
72,2024-01-31,300000.0,0.2152317880794702,62.0,27.0,16500.0,249695.7968495522,344720.77846581896,519219.3659458106,239935.4535026234,281017.565729462,374654.497059368,434616.48205371527,468509.94738473726,0.9848925860448188
73,2024-02-29,340000.0,0.1538461538461538,46.0,27.0,15000.0,248507.1404016336,343885.16119526135,517465.6356583115,239289.61230010563,280115.95212194487,373742.92223463743,433551.3307316955,467028.1406663729,0.983848907082332
74,2024-03-31,310000.0,0.1688311688311688,11.0,30.0,14000.0,247893.1246222836,345891.77866122965,516891.2289705764,238549.9698445294,279536.9446956467,373404.01220149006,433203.7688496217,466662.9835231018,0.9875447083425364
75,2024-04-30,,0.1977077363896848,23.0,31.0,15000.0,248344.25134145576,349595.7661302998,517448.4564420444,238406.6865197817,279650.6026498414,373953.0841073631,434266.3372480015,468474.3111371903,
76,2024-05-31,,,,,,,,,238220.34204883195,279735.05518352764,374386.6316761416,435238.0136894894,470288.52783289045,
