,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,180000.0,0.1539611360239162,78.0,39.0,5700.0,106509.89449636836,166974.8389851205,268995.3436231347,86365.2582971874,110320.53817519837,167573.90998621137,248931.59508953185,344274.64043404086,0.9733426349931972
1,2018-02-28,175000.0,0.1375231053604436,76.0,38.0,5900.0,106992.95916122194,166678.64331090526,269427.15796084766,86854.88281355076,110865.76257250272,168347.1544513512,249524.24652775493,344844.7055218567,0.978543049027122
2,2018-03-31,174000.0,0.1558895491087032,60.0,40.0,7049.5,107650.06464343012,168280.91764033484,270041.564037972,87357.41042075699,111548.36458100266,169130.69286242302,250130.9413064916,345649.9154077838,0.9839980130151168
3,2018-04-30,179000.0,0.1488716739642977,36.0,42.0,5900.0,107905.93975052836,169094.18629019524,270484.3320615205,87559.12285909099,111949.68611876316,169621.47399538002,250757.11279848235,346261.8353889763,0.9865190339620912
4,2018-05-31,183900.0,0.165294698715838,42.0,42.0,7050.0,107934.5805824639,169751.17768335337,270803.51843286376,87593.43113180739,112187.50121177566,170030.19754428533,251360.72891248585,347014.5128470966,0.9854052511668918
5,2018-06-30,188000.0,0.1704907584448693,44.0,41.0,7000.0,107497.16850558152,170299.05870276492,270474.6674124761,87258.80955098545,112110.061285644,170176.19019531258,251408.1164231399,346915.08110952185,0.9863438295371532
6,2018-07-31,184950.0,0.2021376925495127,45.0,40.0,6000.0,107351.47472278216,171250.12288181012,270391.9662352299,87034.89267186988,112117.80979837484,170461.89230124027,251502.8115443686,347500.8686920074,0.9843218369515054
7,2018-08-31,189900.0,0.2053736874613959,53.0,39.0,5900.0,107258.03266519944,171259.54098806746,270485.0379154908,87012.98558936994,112273.08382443331,170786.4577596138,251797.26119999264,348379.6087557199,0.9823433427454522
8,2018-09-30,179000.0,0.1700499168053244,65.0,38.0,5384.0,107198.91588193964,171111.32026505357,270659.53502786974,86974.02934236241,112416.82208549704,171198.83359594774,252318.7683522548,349261.0424159963,0.9795694020488642
9,2018-10-31,180000.0,0.1910528086108308,61.0,37.0,6000.0,106865.81944915834,170540.68628576724,270472.8313252293,86873.1700645099,112523.50594265696,171384.6627499702,252528.8046235592,349632.9767704345,0.9795692760118432
10,2018-11-30,182500.0,0.1517455928102316,59.0,38.0,6000.0,106887.46872230986,170533.8081759487,270477.81482990406,86828.85495861487,112660.05091626338,171615.30185046347,252679.4452382417,349979.0603217048,0.9780497594059948
11,2018-12-31,182500.0,0.108695652173913,72.0,40.0,6000.0,107151.44342636642,170212.91427511122,270571.24953165563,87081.24395340872,112927.81942817324,171868.54111134025,252720.70533229425,350351.6490537575,0.976273295121986
12,2019-01-31,186000.0,0.1574634841467759,73.0,42.0,6000.0,107325.2631135551,168101.68267319963,270438.9155676348,87362.3419939389,112825.15351688006,171699.07850393318,252355.3114375061,349847.66649700626,0.9760850837931384
13,2019-02-28,181193.0,0.1464273143259415,64.0,43.0,5600.0,107305.13086691171,168183.0795751857,270311.33919042425,87579.58416030499,112576.04928505614,171347.91651760254,252052.47222845,349276.2244907908,0.9774794015220928
14,2019-03-31,179736.0,0.1556510244547257,48.0,44.0,7000.0,107631.42740651726,170476.9679366576,270723.2909534723,87796.51606939365,112371.01091153012,171112.22503345064,252154.69576829407,349347.8574779862,0.9848571083788036
15,2019-04-30,182000.0,0.1723037651563497,37.0,44.0,6900.0,108584.8631948991,172806.61915328025,271804.31539068033,88245.8866120145,112679.816353907,171540.00567582386,252998.72099540549,350214.694912238,0.9822805315065912
16,2019-05-31,194000.0,0.1835900660169758,49.0,42.0,6900.0,110166.36832317631,175614.08019337806,273016.4963918444,88798.0041145254,113313.78112282512,172320.76862888076,253904.1691298579,350842.7995668017,0.9850046317389652
17,2019-06-30,195000.0,0.1831651954602774,41.0,41.0,8000.0,111991.50158049424,178324.559188121,274252.0100538028,89475.22104874595,114188.4263515689,173206.19706919338,254745.3511703903,351058.72392089904,0.9837791684479714
18,2019-07-31,203000.0,0.2130829015544041,43.0,42.0,8901.0,113544.08390493233,179330.10788194125,275375.135166914,90049.99165383454,115082.05436673266,173999.02372299906,255435.63222384907,351399.53731091163,0.9841930554370084
19,2019-08-31,193700.0,0.1919191919191919,53.0,42.0,7600.0,114747.65467674664,180580.1232842681,276559.0910471308,90605.75856160032,115902.7579916938,174826.70818640222,256189.6008965301,352120.449898213,0.9815931402809466
20,2019-09-30,190000.0,0.2094076655052265,53.0,41.0,7600.0,115598.2125785894,181487.0455905947,277646.58147468354,91182.76589865307,116639.13079594512,175590.05962733284,256944.80643294388,353082.1021404539,0.98242402909528
21,2019-10-31,195000.0,0.1803977272727272,56.0,41.0,5901.0,116455.00877999602,181514.77118408805,278823.0390990556,91699.67999456328,117265.98751982785,176433.5085910674,257822.89784249847,354483.01887643774,0.9781202688915588
22,2019-11-30,194000.0,0.1392736802695619,55.0,40.0,5400.0,117500.90930383396,182054.97473672355,280080.9861289629,92257.57653446804,117897.25405658974,177262.51733332415,258723.45257088423,356089.2765752142,0.981165585119377
23,2019-12-31,205000.0,0.1125148045795499,60.0,42.0,5500.0,118739.49677904758,183074.1041911305,281450.3408086027,92935.56393562148,118614.25813386742,178212.8218432056,259780.6071880114,358171.4883861385,0.981366314496152
24,2020-01-31,182375.0,0.1702459976571651,68.0,44.0,6000.0,119393.97956080476,181101.9275689638,282565.1488246418,93828.2424262305,119353.8016357402,179028.29350497914,260755.66633525505,360125.01484721265,0.9763314715539836
25,2020-02-29,203500.0,0.1888847164851671,52.0,45.0,9500.0,119611.79202030136,180722.71722794088,283491.8315898301,94712.09614009534,120019.67067454124,179697.24319617008,261697.73695392103,361978.3283814481,0.9770995907904444
26,2020-03-31,202250.0,0.1317343173431734,45.0,47.0,10000.0,119421.90919836266,181960.69427779035,284225.3981831595,95474.30647644098,120554.41101311657,180194.4838022717,262476.7434248154,363644.81785859953,0.9849714050187698
27,2020-04-30,199900.0,0.1120448179271708,36.0,50.0,8500.0,119896.30053450492,183817.7270827768,285073.93562566186,96124.03315329774,121114.83550425062,180753.7347342154,263204.49112456973,364835.5576047829,0.986718921002108
28,2020-05-31,206000.0,0.121996996996997,39.0,54.0,8500.0,120340.51883047972,184775.15123892296,285571.7450726742,96509.01208748156,121448.90026627456,181058.4994000813,263673.34184021485,365562.7888772783,0.985630545786048
