,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,130000.0,0.0888888888888888,67.0,28.0,,88305.34884888098,151251.109247044,257103.24864620765,62762.44124418079,120985.3845869564,170374.06021267184,237942.7946258176,319747.52275238576,0.9721718996850758
1,2018-02-28,140000.0,0.0971962616822429,30.0,31.0,,88843.0875444117,150669.82330260478,258196.07295378883,63494.45278104587,121811.62917280287,171538.75989715054,239644.93493106271,321694.3819411184,0.9731645911547748
2,2018-03-31,136450.0,0.1127946127946128,36.0,36.0,,89944.48588497193,152659.95289075223,259821.33723681903,64456.15498170192,122828.69688248805,172812.31700890898,241432.9298882827,324100.748546958,0.9780657479774834
3,2018-04-30,132000.0,0.1293929712460063,26.0,35.0,,91033.12108059623,153889.19653700967,261149.4777811588,65417.655041717655,123820.99157682616,174017.20057977395,243099.1563532206,326737.1751631683,0.982651745920842
4,2018-05-31,145000.0,0.1802232854864433,32.0,34.0,,92171.23512270406,155263.59606377344,262581.4749390346,66505.5945425823,124860.94039841944,175289.86376128698,245015.2531062921,330403.1937632121,0.9819538385285044
5,2018-06-30,172000.0,0.1322674418604651,28.0,31.0,,92926.3134507317,157075.9790016727,263713.9814194136,67267.03004145612,125863.72548996046,176559.69809802028,246924.5251593128,334101.05249259685,0.983492929120292
6,2018-07-31,151750.0,0.1579710144927536,38.0,31.0,,93791.29071049704,159938.60241843836,265548.57202815235,68044.48614225133,127186.10091541754,178329.49623530565,249420.72347034668,338240.7485583308,0.9832301420255984
7,2018-08-31,150000.0,0.1540697674418604,27.0,31.0,,94531.94970830755,161193.87138791202,267117.78264420264,68627.03456863466,128480.54245030944,179923.35489155733,251432.2912241324,341223.81001577503,0.9802652388987582
8,2018-09-30,156000.0,0.1596899224806201,47.0,31.0,,95199.37198363268,162095.94931554885,268433.7071895295,69199.74519815044,129772.07182100588,181467.73063706903,253221.40546114417,343839.55834219523,0.9793733882046624
9,2018-10-31,143000.0,0.1608832807570978,65.0,25.0,,95478.20741576124,161971.32180419896,269203.61115322774,69647.75541206684,130651.0444427459,182440.7625396528,254333.69847168648,345919.0100736362,0.9763565554522056
10,2018-11-30,148000.0,0.1349480968858131,64.0,20.0,,96028.84776398868,162317.76030704618,270095.35314215,70214.40787443807,131483.91603072023,183420.66661566155,255522.29396088,348344.4138915448,0.977097051916364
11,2018-12-31,142000.0,0.0635838150289017,69.0,25.0,,96713.1570137953,162185.88050994006,271125.3931155811,70805.16870477657,132160.1638921145,184145.2658616594,256506.0299664284,349975.9886850291,0.976620838102316
12,2019-01-31,139900.0,0.1473477406679764,65.0,33.0,,97540.29158112445,162321.3571652895,272695.5519529721,71165.71249738922,132472.4794426799,184478.5541369925,256854.49462500968,350410.88635572215,0.9751529096218756
13,2019-02-28,129900.0,0.0739299610894941,45.0,37.0,,98511.27178194218,162790.7532233665,275254.2586390384,71357.22214175294,132529.87618443868,184637.30855307684,257141.92238445824,350784.3272400433,0.9784412012690352
