,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,94750.0,0.0850340136054421,,21.0,5000.0,55693.52176717189,103470.66516727446,175129.7218410694,56878.93296458739,74259.34438882365,114688.45327593492,137880.46796625678,162144.67723321146,0.9819114129107364
1,2018-02-28,84750.0,0.1082474226804123,102.0,19.0,5000.0,55904.75322674741,102902.63333347392,175671.66359322015,56807.83413041759,74199.06848342698,114839.10533584464,138400.93267378522,162727.81780536624,0.990882872652186
2,2018-03-31,89000.0,0.1436170212765957,93.0,19.0,6000.0,56412.469176038525,103704.09246745546,176521.43903578038,56979.39634795025,74615.50750929222,115236.23960693055,139126.04698094467,163339.08579625972,0.9895603614347964
3,2018-04-30,87000.0,0.1603305785123966,76.0,19.0,5000.0,57001.67138199812,105279.56800985294,177451.6306005104,57261.648595079685,75258.09812407593,116022.989088524,139972.6256336618,164193.0294391519,0.9958081478482572
4,2018-05-31,94000.0,0.1831210191082802,49.0,23.0,5675.0,57616.04741421839,106853.6165484852,178085.9688633728,57522.063504125545,75860.17824909033,116659.1295002863,140576.03086600496,164789.8437164573,0.9950541499382562
5,2018-06-30,99500.0,0.1404580152671755,36.0,23.0,6000.0,57815.82455733608,107518.92020001195,178297.77947039084,57512.48360593906,76272.14706461766,117057.2951188995,141066.20728836514,165586.90601682395,0.9986493847163675
6,2018-07-31,120571.0,0.1759398496240601,77.0,23.0,5100.0,58048.31727868013,109257.18577026384,178406.35359271627,57487.175912784216,76635.67028548519,117098.42804824964,141439.48903785748,166158.02222376587,0.9989092129225706
7,2018-08-31,95000.0,0.1681957186544342,52.0,19.0,5000.0,58105.32085975368,109755.3941899925,178247.9420986873,57548.66811016665,76899.46917349719,117109.76549051504,141620.5038651954,166809.14808834862,0.9895800184502532
8,2018-09-30,104000.0,0.1842105263157894,73.0,17.0,5500.0,58466.30482817828,111014.88439404489,178419.93310935784,57778.2938140681,77285.13794065204,117501.09438957371,142046.50967766636,167797.71748210455,0.993027130334172
9,2018-10-31,104950.0,0.1766467065868263,78.0,17.0,5000.0,58690.75643768278,110587.4187466408,178517.4451384002,57878.16329391935,77596.39831256284,117999.5265638696,142488.96261431414,168762.69514941797,0.9910875059729548
10,2018-11-30,107500.0,0.1278890600924499,104.0,21.0,5000.0,59217.654581725634,110426.60804382552,179080.3706304362,58073.02728058933,78160.57482043433,118706.37698498934,143315.40258005794,169696.6575546096,0.99032076192305
11,2018-12-31,105000.0,0.089430894308943,93.0,24.0,5900.0,59780.27980459664,109591.3377384809,179794.3579515438,58679.65004719183,78669.20988763143,119450.15664752683,144126.5421136275,170349.48764182325,0.9892664370295547
12,2019-01-31,107500.0,0.1219081272084805,77.0,24.0,5000.0,60478.12430360436,109612.95443509668,180911.7978745541,59662.61276734248,79282.65410499861,120396.81301328966,144962.48798376005,170698.99356539146,0.9896188476621828
13,2019-02-28,77600.0,0.1162361623616236,91.0,21.0,5000.0,61260.21447792921,110156.85079280067,182348.08214096748,60780.88985193874,79986.08990420094,121463.45813150344,145817.77459853052,170910.54308384887,0.9918490914041884
14,2019-03-31,104250.0,0.1584327086882453,133.0,25.0,5100.0,62229.44633065228,111627.64331809337,183873.76049708968,61650.8274526234,80833.14203277422,122346.77979514578,146541.51316972973,170736.79046677062,0.99262144970641
15,2019-04-30,93364.0,0.2086092715231788,28.0,28.0,5100.0,63124.10929341841,113044.79002572747,185226.4973449139,62303.86128332446,81630.28351323865,123125.49402155896,147153.05286729665,170808.80159597227,0.9969696969696972
16,2019-05-31,117500.0,0.1846921797004991,33.0,29.0,5000.0,63591.4162914143,114070.36136237532,185964.88283159243,62596.92220847036,82042.95302132772,123486.75087724673,147320.67553209304,170440.13022294265,0.9971789985199156
17,2019-06-30,115000.0,0.1848739495798319,38.0,29.0,6000.0,63828.94862931742,115800.15713868476,186482.19833515267,62692.07577508655,82343.98989910813,123755.4512839229,147410.5876796036,170220.19678556704,0.9964094672821864
18,2019-07-31,112950.0,0.1783876500857633,71.0,33.0,6000.0,63837.42788672404,117128.16129201456,186721.85354561952,62643.08427980606,82530.2379224293,123785.15037362363,147392.23276142418,169744.6647832452,0.9986291665257312
19,2019-08-31,106000.0,0.1736111111111111,46.0,37.0,5000.0,63728.18654911989,117822.41226534582,186959.23102976207,62746.591753077926,82706.45642076533,124063.1801533505,147450.73095570816,169866.9092801631,0.9947359632322136
20,2019-09-30,111000.0,0.1580817051509769,53.0,33.0,5250.0,63326.52856358781,118282.00389413432,186919.18329827767,62671.15905507586,82640.4914471475,124227.88068507984,147309.07852965573,169823.45937987312,0.9946003249580464
21,2019-10-31,82000.0,0.1654929577464788,46.0,29.0,5400.0,63008.54472995716,117647.89316998064,186885.2331162025,62521.76028726524,82493.0244504123,124404.00998207612,147275.37169332438,170047.07844696858,0.993837707629546
22,2019-11-30,115000.0,0.1355599214145383,90.0,25.0,5100.0,62897.586101563145,116863.72363978691,187168.813284158,62188.26544764505,82403.33271876116,124492.5956651994,147551.1688332715,170253.68765676545,0.9917985518552171
23,2019-12-31,102750.0,0.1057082452431289,77.0,35.0,5000.0,63278.798325825774,116291.21562070763,187968.7044999588,62343.07981381736,82489.68178508978,124868.36649418111,148342.1438135104,171099.9130111204,0.9951901788956352
24,2020-01-31,137500.0,0.1233183856502242,87.0,42.0,5000.0,63603.88242735773,115202.3672971019,188800.35659293827,62595.85757245398,82650.73269824432,125276.3724279686,149287.9839542963,172099.07253138666,0.994095058024882
25,2020-02-29,106500.0,0.1604651162790697,99.0,43.0,5000.0,64064.95695804423,114744.31536415382,189752.7664207629,63179.74063368787,83104.64299488133,125975.51551443335,150394.46667861534,173172.3895491202,0.9830847346325828
26,2020-03-31,110000.0,0.1326781326781326,90.0,43.0,5250.0,64302.77380070133,115268.55507087792,190377.88620444268,63639.51430652793,83712.96304456062,126570.95040868864,151255.15240538886,173770.65335276478,0.9909348155674004
27,2020-04-30,120000.0,0.0699481865284974,51.0,55.0,5000.0,64759.86440121511,116657.59229346244,191137.8294755876,64253.98898530052,84497.5061848248,127273.09336761142,151992.6151533228,174148.3158260197,0.9943933918937348
28,2020-05-31,110500.0,0.1410579345088161,38.0,69.0,5500.0,65087.32245883498,118248.5305304116,191750.2903350326,64719.41138344457,85049.21339986425,127681.86656152504,152431.6096518625,174311.52743471018,0.9927588186135924
29,2020-06-30,117900.0,0.1813471502590673,15.0,71.0,5000.0,65164.33003668735,119262.06917035348,192360.4165420273,64854.37188944537,85358.37101371464,127980.35808645576,152802.0889982856,174547.0897429468,0.989406157881751
30,2020-07-31,124500.0,0.1538461538461538,32.0,76.0,5000.0,65177.46134775109,121177.18135071803,193172.8215422789,64936.31823447327,85683.99216169205,128397.01748177382,153407.97711119405,175010.70035890874,0.99126013369938
31,2020-08-31,108000.0,0.1727748691099476,22.0,78.0,5900.0,65589.05170571172,123091.13121574158,194292.6649138408,65242.91815963673,86291.62984043149,129088.95823201384,154232.27444120185,175637.580929653,0.9936519144749848
32,2020-09-30,132500.0,0.1439588688946015,35.0,75.0,,66812.48621022464,125475.79592308513,196126.52697671065,66322.22076070843,87479.82019833736,130349.3082961716,155585.9612597695,176940.10930090686,0.992442227293955
33,2020-10-31,130000.0,0.1693121693121693,22.0,62.0,5100.0,68619.98213148811,127256.59050433902,198562.84401761284,67931.99816040193,89232.16444659939,132249.27308596132,157671.41390115191,179275.93084865343,0.9910723779144832
34,2020-11-30,100000.0,0.1495601173020528,27.0,55.0,6000.0,70533.10709748756,128402.60658848584,201535.32960990607,69778.27114289737,91280.68615936518,134667.69496160347,160509.33385627373,182787.9241905361,0.9871234647705236
35,2020-12-31,122500.0,0.0955631399317406,53.0,62.0,5000.0,71969.64416191178,128298.37171399283,204347.6889858167,71403.89664727512,93183.29190464118,137121.59932932907,163416.2593632976,186458.63376643384,0.9882276699187458
36,2021-01-31,115000.0,0.0985507246376811,24.0,71.0,5000.0,72986.76738325525,128265.83146540407,206788.09116611004,72724.63789219393,94740.15827769048,139302.29753896696,165882.69847050612,189587.3013975326,0.9937972276301054
37,2021-02-28,120750.0,0.0912052117263843,16.0,78.0,5000.0,73933.32061278728,128842.53081974808,209032.69335713715,73989.97227820013,96222.65422679744,141194.4258896074,168069.5959103288,192321.9321678842,0.9936497008169188
38,2021-03-31,145000.0,0.1142061281337047,11.0,72.0,5500.0,75107.10983083474,130749.55878006798,211247.3469197502,75286.78840014356,97751.9863063667,142992.13043529703,170162.4321780308,194819.6517368554,0.99596757852077
39,2021-04-30,157000.0,0.1030927835051546,9.0,67.0,10000.0,76023.5323826227,132207.27479177664,213348.8760787445,76235.62193224614,98958.62475880794,144425.66939675846,172111.34777298232,197105.4613398876,0.998034826317752
40,2021-05-31,149800.0,0.0835322195704057,11.0,61.0,5000.0,76787.53821126629,135170.87236290367,215545.2709682652,76925.82138208736,99966.99347342674,145691.6579986133,173913.1428193629,199075.5687911152,1.0000833680700292
41,2021-06-30,160000.0,0.1476510067114094,11.0,56.0,,77542.15939525557,138770.27018616497,218155.2096958228,77700.87985178157,101190.77812427915,147226.38523261313,175966.25185729237,201288.7797133129,1.0019974840790635
