,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,70000.0,0.1867088607594936,102.0,13.0,5000.0,33067.51486400421,76364.57700953561,154095.00007583635,29991.71574308889,38830.82028754908,89286.04771774565,141793.61831679844,187959.90012150747,0.960211920761243
1,2018-02-28,69750.0,0.1466458658346333,83.0,16.0,4400.0,33121.6787697107,74267.95743575133,153762.4875343283,30215.592848570395,38849.42656011719,89150.19580937177,141832.98029411907,188079.50211169152,0.9618305151284072
2,2018-03-31,89250.0,0.1695652173913043,67.0,19.0,4400.0,33024.716449492946,74238.97530872686,153365.01318814635,30335.55035034829,38706.44643828618,88794.0030141779,141690.5526422302,188466.9838823845,0.9661516298553114
3,2018-04-30,95000.0,0.2055393586005831,57.0,20.0,5000.0,32983.54989009819,75751.60148251962,153347.1272061247,30429.15993115546,38722.4097099003,88919.51515338714,141979.12931052374,189198.65299683745,0.9713507671865254
4,2018-05-31,88000.0,0.2116991643454039,54.0,20.0,4100.0,33004.67968736498,77872.9587566791,153897.49358409215,30651.9137328271,38952.02400740463,89441.76359854087,142579.41555360114,190221.60492140576,0.9747756380157544
5,2018-06-30,105500.0,0.2016129032258064,39.0,22.0,4000.0,32892.747274976326,78990.98174294809,154590.36063417234,30720.7340332343,39170.62718734609,90188.29946448766,143354.26487381916,191232.25433027264,0.9756154234674658
6,2018-07-31,105500.0,0.2457516339869281,40.0,20.0,4900.0,32919.02947181956,81602.39324530825,155749.50018243553,30834.307545260464,39380.44538578207,91049.54052473848,144303.68502871264,192256.0924389469,0.9756503563209926
7,2018-08-31,99000.0,0.2555994729907773,57.0,18.0,4872.0,32965.408817626885,82277.64102765922,156540.48011372107,30865.51472702775,39596.90260949669,91738.54971922452,145010.91265481533,193008.04792517365,0.9699002642107668
8,2018-09-30,87500.0,0.2298050139275766,60.0,17.0,4750.0,33052.99117149917,82336.59499773798,157402.84270081692,30921.7704104674,39827.73910976794,92395.12164518709,145775.97459414133,193889.9765678354,0.9723572769337748
9,2018-10-31,88000.0,0.2475106685633001,48.0,19.0,3000.0,32902.26399403132,81589.0931023872,157484.59923776297,30768.83569167563,39898.809120375525,92644.01056388904,145939.00627441477,194328.8979148354,0.9658584906078982
10,2018-11-30,83750.0,0.1707692307692307,92.0,17.0,3000.0,32841.20692375768,81288.92260172464,157691.86740620525,30687.2429276014,40018.90819085126,92981.22354252228,146096.4364260099,194718.03585665728,0.9686481746516252
11,2018-12-31,77500.0,0.1202185792349726,86.0,20.0,1000.0,32995.87550702336,80584.85396678222,157908.0654644978,30876.27980035161,40332.307928701935,93327.133472096,146163.86208184235,195020.9022227569,0.964610511257989
12,2019-01-31,77750.0,0.1523809523809524,95.0,23.0,1000.0,33436.61422816475,80418.59201633888,158566.5411533316,31396.66510267302,40852.7847583674,93685.76382252894,146354.48067266066,195711.701519454,0.964579738720548
13,2019-02-28,70500.0,0.1356877323420074,103.0,26.0,4000.0,34163.47117932927,81037.781131766,159616.18876036935,32085.72527722429,41610.25188040558,94303.69545542094,146795.51908164882,196818.57820771137,0.962100124451796
14,2019-03-31,91500.0,0.1955017301038062,115.0,27.0,4500.0,35030.768394530314,82356.13165953374,160678.77322376796,32689.58526205736,42304.8585392368,95012.86174074704,147207.9658405823,197948.21670292955,0.9671291017069668
15,2019-04-30,95500.0,0.1972049689440994,53.0,28.0,4100.0,35706.0452289975,83658.58626808476,161656.3126443966,33051.556002156394,42793.59700087614,95718.0880391543,147571.14066121925,198763.2248743653,0.9725942066043496
16,2019-05-31,105000.0,0.2349304482225656,28.0,28.0,5000.0,35999.435626743514,84202.47902508428,161362.4641774729,33136.08843274703,42871.52928864794,95659.98356867798,147132.82646452848,198518.93949911927,0.9750275840352232
17,2019-06-30,98500.0,0.2393767705382436,28.0,31.0,5000.0,36062.24239533302,84894.48540101407,160509.42018265463,33143.39929232207,42821.731903296255,95223.03246165071,146385.01675210506,197829.3743216678,0.9775799811103092
18,2019-07-31,109000.0,0.2653061224489796,28.0,32.0,5000.0,36009.34390272794,85876.85996790008,159421.10108203537,33061.31988585792,42688.3047582308,94744.7830574368,145739.89127041074,197113.6722525479,0.9727542333818616
19,2019-08-31,97500.0,0.2761506276150627,43.0,28.0,4900.0,35878.08700775059,86302.23443210825,158958.71876919945,32909.535944830684,42525.47031378042,94583.5135648263,145593.63685286712,197121.24600136591,0.9709565377839032
20,2019-09-30,99000.0,0.2598540145985401,74.0,23.0,5000.0,35700.92770282527,85882.97196502466,158920.6523384253,32627.31654981224,42311.16796540701,94514.2215416857,145679.72679189942,197609.7621251667,0.9709542853860844
21,2019-10-31,84000.0,0.2423780487804878,55.0,24.0,5000.0,35655.76644133624,85333.49514888179,159072.10708537162,32372.45721388189,42241.23866458028,94507.61583135989,145789.21381582753,198095.3288306381,0.9713348507599452
22,2019-11-30,120000.0,0.1692307692307692,55.0,26.0,4900.0,35800.65678504378,84499.98822873527,159480.77454887878,32295.00723678329,42290.93467201414,94580.29102431478,146133.32948768898,198751.12414145583,0.9678397539353468
23,2019-12-31,85750.0,0.099403578528827,118.0,27.0,4000.0,36077.311999531295,84091.13590769022,160196.06422697374,32364.574283752183,42543.53345545544,94881.14633583908,146764.61813940032,199593.9110084608,0.9633290590469796
24,2020-01-31,101500.0,0.1943887775551102,108.0,28.0,5000.0,36127.09013827194,82023.1584715895,160586.14304715605,32492.39794000181,42836.03524952847,95114.64114815672,147467.71501190352,200884.1943135681,0.9636161850502448
25,2020-02-29,72000.0,0.2188139059304703,77.0,30.0,5000.0,36089.397817990975,81319.27265988289,160765.20011596987,32595.152563716,43210.09832562128,95447.32180099738,148073.06662555947,202038.0267338309,0.960854935340331
26,2020-03-31,81000.0,0.1225577264653641,44.0,31.0,5000.0,36053.08656959532,81551.16814667104,160419.6739836257,32743.80598283336,43530.8377003869,95692.19808386348,148365.78583108363,202743.06290484348,0.9680397378469384
27,2020-04-30,102000.0,0.1374321880650994,53.0,35.0,4500.0,36277.16786662432,82619.96667758362,160334.97269833946,32906.97964181556,43783.32067141882,95920.02303702453,148322.70541837087,202928.58705037503,0.971376943681905
