,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,175000.0,0.1965043271678262,70.0,40.0,5100.0,134750.82242746674,199166.5534739352,304137.9035201227,104865.99355440382,153449.17970553745,196841.69228368308,248881.90650274907,321429.8410452418,0.9657794258771992
1,2018-02-28,182000.0,0.197119410484006,54.0,41.0,5400.0,136086.3995200457,200144.6365414207,305841.5483559112,105494.84862393532,154704.26411467735,198591.23557696035,250636.5101179132,322856.6983170916,0.9687982692216904
2,2018-03-31,187000.0,0.2173982697853252,31.0,44.0,6000.0,137360.55193164956,202348.8357494109,307414.45583124267,106171.96929721483,155931.66447977137,200186.09154823303,252225.62688686783,324344.0294396572,0.9711760346714026
3,2018-04-30,190000.0,0.1998151286396549,21.0,46.0,6000.0,138388.15925705348,203925.90080533203,308598.5549370896,106657.05316123288,156912.48905524402,201384.7861693563,253425.53029667563,325561.6781107625,0.9714883804652046
4,2018-05-31,190750.0,0.2085611623183877,23.0,46.0,5900.0,139390.94704645124,205890.7635651465,309718.05451789167,107262.21409665236,157783.78917004284,202401.42455871977,254408.00771250075,326878.5083627714,0.97352256984325
5,2018-06-30,195000.0,0.2067030397505845,30.0,45.0,6000.0,140292.6055095113,207183.2014548384,310578.22918313893,107738.8506479564,158492.33583139675,203282.41175263203,255199.01573061245,327935.6502187404,0.9741922586154594
6,2018-07-31,190000.0,0.226329745749493,24.0,45.0,6000.0,141418.1308500931,209341.30843480377,311971.5483176109,108496.97122800996,159494.03454241637,204463.10695836428,256308.38741432005,329319.75697296154,0.9720641381654744
7,2018-08-31,199900.0,0.2244615384615384,51.0,45.0,5100.0,142554.9033262457,210263.8444934581,313460.0757487234,109312.55282369629,160597.18564558518,205635.187979572,257483.54086325472,330831.3599365708,0.9715907582890938
8,2018-09-30,197500.0,0.2165831582350089,42.0,43.0,5400.0,143732.09536271263,211182.74444185125,315111.66995177045,110275.6659225578,161760.87830804373,206806.95966955667,258734.3187964995,332628.5644599184,0.9723972654704074
9,2018-10-31,192000.0,0.2328528433391414,40.0,41.0,5100.0,144782.83831973924,211835.4245114037,316436.1495963429,111235.83896526528,162763.27384053476,207792.8953454893,259885.19092094785,334265.550577098,0.9718529267120062
10,2018-11-30,196000.0,0.2131407713061418,52.0,40.0,5100.0,145703.0149752773,211694.22296586653,317671.6276865189,112204.31308112548,163641.0898265851,208654.29607857007,260922.59311720505,335598.10413306457,0.971180340009114
11,2018-12-31,195000.0,0.1557145233738146,60.0,41.0,5000.0,146686.89269920523,212090.36777336625,319196.73950134934,113403.13771413964,164629.54866166328,209618.94017236185,262084.69796695025,336863.369577044,0.9710325938144332
12,2019-01-31,195000.0,0.246784687547284,77.0,44.0,5500.0,147725.06541536222,212135.5991052664,320697.912143407,114519.06426900276,165624.68533902458,210685.0125142084,263205.9240852294,337919.2639609881,0.9660924589097458
13,2019-02-28,204800.0,0.2220071471113758,37.0,45.0,5100.0,148779.20085636195,212731.950727405,322271.97918638814,115393.07677866198,166584.9656654683,211874.39487569267,264518.7726289128,339243.6613835348,0.96753312636432
14,2019-03-31,204000.0,0.2295606633692173,47.0,44.0,5100.0,149656.65064222508,214178.5290849293,323440.9632813826,115863.29264273778,167348.60478419645,212912.6644128413,265706.14406536386,340529.52042500844,0.9721962255414228
15,2019-04-30,208250.0,0.2221886336154776,47.0,44.0,5900.0,150335.28950829932,215856.8522071092,324413.71346113,116178.0926064126,167948.1005676028,213751.06693450603,266723.36139483104,341662.50147524034,0.9737342574354224
16,2019-05-31,210000.0,0.235893536121673,54.0,44.0,5500.0,150993.695035771,217331.44637005124,325026.19566413906,116549.74698521644,168472.54910114044,214414.9112427724,267466.7345263616,342512.7245623692,0.9751531062115346
17,2019-06-30,215000.0,0.2223784966401,44.0,45.0,5900.0,151730.50628114992,218853.14991906605,325623.25974585925,117052.16508129417,169105.40680111293,215131.97896029035,268096.8235303553,343151.75463425467,0.9755750244128284
18,2019-07-31,210000.0,0.2427937915742793,47.0,46.0,5100.0,152536.37514356934,220148.1124872428,326230.1370030647,117624.63323781252,169854.80341870044,215865.50667623043,268703.23490275483,343882.6902368044,0.9755600056230664
19,2019-08-31,214000.0,0.224559686888454,45.0,46.0,5500.0,153415.03217012895,221131.784118374,327119.28502015915,118323.65755562496,170771.8230030914,216723.0499040036,269410.15616153536,344892.9288984032,0.9735209686372562
20,2019-09-30,215000.0,0.2121967431040212,53.0,44.0,5100.0,154227.074715163,221962.9840620446,328071.8447210081,119054.97949143455,171652.37798214715,217493.08414043504,270090.2181133755,346089.92051972187,0.9741186860432932
21,2019-10-31,203000.0,0.2276154571159283,45.0,44.0,5400.0,155195.35345699496,223049.4333350939,329410.48944035027,119837.64620134833,172651.42982647882,218527.98042912543,271114.949975442,347734.91624199675,0.973204418426681
22,2019-11-30,212000.0,0.1963654719838465,36.0,44.0,5000.0,156211.6906074251,223586.9340863265,331184.7232418876,120672.75373213238,173736.06344543677,219811.38220764545,272517.1673547796,349724.1367983536,0.9741057519369192
23,2019-12-31,212250.0,0.1732311530921404,43.0,45.0,5000.0,157280.51264495915,224003.45460997976,333233.85923300474,121475.14672342244,174881.56447138917,221326.1612496969,274275.38780558336,352046.4651399452,0.9722608879432946
