,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,366450.0,0.133225239832455,7.0,75.0,10000.0,289501.9279554027,397561.9417641239,586434.1994406566,226274.550273607,302644.4930745032,382823.223885916,466906.1575153992,560230.6075429564,0.9913875388095316
1,2018-02-28,384990.0,0.1302096489012376,6.0,73.0,10000.0,292374.8364982598,400672.4406074401,590078.637804191,228253.44700651063,305257.7038186855,385891.4989305867,470284.2191752452,563936.6589761473,0.9931094381574352
2,2018-03-31,390000.0,0.1538299219244566,6.0,72.0,10000.0,295079.9454170257,406300.3131866372,593927.5988105751,230261.3436636436,307759.6427861406,388792.2685558545,473638.0713764292,567832.9489695597,0.996925762960472
3,2018-04-30,400000.0,0.178076923076923,5.0,71.0,10000.0,297403.0311034634,411313.5085497766,597477.4735802868,231971.7168613409,310013.1905241009,391356.3547566992,476581.9305747619,571284.373257684,0.9976019683601064
4,2018-05-31,405000.0,0.2208311597982959,6.0,68.0,10000.0,299600.44534631964,417088.69833096646,601445.6915300722,233738.0525227016,312262.0433642116,393773.35858243547,479467.7752164407,574919.6660122261,0.9978879411868424
5,2018-06-30,405000.0,0.2518530325974336,7.0,64.0,10000.0,301282.0481145846,419873.1282584705,604374.9241798924,234980.91834151905,313958.9181338964,395442.6933943226,481412.2790655268,577487.6205263234,0.9971328914561688
6,2018-07-31,400000.0,0.2846036707541877,10.0,60.0,10000.0,302992.3253148597,423108.3755024452,607569.4882205664,236424.7083836467,315736.3688934652,397177.7948604429,483518.7559543009,580446.4775188529,0.9972051783284964
7,2018-08-31,395000.0,0.3091582014331837,13.0,56.0,10000.0,304349.6715304225,423050.0968683069,609875.6518913287,237496.66520832115,317134.1404375048,398454.485580557,485063.8976732095,582735.555720113,0.9937762264101836
8,2018-09-30,385000.0,0.3025375127661246,14.0,53.0,10000.0,305662.7896107122,421665.7654951239,612037.7675320046,238751.2754399136,318486.85303387657,399751.54371751193,486666.7110679639,584976.6869883607,0.9931622446737488
9,2018-10-31,389000.0,0.3486516674644965,18.0,50.0,10000.0,306749.76749904547,419795.346014081,613368.8323745108,239720.7712040004,319524.52211031894,400680.9381621887,487641.0251631802,586322.1556065754,0.9902372567468852
10,2018-11-30,380000.0,0.264676706646226,23.0,50.0,10000.0,307690.78884721483,417737.1984488261,614602.8352286587,240495.7773869075,320401.18199961266,401511.7445850116,488561.8800697555,587673.4700302936,0.9891706215890748
11,2018-12-31,380000.0,0.1666286496350364,28.0,55.0,9600.0,308847.7270550663,417019.7495405799,616038.1932599474,241345.97124356407,321487.7302093404,402575.6722315021,489755.6565788741,589236.7875882915,0.9877648199289484
12,2019-01-31,380000.0,0.2202991452991453,16.0,62.0,10000.0,310381.9032049415,417680.3198413159,618101.1484872788,242383.65541553768,322983.34378028294,404099.0174135794,491458.15020434925,591262.4053512166,0.9866047693315162
13,2019-02-28,385000.0,0.1906444906444906,9.0,67.0,10000.0,312455.13050513814,421107.53888540616,621010.3746046646,243468.9662524144,324989.4890700227,406399.1366111967,493935.2315670776,593782.2734325292,0.9903020519435056
14,2019-03-31,395000.0,0.2025981205085682,7.0,69.0,10000.0,314541.8217536982,425910.2288685502,624584.9157016437,244340.09043100817,327010.3401107335,408853.427008434,496638.4312210449,596624.1288380437,0.99277763822289
15,2019-04-30,404000.0,0.2394331585845347,6.0,66.0,10000.0,316055.7560141264,430346.8710055547,628019.9533613977,244807.10937438827,328455.6145976565,410842.9667394079,499060.8989749075,599331.7736513488,0.9953637831394292
