,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,165000.0,0.1595028482651476,45.0,49.0,5000.0,117282.30245127728,195328.6417843985,319034.2025324613,105507.65616371042,125581.301201492,193765.308203208,276536.87795029674,377693.9326212841,0.98036324007622
1,2018-02-28,174200.0,0.1607466943220119,28.0,51.0,5000.0,118333.63181566786,196008.73170199667,320005.0447527626,106389.04436561682,126524.60511303578,194860.1284735817,277626.6888531858,378428.8432404744,0.9797269011190848
2,2018-03-31,177000.0,0.1405269761606022,19.0,53.0,5000.0,119499.59086466092,197887.66063843176,321370.20052271744,107362.3742536002,127516.5438525547,196054.2065457376,278895.6019578989,379590.3376670697,0.9799331986583896
3,2018-04-30,174500.0,0.1756272401433691,17.0,55.0,5000.0,120332.85629429753,199510.27315572152,322236.66430335114,107982.6836623038,128184.27253665292,196979.20729700747,279691.1295329225,380328.6450038591,0.9852037915623068
4,2018-05-31,181000.0,0.1947266047114761,15.0,55.0,5000.0,121048.68718194473,201907.93173050115,323143.3905809164,108249.54146678191,128708.80536309267,197879.83288872417,280405.16736360296,381108.5834887163,0.9905347029555298
5,2018-06-30,187500.0,0.2128580259633216,18.0,53.0,5000.0,121543.49004397089,203919.5464734829,323685.5860385147,108411.14048139326,129038.43156327776,198513.10102695567,280728.9156385781,381502.93346747966,0.9896643935037848
6,2018-07-31,185000.0,0.2418287132809267,20.0,51.0,5000.0,122210.98984845266,206211.1670077861,324726.2108022373,108684.53554340088,129633.36220075795,199419.82894819533,281531.4363977441,382500.6272760613,0.9887575125571644
7,2018-08-31,180000.0,0.2278454864697376,25.0,49.0,5000.0,122744.46702165333,206440.9191872444,325432.797628234,108924.83566237624,130171.19593248806,199976.0227513089,282138.9053203404,383303.0611993047,0.983958960588199
8,2018-09-30,175000.0,0.223507148864592,27.0,48.0,5000.0,123312.20430243872,206596.702840454,326190.9578584758,109091.75520655476,130712.0365619257,200507.3673096489,282836.27255360625,384263.0889911656,0.9782834174993889
9,2018-10-31,169000.0,0.2335146898803047,28.0,47.0,5000.0,123750.73373653684,205781.423362717,326545.9209962306,109152.11227835595,131074.39268944663,200663.12770000423,283223.38476585783,384775.69413906586,0.9807999404825
10,2018-11-30,180000.0,0.1943765281173594,33.0,47.0,5000.0,124320.5393225402,204979.14635831883,326920.0118930268,109271.7398754555,131443.07426504718,200874.9122692285,283555.2465134044,385244.3855295875,0.9797865406211268
11,2018-12-31,170000.0,0.1170559478544269,45.0,48.0,5000.0,124998.28251281816,204338.38623375617,327413.30528249126,109767.0508132837,131940.06669079993,201267.03534648585,284055.4875204339,385629.888492754,0.9776228433584354
12,2019-01-31,175000.0,0.1710490647872052,45.0,50.0,5000.0,125946.93153983555,204037.9945631245,328104.50775993004,110665.08541989433,132670.38665491043,201991.3167475604,284587.93844105233,386093.66312018334,0.9782332047016176
13,2019-02-28,170000.0,0.1462277891057384,37.0,54.0,5000.0,127010.53893253634,204784.044150237,329145.25613127777,111809.72125311603,133602.82320810846,203033.2500002597,285453.4998438747,386816.273147482,0.9747606760681568
14,2019-03-31,180000.0,0.1687067589143161,31.0,57.0,5000.0,128092.5647635486,206216.3678209984,330201.6879870297,112868.29101354204,134446.50426130835,204002.7370894274,286180.1398751293,387517.2755680286,0.9766391376495754
15,2019-04-30,182000.0,0.214200047973135,18.0,58.0,5000.0,128766.8826518829,207925.32873199703,331077.2217697432,113442.29789247004,134889.06052051505,204737.7551625028,286848.2072290406,388092.8803896934,0.9823827155804032
16,2019-05-31,189000.0,0.2508678546632724,20.0,56.0,5000.0,129210.62218748192,210004.48032904297,331752.29021793086,113702.32570731635,135071.24527784207,205291.44721408945,287305.24829539726,388465.1214304984,0.9853394018353804
17,2019-06-30,200000.0,0.2700564971751412,21.0,53.0,5000.0,129435.21575063533,212314.4187333348,332330.55742602044,113620.86148144532,135172.78976366497,205850.5823017998,287729.17367668106,388841.0360943566,0.9858609637195692
18,2019-07-31,192750.0,0.2906695938529089,24.0,52.0,5000.0,129628.2962452196,213696.36205570668,332900.28522969177,113658.19065426686,135394.0034354919,206370.4265681048,288127.5669306519,389171.8742178152,0.98498347289435
19,2019-08-31,200000.0,0.2805166846071044,28.0,51.0,5000.0,129801.60843393432,214341.9223227673,333344.07907502766,113718.02727916167,135676.95792307323,206836.8185892118,288462.8090916848,389500.6246207933,0.9838792307828496
20,2019-09-30,195000.0,0.2834327086882453,30.0,50.0,5000.0,130003.40815016977,214409.09624961903,333643.33637797274,113795.89947939204,135995.16395545137,207219.12589167777,288769.73070628085,389777.6629861331,0.9833124027717522
21,2019-10-31,175000.0,0.2756259362294029,38.0,48.0,5000.0,130463.40815951616,214331.1170404772,334315.134365495,114151.0387829955,136449.8213691935,207821.6311708976,289381.17178736645,390659.0839724131,0.981531371993046
22,2019-11-30,183500.0,0.20059674087675,42.0,47.0,5000.0,131048.78933798936,213746.54165719447,335155.00644566416,114657.3187156908,137010.27808168923,208550.4992124552,290241.6897764507,391789.9105225438,0.9808198292761532
23,2019-12-31,190000.0,0.1375959079283887,55.0,48.0,5000.0,131608.3643171368,212682.7707048208,336168.36857398605,115347.09817165828,137575.8495955829,209328.9412970322,291316.0622918211,393305.4248182196,0.9777197365463188
24,2020-01-31,185000.0,0.1833590138674884,64.0,51.0,5000.0,132045.0502163519,211498.89607104048,336772.780564212,116189.21372923726,138222.31828520473,209828.9916418672,292004.16937282775,394268.225205495,0.975054795615138
25,2020-02-29,175000.0,0.2288794184006016,41.0,54.0,5000.0,132519.6641584724,211535.3751771181,337242.2103575677,116570.91945768944,138742.18165921696,210223.4837061592,292554.2701064779,395079.8961096323,0.9762932580878484
26,2020-03-31,195000.0,0.1793327154772938,23.0,57.0,5000.0,133021.59413632928,212871.16464883223,337750.80017366685,116660.09233296414,139104.19217845562,210643.7734344572,293108.191704562,395736.28768383927,0.9775562455592972
27,2020-04-30,194900.0,0.1781636536631779,22.0,60.0,5000.0,133517.26387937728,214353.23954533687,338144.37158702407,116609.2817474766,139432.6594282524,211030.27437600985,293643.0341829622,396213.02236093767,0.9804539962671008
28,2020-05-31,203000.0,0.1825198637911464,24.0,62.0,5000.0,133823.71015929358,216326.99048250995,338533.9052289591,116478.6730990059,139508.62651966626,211369.3507320748,294201.5107908613,396546.3857526524,0.9821833645360316
29,2020-06-30,200000.0,0.1974383760270662,18.0,63.0,5000.0,134014.79820801536,218319.5734294248,338758.3287732904,116135.17766760936,139518.17279728243,211694.1841315925,294713.19712450675,396848.3816892181,0.9824656745996018
30,2020-07-31,208500.0,0.2074719800747198,16.0,64.0,5000.0,134282.04584048386,220553.4604955927,339450.53894609684,115341.98808676504,139392.24169434412,212482.43147020703,295727.1038335568,397819.2894850894,0.9846001675747674
31,2020-08-31,218000.0,0.1839204087120193,18.0,63.0,5000.0,134871.60314295508,222415.9666361426,340828.5847997832,114933.47835687127,139733.50834177193,213742.1040734845,297312.1752040379,399667.4215892045,0.9826308510850216
32,2020-09-30,205000.0,0.2041855203619909,17.0,61.0,5000.0,136059.4992988193,224682.9854560868,343405.7652092708,115160.24195395748,140681.0556459572,215638.2262958417,299736.8217655956,402869.1883031945,0.9846579099373926
33,2020-10-31,207500.0,0.215200683176772,17.0,61.0,5000.0,137693.0795986775,226027.66285919625,346693.6076422729,116062.30549657664,142043.5068925334,217901.2002342036,302806.8337071916,407006.4339045538,0.9822523786928188
34,2020-11-30,201750.0,0.2005870841487279,21.0,60.0,5000.0,139411.18973634546,226220.8537629153,350070.7417616207,117268.84565165044,143515.12123809362,220242.6580752676,306085.3909296084,411542.76007421175,0.98587861512889
35,2020-12-31,198000.0,0.1486231610712938,31.0,61.0,5000.0,140886.0667740777,225977.5763606084,353006.0104529453,118378.24655190692,144820.56703150985,222269.72345115105,309158.9810795375,415745.4902647732,0.9837363377779696
36,2021-01-31,200000.0,0.1258845437616387,27.0,65.0,5000.0,142018.80837019905,225393.84978719303,355547.4298577776,118927.05987468366,145712.54477487082,223784.6896986657,311829.4043324189,419620.713555045,0.9813358242639376
37,2021-02-28,195000.0,0.0974919093851132,10.0,71.0,5000.0,143331.86923614098,226895.50432036392,358210.6530051879,119539.83258657307,146700.65926181656,225271.8272839712,314446.85786402016,423422.59020225145,0.9825810184147186
38,2021-03-31,202500.0,0.0941176470588235,10.0,75.0,5000.0,144956.48207286294,230273.63185796264,361202.375380436,120251.39018519058,148010.74824140317,227164.96606236187,317317.1582694228,427304.8963396635,0.989269905902282
39,2021-04-30,215000.0,0.105604269919939,5.0,77.0,7000.0,146828.38759025314,234596.0339807073,364928.6077084379,121219.02992350004,149759.10539480313,229761.97917898247,320761.0180251643,431719.0891391474,0.9912952756984996
