,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,325000.0,0.0894736842105263,,46.0,,246982.44817047063,401691.0927764046,640477.1271963838,201179.5958847081,312597.63469016115,436899.6943390546,553567.210834331,709478.036824435,0.9913875388095316
1,2018-02-28,397500.0,0.0876865671641791,,43.0,,247724.49850762176,402117.2422854064,641476.5270089464,201613.2654422217,313246.1556654098,437781.1451854848,554889.7255932811,711252.7262257064,0.9931094381574352
2,2018-03-31,373000.0,0.1142384105960264,,45.0,,248530.3094251804,404895.7033741049,642434.7807390435,202230.6610065713,314089.1095657659,438738.43124657,556396.7272567847,712829.5519263194,0.996925762960472
3,2018-04-30,395000.0,0.1101449275362318,,51.0,,249306.90345997564,407943.6221448836,644003.7986391416,202656.90313158344,315134.3457423383,440195.79172922304,558646.1709611071,715247.7764019012,0.9976019683601064
4,2018-05-31,377900.0,0.1301020408163265,,51.0,,249870.0911077036,411229.2297685756,646108.7304921201,203086.99922719088,316185.1978260405,441780.6883087775,561118.093729271,718067.7612228732,0.9978879411868424
5,2018-06-30,375000.0,0.1411042944785276,,47.0,,250216.42487171525,415535.60777600936,648535.6534585826,203517.7238959341,316900.8982659363,443172.5965295595,563474.7389510435,721149.462120073,0.9971328914561688
6,2018-07-31,390000.0,0.161214953271028,,42.0,,250908.4077370657,419119.6251503786,651527.7700699772,204304.42632015888,317795.58324522624,444669.1940481613,566162.2849369348,725166.94786028,0.9972051783284964
7,2018-08-31,413750.0,0.1988304093567251,,40.0,,251968.4363206854,419665.5684093464,654400.7333043534,205277.44884265863,318878.5970935977,446162.44144066586,568872.3795800257,729651.1086551077,0.9937762264101836
8,2018-09-30,396250.0,0.1630952380952381,,37.0,,252795.8899490565,418356.0356314083,656179.1559557654,206157.1706715937,319796.09620973427,446999.0380399823,570869.1706422261,733436.4082517136,0.9931622446737488
9,2018-10-31,395000.0,0.1611675126903553,,36.0,,253158.8787531528,417286.5774679669,657040.0700157689,206448.47793725829,320370.3436835192,447317.1455540533,572140.1353013302,736160.1624538595,0.9902372567468852
10,2018-11-30,427500.0,0.1422413793103448,,35.0,,253435.981790317,416378.8630268061,658159.7567970057,206502.5703149229,320773.3895081663,447735.0523858334,573374.4036015368,738623.8188824648,0.9891706215890748
11,2018-12-31,370000.0,0.064039408866995,,39.0,,254017.42398004603,415202.0117009645,660035.8305619829,206549.21585676863,321371.8251508383,448821.56703400513,575246.5650822521,741652.5162562216,0.9877648199289484
12,2019-01-31,370500.0,0.1254480286738351,,43.0,,254603.63188616085,414261.1797818866,661999.5807024705,206881.4642556061,322033.914782058,450106.4690619107,577192.4913709798,744458.9413573443,0.9866047693315162
13,2019-02-28,339000.0,0.0891840607210626,,46.0,,255119.9415645043,414889.19991630525,663329.5978301759,207198.224737059,322718.0362332383,451438.0460199334,578955.3235156083,746610.3224503737,0.9903020519435056
14,2019-03-31,321000.0,0.1005385996409335,,46.0,,256053.0239402352,419447.4117898915,665844.2196952641,207902.37649030727,323971.9170279448,453537.98694730335,581704.5827253762,749941.6822809417,0.99277763822289
15,2019-04-30,367500.0,0.116822429906542,,49.0,,257154.78323732407,422255.634755882,668562.5771705153,208607.1731444152,325330.4339401522,455675.805457468,584431.6287844261,753134.7866528548,0.9953637831394292
16,2019-05-31,402500.0,0.1552393272962483,,44.0,,257828.36747445248,423133.5177821551,670637.4802481204,209289.43041154605,326174.23198147025,456913.6487325611,586362.9978385947,755508.7491998019,0.9974389290949424
17,2019-06-30,367500.0,0.2044392523364486,,40.0,,257807.18714523173,425509.31690512894,670508.0302453004,209560.15055078448,326102.6147742995,456644.5988448521,586439.9298741864,755498.5721536238,0.9954227008009302
18,2019-07-31,390000.0,0.197324414715719,,39.0,,257789.7106035601,427918.1846885989,670091.2567934988,209790.8693324448,326012.81045785587,456256.86867163127,586305.6627270766,755398.0476662238,0.9942637953016016
19,2019-08-31,418250.0,0.2368421052631578,,40.0,,258384.6531532267,429127.5751318654,671037.2760413424,210166.33393553537,326636.0184487312,456915.0111408631,587353.2904730713,757052.6727516794,0.9914169743021818
20,2019-09-30,397500.0,0.2236533957845433,,37.0,,259237.7972454833,429131.4743489646,672835.6144128323,210511.26785639013,327685.6865721268,458230.50632654695,589035.2375331088,759573.8153745629,0.9915453612830386
21,2019-10-31,405000.0,0.1680876979293544,,37.0,,259785.2088658727,426429.2019763341,673965.6773119153,210626.21347143545,328245.3170820979,458877.0780014848,590031.4262116075,761260.9905050782,0.990112302945588
22,2019-11-30,374000.0,0.1285909712722298,,38.0,,260508.19562994785,426484.3578834888,674658.9082547841,210911.021003928,329065.782540567,459562.31295697606,590825.1698435458,762062.6587714021,0.9883441427173268
23,2019-12-31,383000.0,0.0803030303030303,,39.0,,261074.31407370485,424778.2482717302,674999.422399259,211176.292096266,329753.07519752666,460029.5369220726,591407.0647194727,762345.1958094622,0.9901978916234164
24,2020-01-31,397000.0,0.11,,43.0,,262055.98245505,424666.8814501292,676133.3534171212,212010.56549769625,331178.3996996352,461274.1905397183,592642.4150108611,763307.7286466174,0.9872132766533565
25,2020-02-29,376000.0,0.1568965517241379,,44.0,,263275.0924954584,426691.9735926084,677985.4811851805,213270.6352846056,332589.4586187154,462600.85909671214,594162.673961335,765368.3744886027,0.9915538472750236
26,2020-03-31,439500.0,0.1062091503267973,,49.0,,264998.60710590146,429948.7286222031,680733.0199642669,214832.37566974867,334252.16808920307,464389.94291969086,596393.1503744347,768684.7152770894,0.9939146662003764
27,2020-04-30,423750.0,0.05,,53.0,,266580.572021503,431603.94045031007,682785.517225161,216064.5985304945,335432.6043137356,465647.2610845012,598173.1476314557,771456.9705421057,0.9954605408692968
28,2020-05-31,377000.0,0.1202435312024353,,57.0,,267311.93394353456,432315.2211646144,683004.4015592582,216484.7476461877,335795.9625035016,465700.4731193341,598500.0978037483,772341.4006365034,0.99108847977907
29,2020-06-30,400000.0,0.1309859154929577,,58.0,,267208.1977150194,434203.424290445,681443.4596245746,216160.2066298472,335384.5273586486,464738.67166940897,597443.4807705805,771162.2362028741,0.991843664739078
30,2020-07-31,418000.0,0.1434846266471449,,62.0,,267018.0944833209,437861.9721246101,680754.5643761657,215792.0798485872,335373.23855690705,464619.5505041805,597338.4832845469,771123.7853578072,0.992388994086216
31,2020-08-31,427000.0,0.1778471138845553,,61.0,,267690.6767345892,442467.776565721,683182.4718894003,216002.3193327569,336521.3611340912,466722.9048649447,600026.7207337228,774395.1295470848,0.9944123658280968
32,2020-09-30,432500.0,0.1231617647058823,,59.0,,270138.88405872363,448842.94191375887,690089.1467958707,217603.98188916672,339477.98077974765,471652.7415744934,606485.2550656078,782661.1192720983,0.9941686411055044
