,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,217500.0,0.1348464619492657,23.0,55.0,7250.0,144269.122901298,238331.52271322903,402522.4157673545,129203.70506432332,164811.26753265387,223244.12811517148,347147.85190310475,475502.0566181639,0.97409306537226
1,2018-02-28,225000.0,0.1317632081476766,8.0,55.0,10000.0,145594.69106001288,239088.68832988408,403968.03072258737,130109.58857085853,166314.0124493596,224740.54521780933,348558.8825660927,476823.2663737596,0.9755744991882044
2,2018-03-31,240000.0,0.1347914547304171,7.0,58.0,10000.0,147079.27089391995,241700.8355628489,405833.5300075556,131254.37406308868,167954.81697810697,226498.1126527489,350416.336302829,478737.3364686409,0.9801018425801756
3,2018-04-30,241000.0,0.1566797642436149,6.0,61.0,10000.0,148455.97936019255,244559.3201942196,407808.7654032989,132577.33541755503,169509.66347072084,228250.3582068554,352308.28554274555,480891.09371280513,0.9823051032609552
4,2018-05-31,243000.0,0.1824712643678161,7.0,61.0,10000.0,149736.80854104416,247681.2377336572,409998.6503008364,134201.9078211603,171112.46533628707,230013.8456702763,354272.502800257,483471.1676456882,0.983746725399988
5,2018-06-30,247000.0,0.1973938223938224,8.0,58.0,10000.0,150619.56096277563,250392.51758840407,411869.1772344415,135440.09207108023,172451.39567565112,231514.4120081904,356020.1486874004,485782.018270517,0.9831226563632424
6,2018-07-31,250000.0,0.1880625296068214,9.0,58.0,10000.0,151488.400450506,252845.7873049292,413617.9384314092,136612.19340703337,173705.4140149563,233057.6958896138,357833.23712616164,488090.7912952061,0.9827777087509016
7,2018-08-31,235000.0,0.2198852772466539,13.0,56.0,10000.0,152501.1539405681,254044.2367719896,415323.68788503326,137883.9924886575,175028.7507634354,234563.5903660284,359627.7329784597,490242.2100988778,0.9812258908289953
8,2018-09-30,220000.0,0.1704900938477581,14.0,52.0,10000.0,153713.27945088223,254457.4413356428,416937.4831926459,139395.87214940856,176498.11510902538,236061.93412216543,361279.9497927173,492233.66911251954,0.9826896476257552
9,2018-10-31,230000.0,0.2161209068010075,15.0,49.0,7900.0,154972.6445132588,254036.94523390345,418377.273028232,141033.27300203752,178010.28068479386,237364.06616859665,362664.3632536514,494026.09734514606,0.980449910424771
10,2018-11-30,225000.0,0.1880681818181818,18.0,49.0,5100.0,156228.6090390679,253889.2447184641,419636.8708312428,142594.26245225046,179420.15343629173,238619.64035585264,363981.3077236777,495810.88167643937,0.978687248663186
11,2018-12-31,237000.0,0.1319261213720316,24.0,54.0,5000.0,157474.26917158984,253887.83162028808,420944.3727193992,144178.13493651946,180770.7255811296,239799.74052722767,365266.56534774526,497566.86942593794,0.9794681725314948
12,2019-01-31,215000.0,0.1803696622052262,22.0,59.0,6000.0,158588.28927070857,253339.93385092483,422024.2062885009,145690.2664087864,181778.33291700497,240764.75595887005,366282.799615733,498719.3270841795,0.9755257512263452
13,2019-02-28,225000.0,0.1495207667731629,10.0,64.0,6000.0,159480.0011319638,253467.61828800125,422940.416819089,146949.21049585953,182425.47099494087,241506.91885558327,367141.1452526027,499494.0758782844,0.9776396097162888
14,2019-03-31,249000.0,0.166754617414248,6.0,64.0,10000.0,160319.7204820478,255666.5156562297,424171.8903193723,148198.52120436076,182954.4453974939,242370.8258626964,368258.4294218377,500585.6948011576,0.979899488097995
15,2019-04-30,264500.0,0.1725746268656716,7.0,62.0,10000.0,161055.60921405006,258023.02776435352,425663.2356029598,148911.3416265001,183513.53758910205,243376.882804025,369634.4659662256,502186.1035290943,0.9824159888819136
16,2019-05-31,260000.0,0.2025862068965517,7.0,56.0,10000.0,161725.13355064715,260868.6211646949,427041.4373340883,149379.98588986823,184116.5115573149,244508.42330079823,370927.68183469976,503753.36492093786,0.9853375781847252
17,2019-06-30,266000.0,0.2188057040998217,11.0,55.0,10000.0,162341.36087210377,263785.31533692934,427876.3322640229,149550.950825193,184661.93711619847,245547.90532982023,371873.3106616281,504769.6038767552,0.9861548243806052
18,2019-07-31,257000.0,0.2425695110258868,12.0,56.0,9900.0,163016.49821002412,265620.7580303908,428338.5124165661,149881.21451159974,185306.0896929005,246607.092419648,372533.2331264269,505208.5432896474,0.9847267903033672
19,2019-08-31,255000.0,0.2323420074349442,11.0,57.0,9000.0,164002.3123259358,267005.82383606624,428937.1728733616,150837.31998729554,186286.3692760748,247905.6767137325,373298.7882416633,505737.98950268986,0.984178272669644
20,2019-09-30,249250.0,0.2451306413301662,11.0,54.0,9000.0,165050.83355266272,266976.62714413827,429556.9290796351,152201.49607251966,187325.0253988478,249102.2815676205,374025.44195689406,506325.77306334086,0.9825248605156542
21,2019-10-31,250000.0,0.2736021998166819,16.0,52.0,6000.0,166347.5540943844,267286.4480961392,430866.68217679166,154085.77067773367,188616.54451849544,250532.6347569375,375301.7153066669,507805.1842866789,0.981735062845972
22,2019-11-30,241500.0,0.2244788882950294,20.0,52.0,5000.0,167713.30300754972,267881.71312903624,432546.94359510246,156105.49700240346,189961.01494243773,252042.9945478793,376938.7182473748,509780.4872788207,0.9812159993474944
23,2019-12-31,252000.0,0.1574705517668939,26.0,58.0,5000.0,169118.9069010405,267938.13397755584,434518.23437415966,158128.111305854,191400.7319712573,253628.4357956833,378797.50411052,512040.9496763134,0.9774487745461984
24,2020-01-31,235000.0,0.2016179215930305,20.0,66.0,5000.0,170373.25123590554,267559.55046241725,436108.14487003366,160153.13461943166,192663.82628122484,254944.82330803844,380430.5472876853,513844.2634331663,0.976805555638644
25,2020-02-29,240000.0,0.1979230299328039,7.0,69.0,7000.0,171603.98467739052,268405.34885251086,437691.4515051967,161797.14398047276,193810.77040963675,256100.39371049937,381941.00031260494,515537.7232621581,0.98143614451056
26,2020-03-31,280000.0,0.1653543307086614,5.0,72.0,10000.0,173087.19381843766,271169.9853366946,439605.29623365815,163390.57189847037,195187.95936912423,257552.59782912605,383705.2162887415,517480.4287648092,0.9848007301337444
27,2020-04-30,275000.0,0.1318016928657799,9.0,76.0,6950.0,174488.72855343352,273540.1694528445,441394.1308085353,164575.09200661886,196476.85315530736,259024.3644023685,385410.33898103423,519359.5156000657,0.9877561917931396
28,2020-05-31,270250.0,0.1776927282668124,7.0,77.0,10000.0,175282.22938696647,275438.22645145503,442413.9522350495,165236.93684995445,197289.7306990144,260012.1147005676,386526.550966392,520603.4773804993,0.9833071185267748
29,2020-06-30,280000.0,0.2001160092807424,6.0,77.0,9000.0,175506.53918033684,277783.9454166905,442570.6763713961,165279.2253415409,197505.4083349505,260558.12361478413,386986.1847339205,521143.93753515015,0.98752738811885
30,2020-07-31,282750.0,0.2053571428571428,7.0,77.0,10000.0,176088.66479333933,281143.3511861456,443305.6253719957,165504.75071419266,198080.0167102153,261541.9794246177,387896.9139854899,522162.18752916926,0.9894790996554884
31,2020-08-31,287000.0,0.1899441340782122,5.0,79.0,10000.0,177699.81449131234,284857.3331660091,445824.198033608,166399.55493906097,199536.32605630983,263631.1353010092,390322.481941249,524853.3725400988,0.990621530847674
32,2020-09-30,282000.0,0.192,5.0,77.0,10000.0,180424.28227392025,288957.873506286,450646.07138636586,168061.89891463332,202035.52920040625,266935.54733032937,394690.91635132814,529971.8139855311,0.9924508378162952
33,2020-10-31,280000.0,0.1840369393139841,5.0,77.0,10000.0,183716.3820290256,292125.03640933696,456804.281908182,170275.24965107985,205090.6670483347,270907.1372726292,400273.7549928859,536812.6185687726,0.9932960551357044
34,2020-11-30,285000.0,0.1652310101801096,7.0,78.0,10000.0,187077.4672081425,294500.7118764797,463341.30346158537,172795.66525289378,208364.50923108825,275025.0243007837,406172.0652102888,544395.4012236849,0.9930195716117124
35,2020-12-31,275450.0,0.1168958742632613,7.0,92.0,10000.0,190237.0540955196,296833.21805154666,469339.8420223244,175383.89863013543,211493.33564353883,278887.4278608831,411674.843803077,551647.9282998941,0.9935312113097708
36,2021-01-31,270000.0,0.1439688715953307,5.0,108.0,10000.0,193058.16206456392,298291.0846691815,474630.5816018694,177511.51901344876,214213.09884630024,282335.2867908895,416646.0456037687,558459.8610829286,0.9933655758539652
37,2021-02-28,278000.0,0.0878661087866108,4.0,122.0,10100.0,196033.2124803865,302455.2728299176,480351.0275129036,179454.01374385948,217089.0062249518,286105.9133580837,422169.01763850753,565925.8203061502,0.9943684895655364
38,2021-03-31,307000.0,0.0946798917944093,4.0,120.0,13000.0,199215.4663450074,307887.63782695995,486355.14572645846,181601.6388391013,220389.3556497364,290274.4801690839,428199.6719619821,573634.2491397274,0.9999680624461772
39,2021-04-30,321995.0,0.0791304347826087,4.0,118.0,14950.0,202823.76599952707,314952.55081837485,493882.5573595721,184358.6550805033,224304.61538838505,295177.347657894,435417.60572793614,582970.0606264028,1.0066642024943668
40,2021-05-31,331000.0,0.0762639245929734,4.0,111.0,20000.0,206696.9349486524,324208.9697756964,502884.0830026848,187863.63485774896,228725.11004311792,300732.3321493108,443750.9028125415,594025.2733088317,1.009788237997944
41,2021-06-30,351500.0,0.0952782462057335,4.0,103.0,16000.0,210808.4612849038,333015.16366499185,512946.8827539454,191748.06335053663,233562.5368828886,306942.9424526294,453076.9502774933,606573.5017604529,1.0139779670899076
42,2021-07-31,359000.0,0.1405492730210016,5.0,94.0,11000.0,214208.9290996052,339220.0331525206,522661.98074754217,195840.7326344236,238223.6889467493,313108.2584739773,462441.4897147251,619147.2175830969,1.0135862989498026
43,2021-08-31,341000.0,0.129860031104199,5.0,89.0,12000.0,216378.45653581675,342837.70883770444,530425.0476944185,199410.1642969857,241967.98390159183,318284.7786521309,470572.0261589938,630302.1194930552,1.0106883879832609
44,2021-09-30,345000.0,0.1633306645316253,5.0,87.0,11150.0,217450.5412392096,345538.330860689,537183.3294598336,202632.91841664663,244673.9056408115,322440.925860523,477882.9107351398,641125.3986533255,1.006941334030975
45,2021-10-31,350000.0,0.1621829362029208,5.0,87.0,10000.0,218764.6733435749,348784.8086317298,543661.7036133555,205595.38036750024,247106.168532397,326507.1438482583,485029.6687370035,651747.6584894691,1.0049376418400346
46,2021-11-30,360000.0,0.1539923954372623,5.0,88.0,10000.0,221008.39594694108,353180.58980653354,551212.4940100467,208903.60521891463,250035.99534629183,331296.582000324,492921.1861001425,663233.933172131,1.0032095607370652
47,2021-12-31,360750.0,0.129608938547486,6.0,102.0,10000.0,223821.2224006224,356930.8120417495,559425.9453076716,212118.8321187968,253450.57571199056,336719.7577065542,501414.6192373208,675276.2862637673,1.002645260296224
48,2022-01-31,345000.0,0.1126596980255516,7.0,116.0,6000.0,228130.2411912252,364382.5356257351,569283.5913532543,215504.5461923972,258166.1913190773,343627.09196568275,511428.52719086624,688714.1632783769,1.0020684811103029
49,2022-02-28,340500.0,0.0907990314769975,4.0,121.0,10000.0,233578.7313346112,372995.2878850364,580470.796641108,219101.4755710425,263927.8146988729,351694.28096876893,522844.7312690254,703500.706028297,1.00513742769977
50,2022-03-31,369000.0,0.0786516853932584,4.0,110.0,10000.0,240306.09099514512,384262.9726811339,594053.8172367839,223724.50646813103,270965.3722795223,361365.89045917074,536443.0574570234,720892.8807701059,1.0141428916953152
51,2022-04-30,395000.0,0.0932994062765055,4.0,97.0,10100.0,246886.02149023247,397090.0545528837,609337.2322388452,228971.62880493863,278335.1204830145,371490.2326490485,551402.6859534918,740768.4993726728,1.020020641561169
52,2022-05-31,405000.0,0.1459580838323353,4.0,83.0,15000.0,252862.4382530772,407889.4084836534,624783.3715866128,234282.65531549245,285515.10734463384,381183.3104239529,566153.1727181271,761281.2991627586,1.0235586124567375
53,2022-06-30,400000.0,0.2088859416445623,6.0,73.0,15000.0,257810.00603558088,415086.33434973226,638113.4091625186,239037.1515033214,291582.71698517,389135.3340640915,578695.920752149,779469.1554582502,1.0162610970977082
54,2022-07-31,400000.0,0.2519685039370078,8.0,68.0,13000.0,260787.3095533168,414985.4971836791,645145.0420920219,242063.6691888797,295109.7164317574,393519.0609778746,585404.1080213849,789636.3479357641,1.005741162945568
55,2022-08-31,375250.0,0.29695885509839,11.0,59.0,13000.0,261493.8312780338,410291.53019056615,645618.2866252732,242954.42425709587,295732.7775692752,394130.4406604783,586105.4235587378,791300.9927307937,0.9986082265729904
56,2022-09-30,370000.0,0.3327126008690254,13.0,53.0,10000.0,260762.62728371425,405094.7451260496,641123.5705445913,241974.30943683736,294538.6259028827,392085.6669104514,582207.1340345511,786097.164969957,0.9941380332868512
57,2022-10-31,354000.0,0.3233270794246404,15.0,47.0,11000.0,259741.5080145629,401181.642609525,636674.8830121799,241019.97983957524,293167.5662616855,389582.0643058556,578036.6425871149,780628.0798076784,0.9897070607578788
58,2022-11-30,365000.0,0.3031802120141342,,48.0,10000.0,258723.63465752988,395492.60869996273,632984.0338171296,240720.0095648588,292054.5518586225,387002.3791458639,574379.1440453209,776123.1267307043,0.9885805184056214
59,2022-12-31,351250.0,0.1964140179299103,,55.0,10000.0,257165.62928945987,389918.9438527497,630036.2256965139,240777.61196989435,290565.2193920354,384174.3703114506,571208.6430536058,772680.8313121806,0.9848225240228607
60,2023-01-31,337250.0,0.2169811320754717,25.0,68.0,10000.0,255190.3756444457,386355.8281928134,627021.190228487,240255.3268833186,288753.4448902756,381212.6217761706,568194.0050290303,769812.9966325524,0.9842363752975192
61,2023-02-28,350000.0,0.1824817518248175,8.0,75.0,10000.0,253647.7381626017,385152.40820017376,624876.5965343624,239250.70184730203,287156.8158837466,379044.6660383244,566060.6093701598,768236.1851331954,0.983724622685065
62,2023-03-31,370000.0,0.1575757575757575,5.0,77.0,10090.0,253393.820268493,387369.5954772211,624144.2102522479,238377.7355500261,286677.28705899144,378184.83487450535,565123.829737801,768059.4369846475,0.9886504750378956
63,2023-04-30,392500.0,0.1695951107715813,5.0,78.0,14000.0,254492.3520098742,392970.07814174064,625848.3656166549,238853.9022808241,287535.28265638417,378641.5014510469,565921.6907941349,770337.6968084256,0.9939394700081684
64,2023-05-31,411500.0,0.1872146118721461,6.0,75.0,15000.0,256586.45291971523,399407.5907278048,629774.6121134878,240622.97649417617,289546.84230415145,380375.1291723531,568722.1545465637,775032.7543638361,0.996363965527166
65,2023-06-30,420000.0,0.2099039172209904,6.0,72.0,11288.5,259238.1482064824,406039.6703398504,635475.1224224758,243495.9846267038,292344.33869769063,383174.189790552,573372.7013007062,782175.8890284426,0.9964941651188476
66,2023-07-31,400000.0,0.2215523737754333,7.0,68.0,10000.0,261891.7970608945,410085.1026596468,641033.9643643409,246248.8200903768,295135.88907837303,386291.3927986802,578314.5519659055,789503.2668883079,0.9955578298187264
67,2023-08-31,400000.0,0.2580645161290322,8.0,66.0,10200.0,264189.6273873197,411250.5508191868,645837.986837485,248500.65544981044,297539.9941171052,389116.8291909094,582679.6449056471,795883.2116894977,0.9951311629717026
68,2023-09-30,384000.0,0.2790530846484935,10.0,61.0,11000.0,265876.39970559155,410927.03166962886,649539.1668650047,250425.74462582223,299390.0358207365,391242.9378126352,585916.4158399627,800876.9203453274,0.9926920734807092
69,2023-10-31,385000.0,0.2567102546455609,12.0,56.0,10000.0,267040.8489499858,410255.57167747983,652501.1340909068,251994.5164383192,300801.1618869977,392906.3056550986,588671.3072429724,805041.9871086627,0.9910129451556294
70,2023-11-30,390000.0,0.2615144418423107,20.0,54.0,10000.0,268189.2056134684,408613.6468463551,654432.2564312062,253521.3239337504,302062.73111270234,394290.94068040367,590511.0002611963,807608.6417804993,0.989493699577422
71,2023-12-31,374500.0,0.1582491582491582,27.0,60.0,10000.0,268915.69734066684,405529.682809103,655079.9922949764,253924.58145668285,302537.70225083176,395103.0258176404,591520.2847336314,808868.6060554871,0.9834738161530544
72,2024-01-31,360000.0,0.1984196663740123,20.0,68.0,10000.0,269130.1053127646,403251.0798346918,654479.5794909579,254101.6393137081,302603.3857270216,395396.6524335202,591495.7788363787,808281.1588822353,0.980124286110748
73,2024-02-29,375500.0,0.180722891566265,10.0,75.0,10000.0,269268.9906734929,405204.5580499292,655117.9430885599,254065.2400936249,302614.2334945181,396092.2322807369,592791.6611590871,809674.4014114243,0.9851284223290832
74,2024-03-31,425000.0,0.1828528072837632,6.0,75.0,10000.0,270288.7122736071,410696.6651606584,658426.3127855741,254757.2124631765,303573.2879916577,397950.0472134726,596222.6019777624,814134.5772823027,0.9892172209436318
75,2024-04-30,,0.1997084548104956,6.0,74.0,10000.0,271806.2321918378,415014.24265516165,663048.113136889,255220.60501923645,304689.1177553833,400029.8397556872,600472.495578393,820489.08946312,
76,2024-05-31,,,,,,,,,255265.229746706,305614.28307207394,401409.14537872974,603543.6298869216,825549.1110379129,
