,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,135000.0,0.134139320667818,,25.0,6794.0,92996.51723310412,149897.820162967,229279.9063985546,58428.45472842566,93781.85227530934,143752.93054348716,200453.7136134584,224556.1879022492,0.981530447316614
1,2018-02-28,136750.0,0.1070559610705596,,24.0,6300.0,93281.46526630531,149298.39863707166,229078.75538884933,58432.85945533356,93747.26546117022,143761.88719000653,200216.9793462244,224282.5947775665,0.9741020677916822
2,2018-03-31,140000.0,0.1292067307692307,,32.0,5000.0,94256.1276408382,151468.87851742856,229615.5738059317,58811.18773009052,94347.60553817824,144439.59473436422,200729.68635309453,224786.39100316007,0.9813194271803478
3,2018-04-30,139000.0,0.1294374658656472,,37.0,5000.0,95547.47768030249,153684.43379638338,231085.91671207783,59378.69652540112,95191.50777361348,145613.09712698593,202293.69910827404,226723.9689388828,0.984818305944258
4,2018-05-31,149700.0,0.1458117890382626,,42.0,5010.0,96860.59672760118,156355.18433901377,232915.9617260224,60096.47908721546,96172.16080949432,147025.3719772696,204217.66501083656,228990.2562091812,0.9853010487262944
5,2018-06-30,148000.0,0.1749011857707509,,36.0,5400.0,97844.0990936704,159230.33566795368,234829.66702206005,60603.75600603442,96941.8225711136,148326.7657077247,206087.3299537924,231286.93425916764,0.9881762995542608
6,2018-07-31,150500.0,0.1936090225563909,,40.0,5900.0,99066.90995844478,161554.97459510018,236586.56778666403,61407.53621120221,98190.5786959668,149758.51745693668,207712.0010491757,233167.331826317,0.9844148443543592
7,2018-08-31,140000.0,0.2003771805752003,,36.0,6100.0,100406.0250680069,162869.69385703758,238315.38739243688,62270.76553218859,99654.99356294544,151181.4773069158,209333.4256695332,235092.88003249865,0.983917240806102
8,2018-09-30,145000.0,0.15966796875,,41.0,7000.0,101721.95506363972,163990.8586104547,239626.9510257604,63137.94582366522,101105.71063839854,152435.1214528232,210694.40087672204,236511.12616605544,0.9823396164299568
9,2018-10-31,145000.0,0.1814495691839837,,38.0,6100.0,102562.11360381157,163753.0281290225,240633.13702880373,63568.82512457006,102055.94895227112,153351.07720742378,211869.2666005056,237770.3700292729,0.9791986429643132
