,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,140000.0,0.1543116490166414,,28.0,5000.0,89234.44992372353,138966.9407048075,224229.79909741023,55393.73409135622,84036.31606497656,144991.51602764113,206608.34633525737,262748.74410075205,0.9763509998102358
1,2018-02-28,139000.0,0.1437403400309119,,30.0,5000.0,89586.95018500637,139074.7755690207,224683.2729699896,55462.316752324325,84368.71445413657,145607.1141003317,207352.6703998476,263652.66358187405,0.9778427030294802
2,2018-03-31,145000.0,0.1392961876832844,,36.0,5000.0,90146.73446097992,140540.6299966346,225351.52707039475,55739.51180859408,84891.26887156452,146285.1876364249,208221.7217466893,264726.18525369134,0.974850149332516
3,2018-04-30,148500.0,0.1465968586387434,,43.0,5000.0,90697.91420728022,141626.02416257368,225922.47479798776,55862.92207214589,85230.0297473941,146766.88247182232,208882.1352916817,265304.77690537384,0.976486950352823
4,2018-05-31,145000.0,0.1673360107095046,,45.0,5000.0,91202.71666621102,142665.58421413926,226397.7214313472,55823.62631966294,85396.38494875575,147114.89653543415,209342.3889219912,265854.3386614975,0.978215250090398
5,2018-06-30,164000.0,0.1481942714819427,,41.0,5000.0,91434.823240799,143197.16385755516,226576.57111605813,55394.27103951474,85233.16285042891,147220.6330133388,209600.13113171424,266069.6987822207,0.9783246673892104
6,2018-07-31,143450.0,0.2239902080783353,,36.0,5000.0,91956.36197196777,144857.83595965206,227246.97712067343,55349.225829858704,85399.25411066598,147586.29864294847,210318.7849331161,266706.6152003905,0.9753888044591756
7,2018-08-31,153900.0,0.220873786407767,,32.0,5000.0,92656.13256129729,145240.30740030683,228229.1557863028,55454.45151256602,85708.2722548448,148143.6909934535,211366.2509068252,267749.31552722404,0.9711977092440988
8,2018-09-30,150000.0,0.2222222222222222,,27.0,5000.0,93579.19422582352,145750.6743251982,229417.76294294107,55776.459367016105,86203.24061713202,148862.35080557188,212437.5805274706,268905.82451090513,0.971663660040162
9,2018-10-31,133950.0,0.214987714987715,,25.0,5000.0,94004.28443548428,144966.56319778645,229924.428632868,55752.84596347583,86309.60434449585,149179.13340313916,212933.3804159333,269762.25979611534,0.970982872413202
10,2018-11-30,149000.0,0.174931129476584,,33.0,5000.0,94605.9531555034,145175.09290717798,230479.51735110444,55934.34271886241,86634.36533774289,149649.98566527705,213469.00250446,270604.3946620792,0.9693210213292974
11,2018-12-31,154000.0,0.1163475699558173,,42.0,5000.0,95216.88830738045,145182.01400666498,231017.56806730657,56177.85616405736,87011.87442340936,150188.42229104546,214002.8763529587,271348.6957826968,0.9682436951143748
12,2019-01-31,141000.0,0.1514285714285714,61.0,44.0,5000.0,95830.81517279832,144753.37483327935,231393.85265577515,56540.81329466831,87414.46815594581,150817.02409187224,214281.8954555417,271613.42911936686,0.9677315016143484
13,2019-02-28,140800.0,0.1659259259259259,74.0,43.0,5000.0,96281.77768228068,145197.43941772246,231455.47656827568,56825.14310201535,87876.13650781353,151356.6107610412,214286.48589757408,271481.0274012565,0.9699510272738036
14,2019-03-31,150000.0,0.1659259259259259,34.0,45.0,5000.0,96750.11509754253,146282.28126563094,231567.8028297912,57231.19558447807,88403.88874071342,151853.41289778752,214388.98257353145,271401.09837769164,0.9711765108461904
15,2019-04-30,140000.0,0.1723076923076923,35.0,51.0,5000.0,97572.1585578716,147560.965368936,232109.0157557535,57806.98741508957,89223.74046989808,152510.33000359806,214992.9992287775,271648.11839466455,0.9743620544834588
16,2019-05-31,158643.0,0.156390977443609,16.0,54.0,5000.0,98291.23028238612,148981.3897781567,232697.8081656293,58289.65741163991,89839.87136986067,153056.29937261195,215618.9409092084,271730.47026692,0.9734236764423708
17,2019-06-30,155000.0,0.198821796759941,25.0,51.0,5100.0,98961.1038896247,150585.7929306323,233372.0117182882,58577.77188998292,90482.14627646844,153758.98538739726,216265.8564217988,271821.7198026346,0.9707296058957726
18,2019-07-31,185000.0,0.219619326500732,58.0,51.0,5000.0,99532.0145621754,152005.27856200424,234369.9392445272,58842.55551931711,91043.42547788686,154474.44536213882,217087.8557441125,272254.3595832536,0.9748973484477949
19,2019-08-31,152000.0,0.1928057553956834,43.0,49.0,5000.0,100266.4623819968,152923.44754121275,235836.96098273265,59254.68814435214,91687.24543495452,155400.51331001255,218372.4555452252,273537.92969056265,0.9738900870754064
20,2019-09-30,152750.0,0.2198473282442748,45.0,42.0,5000.0,100880.3472263959,153326.12905231048,237258.02376076303,59604.08866454401,92184.27227925864,156283.77123230987,219757.13240956565,274956.5728575308,0.9736766627027368
21,2019-10-31,146700.0,0.2179878048780487,68.0,36.0,5000.0,101565.7298247057,153831.83384725417,238672.9352385536,59886.89737540055,92750.9498199042,157375.9025652074,221239.1258918707,276533.0410350748,0.975160702545824
22,2019-11-30,164500.0,0.1785150078988941,21.0,35.0,5000.0,102343.60435833797,154378.99325825274,240111.64189997248,60176.95024652768,93446.15935725709,158546.66480107993,222709.3010146912,278227.3312821431,0.9694082520931898
23,2019-12-31,170000.0,0.1226765799256505,90.0,41.0,5000.0,103329.5931268675,154536.8546082596,241680.5754227888,60683.20868773248,94328.44083426952,159762.76039782318,224257.0398715006,280209.4873357078,0.9703496804978492
24,2020-01-31,163000.0,0.1903914590747331,75.0,47.0,5000.0,104213.25656559602,154861.67926680716,242944.8386193316,61534.15247743601,95251.1485965178,160759.56536587453,225484.38404370216,281951.96967592905,0.9712806646073951
25,2020-02-29,155700.0,0.2358490566037736,71.0,49.0,5000.0,105008.7735186547,155028.32168282854,243668.97510027807,62479.29420379334,96043.14654894006,161391.8168364548,226241.0102467069,283048.44325166824,0.9753067919126044
26,2020-03-31,175750.0,0.1783088235294117,67.0,56.0,5000.0,105780.24085978612,156070.98509038112,244032.19961562217,63472.94404344975,96721.00095179568,161766.04414242975,226511.115572968,283460.6754437364,0.9743868895834152
27,2020-04-30,176900.0,0.1290322580645161,14.0,80.0,5000.0,106565.38514579037,157069.2936035792,244211.1028482998,64151.97314096553,97165.18091954564,161936.10646800758,226544.0518532592,283456.113769059,0.9765211148609833
28,2020-05-31,163000.0,0.1252699784017278,18.0,106.0,5000.0,107423.8194946316,159082.36353811077,244650.9611921049,64707.66986232891,97616.08386854132,162238.55380580755,226708.9740868572,283439.6091099405,0.9773731367431696
29,2020-06-30,184500.0,0.1344339622641509,14.0,109.0,,108286.3225218561,160766.52737222114,245505.93296899347,65100.49737491688,98091.79203325982,162754.74545321564,227357.40549408444,283856.8741757925,0.9848759182049802
