,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,139900.0,0.1343012704174228,,37.0,,93376.46447760829,149220.2556050957,244844.57780515004,65329.94988352326,100152.78528677484,146260.68790523903,195398.19868657843,282914.2085572949,0.9735592219342498
1,2018-02-28,139950.0,0.1245210727969348,,42.0,,94644.62059143372,149729.941956826,246238.6141053844,65890.56729010784,101111.58481878058,147458.57034219304,196691.63862640187,284431.14188434544,0.975966688038783
2,2018-03-31,145000.0,0.1572649572649572,,54.0,,95982.65083154668,151649.23860903422,248314.99046691903,66749.2562935262,102233.65045847536,148938.86606842568,198390.07609118265,286762.4863581616,0.9796139779105558
3,2018-04-30,142000.0,0.1333333333333333,,61.0,,97064.35511077044,153598.66936661603,250018.8959266296,67758.54744288271,103283.59102945686,150166.95564335317,199787.5822667279,288833.8428258191,0.9815554037738746
4,2018-05-31,154170.0,0.1644736842105263,,65.0,,98004.1347496176,155984.22211208552,251486.75996932224,68719.72132207865,104327.2474661118,151194.45374881633,200943.3298428978,290634.34359700093,0.9878348294035766
5,2018-06-30,154930.0,0.2115677321156773,,57.0,,98545.88676595896,157657.7103533345,252571.96616802385,69440.7899347851,105094.40763605035,151871.24060289032,201816.3376152172,292087.4422429981,0.9889169163523838
6,2018-07-31,159500.0,0.2231520223152022,,52.0,,98842.61012313743,159209.0582399934,253568.43048495025,69985.82621603276,105610.82704970909,152452.87120661588,202678.9977986987,293258.1201880116,0.985443042558176
7,2018-08-31,167000.0,0.2469470827679782,,51.0,,99133.9490614563,160624.31003027863,254656.9564986665,70478.88489865499,106152.85612417136,153169.00832252786,203704.7311054168,294622.5096834819,0.98093916659753
8,2018-09-30,160000.0,0.2612244897959184,,49.0,,99532.10337119112,161266.34389361658,255723.69846544883,71039.91020661437,106739.72599005076,153988.42248001366,204879.9538787606,295661.2728869603,0.9748698512040312
9,2018-10-31,160000.0,0.2819383259911894,,42.0,,100122.22490215524,161455.19568508092,257150.7520649004,71625.1270419422,107468.779547169,154955.36152746313,206251.4373625744,297466.8019800072,0.9778023231528042
10,2018-11-30,150000.0,0.1878980891719745,,36.0,,100799.2654453675,161334.98603815577,258658.0174030963,72364.32020173372,108232.32730555128,155816.21240105148,207544.76750103207,299590.60003021435,0.9732618037269558
11,2018-12-31,143075.0,0.1160409556313993,,39.0,,101662.52649582764,161182.99494246996,260392.7899927889,73145.283727972,109140.0273354004,156831.02217712684,208864.8045196996,302251.7351234811,0.9724418877818805
12,2019-01-31,140000.0,0.1742286751361161,,47.0,,102893.7950449239,161345.71739153296,262226.60318211885,74052.71296838469,110360.96232163256,158118.93031403763,210277.68438539017,304691.9383806295,0.9620074204718012
13,2019-02-28,146000.0,0.1672794117647058,,55.0,,104305.43230845728,161904.4637005968,264046.401749295,74899.62254656335,111696.05769641353,159575.35836898733,211727.6935043348,306685.07686041767,0.9749438107726756
14,2019-03-31,153000.0,0.198501872659176,,58.0,,105677.336596433,163259.36776514768,265570.4744586134,75922.75933121859,112985.28729690309,160829.58714600216,212926.99202782693,308040.1444310543,0.9742845660605968
15,2019-04-30,160225.0,0.1971830985915492,,60.0,,106633.4584065252,164941.3370712751,266694.7371329534,76930.00330657716,113877.62016143306,161742.73641565096,213804.2050025716,308939.69884119096,0.984696026156502
16,2019-05-31,157000.0,0.2256944444444444,,59.0,,107204.13859959804,166451.08611942106,267298.4189255534,77699.63738482859,114422.75930439292,162252.02955266187,214256.5121981115,309178.3285521998,0.985934373803888
17,2019-06-30,169900.0,0.2268370607028754,,61.0,,107542.82294770856,168126.53862874585,267734.57704038965,78108.73604724718,114771.34806759536,162648.6332580489,214582.755771086,309370.67261187284,0.98775167307315
18,2019-07-31,170000.0,0.2455858747993579,,59.0,,107683.9888087773,169351.47653492825,268058.38964256534,78119.82067257362,114940.85384831775,162841.57137687504,214847.28858116423,309529.5964654616,0.9842653476911256
19,2019-08-31,160300.0,0.2430858806404658,,54.0,,107797.5727800048,170199.55916445036,268414.6903047356,78109.04902748857,115103.28356169154,163054.6358898422,215200.08385507125,309802.4877435158,0.980026259536435
20,2019-09-30,160000.0,0.2686567164179104,,46.0,,107914.4877606546,170437.9120050272,268781.8198578661,78063.18792191804,115231.99986294884,163296.0707865059,215619.9652071712,310113.53061257163,0.9785643507768504
21,2019-10-31,164000.0,0.2463126843657817,,43.0,,108148.18395151375,170220.70842047455,269324.60729008145,78065.75259017128,115487.33145283928,163696.57573502962,216106.1169298236,310713.802322191,0.9731436604953084
