,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,251000.0,0.1153846153846153,,59.0,,196730.08804478496,300740.54461015546,518778.0336238181,221433.5947806479,238335.43396154244,307778.04735928815,382102.57146900514,495149.2946285315,0.9914113182573936
1,2018-02-28,273450.0,0.1066666666666666,,62.0,,198778.1548673944,301835.3939535578,522115.86132092105,223623.28855438685,240585.76266695853,310187.78487356886,385230.2605730668,498855.4979100816,0.9928822723022188
2,2018-03-31,289000.0,0.0732984293193717,,66.0,,201070.13826558468,305849.07559925487,525763.1079218033,226210.53116716407,243062.1412080958,312752.71216729004,388450.5699883278,502779.92640421446,0.9989723567302642
3,2018-04-30,312000.0,0.118942731277533,,66.0,,203427.9351925075,310718.71584441414,530387.6832273518,228547.43302597303,245623.9365463894,315815.42220253946,392210.2232233205,507654.1105496324,0.9996307655750104
4,2018-05-31,316500.0,0.1660377358490566,,62.0,,206257.8258787456,317608.57561910007,536431.1508724731,231576.91267319687,248822.5680576352,319544.5905935842,396795.6309735868,514020.1954304646,1.0011216011946988
5,2018-06-30,297625.0,0.198051948051948,,56.0,,209007.6510282464,323948.2016302042,542911.3613218849,234875.017948658,252169.59629541208,323278.45653488755,401291.70600141137,520399.7055938067,1.0005360137449302
6,2018-07-31,280000.0,0.2409638554216867,,47.0,,212149.1266813439,330857.0081500579,550040.3482364526,238953.6446491163,255846.9845686397,327248.38746056566,406218.4163831875,527478.7258603008,0.9985147856303622
7,2018-08-31,298500.0,0.2649572649572649,,43.0,,215176.6982154153,334082.8865710675,556541.9891475256,242465.76363558977,259260.4123161415,331117.94649378693,410931.5588171425,534026.9757460231,0.9988881124332112
8,2018-09-30,314975.0,0.2747603833865815,,36.0,,217802.87461185904,334993.66831564426,561478.2455334329,245299.6081835746,261944.6919898653,334309.43987938814,414977.2357728479,539400.4077134755,0.9964487426007574
9,2018-10-31,310000.0,0.2110726643598615,,39.0,,219678.9821131733,335168.085366487,565186.2677045069,247202.7248462407,263917.74529107125,336755.44344118447,418018.66761574574,543309.7995811882,0.994592357230634
10,2018-11-30,282500.0,0.1502145922746781,,39.0,,221373.1342740955,335775.72560412885,568554.5026004948,248930.86591791903,265668.9402468736,338802.6655168526,420759.1816955265,547069.6080125569,0.9949264921185405
11,2018-12-31,288750.0,0.0787878787878787,,43.0,,222977.3819056028,334743.4368659808,571594.1051446326,250696.83523991285,267398.1492140065,340696.2586175302,422986.61224188056,550238.318377051,0.9929831064939286
12,2019-01-31,285000.0,0.1285714285714285,,39.0,,224077.1197225072,332191.7198392414,572988.0603102205,252119.5743610544,268482.97200201225,341688.8418491197,424120.47556496056,551639.2300652628,0.9916025302602732
13,2019-02-28,292500.0,0.1287878787878787,,48.0,,224884.38204035096,333085.42295225966,574020.2303677156,253431.12553827817,269402.9564071375,342596.2257779362,425056.98578643496,552299.7896906751,0.9925811160000698
14,2019-03-31,319000.0,0.0764331210191082,,61.0,,226020.7226819828,336671.94417621905,576365.3540094049,255161.36417097185,270925.322393179,344204.30393419275,427069.6285813167,553990.435140532,0.9961050436782154
15,2019-04-30,290000.0,0.1551724137931034,,68.0,,227417.056556041,338171.5180522434,578306.0349980559,256594.21352326803,272620.371485721,346186.2021282491,429151.218240042,555877.9244060282,0.9969293098934962
16,2019-05-31,340000.0,0.2193308550185873,,60.0,,228680.89252918912,341607.743184852,579165.7784935944,257573.18623652987,273962.76780928764,347575.1690358312,430288.5072271433,557195.4495710352,0.9988770606029008
17,2019-06-30,299000.0,0.1963636363636363,,53.0,,229410.97638660023,344469.4746538169,577697.5988008524,257593.06159806985,274366.04777839186,347973.6321172332,429862.98110916815,556638.271882997,0.9982134980047932
18,2019-07-31,329000.0,0.2095238095238095,,53.0,,229622.11936399413,345573.2616889154,575935.9493774258,257378.2408337624,274260.4338308669,347822.78870812367,429021.2302596276,555601.845249968,0.9990231713845056
