,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,166000.0,0.1421133231240428,50.0,39.0,5950.0,131189.87617933666,188559.13763158987,317264.24525245937,104837.21436855952,120191.89379414868,165576.9788394935,262115.57071284496,396080.4005864214,0.974499738558303
1,2018-02-28,169500.0,0.1188895594447797,35.0,40.0,6000.0,132023.8522987153,188600.7635202438,317692.032068268,105119.14378972612,121095.57973523485,166594.95194027983,262627.9668273777,396497.2527827248,0.9727101606243876
2,2018-03-31,181320.0,0.1480103063269396,16.0,44.0,5901.0,132935.7839165332,190207.25162289,318277.8759086356,105349.47652320525,121978.75059286288,167574.00247545927,263245.2835920118,397034.6767413243,0.9798974420829312
3,2018-04-30,177000.0,0.1451771653543307,39.0,48.0,6000.0,133699.62991621057,191344.3040286892,319179.7061768893,106083.97743379931,122811.82244938686,168344.49926999083,263935.5239632959,398058.2631266301,0.9808976557287674
4,2018-05-31,183000.0,0.1693759832197168,19.0,48.0,6000.0,134331.76311654263,192805.071220582,320318.374573755,107257.0354943922,123595.73790425684,168978.39641135224,264846.0300084077,399978.2710157808,0.9794130037642428
5,2018-06-30,182000.0,0.1875,20.0,45.0,6061.0,134664.6968105862,194029.34383180144,321202.1657959148,108182.85316008324,124106.54923480505,169461.12646054642,265570.26808580005,401673.3184348792,0.9828741070750572
6,2018-07-31,181300.0,0.2104142011834319,20.0,42.0,7600.0,135145.3122246199,195757.66291176484,322354.46746616584,109094.91155575764,124739.24425059363,170157.19135646612,266573.2101994348,403504.4053858637,0.9806276006482074
7,2018-08-31,185000.0,0.2256112931686412,26.0,41.0,6400.0,135697.38001664422,196390.28479467187,323514.9528949434,109809.06289217998,125519.98009236091,170982.167671649,267736.2101254486,405058.7476449962,0.978569799575162
8,2018-09-30,185000.0,0.1906845084920226,24.0,40.0,6400.0,136243.63969425394,196557.6875941492,324466.6093388258,110601.17423343426,126370.76891751756,171859.18375513353,268750.9406968104,406252.6556956957,0.9770428578047938
9,2018-10-31,185000.0,0.20970625798212,31.0,39.0,6000.0,136643.2478311987,196289.9023589349,324851.74246697983,111300.55320070648,127176.87175683248,172604.4586097115,269475.3277628613,406844.36313572834,0.9724642487177744
10,2018-11-30,180700.0,0.182741116751269,35.0,38.0,5900.0,137197.82885261544,196141.85196517865,325208.18256471696,112094.97400979108,127959.60840333311,173343.83623691252,270036.9492690372,407529.54903819575,0.971296039676142
11,2018-12-31,185000.0,0.1061084026383711,58.0,40.0,5156.0,138024.479974623,196385.51003235413,325773.7630322922,113019.32116798396,128865.75133495386,174144.8929009871,270668.35744946013,408413.083808057,0.9744299330062812
12,2019-01-31,181250.0,0.1624930439621591,43.0,43.0,5100.0,139099.024278026,196536.2403351454,326568.829687778,113614.07044084028,129645.76550850824,174919.10521401954,271173.0583127295,409144.2391072337,0.9797375973685992
13,2019-02-28,185500.0,0.1352617079889807,31.0,46.0,6000.0,140245.2994042684,197316.8679765305,327639.6278741339,113829.91074922823,130342.66851894354,175645.56947231208,271801.2541927727,409876.6724300447,0.9787296894305716
14,2019-03-31,185500.0,0.1559608056614044,19.0,46.0,6000.0,141444.75197204645,199009.27725719725,328874.82178908755,114188.75887129737,130905.7110725924,176253.79822889797,272407.036323339,410841.5107299991,0.9784365314644656
