,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,232125.0,0.0975609756097561,,57.0,,191051.47385738665,250962.9805587632,320533.3872891839,148682.54835640165,176321.91115232895,236351.6655963004,291645.3340073797,345732.6885331354,0.9871557365163596
1,2018-02-28,237000.0,0.1055718475073313,,60.0,,193981.2033259068,252074.6576519295,323624.29939335445,150047.1697395124,178727.00848353293,239475.77453314827,294820.261478528,348871.4910470935,0.9917934604344056
2,2018-03-31,242500.0,0.1108179419525065,,65.0,,197191.59540284603,256537.87754723977,327107.9911811172,152556.92809849812,181644.3021562897,242717.7602222523,298185.20048030786,352568.55608972214,0.99795057832441
3,2018-04-30,248000.0,0.1236842105263157,,63.0,,200459.7465024785,260762.6252230138,330771.0999640662,155813.7423364753,184728.2920630097,245982.0441269954,301666.17680728325,356770.11977545405,0.999137721583542
4,2018-05-31,259900.0,0.1573333333333333,,63.0,,203915.68426949263,265620.04053611646,334970.2664621222,159956.44871514532,188110.5291134452,249572.708890804,305638.6944709271,361518.4859459035,1.0
5,2018-06-30,259000.0,0.1425061425061425,,63.0,,206787.8656276389,269764.7983209081,338489.3106065897,163627.6229923474,190823.2608482126,252691.03428554247,309021.0603381404,365050.7675135822,1.0
6,2018-07-31,254900.0,0.1727272727272727,,62.0,,209670.32451034643,273733.162780881,341973.4587033581,167198.26419566572,193821.1772481085,255769.7508917709,312120.9551288251,368113.4092450799,0.9986679946719788
7,2018-08-31,253000.0,0.2224770642201834,,58.0,,212028.9763931548,275419.520746372,344627.4708748162,169868.88325508923,196221.26254076065,258282.1055523604,314467.9718151748,370270.8401972352,0.9968253128070618
8,2018-09-30,249950.0,0.2057416267942583,,57.0,,214108.1317491328,276522.1446249839,346841.3649274777,171908.73310104318,198644.42463619067,260359.0712246109,316472.83204575186,372442.6695010148,0.9909700343996104
9,2018-10-31,260000.0,0.2386634844868735,,56.0,,215461.2990716681,277266.0136536736,348665.46453137643,172359.61920204028,200258.78216401525,261852.2361526277,318356.93280694407,374933.4505641826,0.990366397458108
10,2018-11-30,258500.0,0.1496062992125984,,56.0,,216596.59200398144,277036.6217695443,350143.02554665523,172059.2475399432,201794.79723041423,263104.9614038107,319936.05031247094,376963.183525767,0.9875643006508332
11,2018-12-31,255000.0,0.0979228486646884,,56.0,,217751.33815271145,276957.65066799824,351832.040172819,172519.9243553599,203327.96846072868,264387.3873974174,321632.8325885136,379126.8050496199,0.9898827562116362
12,2019-01-31,260500.0,0.1586402266288951,,56.0,,219004.9618368943,277216.7228902357,353564.32795682177,173595.50823210014,204879.1271704269,265723.5296600415,323431.7415144516,381276.4380615723,0.9877339100085496
13,2019-02-28,254500.0,0.0909090909090909,,57.0,,220602.4398936976,278218.8187079788,355977.9154958132,175329.06701004808,206606.3853026568,267556.1595518228,325920.16621287947,384291.6610205027,0.9885341404694138
14,2019-03-31,258000.0,0.1358695652173913,,60.0,,222137.58392959545,279795.7926406188,358340.4444865175,176222.90641318602,207842.9767608171,269344.89609907335,328392.20102148975,387922.4331744256,0.9897706841731884
15,2019-04-30,259900.0,0.1278772378516624,,64.0,,223515.63065944504,281687.16508349474,360457.9711171063,177395.0515661287,208955.8997329974,270864.4080729224,330389.0436405072,391260.7661973404,0.992639169050778
16,2019-05-31,272450.0,0.1862068965517241,,61.0,,224440.5993303711,283851.4885425681,362178.2932506123,179022.93470621234,209849.01137866976,271694.5202663625,331634.699822942,394293.0775673245,0.9905158573609592
17,2019-06-30,275000.0,0.22,,57.0,,225340.09913029496,286480.389668143,363854.3193255774,181092.1091418184,211104.55606092385,272400.7097804588,332770.8858160493,396874.5559146418,0.995446289065432
18,2019-07-31,278100.0,0.2130044843049327,,54.0,,226608.7162046736,289443.3905881982,365922.96658624057,183281.3148547619,212645.7318402237,273421.7199150251,334341.0514263244,399582.8698810786,0.990676750878697
19,2019-08-31,269000.0,0.2462203023758099,,56.0,,228543.70250587736,291620.71166706097,368144.8147955529,185450.73557295444,214765.259406158,274915.863157954,336285.9851246613,402301.8028910043,0.99101756510093
20,2019-09-30,274750.0,0.2066666666666666,,53.0,,230272.3677928352,291528.7470893963,369724.6211124601,186794.15984454183,216522.94436132952,276076.50218832446,337744.44538213173,404369.5571075353,0.9908794844689564
21,2019-10-31,276000.0,0.1931540342298288,,54.0,,231617.2921810809,291356.8510052163,370539.13021139737,187889.62139682783,218034.3970915029,276814.1589461804,338623.74241363216,405910.0648353728,0.989493034709606
22,2019-11-30,261500.0,0.1335078534031413,,55.0,,232396.47220258127,291353.6048302957,371175.5739075228,188253.59377873715,218927.3344929839,277287.20366990793,339377.84691792325,407251.1436431182,0.985190957710584
23,2019-12-31,275000.0,0.0927318295739348,,55.0,,233516.35833354667,291442.44393091445,372475.16481729,188705.9544257452,219903.61059474244,278310.7780282211,340860.1485615014,409397.9668998605,0.9857456061455784
24,2020-01-31,289000.0,0.1222222222222222,61.0,55.0,,235745.26074554247,294672.2077069343,375365.9468640214,190737.6466528195,222089.56423099467,280605.73957167746,343757.7274654519,413225.92684058426,0.9909321685152848
25,2020-02-29,285000.0,0.2048929663608562,14.0,58.0,,238956.0619209654,297136.7029869391,379441.5733189752,194802.7275469017,225641.8138178848,283770.8245906719,347659.81398499594,418547.44622807903,0.9895732484717316
26,2020-03-31,270000.0,0.1385542168674698,17.0,60.0,,242255.7087166858,299429.1074403985,383746.19179894245,200151.3301100524,229605.88806956515,286970.1210321148,351544.3401901064,424201.4804991397,0.9958353392391528
27,2020-04-30,269000.0,0.1266666666666666,26.0,63.0,,244223.3663284157,300307.2540110442,386012.7916715906,204058.1483853828,232241.02336591587,288675.1088963517,353458.7172918953,427398.4593122351,0.9937952260459652
28,2020-05-31,290000.0,0.1333333333333333,21.0,66.0,,244650.04350492952,300659.644714274,386155.2085973444,205911.99852170763,233059.64191277,288760.86631732807,353563.12482683576,428344.7332814757,0.9873529419214948
29,2020-06-30,281000.0,0.1497175141242938,13.0,70.0,,244319.1680953921,301999.762466918,385347.7352857518,206324.3846227453,232999.3460178972,288210.7790270543,352965.6962193007,427929.7700623309,0.9936769904269654
30,2020-07-31,284000.0,0.1227154046997389,11.0,70.0,,244583.50007967124,305342.22927488066,385797.8896687551,207178.47603624008,233390.59193676533,288378.69439211354,353538.82976199803,428621.6012688521,0.9968206899899904
31,2020-08-31,291000.0,0.0954907161803713,7.0,72.0,,245890.9934514312,307872.45694406366,387857.16837757017,208778.5599272764,234777.9482463952,289714.1722627459,355419.15726660675,430550.15116129833,0.9962266825297266
32,2020-09-30,299750.0,0.087719298245614,12.0,73.0,,248840.12448114937,312915.55171988043,392028.2412742581,212226.84597880163,237811.6372930028,292721.70778109966,359026.38608563086,434289.61574120616,0.9977010419155212
33,2020-10-31,317000.0,0.085173501577287,6.0,72.0,,252532.2607278823,317629.34730635496,397433.1067311126,215640.0597327335,241302.52684719503,296828.2481429642,363906.1267089996,439655.4060798762,0.994675808064381
34,2020-11-30,310000.0,0.0583941605839416,13.0,71.0,,256732.75459695453,321993.7659714192,403965.6308090785,219005.6173329029,244898.0578151417,301935.25933130423,369986.0813861966,446300.2459768655,0.9974872761257152
35,2020-12-31,305000.0,0.043859649122807,14.0,73.0,,260612.9134243564,325220.0280592247,410619.50628607656,220901.44597769208,247892.2560168927,307035.9720038488,376422.4247123455,453622.4714855192,0.9969854021612298
36,2021-01-31,311000.0,0.0752212389380531,12.0,83.0,,264231.69211225683,328243.41518340184,417011.9327124204,221400.4227126485,250411.0708669613,311861.659654353,382764.6541379735,460950.9376402276,0.9970269234737544
37,2021-02-28,326000.0,0.0526315789473684,9.0,87.0,,268590.91150190384,334272.911599459,424221.9871103435,222717.4286711325,253957.6910978762,317357.7780354175,389687.6038939583,469128.6451309372,0.998241033100446
38,2021-03-31,325000.0,0.0275229357798165,5.0,85.0,,273983.8647720441,343103.4556652763,432719.5887278901,224846.70550616112,258619.0892926888,323851.34553695034,397818.87536658806,478796.3037083082,1.00367330990861
39,2021-04-30,330000.0,0.048780487804878,6.0,81.0,,280427.5994272903,352573.32043628365,443024.3003674892,230194.9235660177,264827.9661582828,331386.6225828006,407259.8327466231,490461.8949331136,1.0080107182713731
40,2021-05-31,352500.0,0.0704225352112676,5.0,79.0,,287270.59554915986,363842.04034682486,454362.87851738994,236408.16982888145,271347.5713879039,339395.0947755113,417783.86741470295,503962.7580425867,1.0095568068132863
41,2021-06-30,350000.0,0.0892018779342723,6.0,74.0,,294304.8375989734,374042.5962317615,465786.4998285382,243653.4358678225,278037.5772239676,347619.3007515631,428217.77046485967,517564.0317857475,1.0120608123804746
42,2021-07-31,365000.0,0.1184210526315789,7.0,70.0,,300530.70075269527,380832.5647608408,475180.1839610359,248871.2820232769,284033.38712030096,355167.7863351644,437206.4247131877,529204.9505496817,1.0066735168271992
43,2021-08-31,365000.0,0.1886792452830188,7.0,66.0,,305603.39296388923,386789.08947536617,482532.0660789889,251004.8327080657,289009.5247189384,361811.2613877648,444589.5345009186,538624.2084421102,1.001619752007553
44,2021-09-30,372500.0,0.2404580152671755,10.0,63.0,,309402.4998978542,391215.3379930231,488071.6117588704,250672.73558739983,292793.61538093333,367266.12064240576,450646.6084935679,546371.5001698199,1.0002425773188164
45,2021-10-31,360000.0,0.2086092715231788,9.0,60.0,,312856.93409719947,393970.6945517749,493116.8722379273,249506.1318692072,295897.9527915995,372211.97341433103,456229.152720552,553380.194688023,0.9980067655477493
46,2021-11-30,373500.0,0.2049469964664311,15.0,59.0,,316323.88131236966,396733.4314840369,497559.4400460093,249523.4717088604,298700.96012855705,376632.5916022023,461189.194235166,559688.0864685378,1.0
47,2021-12-31,361000.0,0.1481481481481481,17.0,60.0,,319832.4815014861,398354.30144092446,501723.5294808944,250104.2554439708,301469.72764994524,380806.0777952736,465690.91520162526,564893.1271283393,0.9984962406015038
48,2022-01-31,374500.0,0.1382488479262673,18.0,67.0,,324336.57503955904,401363.9309194431,506875.2335677864,252387.89473869067,304627.51530521613,385367.6213639385,471044.6734945381,571038.9871398202,0.996017102094626
49,2022-02-28,365000.0,0.1065989847715736,9.0,70.0,,329543.32577642903,405683.17189744377,513034.6280887418,255089.14176268515,308123.38287536614,390291.2930050362,477348.6598370536,577912.7087299865,0.9989426132440082
50,2022-03-31,390000.0,0.1013824884792626,7.0,71.0,10000.0,335678.07266476844,413666.0705607178,520799.2317758268,259406.7734677728,312398.9465363714,396159.8858009037,484957.6834006267,586667.3023837201,1.001991653558139
51,2022-04-30,390000.0,0.1836734693877551,7.0,66.0,8000.0,341312.1094881153,420026.4800448544,528194.0660818928,263250.9206239735,316802.82766257355,402030.7806352533,492016.90669810446,594891.7484084852,1.0026296488911033
52,2022-05-31,420000.0,0.2840466926070039,14.0,60.0,10000.0,345453.2781787286,423261.7854339254,533646.2465283704,266454.360530673,320404.46582898294,406548.41131286975,497017.4237995749,601151.7000068858,1.001233545183548
53,2022-06-30,405500.0,0.3333333333333333,22.0,53.0,10950.0,348319.3870888837,426558.7322806099,536638.7764291598,268376.0690795176,323050.50435642473,409424.303376833,499955.4807680196,605255.8774265858,0.9995184248292832
54,2022-07-31,406500.0,0.3569405099150141,28.0,51.0,14450.0,348914.78541606496,423936.79629368754,535827.6796538493,267971.59869412176,323429.370913968,409526.6841448091,499535.9334459442,605384.156144155,0.9972256139218884
55,2022-08-31,385000.0,0.3251833740831296,28.0,50.0,10000.0,347548.0080913854,418116.8781286987,532266.418252412,266622.366345742,321976.93430548225,407482.19092359627,496563.6556038417,602184.8888964358,0.9871188022104332
56,2022-09-30,391500.0,0.3961352657004831,34.0,48.0,10000.0,344023.8510299682,412101.63270930457,525798.9142186025,263575.3708335373,318842.5154051532,403055.7509536412,490848.9735636169,595432.532632206,0.9851918275153732
57,2022-10-31,362000.0,0.3005050505050505,49.0,47.0,10950.0,340198.04226854496,406440.2124286036,519557.98560043046,260706.2355359649,315666.2088836729,398252.9329822447,485148.1482224466,588664.9628515783,0.9824268290687675
58,2022-11-30,422000.0,0.2424242424242424,56.0,46.0,15050.0,336215.1731120289,399023.35378465295,512966.0991864333,257184.75034915225,312430.29524237366,393155.995234096,479049.6297769658,581857.9332327403,0.9826761559648808
59,2022-12-31,360000.0,0.2192192192192192,47.0,47.0,10099.0,331930.2272601114,391832.67831641104,506569.3344822522,253400.99467662824,308334.3871434164,388088.747536786,472990.5803195049,575112.4490594821,0.9847314963020758
60,2023-01-31,359950.0,0.2459016393442623,84.0,49.0,10000.0,326760.6905684988,384385.06834737904,499002.70068086026,248810.88463473623,303327.1093830731,382433.0651048631,465776.3496766808,567038.9354657262,0.9844552928161496
61,2023-02-28,375000.0,0.1801470588235294,50.0,56.0,10000.0,321980.2082036825,380698.8815188065,492516.7078052708,243918.21603681616,298422.89265207195,377572.7609824969,459734.0287312146,560784.7539354687,0.9798529484756074
62,2023-03-31,355000.0,0.1877551020408163,37.0,62.0,10000.0,318278.4140442821,380923.7416906607,487357.099711969,239387.91894132225,294338.687541498,373845.42876119976,454897.4011840204,556310.2514774856,0.9853389029047204
63,2023-04-30,367500.0,0.1369294605809128,25.0,66.0,10450.0,316477.6460432249,382508.5589271705,484707.47140498064,236636.279956474,292001.9780495008,372034.8314896363,452443.4835972701,554898.665627696,0.9905583786456778
64,2023-05-31,359900.0,0.1713147410358565,21.0,63.0,10000.0,315919.87632209325,384903.4865148301,483109.44823077,234475.5362619252,290497.57272578945,371499.78129211935,450987.3002082578,553822.780401379,0.9890328081478617
65,2023-06-30,400000.0,0.1707317073170731,16.0,63.0,10000.0,316525.6924536119,388564.4403787308,483030.9046207978,232787.48526475125,290242.4369670081,372020.2203177985,451026.71037029306,554232.1457025952,0.9939851787920474
66,2023-07-31,375000.0,0.2530612244897959,14.0,58.0,10000.0,317576.17417331727,391673.97883860464,484093.6336865704,230954.81033103465,290246.57740790903,373207.31857918063,452242.07311299565,555587.0479186692,0.992777394598758
67,2023-08-31,375000.0,0.2692307692307692,25.0,58.0,10000.0,318994.6638225732,392968.8276943613,486247.2766738215,229951.4840524258,290931.74252985226,374819.6508061616,454388.0801770322,557518.5206530519,0.9945274019155264
68,2023-09-30,370000.0,0.2437275985663082,14.0,56.0,11000.0,319928.7534610666,392908.7935060572,487991.0923530599,229728.955247808,291421.9643434723,376139.40820968105,456076.8193706546,558849.1282318401,0.9921786285230928
69,2023-10-31,385000.0,0.3088803088803089,26.0,54.0,10000.0,320509.21065902826,392383.54944963945,489397.52336142136,229401.1858841684,291734.3651134642,377117.5521860521,457481.7322520159,559494.8177964771,0.9885989987985134
70,2023-11-30,365000.0,0.2098765432098765,31.0,51.0,10000.0,320829.75399744854,390370.3091764223,490066.03679326223,229571.8516868113,292093.245313929,377550.784167402,458212.8786451607,559711.7477226682,0.9858864260016568
71,2023-12-31,395000.0,0.135593220338983,44.0,52.0,10000.0,321390.2501026358,388822.80495429307,490583.3329287684,229538.5574454598,292430.4455876623,378039.9395951501,458881.1779410166,559714.4676460102,0.984808417107132
72,2024-01-31,376250.0,0.1541666666666666,28.0,57.0,13000.0,321915.29354966345,387360.84555244,490652.899720676,228890.32794739585,292676.8063589371,378427.9335465527,459221.6033374471,559615.4926167418,0.983199082255856
73,2024-02-29,379500.0,0.1576763485477178,18.0,58.0,10000.0,322871.8742620218,388966.5311190419,491412.6156422292,227398.0824670895,292857.3444646756,379453.8746136164,460297.5141819324,560469.6323954803,0.99075230833427
74,2024-03-31,365000.0,0.2164502164502164,29.0,61.0,10499.5,323892.05302643235,392306.5955855068,493033.3792593255,225755.6281873382,293278.81796386203,380616.8180693709,462156.6911056211,562947.2057548179,0.9920872207033604
75,2024-04-30,,0.1532258064516129,18.0,63.0,10000.0,325846.9259673294,397138.6889046033,495823.3722648796,225570.03391512024,294661.5745880478,382563.7389373237,464992.6435727477,566722.9833306988,
76,2024-05-31,,,,,,,,,226138.79227098776,296320.52288744313,384599.676155818,467747.74363156274,570482.6354350751,
