,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,144950.0,0.0611814345991561,,11.0,,92743.20103481752,155476.68002333524,253235.7997071921,62943.357315851645,99688.06666557024,141178.40639966298,167306.51097905496,190470.9031652092,0.9794248972544368
1,2018-02-28,135950.0,0.1180124223602484,,20.0,,93241.73084494546,154842.77992913156,253859.544888941,63405.50533990487,100252.00725740322,141898.06802916175,168025.15027265836,191206.17273263363,0.9839083215400912
2,2018-03-31,129500.0,0.1127272727272727,,28.0,,93932.19994088508,156553.63962334034,255133.79813883305,63958.89026912358,100934.22697226224,142707.5199489801,168849.36531570388,192109.6342438128,0.992665684481699
3,2018-04-30,126500.0,0.1288659793814432,,34.0,,94645.4278023897,158183.6294789686,256659.4218745004,64524.29808205988,101558.23755239022,143330.77638726545,169592.91385154822,192942.39132121697,0.9975094019217406
4,2018-05-31,134750.0,0.1013513513513513,,41.0,,95367.76277359136,160403.03052310736,258099.98652042783,65031.97157055084,102173.9458285269,143955.32074569585,170376.35856341055,193922.7673285067,1.0000797866801987
5,2018-06-30,137000.0,0.1101836393989983,,42.0,,95854.2828838532,162642.30230014335,259244.2163226877,65299.56866930373,102619.84895089192,144524.45356147108,171172.6807464438,194837.89884396087,1.000091692136705
6,2018-07-31,126500.0,0.1333333333333333,,36.0,,96325.49093784542,165441.4437961277,260729.05667888327,65541.86818758248,103077.140010568,145190.42963145056,172148.39188125718,196004.2722963341,1.0
7,2018-08-31,150000.0,0.1840390879478827,,29.0,,96665.03637041042,165990.87837503653,262071.9055064756,65632.50978860256,103465.43023413589,145704.1155488291,172941.76182728217,196983.63350118123,1.0001151191558713
8,2018-09-30,144900.0,0.1856392294220665,,9.0,,96970.1099326358,166449.4405277894,263242.9727402919,65684.61350217146,103856.9590751923,146097.72041330097,173556.45653624853,197776.8791731219,0.9941397193267808
9,2018-10-31,134900.0,0.2101576182136602,,4.0,,97188.6878216542,166112.71611524126,263816.7078970128,65663.30521871585,104207.18971173507,146421.42889129845,173962.39036912614,198242.09367536296,0.9909864471374742
10,2018-11-30,132000.0,0.148217636022514,,16.0,,97896.45524374944,166000.41824085108,264746.16169931507,66091.93554271039,104879.92894658598,147168.6085692827,174797.36918414794,199180.9356460076,0.9890122905695566
11,2018-12-31,150000.0,0.0867768595041322,,41.0,,98805.40496172733,165447.23384222022,265964.6805866845,66853.9068991342,105707.77407683535,148043.5488035053,175745.8907529865,200320.89147731764,0.984881985195958
12,2019-01-31,136500.0,0.1220043572984749,,41.0,,99808.54738777822,165039.8190810625,267537.838140135,68010.23341764467,106645.63432475732,148992.95771284922,176791.00715552433,201661.02118478177,0.9872174247357132
13,2019-02-28,131600.0,0.1093394077448747,,45.0,,100755.57449426112,165553.04386322226,269453.7105169933,69186.80731384839,107679.65474907972,149971.18829537547,177882.5161122533,203053.8242973644,0.984300648536544
14,2019-03-31,126950.0,0.1042128603104212,,50.0,,101722.58009379728,166943.56066893451,271426.39145390986,70539.64949443408,108799.63684514682,150960.05025398088,179003.00163244657,204450.50723445267,0.986316382078242
15,2019-04-30,124000.0,0.0998003992015968,,52.0,,102409.77040608594,167954.8585620385,272995.2093453707,71523.12733922347,109636.87971784348,151634.89722542107,179801.3354845627,205345.196447628,0.9935331333489834
16,2019-05-31,155000.0,0.1121673003802281,,52.0,,102644.23660708092,170183.16676301576,274204.85859317734,72085.35520397751,109926.43949072289,151917.665590442,180236.42105139256,205757.2692413351,0.9987860825466596
17,2019-06-30,145500.0,0.1124031007751938,,53.0,,102559.601432833,172694.68093216282,275248.0568385497,72117.46909958683,109901.17941182508,152099.6068661841,180549.75651697544,205895.1652627624,1.000080671184253
18,2019-07-31,145000.0,0.173828125,,56.0,,102514.81052472192,174685.5902154329,276527.3351353733,72020.5271249636,109971.53925640351,152490.48313867327,181081.86832537004,206321.56090302623,0.999722499383332
19,2019-08-31,132000.0,0.150735294117647,,50.0,,102514.26308905412,175619.19428452526,277577.15147099993,71931.07277867755,110114.1572623414,152851.2277920683,181550.16592565368,206789.0322286495,0.9994041944709248
20,2019-09-30,153000.0,0.1592920353982301,,44.0,,102704.06195483396,176498.02289824514,278576.79136168835,71998.67232575423,110442.38286859875,153323.07908187757,182143.883068458,207471.2906901719,0.998713530157154
21,2019-10-31,144200.0,0.1737451737451737,,33.0,,103128.1242972759,176649.35720677592,279823.6428321632,72321.33344526669,111007.03217929504,153977.0283870692,182982.3891988476,208578.8769761092,0.9906644632373408
22,2019-11-30,154900.0,0.094017094017094,,35.0,,103689.0345369627,175860.93685696064,281417.4754555539,72754.80097060437,111737.41952591938,154771.55304894957,183975.4797115907,209820.176636192,0.9889956592773806
23,2019-12-31,128000.0,0.095360824742268,,43.0,,104315.08506652308,175054.9664103875,282921.7394744615,73267.23151513863,112427.64026838308,155540.22279557644,184968.5855947452,211124.10414434585,0.9884188305971848
24,2020-01-31,125200.0,0.1139896373056994,,50.0,,104927.16900818236,173783.07242724454,283890.8045127481,73593.25744642342,113029.227043208,156246.8252911782,185827.2188902676,212089.94208731528,0.9863514939217188
25,2020-02-29,139000.0,0.1557788944723618,,60.0,,105660.08748383351,173012.67326866998,284442.49621628894,73937.0884521641,113729.66087465949,157001.96786467166,186625.7254039887,212867.9215423316,0.983943071613262
26,2020-03-31,143900.0,0.0879629629629629,,64.0,,106362.91166801025,174256.92326858226,284997.09475814865,74226.85191013663,114431.42646664153,157718.5373881253,187412.3894857934,213631.4061678952,0.9993239588967008
27,2020-04-30,133500.0,0.1182033096926714,,71.0,,107060.01234208728,176295.606217317,285798.06016622623,74705.39554840825,115097.0992601354,158416.08252003565,188217.7092901387,214442.8674747744,0.9983108108108107
28,2020-05-31,156250.0,0.1191011235955056,,74.0,,107273.77079285,177603.58752865065,286431.00072088017,74976.69295056256,115326.8474036441,158747.43129502787,188761.8633031808,214983.22364600995,1.001185718480739
29,2020-06-30,143000.0,0.1041666666666666,,79.0,,107177.72766541918,179727.47347660584,286775.4499032232,75010.24306290878,115334.7781702184,158946.42893889034,189052.3608915199,215018.0533238084,1.0
30,2020-07-31,149000.0,0.0952380952380952,,86.0,,107289.010423558,182798.9121697526,287378.07487387856,75246.73504300311,115584.58280466584,159307.92606628351,189452.0659138109,215072.6887107381,1.0004734455301776
31,2020-08-31,153500.0,0.0934782608695652,,82.0,,108181.08293256558,186289.7892034836,289752.9223817677,76056.74283484748,116507.2055085691,160417.9704385553,190753.4405912693,216287.6418937409,1.001111519946249
32,2020-09-30,157000.0,0.117391304347826,,72.0,,109806.45201929964,189582.1581863352,293697.0651064868,77381.67022901411,118005.08183729889,162188.503303936,192975.0110445376,218768.2978300356,1.0005267106734794
33,2020-10-31,169900.0,0.1042654028436018,,44.0,,111674.19521066477,191066.76802554287,298049.56449108705,78795.7468007636,119751.51980870152,164419.03376641197,195918.2276877741,222281.9910166666,1.000287523523193
34,2020-11-30,150000.0,0.1219512195121951,,28.0,,113503.9950779484,191212.2209120232,301587.0168882657,80151.90568084133,121539.45744510456,166804.55887806162,199117.51530483423,226228.4046816606,1.0002341581533756
