,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,,0.0943396226415094,,-15.0,,44174.34398621559,92889.77609897376,178593.66043476234,,58731.0334495457,101587.59004016587,118658.00224682932,135906.29149185473,0.98036324007622
1,2018-02-28,,0.0346153846153846,,-15.0,,44980.77049212276,92544.0718690059,178237.3315787837,,59009.82954547503,101967.64956002036,119035.23174836671,137056.37812520107,0.9797269011190848
2,2018-03-31,,0.1103202846975089,,-7.0,,45884.55047099901,93292.2229801936,178724.33569873727,,59364.8412165202,102573.56269665284,119527.86015148826,138390.3683444916,0.9799331986583896
3,2018-04-30,,0.092063492063492,,2.0,,46591.60063219911,94294.07944339684,179116.35540202376,,59627.221665527,103072.96600449173,119941.8779454404,139502.33824822263,0.9852037915623068
4,2018-05-31,,0.1596638655462184,,2.0,,47084.46052441988,95063.45889551836,179381.93763103752,,59812.19850317001,103441.28408812825,120251.59881024144,140377.7495155323,0.9905347029555298
5,2018-06-30,,0.1455026455026455,,-9.0,,47021.34199995737,95300.81154458536,179172.30577315306,,59803.87884932669,103563.68506467144,120340.8315452678,141136.15743270013,0.9896643935037848
6,2018-07-31,,0.1316455696202531,,-15.0,,47024.11108652063,97016.17004650932,179302.81567645026,,60046.48535018411,103862.65840686792,120715.8043352006,142163.65332372612,0.9887575125571644
7,2018-08-31,,0.1906005221932115,,-7.0,,46731.19874707743,95656.2799620164,178895.80457899894,,60022.588812578346,103829.8421634899,120853.120512597,142739.72657288692,0.983958960588199
8,2018-09-30,,0.1613756613756613,,-1.0,,46753.8851394786,95863.94469383638,178904.80681221964,,60040.22537053825,103903.33885234012,121214.17528171478,143345.55333598494,0.9782834174993889
9,2018-10-31,,0.1256983240223463,,1.0,,46589.282336880286,94933.5449552526,178563.80351954736,,59716.64859373699,103693.01331066218,121220.98548793184,143590.15614523026,0.9807999404825
10,2018-11-30,,0.1012269938650306,,-8.0,,46687.57991374194,94052.65002492128,178620.64538007,,59692.10422815106,103804.18990340084,121565.72808043564,144182.5737427352,0.9797865406211268
11,2018-12-31,,0.0934256055363321,,-5.0,,46865.277813862165,93445.56036561316,178481.3108095613,,59839.596214096506,103937.33481907591,121841.57981727256,144501.34674101835,0.9776228433584354
12,2019-01-31,,0.0859375,,0.0,,47052.254408535664,92140.85845304212,178659.58112192954,,60214.41866708767,104348.73540175815,122445.6306507192,145163.0355607013,0.9782332047016176
13,2019-02-28,,0.0674603174603174,,11.0,,47076.92242851167,91064.24364075964,179219.33709861548,,60575.31333447487,104949.2802593568,123222.24305639992,146131.35380688807,0.9747606760681568
14,2019-03-31,,0.1363636363636363,,12.0,,47232.492370827786,91685.76954435169,180014.60674228263,,61071.61885855589,105713.8335041956,124117.3455319216,147455.9014004776,0.9766391376495754
15,2019-04-30,,0.1461794019933555,,9.0,,47496.12168302474,92678.81734763544,180477.13124263068,,61427.81296345812,106231.4131040689,124670.79751791514,148442.7338263531,0.9823827155804032
16,2019-05-31,,0.1693811074918566,,6.0,,48272.59267305295,95048.6001149832,180925.85132181065,,61736.46535636018,106495.311211983,124849.04356804476,149022.9262923745,0.9853394018353804
17,2019-06-30,,0.1848184818481848,,9.0,,48972.52346204152,97670.12133601018,181459.0010907428,,61663.78314669896,106420.3577806038,124648.58259386451,149215.72813282153,0.9858609637195692
18,2019-07-31,,0.1588785046728972,,5.0,,49538.09732337236,99621.91755882638,182314.0051136597,,61511.81264388824,106204.88601267274,124327.71596856735,149164.57413400724,0.98498347289435
