,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,233750.0,0.1582697201017811,17.0,57.0,6000.0,162787.86152577566,250298.1790504134,379692.9685839117,101472.50736342208,149082.75870311112,233001.0775072289,320240.830143212,404451.138407935,0.9952317035182582
1,2018-02-28,245500.0,0.1668336673346693,14.0,56.0,8500.0,164982.528986258,251874.1967100148,382334.4782764627,103179.54127350583,151158.15832212564,235656.0145834197,322643.7060253552,407041.180470515,0.9974034559419712
2,2018-03-31,254000.0,0.1784573254221816,16.0,57.0,10000.0,167205.61430802444,254446.0966558868,384752.6135890402,104989.45803132711,153236.86781711748,238100.09613655228,324710.0411914306,409291.0716808264,1.000017224617332
3,2018-04-30,250000.0,0.1868037703513282,12.0,59.0,9900.0,168826.19276061267,256851.8722188408,386893.415966116,106140.41147846944,154633.9948398804,239949.9860822848,326469.69081560033,411581.5273439077,1.000997576730447
4,2018-05-31,260000.0,0.1893660531697341,10.0,60.0,9900.5,170253.4298933053,259622.2067106323,389104.4301802569,107126.8125861636,155895.35058029994,241597.10979340287,328230.747312692,413914.2435981064,0.999937254290932
5,2018-06-30,265000.0,0.2130818619582664,12.0,58.0,9405.0,171415.87131351966,261862.412643458,391024.6457474222,107801.56378175852,156950.37759845916,242959.0503415475,329722.3566605708,415832.4722629746,1.0005397766505506
6,2018-07-31,256000.0,0.2327619047619047,16.0,57.0,9950.0,172888.31670115926,264198.39964845264,393218.05634856055,109059.80481404968,158420.61194694522,244591.4263859047,331444.2635231876,417922.6102342492,0.9978586747443356
7,2018-08-31,260750.0,0.2474990737310115,13.0,56.0,9999.0,174415.07825816926,264951.1809159395,395369.3179534965,110410.97497894404,160019.57758344422,246121.85147249923,333204.0668001682,420216.96399468713,0.9957346824685688
8,2018-09-30,255000.0,0.2621580547112462,19.0,54.0,9100.0,175875.432741994,265463.28439767315,397452.44948943687,111886.81452106863,161564.9947443972,247461.7023169244,334917.49471757584,422659.5361697772,0.992991081249572
9,2018-10-31,255000.0,0.272761055369751,15.0,53.0,9500.0,176941.7366834729,265231.5052299956,398887.8271885409,112812.28256029615,162738.53687686985,248395.10427239587,336135.2191070808,424492.8897526848,0.989870188012509
10,2018-11-30,252750.0,0.2227602905569007,25.0,52.0,7000.0,177674.21159231965,264568.34884793626,399533.340309838,113593.25806962316,163669.43316147948,248902.186974322,336680.5119613273,425476.6611234157,0.9895963862226476
11,2018-12-31,250000.0,0.1538112522686025,33.0,54.0,8978.0,178597.27473480324,264661.11279270705,400243.2727356471,114558.978902033,164877.97954006214,249670.0696121277,337321.6353310336,426318.0933419031,0.9883132251141684
12,2019-01-31,249240.0,0.1997389033942558,22.0,56.0,7100.0,180185.4056505911,265235.6497922437,401554.99394408165,116002.62415693392,166792.64580720934,250991.46879221927,338475.1690286864,427529.21589279297,0.988744039414998
13,2019-02-28,250000.0,0.1741379310344827,24.0,57.0,9900.0,182098.46556573024,266651.25795111305,403664.64987581567,117118.03652128934,168730.97214544934,252915.30838292933,340342.39637599257,429255.3176896128,0.9878372262982036
14,2019-03-31,268000.0,0.2029102667744543,17.0,58.0,8000.0,183733.862345548,268216.77679321,405618.27462136,117497.51707485174,170157.45362608825,254696.12632236604,342069.01796916715,430742.5755994281,0.9908190103006248
15,2019-04-30,255000.0,0.2135619641465315,12.0,59.0,8600.0,184568.58712848977,269752.19717083586,406600.1968342604,117126.68835222884,170664.93264056262,255661.3010553342,342946.2664392691,431383.1097485861,0.9940540583743348
16,2019-05-31,265500.0,0.2147102526002971,18.0,58.0,10000.0,184980.892062426,271285.1421304786,406722.8096664359,116725.280629447,170923.4940478876,255988.40385685745,343073.372313159,431371.6560141677,0.9957654633869428
17,2019-06-30,270000.0,0.2284644194756554,22.0,58.0,10000.0,185467.9881992804,273433.2788940892,406595.03847951046,116745.43500427608,171429.21845079557,256187.2802299813,342924.35777930176,431245.3090205213,0.9954805287700657
18,2019-07-31,275000.0,0.2290798939795532,16.0,59.0,10000.0,186054.6377512796,274504.500561086,406382.1363536256,117131.29305261384,172228.85676990738,256405.29492086143,342732.0751946549,430897.8237529521,0.9945398725995772
19,2019-08-31,270000.0,0.2276667923105917,15.0,59.0,10000.0,187054.0500370788,275556.44790439005,406679.6012011634,117626.41039442991,173331.58118073514,257045.35496393568,342950.19851760595,431072.732430109,0.9928740682186928
20,2019-09-30,270000.0,0.226232052774544,21.0,57.0,9800.0,187820.9181889804,276095.5572686029,407109.1583929613,117748.74910225785,174020.67699955904,257636.99792495865,343355.582785814,431287.3747237849,0.992417203684879
21,2019-10-31,268250.0,0.2323272438443208,23.0,55.0,9075.0,188878.37623028376,276429.8196855393,408253.9258749228,118008.29530189908,174822.9899002572,258643.29373703685,344312.1166612404,432347.1989611657,0.992824816931412
