,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,100000.0,0.1264367816091954,94.0,24.0,,68156.33370434573,126824.2814156031,220565.9839595401,80675.71136521843,99313.8843788762,131394.52354265866,148222.38673605645,178884.7737858652,0.964813982147942
1,2018-02-28,93050.0,0.0938775510204081,112.0,20.0,,68467.6469138513,125696.38887707327,220937.73169160853,80868.67307451552,99548.87232060544,131726.74452699334,148766.4660252932,179724.9252275629,0.969775658626213
2,2018-03-31,77375.0,0.124,101.0,31.0,,68786.20798541815,125398.7443830152,221230.4382367164,81192.68213899898,99803.78494056876,131969.8503078185,149132.08784916342,180370.70095018056,0.9680859372349976
3,2018-04-30,74094.0,0.1032028469750889,22.0,36.0,,68880.79426588252,125532.87395848877,221237.66406211603,81253.82358451132,99740.20241860434,131867.48608360917,149039.93204847354,180421.83200846324,0.9769075727813415
4,2018-05-31,127000.0,0.1540785498489426,26.0,36.0,,68963.43246335171,127026.30350683555,221139.72467521927,81133.13832309115,99592.72075666738,131753.36035661437,148871.05034385095,180254.7340913205,0.9768608408579952
5,2018-06-30,130000.0,0.1939890710382513,31.0,28.0,,69183.19907182892,129423.85725353911,221516.7550661217,81141.56385498993,99742.33382407954,132018.6074464541,149208.96193464394,180638.9516737562,0.9827178090500794
6,2018-07-31,70000.0,0.1851851851851851,43.0,28.0,,69846.09254966743,132471.12072478037,222604.126142023,81631.61716251436,100425.48755701612,132819.54396169566,150165.27211754414,181715.27468728417,0.9833435565860776
7,2018-08-31,115550.0,0.2292682926829268,43.0,23.0,,70410.90502528854,133756.17893745576,223717.5584793048,82217.45105651188,101187.42673391911,133538.0027874024,151028.5239590793,182653.33412769545,0.9812181608912516
8,2018-09-30,120000.0,0.2025641025641025,65.0,18.0,,71034.75734113924,135376.89635778702,224921.9741760681,82888.57677526241,102034.56221593155,134354.7142388897,152002.52623754425,183709.44609762623,0.9789052360558178
9,2018-10-31,106150.0,0.1931540342298288,52.0,15.0,,71146.93583616133,134180.8024837192,225411.76315805336,83046.13464138599,102389.27110798644,134674.51205109447,152442.24750493924,184192.53904743344,0.9740678262316396
10,2018-11-30,101500.0,0.1226666666666666,61.0,16.0,,71259.38685198988,132731.37274590158,225682.0996632765,83160.01998872736,102629.6547621644,134946.7836509411,152783.5212085411,184593.22071922864,0.9714900287980776
11,2018-12-31,145750.0,0.0919881305637982,90.0,19.0,,71126.3884850904,131381.62545897477,225684.60934757665,83168.13330788584,102489.18058830863,134854.4824038144,152756.3491458702,184472.9463090618,0.9691600463434676
12,2019-01-31,83651.0,0.1353846153846153,187.0,21.0,,71029.93583023596,129688.64363543212,225974.27674473115,83153.58655959794,102321.93845978077,134932.0310124641,152924.1573851453,184538.994790082,0.9662890941408224
13,2019-02-28,78690.0,0.15359477124183,161.0,24.0,,70961.17547925767,129023.85598804869,226838.422345582,83140.11753183133,102439.14977516267,135381.59428380892,153471.58810453737,184920.4410159566,0.9683185679300454
14,2019-03-31,95500.0,0.1375,111.0,30.0,,70941.14626222813,129531.75635611484,227777.6570598059,83088.98191560073,102877.31416562114,136034.4818783691,154062.91164420266,185296.72351451693,0.9691595927053896
15,2019-04-30,113500.0,0.1489361702127659,48.0,41.0,,71001.30367307334,129725.39219054484,228312.81115320217,83197.75435256143,103438.00293678476,136528.78357419744,154372.7135629201,185356.97247061905,0.9723098405144568
16,2019-05-31,120000.0,0.1825396825396825,24.0,39.0,,71071.51244425368,131050.98049091591,228218.3436826332,83434.80410938595,103818.6746670348,136676.00569651727,154337.21852452433,185082.2232060613,0.977929702084874
17,2019-06-30,97500.0,0.2270408163265306,30.0,32.0,,71174.49967103056,133214.67196506902,227999.15763037128,83679.33337070154,104122.23536251717,136792.34208940467,154324.91648853934,184833.45688042385,0.982265653684442
18,2019-07-31,105000.0,0.2475961538461538,42.0,24.0,,71326.00700458145,135269.90209296503,228095.65787043783,84091.09133339755,104524.40004526312,137014.4021600315,154546.15014839126,184890.71002317988,0.9824519022195618
19,2019-08-31,130000.0,0.2023809523809523,73.0,21.0,,71273.10146032789,136344.2301693882,228431.17156177643,84224.67381253667,104754.00701118664,137210.65434264555,154826.7242942641,185055.117161412,0.9799711460035566
20,2019-09-30,141000.0,0.2079207920792079,65.0,23.0,,71327.90114947814,137931.325963585,229018.16300551328,84376.02280031044,105072.488859898,137568.91226083986,155315.63772676137,185569.5395198488,0.9787462065837936
21,2019-10-31,135000.0,0.1946666666666666,71.0,25.0,,71582.7229191895,138480.6592412786,229983.0693372185,84673.37565171639,105652.8600174578,138289.9691757271,156204.360718198,186606.5256835162,0.9763993278842892
