,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,136000.0,0.1019677996422182,93.0,32.0,,67528.80513613186,119642.88728824428,201824.4134366664,63168.85250808379,57878.80426948101,129584.13852548372,206716.64376659505,236025.60473195577,0.97409306537226
1,2018-02-28,125000.0,0.1329479768786127,75.0,33.0,,67347.55444197994,117690.51826529732,201311.4809435072,62991.06219148595,58049.61771689248,129683.26347615762,206916.28121367143,236340.9295662314,0.9755744991882044
2,2018-03-31,153000.0,0.1479289940828402,39.0,37.0,,67215.48455552041,117820.40048708132,200916.0759055362,63117.3726684825,58309.09181952659,129824.06848197411,207113.44758667995,236887.92903558305,0.9801018425801756
3,2018-04-30,130000.0,0.1590038314176245,39.0,38.0,,67130.24615599816,118820.21084367746,200656.86696694416,63085.20592116861,58491.418508787705,129887.38540868672,207252.84892893385,237287.59075210785,0.9823051032609552
4,2018-05-31,137500.0,0.1903846153846153,41.0,42.0,,67654.41158928612,120652.51602882912,201041.76295570176,63482.25792584103,58873.34988598222,130127.9503334564,207718.6181982398,238058.73410211003,0.983746725399988
5,2018-06-30,156500.0,0.1021341463414634,14.0,43.0,,68251.33499004757,121474.0899351208,201427.27102288936,63944.89233086965,59151.20119724669,130265.08228818356,208072.1664641608,238507.18439616504,0.9831226563632424
6,2018-07-31,157000.0,0.1139817629179331,24.0,45.0,,69275.139057393,123926.27630278692,202176.9336045673,64912.659115618095,59751.41138448365,130670.10399109648,208683.3442543205,239243.99826530128,0.9827777087509016
7,2018-08-31,152000.0,0.1416526138279932,25.0,42.0,,70099.30558733168,125112.51608572398,202780.0037650411,65754.55247572363,60345.311533960274,131095.7292273245,209215.76877149867,239796.8389072786,0.9812258908289953
8,2018-09-30,144000.0,0.0935114503816793,43.0,40.0,,71133.7885055294,126618.13791132788,203518.21917736472,66678.14029478963,61050.07996191843,131701.25507119772,209793.9700285425,240387.99883994923,0.9826896476257552
9,2018-10-31,140000.0,0.1547861507128309,60.0,41.0,,71622.41318634512,125877.5705833282,203739.8482646268,66884.96268332393,61365.467342936194,132051.8207500031,209953.8467655248,240448.6667620818,0.980449910424771
10,2018-11-30,157250.0,0.1658878504672897,67.0,43.0,,72327.61181112776,126256.37902446237,203876.012740123,67111.46147983482,61604.6364386224,132252.62348218003,209993.57859479863,240396.0960177424,0.978687248663186
11,2018-12-31,134875.0,0.0846153846153846,91.0,44.0,,72753.93141549158,126245.40042033572,203871.2992093073,67241.89861314326,61579.538842840855,132292.81872009175,209977.6540956161,240171.54848448525,0.9794681725314948
12,2019-01-31,116000.0,0.1391509433962264,74.0,48.0,,73123.96883514228,124380.3064541422,203901.5499631129,67203.29183943402,61453.063029741206,132275.78673783355,209933.9264283509,239770.146688377,0.9755257512263452
13,2019-02-28,138000.0,0.1284634760705289,28.0,51.0,,72859.00151420454,122313.78446553485,203751.51941531323,66446.74862038174,61024.4213339072,132300.20873830363,209966.76744947373,239226.94279540383,0.9776396097162888
14,2019-03-31,139250.0,0.1327014218009478,33.0,52.0,,73033.81350149622,123921.43088376216,203904.4510209069,65738.93671235978,61131.71575774847,132694.3636093992,210372.1272587943,239236.56498294303,0.979899488097995
15,2019-04-30,140000.0,0.1483253588516746,26.0,52.0,,73598.44042697754,125462.43764993791,204346.71142937173,65471.66453519621,61475.05033312569,133220.98935794664,210889.3448377848,239478.0926883812,0.9824159888819136
