,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,196450.0,0.1570796460176991,97.0,28.0,,123421.84658943435,202933.0544776077,324819.00616754097,103357.55290576447,151240.57235897845,191519.61827895883,240476.99745723605,303982.7394984169,
1,2018-02-28,209900.0,0.1207243460764587,100.0,29.0,,123607.36057173846,202210.9759924474,324627.114331945,103677.17508381182,151423.8989254374,191814.19013592825,240624.8058982596,304182.1338716804,
2,2018-03-31,182500.0,0.1479289940828402,46.0,38.0,,124224.49899841896,203838.3918567881,324727.951116361,103991.90948931169,151628.30204378767,192389.59772404828,240967.4026312326,304538.0540707158,
3,2018-04-30,200000.0,0.1564828614008941,33.0,44.0,,124644.89902652406,204746.01971092087,324495.0759300396,103981.53947154904,151557.97271665285,192402.7754784292,240679.72443007003,304320.41876057995,
4,2018-05-31,210000.0,0.2150706436420722,24.0,45.0,,124947.80651823044,206597.6275000581,324513.65872765565,103907.25868799195,151524.31919512688,192346.42720623763,240408.27695865897,304285.28746388666,
5,2018-06-30,200000.0,0.2328358208955223,28.0,36.0,,125047.6785909083,207410.10946646385,324458.58142978366,103725.99341395107,151471.0002803196,192267.9050961712,240174.4036286112,304159.0503512801,
6,2018-07-31,212250.0,0.2437223042836041,49.0,30.0,,125340.51172872185,209513.1906704816,325067.56420477625,103777.6646575168,151688.45682707033,192641.0810703009,240597.48282208867,304679.0414510513,
7,2018-08-31,212500.0,0.2292899408284023,55.0,25.0,,125637.70488572016,210143.5853616449,325582.9497861317,103892.67196955236,151901.78884748733,193006.2025623305,241110.7180310456,305257.5322952869,
8,2018-09-30,204000.0,0.2399403874813711,55.0,22.0,,125568.11247733409,209702.807455456,325478.57416314736,103750.9572728176,151744.87155242078,192896.4784537724,241134.00257436864,305366.6359457516,
9,2018-10-31,203000.0,0.210122699386503,67.0,22.0,,125393.90012601035,208011.9012453274,324481.68519490893,103446.41463713902,151355.3080153632,192276.655025424,240357.291974164,304592.81084562064,
10,2018-11-30,245000.0,0.1375838926174496,84.0,24.0,,125405.58756289052,206272.45266319672,323167.613197574,103062.80144149512,150986.99327572237,191636.7686711776,239313.03275210992,303425.7791412363,
11,2018-12-31,182000.0,0.0907372400756143,105.0,29.0,,125774.31611733545,204912.8479027896,322343.24202695966,103119.36503579724,151051.3281749479,191334.79099406383,238576.662443066,302544.02934606024,
