,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,219500.0,0.1413934426229508,26.0,53.0,5100.0,164929.7802802015,236375.07834481145,360821.0757441583,134684.40841538398,167928.15510946745,229562.8333770384,316918.85919699445,395556.5259333813,0.9913875388095316
1,2018-02-28,220000.0,0.1259338313767342,19.0,54.0,5150.0,166446.6681140364,237077.2423211888,362729.9265496097,136187.6470487704,169522.23336081844,231217.75868968875,318642.1249804173,397506.44095183193,0.9931094381574352
2,2018-03-31,220000.0,0.155576382380506,15.0,57.0,5100.0,168101.81009531344,239448.9046145375,364739.0212725745,137900.88688834035,171309.21013307633,232862.9398491504,320462.1489713237,399705.5453806725,0.996925762960472
3,2018-04-30,235500.0,0.1778584392014519,13.0,57.0,5100.0,169707.3742188488,241956.5821675389,366869.3263034105,139326.61679969498,173009.37588414006,234531.2064362772,322446.6903520371,402245.9177367962,0.9976019683601064
4,2018-05-31,237750.0,0.2313901345291479,16.0,56.0,7000.0,171096.42480085415,245104.0902839169,369299.06046066136,140615.34134738767,174422.2368394951,236175.7480788497,324647.6665234337,404997.50066424673,0.9978879411868424
5,2018-06-30,232000.0,0.1905151267375306,18.0,54.0,5906.0,172300.59890866457,248821.22691745264,371942.97534068994,141601.0193198717,175625.94841481422,237812.026574548,326912.3713038961,407857.5108055146,0.9971328914561688
6,2018-07-31,232000.0,0.2410714285714285,15.0,53.0,6000.0,173673.45761145858,252677.82543853423,375106.5323412002,142834.54241544742,177015.6511357626,239733.3994079533,329482.7475436557,411302.5647055066,0.9972051783284964
7,2018-08-31,237500.0,0.2592295345104334,20.0,50.0,5400.0,175107.3979323598,254598.508441056,378287.3443246183,143920.0476395246,178441.75366200367,241742.7465945842,332242.4483111245,414967.96316430345,0.9937762264101836
8,2018-09-30,230000.0,0.2583979328165374,20.0,47.0,6000.0,176541.33726713643,255829.19066919587,381394.85877589294,145025.06570026543,179818.39171836968,243717.2775170015,335169.7714783006,418739.4876883031,0.9931622446737488
9,2018-10-31,225025.0,0.2420327304048234,28.0,44.0,6000.0,177707.73205966005,256801.5828839812,383832.681723866,145883.57570231878,180923.50127519364,245298.28367808065,337732.5911962541,421774.6737401828,0.9902372567468852
