,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,165000.0,0.1442612555485098,29.0,53.0,5700.0,131250.8271552452,195087.529021921,310734.827781977,140478.8496182471,148221.94747637006,184593.028044146,242871.44968504223,326347.15778186696,0.9732199256503468
1,2018-02-28,169700.0,0.1211314475873544,11.0,57.0,5400.0,132317.1707883419,195178.58980890657,311922.003492149,141484.0257649309,149368.73347728924,185925.73235091585,244231.6418001621,327644.5095598336,0.9773665144997014
2,2018-03-31,173900.0,0.1433586892919836,7.0,62.0,6950.0,133584.97888499816,197481.0575969832,313674.7841748797,142585.12192107015,150651.40384859042,187501.96219709155,245881.47079279405,329490.4199942067,0.9813461122025272
3,2018-04-30,179000.0,0.1382749326145552,6.0,64.0,9000.0,134759.38407558438,200392.41407886567,315483.7290134789,143722.4085523095,151892.33374285212,188989.91356819708,247410.66822525297,331293.7392804194,0.9862158400355244
4,2018-05-31,190000.0,0.1846814602720114,7.0,63.0,9000.0,136031.48363816924,203891.83302937244,317540.0624934134,144949.11145990464,153194.14996651953,190576.57098813888,249079.40487990645,333339.5519745851,0.9916839192748538
5,2018-06-30,190000.0,0.2131147540983606,7.0,60.0,10000.0,137090.18301149705,207024.3361436013,319187.7198109787,145918.192953204,154295.085849,191941.76102503084,250521.70704414192,335036.2164877129,0.9939165547134198
6,2018-07-31,187000.0,0.2354041138583004,9.0,57.0,10000.0,138177.63996949457,210280.9385735185,320990.74259544833,146948.12378292935,155480.7003613769,193411.75806268727,252189.394381137,337139.809154647,0.9920515124356918
7,2018-08-31,187000.0,0.2540561931143648,11.0,51.0,9100.0,139084.24735360782,211219.2811170336,322407.1117608697,147948.6531593606,156582.58779331794,194586.66658679195,253566.2344630345,338947.54811587307,0.9895570832827356
8,2018-09-30,187000.0,0.247191011235955,18.0,47.0,7050.0,139829.48650669388,211412.853943363,323693.3853625644,148944.36304306774,157542.88387016897,195608.76380414583,254801.6221013353,340508.440458737,0.9846187340259868
9,2018-10-31,185000.0,0.2538659793814433,15.0,45.0,7000.0,140327.6485103241,210223.82719693315,324402.06676776963,149663.4782849241,158197.73801435583,196165.07885744367,255474.3656717309,341314.8835246886,0.9785753513231786
10,2018-11-30,179900.0,0.1886330230279274,15.0,48.0,6500.0,140919.35777683623,208828.69259706937,325033.50355903845,150298.85272450824,158764.02354912946,196683.6278738846,256032.2168452376,341916.7659626011,0.9780576890667227
11,2018-12-31,178900.0,0.1254901960784313,22.0,53.0,5900.0,141721.0723115981,207813.98460526348,325638.1284662721,151008.96001161137,159436.38907134708,197212.7821259357,256543.4598669581,342430.96548843407,0.9751694635380346
12,2019-01-31,179000.0,0.1712992889463477,16.0,59.0,6000.0,142826.58038922193,207149.3909776889,326512.83900670963,151988.58800578894,160277.6795738139,197911.4996032579,257168.87121903992,343033.6507604849,0.97328122867896
13,2019-02-28,180000.0,0.1484320557491289,20.0,66.0,6700.0,144184.7792727568,207441.36261542444,327738.2702825021,152977.70689416563,161208.5805725796,198766.59208816665,258079.17286897183,343982.40521867626,0.976388625304616
14,2019-03-31,185000.0,0.1512687052700065,10.0,71.0,9000.0,145733.77222746154,210217.8179226124,329637.03405275097,154017.1481620265,162242.84149956246,200014.41637717705,259514.7566106736,345575.39565973595,0.979482125574462
15,2019-04-30,197000.0,0.1792314461718979,7.0,75.0,10000.0,147001.12706804567,212727.1652013721,331363.79799316864,154630.63126631177,163066.940150704,201279.84227103856,260978.1472719436,347143.43622700835,0.986080219671152
16,2019-05-31,205000.0,0.2089058524173028,7.0,68.0,10000.0,147973.27576167576,216012.6848889457,332911.8841114328,155221.29422931108,163784.36211992448,202497.51620834085,262315.00838407833,348440.5245512391,0.9893359809140656
17,2019-06-30,205000.0,0.2363248875207198,7.0,63.0,10000.0,148685.9433159797,219521.29545526925,333942.9853361217,155669.2157062286,164362.94058222417,203489.1620016863,263273.20468602475,349237.85326735984,0.9931688580254178
18,2019-07-31,205000.0,0.2750059115630172,9.0,60.0,10000.0,149267.85285858568,221421.17949619325,334746.9402412655,156129.52959471606,164880.99910269256,204301.35879261905,264061.0966239358,349864.6586103656,0.9922643313145836
19,2019-08-31,201127.0,0.2779842080817464,11.0,59.0,10000.0,149837.5917606803,222546.55748134045,335375.7295140873,156586.5289846484,165449.44280843445,205012.5645224876,264774.84189790994,350563.94858810515,0.987105726049612
20,2019-09-30,200000.0,0.2949790794979079,14.0,54.0,9900.0,150324.43971280727,222948.20533423065,335888.860863027,156975.7607651656,165923.35907406712,205554.18453015463,265380.2658932688,351233.100320376,0.9863152783853236
21,2019-10-31,195000.0,0.3006193425440686,15.0,53.0,7500.0,151138.009936327,222597.8473739996,336824.735493311,157683.40372095935,166648.89673589627,206315.3055302041,266180.5239693266,352220.27776119934,0.9827372003602562
22,2019-11-30,191100.0,0.2189905902480752,19.0,52.0,8000.0,152139.74016063183,221998.5701859409,338170.4560747735,158571.58065111272,167501.02587329046,207314.0993139877,267302.63916230685,353493.186445859,0.9795697335860184
23,2019-12-31,191250.0,0.1832865168539325,30.0,56.0,5000.0,153158.93547711454,220834.26674426577,339634.8586314303,159393.14105620713,168399.17823897395,208376.9088800141,268578.53967536,355106.83756199176,0.9790244987607484
24,2020-01-31,190000.0,0.1724653946876169,36.0,64.0,6000.0,154267.70302408384,219900.6402887488,340866.409704484,160367.74509726404,169395.29116395325,209429.7600290751,269888.77205618843,356674.70442588296,0.9723703246008496
25,2020-02-29,190000.0,0.1892313694888802,14.0,72.0,9900.0,155629.19519659298,220598.84382861352,342125.48536110687,161617.20118439532,170630.51381889996,210616.84483321107,271141.626000605,358211.4538312515,0.977934751746928
26,2020-03-31,210000.0,0.1499261447562777,6.0,79.0,9975.0,157180.67670353345,223127.52268961488,343681.74473240465,163230.85741952877,172049.28425491185,212049.4998378756,272628.8711904365,359925.09755005507,0.9850784906316458
27,2020-04-30,211000.0,0.0671171171171171,17.0,89.0,9900.0,158763.98285714476,226603.5522004181,345587.9339478376,164844.47509571502,173512.52792377447,213680.7194798514,274295.3118889321,361750.4467370792,0.98881574798713
28,2020-05-31,212000.0,0.1591254175523838,6.0,87.0,10000.0,159656.72109341773,228695.4189569273,346654.09001969546,165694.92754221815,174288.72864074737,214738.67775177243,275399.8764159619,362835.44773766026,0.9857074035738232
29,2020-06-30,220000.0,0.1506364922206506,19.0,85.0,10000.0,160192.57443669217,231608.62281623887,347310.4751830553,166079.23834543754,174745.82803742983,215536.62345408087,276187.6762030443,363498.8557532865,0.9943043609935704
30,2020-07-31,227500.0,0.1840584119257682,6.0,87.0,10000.0,160789.72828669453,235877.33748669407,348367.2037517098,166342.19931398457,175332.65051346415,216706.28456739755,277369.97510104225,364664.8859154712,0.9958435815705928
31,2020-08-31,225000.0,0.1854347128649342,5.0,93.0,10000.0,162107.837624968,238566.5565045028,350707.7348279637,167220.17531119354,176599.52552471904,218580.2808617568,279437.1061654286,367175.6162801816,0.9937493966709128
32,2020-09-30,235000.0,0.1945985941546429,6.0,89.0,10000.0,164329.27574245972,241922.0119134123,354337.50979046564,168642.91525523431,178577.28950096472,221349.7735590481,282561.1252887963,370963.1966139036,0.9951916872495464
33,2020-10-31,229000.0,0.1888847164851671,6.0,87.0,10000.0,166946.5380334986,244206.75964030315,358619.2538502002,170541.85773558603,180992.5796285505,224549.32007220853,286399.174005276,375743.422345995,0.9982116982438264
34,2020-11-30,220000.0,0.1778425655976676,7.0,86.0,10000.0,169735.95787788133,245356.85881698,363353.7550437797,172720.3277201732,183724.184259419,228244.2362598256,290854.82975478907,381101.3458867091,0.9974796425922332
35,2020-12-31,217500.0,0.1570835803200948,7.0,97.0,9905.0,172231.70431017524,245854.64772163267,367898.9082270824,174919.57900199926,186398.9077656789,231691.55201105648,295192.15187080984,386547.1259581155,0.9949339903311656
36,2021-01-31,210000.0,0.1312949640287769,6.0,107.0,10000.0,174577.9404275625,246379.9058437666,371971.595187894,176845.397055974,188797.8551533816,234747.47093773764,299112.50498466514,391450.1931003667,0.992790926346491
37,2021-02-28,220000.0,0.0948999354422207,5.0,114.0,10000.0,177394.88568974336,250349.68669342872,377001.2543108845,178809.37052964934,191546.0253851316,238287.77490356844,303718.6597985048,397440.43467728095,0.9949564355388192
