,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,131500.0,0.1333571683947086,60.0,38.0,5000.0,83723.70064963688,148460.7568291372,257943.58335843787,62221.25589391763,83094.12256075273,149736.77655240637,257694.48270461048,329312.6224987888,0.97409306537226
1,2018-02-28,138000.0,0.1212641703881827,63.0,34.0,5100.0,84526.08475893135,148634.64665097967,259062.54062080124,62799.34049489011,83948.35815027141,150817.57086150302,258804.73098770043,330288.9001390634,0.9755744991882044
2,2018-03-31,145000.0,0.1316714605305209,43.0,33.0,5100.0,85443.2243059756,149895.66335510524,260345.11181656548,63396.22754146708,84840.57118812828,151922.2052377015,259915.3691892461,331381.2677385667,0.9801018425801756
3,2018-04-30,140500.0,0.1380036079374624,36.0,37.0,5900.0,86205.35990996436,151236.63058341623,261307.60532185275,64021.40952203256,85558.60086020028,152666.0253769411,260665.9010784116,332169.7715953108,0.9823051032609552
4,2018-05-31,143750.0,0.1474654377880184,33.0,40.0,6400.0,86850.25891906627,152833.4875546169,262127.73161678147,64581.50344548388,86063.1464223255,153187.79620127604,261305.54752685453,332994.4157117391,0.983746725399988
5,2018-06-30,159000.0,0.1564705882352941,35.0,40.0,5000.0,87189.63119267997,154053.1918177598,262842.67251108686,64895.09382844925,86299.1176125933,153596.600090038,262003.38383155223,333868.7218459448,0.9831226563632424
6,2018-07-31,151500.0,0.1599883855981416,30.0,43.0,5100.0,87829.51728749914,155929.34450004395,264038.35065245297,65479.10271079941,86769.54363200667,154331.76049907948,263155.56973426323,335272.45214303146,0.9827777087509016
7,2018-08-31,149900.0,0.1998626373626373,18.0,45.0,5900.0,88487.44564066302,156718.32934408955,265125.97641123296,66031.13945219305,87317.62352620623,155022.4084121859,264256.77051481506,336621.4688660463,0.9812258908289953
8,2018-09-30,150000.0,0.183271375464684,22.0,45.0,5000.0,89402.12481693062,157565.52979317453,266145.679575217,66854.57880883485,88135.98593295919,155845.89553637116,265255.8778907975,337860.4858876814,0.9826896476257552
9,2018-10-31,142000.0,0.2051561365286855,16.0,45.0,5000.0,90094.48989068698,157823.7961303029,266851.30988928006,67423.75755800073,88796.09485455869,156497.3688667665,266032.2625115412,338785.54359495966,0.980449910424771
10,2018-11-30,155000.0,0.175,22.0,45.0,5000.0,91072.26123646607,158446.42758579,267938.957994795,68223.54594076959,89627.29379440109,157474.52640543968,267114.15889713337,340064.5343644238,0.978687248663186
11,2018-12-31,138000.0,0.1274934952298352,35.0,47.0,5000.0,92170.6603465778,158967.60847353347,269265.1794365523,69081.79874301322,90492.46391377995,158541.46410185585,268392.63560304133,341539.30701469985,0.9794681725314948
12,2019-01-31,136000.0,0.1735571019238641,36.0,50.0,5100.0,93592.94493686904,159553.50700301898,270758.6291626782,70178.0014678281,91542.17633762928,159746.5719853379,269662.1033740894,343000.80763655284,0.9755257512263452
13,2019-02-28,151000.0,0.1440677966101695,18.0,54.0,5000.0,94990.62385113112,160122.7900958788,272169.7744803428,71116.30049469427,92574.89686500272,160790.47490110644,270791.1867482374,344285.28201443626,0.9776396097162888
14,2019-03-31,150000.0,0.1577476038338658,11.0,55.0,5100.0,96609.54530815867,161753.61240901888,273439.0827237673,71948.2142950594,93671.1568698776,161721.79774318953,271694.6328312115,345255.824942466,0.979899488097995
15,2019-04-30,161500.0,0.183206106870229,10.0,55.0,6000.0,97901.259494803,163202.05038550784,274370.81330937694,72274.02863838674,94441.90546836192,162403.74586228686,272377.6237602183,345740.60079043376,0.9824159888819136
16,2019-05-31,157000.0,0.1955606582472254,10.0,55.0,5100.0,98910.06370494798,164662.11683102837,274905.92767542595,72345.72884713585,94832.83932807762,162835.99405314706,272677.48010664084,345583.4235053486,0.9853375781847252
17,2019-06-30,164000.0,0.1982429335370512,9.0,54.0,5400.0,99411.20440776512,166368.05445580007,275365.6252000392,72163.39909395746,94923.2168482833,163219.4962270054,272868.8800886097,345246.7278306509,0.9861548243806052
