,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,198000.0,0.1546692607003891,85.0,47.0,10000.0,148702.53851412827,226131.33174270857,346699.6736569013,90993.49965175457,163244.18141272126,231564.3219249895,315374.4806114276,394047.2725377718,0.971217204920416
1,2018-02-28,196750.0,0.1578719723183391,31.0,49.0,10000.0,149111.27703591785,224648.4417126122,346481.2078086794,91502.91227034973,163418.93483506795,231767.90271394976,315432.25689491583,393990.8351632792,0.970067974660847
2,2018-03-31,212550.0,0.1708309122603137,25.0,54.0,10000.0,149557.21596819776,225236.70272652264,346748.8277754897,91908.02830080818,163626.3654486003,232126.1922561088,315872.9962166954,394601.8978901066,0.9732339862286128
3,2018-04-30,213000.0,0.2097137343197169,14.0,55.0,10000.0,149629.1308673541,226151.13198903573,346803.38871086773,92249.47955506157,163545.50379980053,232017.9520776278,315983.9773208749,394918.4454342292,0.9762078269291526
4,2018-05-31,219000.0,0.2402627874237447,16.0,55.0,10000.0,149606.52669453897,228353.8187787589,347129.7922685165,92324.64373394684,163480.7234859869,231971.112767686,316261.15305654006,395325.651653423,0.9785478055169138
5,2018-06-30,235000.0,0.2365204888569374,20.0,52.0,10000.0,149424.2639735184,230563.21066380333,347080.3959170441,92142.15862565394,163206.79825212396,231632.402765006,316234.3807937449,395271.97925844433,0.9788868979968578
6,2018-07-31,230000.0,0.2608826178324827,27.0,51.0,10000.0,149583.70098919744,232837.55912620155,347261.9674104542,92052.55908044898,163327.54876947575,231732.59858795267,316439.7732572456,395351.8459244769,0.9809306434012096
7,2018-08-31,230000.0,0.2567650676506765,33.0,49.0,10000.0,149881.86319445836,233767.2591061943,347503.99828681705,91788.86450352636,163571.44445265128,231944.35699012945,316760.890404982,395510.7431633726,0.9781457763475464
8,2018-09-30,202250.0,0.2719814241486068,33.0,48.0,10000.0,150350.2955708326,233816.18349892908,348008.11085292115,91393.68617227738,163949.48616433123,232388.37727071508,317358.83013420046,396077.1937095981,0.9759772534185684
9,2018-10-31,208000.0,0.279547951655941,35.0,47.0,10000.0,150661.33999276158,232208.8927456797,348253.8026078509,90841.25139823565,164165.95532474192,232574.4473573602,317798.7884581482,396513.1160989358,0.9752995079127912
10,2018-11-30,207500.0,0.2161069104976261,43.0,47.0,9900.0,150826.9101228541,230179.6321135682,348107.381439972,90382.87024024012,164264.01881504687,232502.9407064697,317882.50405981374,396583.417821102,0.9729727136496298
11,2018-12-31,207500.0,0.1376281112737921,60.0,50.0,10000.0,150916.29094707666,228289.1797141333,347611.6843470603,90427.01490929796,164325.88565415188,232241.3620635518,317576.9571802358,395991.096179029,0.9718225762412738
12,2019-01-31,198000.0,0.2072072072072072,68.0,53.0,8900.0,151180.39144793837,226532.95288489183,347147.2588450659,90536.24237929074,164543.65052212836,232140.5285442441,317165.8992957112,395186.36343146657,0.9739190242524208
13,2019-02-28,186125.0,0.1766644693473961,34.0,56.0,9900.0,151690.0044065373,225856.544010808,347076.0718789602,90516.91122693202,165031.3407437642,232415.7275585422,317055.02422590565,394643.0125807523,0.9715736788974304
14,2019-03-31,207250.0,0.2066376926116159,18.0,57.0,10000.0,152250.58586401085,226382.01988411223,347312.8004517089,90171.24998683884,165490.72035820558,232955.9226564416,317274.93864797807,394473.7492880821,0.9740837137375836
15,2019-04-30,219000.0,0.2206064905125022,17.0,57.0,10000.0,152680.19667534207,228113.83684036377,347719.86941981595,89857.93944489118,165772.18854166768,233494.06049490577,317731.8980061934,394660.7745993287,0.9775834006238252
16,2019-05-31,225000.0,0.2546534017971759,15.0,54.0,10000.0,152986.1180271964,230392.8150158349,347853.3775942647,89836.77900774311,165853.50747223935,233845.84889534893,318010.5072422437,394695.0120609415,0.9791788264768928
17,2019-06-30,232000.0,0.2626294820717131,21.0,52.0,10000.0,153306.51979495605,233156.1189263121,347820.60135416134,89875.79178064961,166009.30750612236,234081.7326884231,318113.64383943,394640.1883213834,0.9836676407819416
18,2019-07-31,235000.0,0.2754607177497575,25.0,52.0,10000.0,153604.3247431503,235233.97618387587,347818.53723978624,90045.43998374575,166174.78215549,234319.8940008369,318203.69473920675,394522.1373365254,0.9826747410762487
19,2019-08-31,229900.0,0.2565189048239896,28.0,52.0,10000.0,153788.51411255775,235843.28431654137,347821.42973088654,90072.46267317244,166241.23340684213,234518.08406011565,318231.3995687516,394352.6989908854,0.9780972653845446
20,2019-09-30,220000.0,0.2957513638617953,30.0,51.0,10000.0,153770.27269547255,235017.55118450933,347592.4352617395,89863.20073898637,166108.9621727989,234488.0698477447,318025.736157712,393815.7541582666,0.977877985259948
21,2019-10-31,215650.0,0.2873108665749656,33.0,50.0,10000.0,153833.37095316788,234346.8204890143,347378.4576310082,89483.92898795316,166048.53160880593,234543.3806778481,317887.46665739955,393351.82799272495,0.9748726714251128
22,2019-11-30,214900.0,0.2074843260188087,43.0,50.0,9910.0,154218.75586696088,233772.56526231152,347374.9164507223,89401.04051168762,166412.8340072142,234878.9111812228,317953.7357781772,393164.2378599688,0.975266753225614
23,2019-12-31,215000.0,0.1380930014091122,55.0,55.0,9900.0,154928.8799006979,232624.43773656848,347700.0749522749,89888.17074985248,167168.59491247954,235499.0886710561,318314.281769732,393418.3356463229,0.9739721965405386
24,2020-01-31,215000.0,0.1991731517509727,58.0,58.0,10000.0,156051.37409109573,232368.82377447485,348368.147801165,91363.3033170895,168787.30269220044,236408.52359082585,318691.22560805414,393809.06826645386,0.9724717222889276
25,2020-02-29,208500.0,0.2359523230357577,27.0,61.0,10000.0,157350.58421208532,232448.2901256383,349172.18556396064,93486.74933890498,170862.29473990004,237445.97862336505,318966.0506925998,394179.65640658006,0.9747638516036968
26,2020-03-31,228900.0,0.1745513866231647,13.0,64.0,10000.0,159014.89252521357,234694.36133038628,350297.7765054012,96077.4820804912,,238943.43769878507,319428.5483989326,394528.7339371573,0.9801282465899496
27,2020-04-30,231500.0,0.1507510729613733,18.0,72.0,10000.0,160635.42533218325,237843.9106806888,351353.9014828427,98386.17384355784,176065.5115232833,240530.1174090528,320027.2961951916,394770.6159479129,0.9819766805796736
28,2020-05-31,233600.0,0.1769847050254916,14.0,77.0,10000.0,161563.52340428854,238989.84862668696,351774.7031085457,100031.1280865899,177623.9753263247,241357.3627812688,320201.32183475577,394381.57957636594,0.9801500060454056
29,2020-06-30,240000.0,0.1777777777777777,9.0,81.0,10000.0,161844.28677367038,241170.1832483401,351696.50699935976,100728.82285414594,178296.6499209851,241557.6115068623,319979.9279025349,393700.399329413,0.9822004920773582
30,2020-07-31,248000.0,0.1598864711447493,8.0,81.0,10000.0,161902.08946740138,244010.75647742389,351735.6441397066,99976.27534713542,177889.74548901425,241704.80222387097,320458.3103816298,393863.2842118095,0.9929077659929672
31,2020-08-31,250000.0,0.1691176470588235,7.0,80.0,10000.0,162617.97886388065,246574.9813536213,353210.70503526233,98458.05050139764,177491.3060508253,242960.2659196432,,396143.22698381095,0.993243124488122
32,2020-09-30,245000.0,0.1763742690058479,8.0,75.0,10000.0,164217.05640006598,249997.58611299816,356452.0672667927,97015.89768292422,177533.23065041134,245533.3678208181,,,0.99658704601183
33,2020-10-31,250000.0,0.19074029418857,10.0,72.0,10000.0,166591.47837696617,253006.5121242737,361037.7981666636,96611.92770217604,178744.95961760337,249031.37538763625,,,0.9979065287452868
34,2020-11-30,249450.0,0.1685878962536023,9.0,70.0,10000.0,169590.20104366934,255690.7633846241,366492.1128350489,97049.4797245426,180876.9757803577,253181.5776246105,,,0.9985398347988276
35,2020-12-31,250000.0,0.1400570206699928,14.0,76.0,10000.0,172598.2596051905,257557.55730017312,372060.4474058084,97769.49331724788,183231.5575271671,257280.03751817136,343903.95378142974,421768.26637798426,0.9957732702381192
36,2021-01-31,245000.0,0.1339905074844833,26.0,87.0,10000.0,175333.9784235429,258703.27259598952,377393.5025970144,98541.55807508263,185417.919502761,261059.08096326105,349389.2457215883,428710.09134037135,0.9949421160494988
37,2021-02-28,237000.0,0.098330241187384,5.0,99.0,10000.0,177906.8782743599,260527.4225209409,382702.34352590056,99249.36329828354,187577.030836432,264592.8210802665,354688.08023090544,435628.6931247895,0.990815161682474
38,2021-03-31,240000.0,0.1041424699961285,5.0,102.0,10000.0,180602.7233856103,264687.0183356861,388122.713014801,100199.07690256892,189966.46021650604,268189.36340198905,360036.84263560147,442344.6614175001,0.997936456710959
39,2021-04-30,259950.0,0.0947546531302876,5.0,97.0,10000.0,183321.2785680928,269711.3597629632,393767.5552754714,101159.29443657048,192605.26022493804,271843.3963202204,365393.4288144374,449044.5622922144,1.003210345358444
40,2021-05-31,260000.0,0.1122861586314152,5.0,89.0,,186156.298625156,276327.98028173874,399744.55349530646,102289.44063194796,195563.5964004568,275755.2455570059,370907.0258936274,455812.55789168616,1.0118592617013151
