,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,142000.0,0.1155143338954468,90.0,40.0,6911.0,75983.11429924362,136109.8578075361,247489.42929242176,71084.68508551245,86589.92201327466,146327.3270866792,245991.68592969512,317659.61413593014,0.97409306537226
1,2018-02-28,140500.0,0.0933884297520661,56.0,38.0,5100.0,76612.06989971163,135816.01814602478,248256.4271782958,71558.70782262237,87219.17010658227,147099.72234983338,246759.31365003943,318212.3459351976,0.9755744991882044
2,2018-03-31,130000.0,0.1158730158730158,21.0,42.0,8500.0,77397.89492452344,136986.42108786688,249237.84080651423,72096.29998290596,87944.0172580611,147938.1144166987,247570.1909328909,319009.9240130934,0.9801018425801756
3,2018-04-30,144000.0,0.1134352373290426,14.0,47.0,6000.0,78158.41146253582,138529.10146940604,250352.88726596537,72599.70621102303,88663.70601420826,148751.36637843723,248602.37434260943,320063.4619345514,0.9823051032609552
4,2018-05-31,143500.0,0.1516626115166261,16.0,49.0,10000.0,78799.89756365355,140468.4862278449,251338.8167386191,73100.10248579075,89401.97431289329,149502.21587177852,249591.5654854262,321194.9673548217,0.983746725399988
5,2018-06-30,139000.0,0.1539074960127591,16.0,49.0,6900.0,79231.48355548661,142576.1084281211,252331.3279939672,73593.3245819761,90078.83872271702,150331.59943947356,250812.79492757624,322601.4697380987,0.9831226563632424
6,2018-07-31,147250.0,0.1716923076923077,13.0,49.0,9900.0,79801.50669546441,144840.8777732368,253612.4695131023,74252.18057267812,90860.86406974134,151408.90732595327,252263.9772452532,324225.7191764238,0.9827777087509016
7,2018-08-31,145000.0,0.171997585998793,22.0,46.0,9100.0,80365.39300255048,145670.96370164817,254942.96789836264,74799.79983100896,91645.63793830056,152550.664961835,253773.6097752081,325885.56501116,0.9812258908289953
8,2018-09-30,150000.0,0.166030534351145,17.0,39.0,6750.0,80948.63310576139,146371.26748027056,256063.998287628,75195.6273566662,92411.48375438825,153710.55729642382,255052.81117683536,327200.70895617927,0.9826896476257552
9,2018-10-31,138000.0,0.2043887147335423,27.0,37.0,5100.0,81275.95436604791,146052.61195729053,256722.6742639685,75385.49618623291,92915.86645376027,154513.4980709436,256037.23934816752,328522.16250008234,0.980449910424771
10,2018-11-30,145000.0,0.1461538461538461,32.0,37.0,5300.0,81930.94573807051,146535.55420237652,257561.0659789996,75902.96245035241,93599.5248782356,155376.04446267308,257089.5702957796,330051.46415571845,0.978687248663186
11,2018-12-31,145000.0,0.0926672038678485,36.0,42.0,5000.0,82801.06000480636,147163.6222860037,258814.22806834907,76788.54817353464,94473.13873284204,156383.01924008795,258464.38686436063,331977.11554745905,0.9794681725314948
12,2019-01-31,143500.0,0.176061776061776,36.0,47.0,5100.0,83811.45271146203,147057.7180043866,260326.3555104881,77829.89894248969,95418.43429811588,157623.94249743433,259825.5678987129,333882.154509983,0.9755257512263452
13,2019-02-28,142500.0,0.1331168831168831,27.0,51.0,5000.0,84633.57641667785,147217.4018701885,261865.18610375896,78716.64915028129,96252.58571687872,158862.7269740211,261194.43981015825,335814.54613127164,0.9776396097162888
14,2019-03-31,150000.0,0.137904468412943,27.0,49.0,6000.0,85470.91417619905,148827.32006554955,263351.07129617064,79505.68134523295,97038.61785756038,160003.76855174536,262375.6869467701,337569.87156084593,0.979899488097995
15,2019-04-30,156500.0,0.1868932038834951,18.0,50.0,9500.0,86305.5323876724,150298.1857089372,264763.1797139616,80182.2016768616,97858.08016450614,161008.82599540582,263486.8172900157,338946.0577470882,0.9824159888819136
16,2019-05-31,162500.0,0.1905882352941176,11.0,50.0,10000.0,87220.57412622207,152461.0843405739,266017.8898799936,80812.45104343804,98637.7816728796,161916.2406610544,264445.61157585395,339845.261749202,0.9853375781847252
