,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,121000.0,0.1178637200736648,61.0,45.0,,81817.17878696891,131264.00353725217,197135.8234137318,,58125.84165320802,121642.5852796106,173298.1883856334,214832.25492253355,0.9782322033815484
1,2018-02-28,139250.0,0.1113074204946996,16.0,46.0,,82155.94281400039,131883.83274676514,197841.76359978807,,58445.56750595651,122333.97903432422,174159.21576403602,216271.59040833497,0.9755416319736998
2,2018-03-31,125000.0,0.1245733788395904,33.0,47.0,,82863.5916694965,133605.44308157256,198913.23877269783,,58980.62074010634,123214.83180429431,175220.40651884707,218099.2011369538,0.9790919991942908
3,2018-04-30,118500.0,0.1368243243243243,52.0,47.0,,83640.52801765021,134933.32028948006,199988.6666877973,,59488.62784865813,124029.92935624837,176307.40377725192,219658.51909651727,0.9783872683123992
4,2018-05-31,146500.0,0.1342062193126023,41.0,49.0,,84320.95233345743,136281.4238156326,200880.879832644,,59953.81173225196,124671.29585854724,177148.60951237,220865.7290533388,0.9816143545260936
5,2018-06-30,163500.0,0.1711711711711711,40.0,49.0,,84628.3831053017,137106.2034805804,201528.3119908677,,60173.46375758069,125071.6396152252,177768.0663624398,221647.87713837365,0.9828013026344984
6,2018-07-31,150000.0,0.1261538461538461,30.0,46.0,,85240.0675521393,138150.53190878115,202309.1231518405,,60830.06872956557,125564.72639558068,178465.75606093186,222462.6467139161,0.9803680353991628
7,2018-08-31,137450.0,0.1595576619273301,38.0,46.0,,86017.40425501483,138642.29116963255,203192.8442043661,,61619.300675931794,126121.34372153302,179323.35804913388,223443.22594257133,0.9814030723460996
8,2018-09-30,131950.0,0.1252059308072487,22.0,47.0,,86956.21288817334,139587.1195079485,204191.5450992688,,62510.79058707447,126916.9679821098,180380.4402784444,224631.07648466024,0.9811825403011492
9,2018-10-31,126300.0,0.1409618573797678,38.0,48.0,,87557.87723414665,139593.79565972026,204877.5419516521,,63084.56674040595,127569.13697381178,181204.967612552,225561.6904095769,0.980209426204632
10,2018-11-30,136000.0,0.1234347048300536,42.0,50.0,,88269.80087021041,140337.33647913634,205793.6412283021,,63730.53142866018,128402.2585819088,182158.7893912231,226730.7626113028,0.9781873603002316
11,2018-12-31,125000.0,0.0766355140186915,26.0,53.0,,88969.43691076484,140437.45062355744,206568.1804557232,,64444.81259397593,129101.00437577616,182881.0309275609,227871.5004777637,0.9817452235717342
12,2019-01-31,122000.0,0.1149012567324955,57.0,54.0,,89766.17576018891,139861.8236890389,207375.9944965061,,65183.09046790479,129708.47471081837,183548.29146297605,229158.5834394719,0.9756772665327
13,2019-02-28,153100.0,0.1628721541155867,23.0,53.0,,90396.40074519072,140492.03048215632,208075.54799162515,,65638.85206949903,130230.5030914354,184112.1508100368,230280.8942187669,0.9797043185381932
14,2019-03-31,139900.0,0.125,36.0,52.0,,91043.43466897563,141464.57328292445,208826.08664491936,,65920.62211268318,130657.6754570618,184741.22456473784,231161.97057782428,0.9785152809190948
15,2019-04-30,131450.0,0.1275167785234899,34.0,51.0,,91766.29006516196,142726.41569422095,209553.33391787912,,66096.91434363066,131229.52704142444,185421.65583083048,231722.25830711736,0.9825124970695516
16,2019-05-31,134995.0,0.1909547738693467,39.0,49.0,,92362.06500649056,143537.3861093308,209966.151723029,,66212.67573649787,131473.58619735288,185769.012836676,231756.4181258781,0.9845702538242518
17,2019-06-30,155000.0,0.1815068493150685,31.0,52.0,,92892.20073910234,144780.52447576984,210310.49429649825,,66326.37023393292,131868.28143095432,185944.457228706,231600.2197935065,0.9845831909515396
18,2019-07-31,150000.0,0.1629502572898799,36.0,54.0,,93184.16648110093,145721.64733571257,210801.31618772043,,66223.48835660073,132364.74595319448,186215.30023213,231634.1507980385,0.985288232602626
19,2019-08-31,150000.0,0.1530612244897959,54.0,54.0,,93416.83188363428,145873.63697937492,211404.55877017448,,66131.55481052317,132973.4385273015,186662.3580234092,231864.1450775597,0.9832942996568176
20,2019-09-30,128000.0,0.1301989150090416,33.0,54.0,,93522.8557930626,145859.34345598394,211934.9568528222,,66010.26605651798,133328.17364240944,187171.06473353543,232270.59357262088,0.9837952185383696
21,2019-10-31,125000.0,0.1553571428571428,14.0,53.0,,93994.70143189529,146741.8556997683,212570.8274363968,,66312.38860516663,133779.73087721807,187808.059260094,232987.5780107868,0.9786889755578706
22,2019-11-30,141000.0,0.1270718232044199,33.0,49.0,,94754.96239587392,147515.26252754786,213413.6640124264,,66761.08597857611,134540.2748734704,188700.31862813,234176.81490915705,0.979377771949064
23,2019-12-31,130000.0,0.1354359925788497,46.0,48.0,,95627.7223945461,147556.50500131663,214475.27132562813,,67313.95032885285,135480.56331334868,189756.7569004293,235847.45999265145,0.980713706749802
24,2020-01-31,125000.0,0.1285444234404537,84.0,53.0,,96284.35851088868,147347.38804921368,215432.5877234943,,67818.52687088794,136216.98774641973,190767.17248770784,237582.78794827007,0.982639598385836
25,2020-02-29,135000.0,0.1666666666666666,38.0,55.0,,97009.8020289416,147959.0594715322,216304.16632201185,,68531.84116054175,136848.09109270005,191683.79578778945,239101.9451375117,0.980483623204353
26,2020-03-31,133000.0,0.1031307550644567,21.0,56.0,,97709.26902247671,148858.26492178053,217019.88121697016,,69283.84468917194,137384.7386143629,192398.4088081623,240098.5416810609,0.9868300231394376
27,2020-04-30,144500.0,0.108695652173913,40.0,60.0,,98552.978478153,150203.50317227037,217722.1699227736,,70198.34828932966,137904.47486422953,192965.8366938186,240558.169835344,0.9865436697255052
28,2020-05-31,135000.0,0.1196754563894523,27.0,63.0,,99205.59043635055,151528.02913451695,218221.4704210324,,70916.3484246841,138283.67552943097,193165.37706115656,240582.80844122195,0.9853899993079684
29,2020-06-30,182862.0,0.125,17.0,66.0,,99784.83809861138,152665.60344906678,218904.5854809956,,71448.95669903532,138797.70319720628,193500.9560275823,240812.26417411,0.9895020472445856
30,2020-07-31,147500.0,0.1442542787286063,43.0,68.0,,100301.6966002399,153966.85404606935,219826.38135440004,,71785.08727531515,139532.74633855946,194094.15648356848,241485.8701004968,0.9898981184043272
31,2020-08-31,150000.0,0.116945107398568,16.0,69.0,,101163.44568791291,155178.08509883092,221390.5695799759,,72477.65860351163,140559.32361868743,195299.54010633088,243050.12102943123,0.990978760983354
32,2020-09-30,154900.0,0.1491002570694087,24.0,66.0,,102725.96052742867,157039.83122339947,223331.60049974185,,73949.5511831052,141936.76382871953,196914.80781447704,244933.6159499858,0.9912309573009628
33,2020-10-31,157900.0,0.1534246575342465,13.0,63.0,,104735.67882907024,158741.27208219768,225518.04114400424,,75984.15501265535,143597.67116563977,198834.38830396484,247185.1325572728,0.993139467482731
34,2020-11-30,147000.0,0.1394658753709199,18.0,62.0,,106457.08275777553,159576.08634223425,227696.4262612445,,77779.80710862379,145304.20166871848,200913.02367343547,249665.33006661668,0.9909716182582398
35,2020-12-31,150000.0,0.1339285714285714,16.0,68.0,,107584.00413340768,159951.30643464153,229720.62420032697,,79017.74517433088,146750.5102181811,202824.356261201,252315.37676935905,0.9935417585089418
