,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,260000.0,0.102760736196319,99.0,18.0,,151757.89830684193,242611.80199317244,446284.73170242336,163441.16933837603,183282.34854878625,235712.2901464901,308086.507314359,414654.85484656057,0.964813982147942
1,2018-02-28,205000.0,0.0814132104454685,111.0,17.0,,152425.35684821664,241184.15384778308,446790.8795643936,163739.63072078957,183797.46483164176,236397.3689982796,309037.4486214041,415870.2825294191,0.969775658626213
2,2018-03-31,245000.0,0.0990990990990991,103.0,25.0,,153313.8080816484,242381.0966993982,448468.2990089551,164264.40670116982,184593.21519754207,237543.0115479085,310807.92294908164,418720.98255823617,0.9680859372349976
3,2018-04-30,249100.0,0.131578947368421,68.0,28.0,,153780.1996960135,243307.99501907144,449874.0102848655,164349.04310266057,185028.0935518555,238202.16602462865,312001.5060970184,420873.8394344056,0.9769075727813415
4,2018-05-31,231200.0,0.1794871794871795,77.0,33.0,,154742.8234312602,246929.4584774013,452624.2380546592,165093.811683211,186004.5667186137,239499.3942683837,314005.76289455424,424381.2873544893,0.9768608408579952
5,2018-06-30,200000.0,0.1595744680851064,49.0,33.0,,155761.39805684463,250429.5086637696,454898.29967676784,165840.7850524064,187016.7034457603,240707.00724132647,315693.87931485195,427160.8402003529,0.9827178090500794
6,2018-07-31,231000.0,0.1886363636363636,48.0,34.0,,156923.5035580198,253207.40374384949,456752.98573702894,166793.3471577346,188177.2152746736,242083.3403005594,317457.83867100306,429348.2777767571,0.9833435565860776
7,2018-08-31,225000.0,0.1946386946386946,58.0,30.0,,157792.26724961918,254984.562120442,457416.5369976135,167475.60488070696,189121.750985891,243060.7928174408,318556.6315869261,430224.4896149801,0.9812181608912516
8,2018-09-30,246250.0,0.1953601953601953,73.0,28.0,,158694.60634225715,257092.0647722912,457881.8423264108,168267.46251134595,190120.5359128189,244120.468390022,319810.18295145204,431277.47391908336,0.9789052360558178
9,2018-10-31,200500.0,0.1879518072289156,93.0,29.0,,159372.0052078082,256664.5747754622,458228.7404718876,168792.95232207308,190900.0457985989,244910.7938464468,320905.10321460565,433156.7431864021,0.9740678262316396
