,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,122000.0,0.1684053651266766,73.0,34.0,5000.0,70766.91198125063,132929.57634887943,231262.6506770628,66282.93609524153,83952.36460543501,135299.15226816948,180825.994526626,209854.309604837,0.9732199256503468
1,2018-02-28,106000.0,0.1383647798742138,38.0,35.0,5000.0,71551.11353873757,132012.56275711907,231845.72142174872,67256.33685834217,85113.61553196353,136501.8396415053,181797.32372898897,210950.80739837865,0.9773665144997014
2,2018-03-31,124900.0,0.185022026431718,30.0,41.0,5000.0,72651.45301211759,134029.96365207277,233400.2288722921,68691.5557043585,86462.81628672457,137872.38156153253,183163.0552863132,212773.77956217705,0.9813461122025272
3,2018-04-30,112000.0,0.1526390870185449,15.0,47.0,5000.0,73535.73204062077,135994.27834434478,235310.4797296368,69973.24303056742,87426.48996893676,138946.72293238415,184550.3132813945,214732.99739059925,0.9862158400355244
4,2018-05-31,137000.0,0.1765480895915678,12.0,50.0,5000.0,74251.29096559931,138910.77070511834,237301.2230712225,71279.10801353156,88277.1135924955,139934.91857277774,185974.45947674275,216592.95090096383,0.9916839192748538
5,2018-06-30,130550.0,0.1909307875894988,11.0,48.0,5000.0,74365.72670763735,141331.5869626123,238321.2800946877,71927.24783836944,88651.38638956215,140389.49773877463,186856.1204239252,217709.56399178985,0.9939165547134198
6,2018-07-31,140000.0,0.2247058823529411,20.0,47.0,5000.0,74944.84640703278,144380.1616625491,239706.684039111,72739.27623626772,89188.87418654031,141039.42160061418,188092.8101646255,219318.03633597773,0.9920515124356918
7,2018-08-31,129500.0,0.2149643705463182,19.0,46.0,5100.0,75377.0305057898,144753.14283029054,240619.9674662901,73186.84539203107,89523.58950113319,141497.20644822018,189219.64363879745,220702.0229678625,0.9895570832827356
8,2018-09-30,123400.0,0.2473745624270711,21.0,43.0,5100.0,76054.49865746798,144613.00717455245,241659.987619762,74072.9055756561,89943.6107110704,142081.06982596463,190529.4150216129,222253.19394459063,0.9846187340259868
9,2018-10-31,136300.0,0.2365967365967366,32.0,37.0,5000.0,76227.08315846202,143237.614993494,241731.66000976303,74781.0237791829,90088.78218646692,142206.60137526062,191196.4933403308,223005.23156660047,0.9785753513231786
10,2018-11-30,120000.0,0.1982097186700767,39.0,34.0,5000.0,76815.44554135423,142960.58464607585,242397.1965212829,75536.74458600492,90487.9701147341,142719.63109238187,192114.71464549407,224193.4784838086,0.9780576890667227
11,2018-12-31,140000.0,0.1493411420204978,56.0,37.0,5000.0,77630.95274499043,142714.25959315756,243388.3818508515,76194.98210936954,91084.06908425577,143530.7242530703,193016.5623104825,225307.7738309849,0.9751694635380346
12,2019-01-31,120000.0,0.1832844574780058,51.0,45.0,5000.0,78890.77931858243,142319.30080724906,245409.8831840513,76845.14581572077,91929.23316651516,144766.18272260576,194170.4971889678,226629.6500002941,0.97328122867896
13,2019-02-28,126000.0,0.1192368839427663,49.0,50.0,4000.0,80169.95072171917,142440.35878052283,247545.3605276116,77689.09371299366,92935.33107414558,145940.39926655593,194995.73743523096,227484.493351194,0.976388625304616
14,2019-03-31,114700.0,0.1295264623955431,22.0,56.0,5000.0,81247.52704260695,143598.4055285881,249437.13926773216,78347.92604995561,93846.99202108162,146795.20456048907,195532.82234368203,227945.922053138,0.979482125574462
15,2019-04-30,132500.0,0.1380323054331864,12.0,60.0,5100.0,81928.40669886439,145597.0241156664,250610.2571647407,78510.0482920187,94511.6935992414,147317.64730944377,195849.1470200686,228137.12389955853,0.986080219671152
16,2019-05-31,132000.0,0.2,9.0,59.0,5900.0,82305.53901848452,148013.2878049531,251239.83145278893,78337.64178513123,94781.40917882133,147366.2394462253,195931.9253730001,228154.6422960403,0.9893359809140656
17,2019-06-30,150500.0,0.2135278514588859,14.0,55.0,5650.0,82462.30016836511,150744.4283973937,251688.95993305065,78154.80119798677,94811.70359454416,147261.8666773443,195927.1626689584,228181.45630262973,0.9931688580254178
18,2019-07-31,137000.0,0.2673521850899742,16.0,54.0,5100.0,82534.56811599614,152200.08916708187,251731.2711762685,78028.22184991254,94776.94894500553,147052.51506355722,195761.8203350576,228130.99906298853,0.9922643313145836
19,2019-08-31,149950.0,0.2268803945745992,15.0,51.0,5000.0,82620.54329207588,153312.83720368965,251642.6645412992,77911.55637896257,94865.99110050504,147115.9581939013,195837.9329573868,228247.26294447124,0.987105726049612
20,2019-09-30,143585.0,0.244228432563791,27.0,47.0,5100.0,82821.7261385714,154095.12122917612,251826.04517135173,77491.30393597441,95072.56367090388,147484.89400277307,196323.42980087528,228738.5221819844,0.9863152783853236
21,2019-10-31,140000.0,0.2469287469287469,21.0,44.0,5000.0,83239.08022051038,153890.526033856,252496.27283686472,77431.06666911715,95434.00280550304,148163.1594636594,197135.0303870124,229534.9533658829,0.9827372003602562
22,2019-11-30,150000.0,0.1944444444444444,35.0,43.0,5000.0,83700.95353519838,152980.37518991032,253654.1334238581,77451.30873993963,95836.60062553392,148956.1554292156,198095.0240254652,230668.4765209332,0.9795697335860184
23,2019-12-31,130500.0,0.1428571428571428,51.0,44.0,5000.0,84293.41909976913,151697.74448703855,254556.61197460967,78038.12994985365,96459.6459613932,149798.20868532298,198940.65168247672,231686.71484921244,0.9790244987607484
24,2020-01-31,119950.0,0.2046204620462046,63.0,49.0,5000.0,85141.6309280769,151497.8714113217,256015.43693399063,79252.6360995753,97659.52211876614,150916.5949618089,199889.7068387092,232708.7099163776,0.9723703246008496
25,2020-02-29,136000.0,0.2353923205342237,31.0,53.0,5000.0,86365.42347210181,152230.4197820432,258018.03427425053,81109.01208329994,99615.4083824572,152541.01806176835,201042.41463708345,233671.54946526675,0.977934751746928
