,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,156000.0,0.1844197138314785,66.0,32.0,5000.0,63451.700245784414,137659.55279637265,263429.57833041466,83966.69338078535,71863.54614515234,132756.31245221986,248531.64867057788,376202.3666723725,0.9739826551034024
1,2018-02-28,154950.0,0.1479174776177501,42.0,32.0,5000.0,63697.85036132682,137559.68508434654,263806.0311267842,84013.52088196493,71963.74610329764,133176.0996995093,248928.2199576668,376357.4056047287,0.9776114504449728
2,2018-03-31,160000.0,0.1632290184921764,40.0,33.0,6000.0,64090.01464804288,138731.71449913457,264522.9441918808,83950.74547124264,72161.93217575758,133858.41231432967,249524.0845647192,376472.71317257104,0.9778488423510268
3,2018-04-30,167000.0,0.1963001027749229,32.0,34.0,5100.0,64495.638187148725,139205.3987361205,264820.2497962422,83798.96169287768,72366.28716419544,134362.80451950082,249768.8452372549,376584.5098771069,0.975609756097561
4,2018-05-31,170000.0,0.1991607488702388,28.0,35.0,5100.0,64746.22099710303,140434.67348921267,264924.2471490707,83715.29006508608,72392.97920645935,134655.81923511275,249915.29469570355,377000.2346189504,0.9799598393574296
5,2018-06-30,184950.0,0.2242585804731756,31.0,35.0,5500.0,64623.47130390667,141340.15475600542,264887.6861750321,83611.77223242268,72088.23592663178,134711.4899501182,249994.2124697729,377556.6766277988,0.9763940501025664
6,2018-07-31,180000.0,0.2214673913043478,29.0,36.0,5000.0,64459.1641614639,141964.47338151603,265206.0120104303,83590.3608883407,71831.54706569554,134904.56424418002,250411.45962187496,378338.3519903794,0.9767917411157436
7,2018-08-31,175000.0,0.2235417394341599,34.0,35.0,5000.0,64429.58079208661,142332.98576539345,265608.37200923293,83447.71711451809,71854.49008274476,135174.16233117183,250976.84138003865,379255.2084781725,0.9792387543252596
8,2018-09-30,167000.0,0.1970149253731343,37.0,34.0,5000.0,64540.50054662213,142926.21908592846,266056.89414760174,83497.7667696249,72149.95333431441,135624.45122825284,251546.177814776,380006.042932346,0.9730125579029104
9,2018-10-31,180443.0,0.2073529411764706,38.0,33.0,5000.0,64594.30859820099,142770.3156507617,266351.42177889694,83630.42032931578,72414.21631560412,136155.80878641698,252024.29221683845,380506.2706598917,0.9769874476987448
10,2018-11-30,176500.0,0.1732558139534883,50.0,33.0,5000.0,64855.7783730829,142925.18029435215,266798.5516133721,84017.32517590518,72765.78918239214,136865.72616458306,252524.7943271737,380975.2582664424,0.97459479955789
11,2018-12-31,167750.0,0.1067833698030634,66.0,35.0,5000.0,65104.78510196181,142796.12896485138,267261.218675599,84435.49629973697,73066.88412338881,137554.0003509559,253022.6213911208,381416.1969082612,0.9778112072207596
12,2019-01-31,162000.0,0.1854219948849104,70.0,38.0,5000.0,65691.17517416064,142797.20717523538,267798.69349013944,84963.35609259705,73521.81871696006,138246.32320013002,253574.2118719688,381869.3359631503,0.969221298861188
13,2019-02-28,163750.0,0.1586518701191944,38.0,40.0,5000.0,66314.13913565788,143568.89577362288,268386.77764553623,85391.85692949999,74092.18709746002,139039.2208084498,254162.68201026227,382260.45328462846,0.973490191215752
14,2019-03-31,170700.0,0.1808470049599389,26.0,41.0,5000.0,67233.59703972076,145120.46193498583,268963.49867863243,85772.52766100266,74813.44382833164,139859.49984558075,254789.588609712,382584.0085328068,0.9745762711864406
15,2019-04-30,178000.0,0.1916920731707317,28.0,40.0,5100.0,68185.7040711316,146748.78214103158,269643.1155449408,86102.15099265044,75559.17388199962,140689.39319682878,255464.96804588195,383068.8779776942,0.978654271299813
16,2019-05-31,181000.0,0.2157521463232549,22.0,39.0,5100.0,69044.18080032621,148509.6602461174,270154.5133698744,86409.94538971093,76121.06748117426,141220.73701136187,255934.1932752717,383177.8366868631,0.9811715481171548
17,2019-06-30,192000.0,0.2321626617375231,28.0,39.0,5100.0,69710.3590567151,150051.17019978169,270660.36811378255,86710.84418640305,76676.95525613791,141635.15238243656,256267.16508954664,383104.7881402663,0.9830742336632736
18,2019-07-31,175950.0,0.2193280483201208,28.0,38.0,5000.0,70094.93735332163,150871.76570356835,270968.8931258442,86950.81090950935,77201.02052180823,141926.34169517222,256438.24525457167,382596.8283127774,0.9818351030077416
19,2019-08-31,187000.0,0.2295719844357976,33.0,39.0,5000.0,70128.29028164933,151215.06763560642,271358.2934602454,86941.36295133123,77502.04648295087,142289.10116110748,256807.0496928528,382521.5679239758,0.9795748228428512
20,2019-09-30,177000.0,0.211340206185567,27.0,39.0,5000.0,69643.6460776351,150935.5749548995,271571.1157763468,86557.93237204151,77450.75543318877,142563.12028517085,257218.59558502017,382691.919144692,0.9814197236779418
21,2019-10-31,175000.0,0.2012856568903174,34.0,40.0,5000.0,69031.29075817206,150924.6954756403,271926.38843234937,86184.86754097557,77246.17386696639,142975.0284387557,257833.84657428405,383467.7750350938,0.9741969457609267
22,2019-11-30,177500.0,0.1585570469798657,41.0,38.0,5000.0,68521.8509835344,150692.84891253035,272473.64430390345,85947.53800963222,77163.96411367769,143536.0505065898,258627.21309825804,384514.9030041448,0.9784172661870504
23,2019-12-31,180000.0,0.1219184222321828,44.0,40.0,5000.0,68392.75446764263,150335.87317920983,273254.7710953486,86006.83817881158,77261.19539964623,144282.25801087244,259626.0102499028,385976.52489306015,0.9782608695652174
24,2020-01-31,165000.0,0.1800628648405927,47.0,42.0,5000.0,68083.84751288789,149398.8386637928,273787.5404991132,86345.197555145,77565.03771351856,144904.7536893648,260375.54362602087,387303.19356376864,0.975609756097561
25,2020-02-29,188000.0,0.2048997772828507,26.0,42.0,5100.0,67693.00047176548,149303.22467376856,274044.0174074928,86708.91313959759,77869.04895019943,145523.31969617854,260938.53716694235,388462.30724472384,0.9762218871717552
26,2020-03-31,192500.0,0.1636131231359182,24.0,43.0,5100.0,67583.92341898508,150938.05982388972,274263.377651922,87322.87015031326,78499.86912125528,146318.33771319842,261407.9625228856,389297.4840715168,0.9798245614035088
27,2020-04-30,200731.0,0.1386994088221919,24.0,46.0,5000.0,67998.78405938983,151927.47724169726,274521.2932463814,87597.44973611267,79048.7785820393,146985.0231583667,261858.14865449409,389719.1261325265,0.9771736342651962
28,2020-05-31,197500.0,0.1752117699509585,18.0,51.0,5100.0,68175.13424054444,152961.2250703322,274457.1729472245,87717.54123211536,79334.66993664505,147290.39978603533,261846.29708774577,389457.6796597075,0.9817351598173516
29,2020-06-30,209500.0,0.1776699029126213,20.0,54.0,5900.0,67674.46523621159,153859.14970186618,274232.6837528698,87127.3316391904,78887.45226131487,147245.51567839412,261657.1538884265,388666.80072849273,0.9818316548216512
30,2020-07-31,219000.0,0.1804281345565749,16.0,55.0,5750.0,67221.24608620018,156104.32774321022,274715.49043137155,86732.74179349844,78605.35432647052,147700.23336384175,262004.9380980584,388664.280363148,0.9844227986099676
31,2020-08-31,208250.0,0.1715388858246001,14.0,53.0,5900.0,67588.34115269278,157330.56767479086,276038.9620020324,86561.01959417271,78793.02622300015,148531.902411016,263079.72646015254,389621.24171228585,0.9859328079470854
32,2020-09-30,210000.0,0.1634958382877527,12.0,51.0,5900.0,68909.97660237073,158808.82845458112,278139.33897223946,87328.39515244178,79846.4901610031,149746.573447139,264870.1886712979,392111.98142455146,0.9834919767365776
33,2020-10-31,210000.0,0.1706102117061021,10.0,53.0,5500.0,70245.72460178,159573.14962500444,280390.4460833729,88413.55363603962,81117.05503603707,151030.45590825973,266998.6024458985,395514.255160483,0.9854693249683296
34,2020-11-30,220000.0,0.1446808510638297,9.0,55.0,5100.0,71597.85505312168,160827.86420673146,283207.7367864342,90075.51043009268,82668.48557424161,152737.45131602106,269779.9709272211,399972.15445716097,0.9907692307692308
35,2020-12-31,209450.0,0.1130081300813008,15.0,59.0,,72870.9617883821,161807.57685039402,286278.7263629569,91781.69136310268,84192.50174799265,154597.31748463915,272923.747031106,404918.13235632464,0.9881020241794748
36,2021-01-31,211000.0,0.1427566807313642,7.0,61.0,,74129.9531448866,162020.99931716104,289283.6519577079,93054.78102145188,85417.81070481303,156358.7880821003,276092.9843694756,409846.4242479753,0.984873949579832
37,2021-02-28,214950.0,0.1162055335968379,8.0,63.0,,75380.39879538432,163189.84522504976,291970.1194918402,94042.74936930806,86593.81869443717,157987.12631555798,279002.7410210034,414602.31451788434,0.9851205746536684
38,2021-03-31,212000.0,0.1446899501069137,5.0,65.0,,76636.7020332842,165656.0017335537,294436.94810428965,95049.0758768476,87908.16463927763,159679.85179923175,281699.1620449236,418688.2198499807,0.9923899919053584
39,2021-04-30,215000.0,0.1082581540596807,4.0,66.0,9300.0,77986.17464749381,168541.4788189847,297318.59330210724,96365.11833411123,89462.4342510776,161562.7527684593,284506.512597677,422801.6427871377,1.0
40,2021-05-31,225600.0,0.1127063890882986,4.0,65.0,9000.0,79479.31136767945,172103.55366307995,300896.40120444103,97771.39049533942,91058.55100910454,163550.90589827366,287752.84915466583,427572.0418287695,1.0
41,2021-06-30,228000.0,0.1398362892223738,4.0,62.0,10000.0,81090.64074933552,175219.68219029508,304738.1707211793,99090.92555270168,92584.43964214438,165502.94600157032,291081.09140904126,432661.06220311805,1.0
42,2021-07-31,222500.0,0.1914626490897677,5.0,61.0,10000.0,82388.41850454401,176598.9369109136,308213.3706204497,100453.86434259472,93724.76369271564,167084.35797128847,294385.00982350536,437694.887846228,1.0
43,2021-08-31,230000.0,0.1941063420884048,6.0,59.0,10000.0,83258.40843425326,177563.64958057518,310815.9475871208,101604.47205484558,94400.89790622603,168221.5694995491,297274.0524933891,442010.96391010535,1.0
44,2021-09-30,221631.0,0.1893732970027248,7.0,58.0,10000.0,83639.65242977807,178104.68487385366,312814.8534193581,102506.05440322154,94574.15904079242,169047.44453840016,299981.3583976066,446141.0919461686,1.0
45,2021-10-31,224000.0,0.149519890260631,7.0,57.0,10000.0,84302.64834531579,179275.29415186174,315126.2322363902,103242.79759001192,94974.35106614564,170195.19450555858,302957.4005655234,450505.42406341294,1.0
46,2021-11-30,232000.0,0.1281864530225783,5.0,59.0,9001.0,85454.37280088628,181177.17718260104,318551.54363123,104336.04603610378,95825.67315905476,171880.25550973124,306766.3744426092,456128.30448633496,0.9918523362652454
47,2021-12-31,226500.0,0.1319148936170212,6.0,62.0,7100.0,86695.97260259185,181852.2791167565,322554.0327358434,105216.1799818562,96807.5938183191,173805.04646119964,310922.3607815649,462384.87102622335,0.9984603541185528
48,2022-01-31,230000.0,0.1569311246730601,6.0,67.0,8000.0,87766.75655241143,182944.0078708868,326534.65149471693,105471.24242202868,97525.99851193682,176005.39448143073,315019.0101603011,468638.9720418167,0.9926760227645184
49,2022-02-28,235000.0,0.1327354260089686,4.0,69.0,9100.0,88324.65465805982,184016.07422918009,329942.06062036793,104880.38165612685,97944.90071867632,178147.1947657467,318774.53841403336,474296.35087364,0.996844079672102
50,2022-03-31,235350.0,0.1576830249396621,4.0,67.0,10000.0,88732.61477143038,185894.58308678312,333372.2260385547,104206.63163952011,98457.65294795037,180327.7511396449,322562.57679865864,480498.1064985431,1.0
51,2022-04-30,247000.0,0.1502516175413371,4.0,63.0,10000.0,89034.2825229341,188586.79769434984,336828.3984844407,103974.2239292355,99181.62906271953,182335.8229105413,326163.7181399712,486674.6197832096,1.0
52,2022-05-31,255000.0,0.1923076923076923,5.0,59.0,10000.0,89422.46981560525,191271.8214424371,339866.9583857989,104019.04867703991,99935.93625070348,184108.15926370776,329097.3256455718,492124.8124582989,1.0
53,2022-06-30,252250.0,0.2184210526315789,6.0,57.0,10000.0,90365.7539154702,194790.4806518005,342617.69490977045,104621.91024064177,101102.89651577835,186085.39095642,331640.0880653236,496054.8962179623,0.9988584474885844
