,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,147000.0,0.1350974930362116,50.0,53.0,4900.0,100701.85907088195,153203.1740646046,235334.27819774428,105249.17719671968,88266.94790688968,145626.0746654105,208341.0375333748,286308.27511910425,0.97409306537226
1,2018-02-28,135000.0,0.1448598130841121,28.0,53.0,4000.0,101296.86784893456,153192.37832779292,235934.04973261125,104909.16793400678,88929.75652070141,146284.8056607617,208952.4628933292,286620.0263859872,0.9755744991882044
2,2018-03-31,148500.0,0.1312351543942992,22.0,54.0,3000.0,101941.30879510968,154341.81860128997,236618.8464284062,104594.97547660347,89633.38826318108,146915.4213118181,209535.9908898716,287242.60020683665,0.9801018425801756
3,2018-04-30,147000.0,0.1579903147699758,27.0,55.0,4100.0,102544.92015786369,155881.81600874057,237370.66056212387,104533.72266596789,90329.20732752276,147427.07141565133,210203.8696926306,288293.8075314556,0.9823051032609552
4,2018-05-31,147500.0,0.1719038817005545,24.0,55.0,4676.0,103096.63982720762,157666.4010873441,238330.5324800154,104557.88473573378,90913.75367169354,147963.80147249994,211008.2900896821,289551.33231810335,0.983746725399988
5,2018-06-30,166500.0,0.1695226438188494,34.0,55.0,3900.0,103544.1667595565,159224.6150723241,239255.21730819347,104936.1242765775,91414.7812289172,148464.24285336884,211862.2799210976,290790.4057338973,0.9831226563632424
6,2018-07-31,164250.0,0.1708666256914566,31.0,55.0,4600.0,103915.38796949782,160974.56987686263,240485.15411823816,104919.21225356606,91467.50935225825,149150.24616624252,213040.90732631963,292470.83219622495,0.9827777087509016
7,2018-08-31,158000.0,0.2055900621118012,30.0,55.0,4000.0,104263.54635519904,161807.56490854005,241936.2439191088,103445.7304479758,91185.60086965987,149984.90223487842,214398.51241484343,294556.60415121925,0.9812258908289953
8,2018-09-30,145000.0,0.0932524639878696,41.0,54.0,4200.0,104575.93251834654,162066.2517808992,243348.86344789097,101456.04178847994,90586.08390499491,150807.61586513414,215667.3954324754,296782.22659368045,0.9826896476257552
9,2018-10-31,147000.0,0.0868240670220868,48.0,56.0,5000.0,105024.46437613125,162483.18400278434,244548.2525023424,99215.34031531148,90404.70779963207,151657.15130129084,216705.8058233497,298661.4341565224,0.980449910424771
10,2018-11-30,151500.0,0.0961015412511332,25.0,58.0,5000.0,105793.52130756612,163207.80040642817,245721.4408872308,98462.21698927468,90823.51256654564,152706.18309313222,217721.64069256184,300280.80357217416,0.978687248663186
11,2018-12-31,145000.0,0.0785935884177869,23.0,60.0,5000.0,107002.51861621709,164129.63028613647,247172.7412256848,97352.40656928504,91888.1934711176,154182.53728822866,219044.1856363456,301574.04812790983,0.9794681725314948
12,2019-01-31,149175.0,0.1055226824457593,19.0,63.0,5000.0,108403.28741103708,164576.68087850668,248706.67016971385,96295.0103770388,93157.97892625442,155773.1113547613,220536.034992596,302756.7906626658,0.9755257512263452
13,2019-02-28,148000.0,0.0797979797979798,12.0,65.0,5000.0,109786.1979630125,165652.7785268864,250226.4063673066,94750.31085403358,94368.6730881894,157345.52955713446,222146.9052298144,303722.54233094194,0.9776396097162888
14,2019-03-31,159000.0,0.0923866552609067,8.0,66.0,5000.0,110966.92848405032,167254.38727776989,251563.60582883377,93903.17454229674,95330.96569027907,158678.79582971576,223640.9989136792,304537.4131630066,0.979899488097995
15,2019-04-30,165000.0,0.0988142292490118,8.0,65.0,5000.0,111971.5492556184,168954.97282815303,252574.1897127634,93425.90163882288,95961.27853001648,159778.48964400034,224751.500541026,305067.4570478208,0.9824159888819136
16,2019-05-31,166000.0,0.1541119557705597,9.0,62.0,4900.0,112818.68541678751,170739.85187186094,253225.87934111684,93279.0076384224,96552.95959797308,160571.29881408662,225469.9601607556,305344.48302631034,0.9853375781847252
17,2019-06-30,171000.0,0.1610782380013149,14.0,59.0,4500.0,113757.21763612,172681.52027026852,253800.3512796478,93403.90093744296,97374.76035294584,161345.10508991982,226012.24009221303,305628.8873349394,0.9861548243806052
18,2019-07-31,179000.0,0.2074742268041237,16.0,58.0,4900.0,114901.90877865748,174378.8488381856,254521.37999190303,93440.23273423903,98661.17400265014,162241.25898357088,226657.42567552684,305895.51760730887,0.9847267903033672
19,2019-08-31,170000.0,0.2205419029615627,24.0,57.0,4000.0,116197.11209789128,175250.11601437946,255399.94678914835,93676.596061058,100015.79051335504,163293.65481881046,227471.0185651905,306358.25535718066,0.984178272669644
20,2019-09-30,162000.0,0.2182672934855608,30.0,56.0,4900.0,117374.297846694,175511.46215953198,256244.60323454544,93458.28282123752,101307.61265235564,164192.9445526862,228279.0759424672,307104.3937061893,0.9825248605156542
21,2019-10-31,166750.0,0.1942122186495176,21.0,55.0,4000.0,118494.30047061054,176198.19540158173,257299.72387724608,93383.0560481728,102420.55694572753,165187.0530322167,229281.7696083369,308266.7315074859,0.981735062845972
22,2019-11-30,170000.0,0.1956373551465576,28.0,55.0,4100.0,119640.34516957216,176786.68937801835,258672.56802763545,93455.02590203032,103498.49348655996,166293.69721899155,230551.10729697684,309819.3803426356,0.9812159993474944
23,2019-12-31,164250.0,0.1469933184855233,32.0,55.0,4999.5,120718.52902824698,176851.20435343104,260176.39553039565,93923.29516509303,104382.28510118538,167513.9399879604,232002.73754254435,311289.8223125332,0.9774487745461984
24,2020-01-31,162000.0,0.1750889679715302,41.0,56.0,5000.0,121801.71393486578,177142.0527824395,261651.3019443808,94999.85064456415,105460.44567340416,168680.33079758837,233462.8075476042,312795.1411565936,0.976805555638644
25,2020-02-29,165000.0,0.2081323225361819,25.0,57.0,4500.0,122795.5478194109,177539.0132955738,262927.93184297666,95954.5468087004,106541.1393380938,169617.76817758186,234606.28856316124,314030.6707166997,0.98143614451056
26,2020-03-31,170000.0,0.1405184174624829,13.0,59.0,5000.0,123826.65701045217,178811.40700424483,264229.6729865779,97105.85187976768,107748.99221680957,170474.5254596362,235642.1508953313,315357.0000229566,0.9848007301337444
