,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,114450.0,0.1316725978647686,,34.0,5000.0,79663.93988722209,154928.61111650913,267723.0114989348,78373.04144370303,92804.15887594126,145265.01300064696,195804.04355197432,250271.2221550741,0.9765418606348816
1,2018-02-28,129900.0,0.1727941176470588,,35.0,5000.0,80402.21816556902,155656.38284364893,267884.6543510689,78836.88559418241,93189.46750008296,145644.77613151143,195908.57830261093,250104.8322730124,0.9754744281611646
2,2018-03-31,126361.0,0.1612903225806451,,38.0,5000.0,81845.48974808853,158638.06682881576,269243.30510369263,79673.39645240332,93839.23708787657,146180.2170406805,196316.3436208937,250556.863489859,0.9803591999975672
3,2018-04-30,139900.0,0.1611295681063123,,46.0,5000.0,83825.14571476472,161569.58096234614,271753.9796984226,80885.49039329948,94737.83779644084,146923.61758304978,197180.76283837188,251671.9202458548,0.9814716929355732
4,2018-05-31,144882.0,0.1951588502269289,,46.0,6000.0,85882.57295691968,164604.325048282,274770.8129086623,82226.91316694615,95701.2862801174,147859.64221941683,198496.79422520017,253463.1914433275,0.9816203798037882
5,2018-06-30,140302.0,0.1920821114369501,,44.0,5500.0,87217.73190429258,166226.2884888257,277032.30905206176,83062.55201720384,96357.82911900977,148627.4516437438,199664.0822986029,255023.34568157417,0.9865063912196984
6,2018-07-31,145450.0,0.1969924812030075,,42.0,5600.0,87877.59346934163,167584.7570166189,278462.0749188142,83580.01875022092,96850.4891605422,149326.7943179414,200792.0278012669,256573.3724702179,0.9805917591672946
7,2018-08-31,146450.0,0.2109826589595375,,41.0,7000.0,88131.6466831107,167981.076322782,279024.13568808546,83558.20422737545,97086.41721019642,149760.06927453537,201686.1609024985,257970.22246934645,0.981583410448527
8,2018-09-30,134900.0,0.1854103343465045,,36.0,5100.0,88567.20127136975,168523.5609978223,279572.6758677119,83603.88389447871,97373.76892197711,150306.45905905115,202670.84915946823,259278.2368999057,0.9829910953061248
9,2018-10-31,143000.0,0.1801801801801801,,31.0,5100.0,89200.41302360881,168032.76516321435,280103.6858309396,83779.22652451762,97718.6471909964,150874.07881812635,203652.7531401552,260491.3637029317,0.9783207636820246
