,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,183936.0,0.1251883621189289,35.0,52.0,5100.0,99393.21236161544,187015.0373586729,329221.26089793444,85991.91372863443,94451.86944317455,163512.09907908787,286040.8254120736,393575.8011676305,0.9765418606348816
1,2018-02-28,180000.0,0.105185353650216,21.0,53.0,5100.0,100765.99952849525,188016.1771332338,330925.5935315062,87096.73591820338,95679.2675022366,165084.1995759017,287750.5259564184,395407.77992801205,0.9754744281611646
2,2018-03-31,189000.0,0.1259515570934256,15.0,56.0,6100.0,102238.710516827,190569.66902919527,333034.6010262325,88262.53112873404,97033.26903334793,166720.41445023718,289647.6578123991,397642.4430021117,0.9803591999975672
3,2018-04-30,194900.0,0.1358849922168299,15.0,57.0,7500.0,103490.05242964682,193315.0551217272,335188.2424198917,89213.80323532474,98271.11486058544,168100.52013169168,291426.214390262,399912.7246405396,0.9814716929355732
4,2018-05-31,202052.0,0.1628274428274428,15.0,56.0,8100.0,104442.5672063908,196485.95222338045,337339.99838747625,89951.67390273356,99265.41003369995,169283.32404257637,293115.55130945385,401960.3946358375,0.9816203798037882
5,2018-06-30,205000.0,0.1697459584295612,17.0,52.0,8000.0,104972.7414684479,198742.2910714009,338773.7426709637,90310.69003820796,99843.63885344689,170101.23506145846,294159.47977793403,403226.7898726021,0.9865063912196984
6,2018-07-31,202000.0,0.1961886147080381,20.0,50.0,7000.0,105356.43932333414,200741.3855144081,340134.52857658936,90725.51173698624,100283.33348537966,170865.52808512925,295251.46552682423,404576.0185876109,0.9805917591672946
7,2018-08-31,195000.0,0.2084885792969383,21.0,46.0,6000.0,105816.46923830456,201295.31572694256,341263.8853173577,91105.0935487806,100822.1031896468,171560.89731601262,296255.8771130893,405994.7739528517,0.981583410448527
8,2018-09-30,190000.0,0.2052210526315789,30.0,44.0,7000.0,106520.35643361228,201135.48258258143,342287.3646904216,91622.30582860748,101564.34469948053,172342.7486848464,297203.6218795697,407274.3863051503,0.9829910953061248
9,2018-10-31,192500.0,0.250719907851795,18.0,44.0,5900.0,107328.98359189177,200240.2747089448,342952.74521920463,92040.0856845456,102374.26182859212,173019.96501075604,297872.1349816828,408090.6648275735,0.9783207636820246
10,2018-11-30,196900.0,0.2029167978176476,22.0,46.0,5400.0,108285.60497847416,199581.59962208525,343601.282657475,92625.42311078066,103290.42472897103,173768.27262509384,298442.42577495385,408883.0390704164,0.9739740418068894
11,2018-12-31,189250.0,0.1391283234187204,30.0,49.0,5050.0,109212.22713981282,198746.70188103325,344270.5172776728,93333.0345021472,104185.09586485168,174468.12421491728,299151.70040856395,409810.4861114973,0.9750713059039356
12,2019-01-31,187000.0,0.1782713085234093,28.0,54.0,5852.5,110363.36587010093,198627.83264480543,345110.5882397022,94175.60981264472,105314.07640091868,175424.81598033503,299956.36262805614,410827.8640739734,0.9759568476160724
13,2019-02-28,186000.0,0.1429812585329527,17.0,60.0,5500.0,111512.73611737124,199352.9893723568,346170.36111529754,94834.30219456884,106463.49932308086,176504.8333178539,301030.024473709,411896.38723497634,0.9756350685921086
14,2019-03-31,201000.0,0.1592821088053841,8.0,62.0,7000.0,112750.8843493556,201363.83113360096,347674.89248283947,95559.29609821532,107787.49821305725,177766.64830010777,302307.22444967733,413226.9181253481,0.9768867474962591
15,2019-04-30,210000.0,0.1914311759343664,6.0,63.0,7950.0,113613.38990434252,203753.49712532613,349062.669380371,96092.73220550395,108774.8100989224,178824.84004719649,303468.5461515071,414383.8325128777,0.9834558685751246
16,2019-05-31,225000.0,0.2154712507409603,8.0,59.0,8400.0,114115.67118098696,206532.7721427004,350014.2738825127,96602.15478677952,109420.69039288547,179614.25545258317,304216.4096384153,415026.5577322243,0.9812179616219376
17,2019-06-30,224900.0,0.2283069043632423,8.0,58.0,7500.0,114320.64571395978,208835.9746588212,350414.89279615873,96845.2849282887,109704.29960825066,180158.46603202148,304521.579544424,415022.2770848725,0.9828622043695848
18,2019-07-31,215840.0,0.2482979964987356,11.0,58.0,7400.0,114327.90565481456,209914.5529378802,350394.0583056192,96875.81340888974,109751.25734232664,180419.61258319192,304434.3032281911,414464.0370884109,0.9805045609964692
