,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,587000.0,0.081967213114754,54.0,53.0,,377629.6780031331,567135.4046016681,984797.259832844,419930.0542558614,545444.7577185044,572895.007378237,701249.9761084607,793884.4442246696,0.9673384842661772
1,2018-02-28,557500.0,0.072289156626506,27.0,47.0,,379021.4976636711,569056.1325607606,985420.1027510104,419917.98120426206,546709.6440173407,574908.1762924938,702627.12554326,795141.017300156,0.9682618535077552
2,2018-03-31,659754.0,0.0875656742556917,55.0,41.0,,381832.4310480561,575554.2414251205,988512.3954580588,421596.8913787234,550115.8265449791,578424.3616379666,705930.6165990614,799086.0027697169,0.9693458943390552
3,2018-04-30,572500.0,0.0666666666666666,34.0,39.0,,384929.4048062029,580801.8912519937,992682.0056360768,424507.21984815056,554284.2715392659,582271.7100892343,709565.7246090447,803423.1215897837,0.9770600846973044
4,2018-05-31,580000.0,0.0917602996254681,27.0,41.0,,388594.3127916656,589043.8769247116,999867.522007425,427347.6825880364,560032.0631911578,586862.5958067084,714610.2228727747,809602.2658080262,0.9763624310826832
5,2018-06-30,644892.0,0.121031746031746,36.0,42.0,,391472.5704981627,594162.194952234,1006167.1285246272,430317.6849676082,564401.672767033,590071.4508234751,718180.2064065429,814060.2710947673,0.9708774052623278
6,2018-07-31,607000.0,0.1264150943396226,46.0,42.0,,394261.2706461808,598806.5263816464,1012924.949669654,432571.8807247106,568206.914812762,593460.7115933065,722230.2664223975,819759.9371894238,0.9705849437942334
7,2018-08-31,575000.0,0.1098696461824953,45.0,39.0,,395935.8131934629,600654.4965320631,1017188.309749927,433340.3897208358,569516.3582401985,595875.2419470703,725378.3631318348,824301.0786696452,0.9754696348575173
8,2018-09-30,675000.0,0.1059479553903345,36.0,36.0,,397810.2419229199,603426.9406166456,1022299.8450633056,433467.4742227228,571004.7939345501,598821.3223399293,729403.6390121281,830005.7006835494,0.9723249825952628
9,2018-10-31,612500.0,0.1226415094339622,56.0,34.0,,400166.646806542,605914.1370537324,1028217.6987401918,434478.8901433665,573110.5755335349,602277.0966687923,733896.624099833,836300.9503705497,0.9721663369445124
10,2018-11-30,630000.0,0.1024208566108007,35.0,35.0,,403139.8646070873,607375.8099757622,1035843.9584013844,437543.2821347488,576513.3651141064,605986.4024390512,738486.9081722297,843209.4235343538,0.9688991528030884
11,2018-12-31,559000.0,0.1046099290780141,64.0,37.0,,406880.55985735386,609684.2940660333,1044434.497417117,442175.9898946271,581147.5490626472,610443.862344017,743319.5421321671,849952.6361434947,0.9741411458044196
12,2019-01-31,654500.0,0.1423670668953688,99.0,41.0,,409896.4429170154,607316.5375635664,1050848.0215977968,445939.70175988,585137.3916647913,613182.0157472101,746305.4123913893,853855.9990355186,0.96997820985227
13,2019-02-28,600000.0,0.1009174311926605,46.0,41.0,,412064.4805159641,605331.3526872653,1053797.0191714838,448677.8911061653,587956.7491097084,614750.9110744671,747766.7459437926,855073.8007181529,0.971155703943903
14,2019-03-31,567912.0,0.1300675675675675,44.0,38.0,,413148.2683128401,607555.6029004029,1054004.0677717903,449463.5316139205,588909.5829460225,615284.2857006723,748459.3714342242,855190.7762411813,0.9696387168793278
15,2019-04-30,704000.0,0.1456140350877193,58.0,36.0,,413632.6437349778,609210.310841925,1053697.3430930576,450404.7949266793,589076.0653007296,615849.398088223,749401.7494575148,855450.9048437515,0.9737698431151116
16,2019-05-31,660000.0,0.1261101243339254,38.0,40.0,,414219.8484812064,611937.8302706238,1053785.6599871267,451110.5223975118,589631.0295303582,616361.3364476275,750626.5590213807,856522.2103226924,0.974241007774332
17,2019-06-30,587500.0,0.1216457960644007,38.0,41.0,,414568.3187357714,615299.6991841341,1053070.9653383994,452339.9408939807,589599.8072794994,616034.6749988012,750893.329043758,856818.9874966595,0.973502891395268
18,2019-07-31,643750.0,0.1363636363636363,48.0,38.0,,415961.50685051706,619564.0248000278,1053743.0900702027,453699.3692684891,590608.8629018228,616430.995964417,751465.2311089617,857730.3451359011,0.9725977014348022
19,2019-08-31,649000.0,0.149908592321755,70.0,34.0,,417357.4573927505,620002.831869063,1054278.8249988602,454459.1391108283,591605.775390986,617041.6712094772,752156.4112828634,858952.321142559,0.978467407508119
20,2019-09-30,615000.0,0.1386861313868613,53.0,37.0,,419158.9386208958,621530.2028742195,1054526.3518237108,454582.7693363676,593283.0506512745,618362.4995448963,753156.8429108126,860272.8444664452,0.975472743198211
21,2019-10-31,625404.0,0.127208480565371,34.0,35.0,,421044.0311957451,622980.6428220987,1054743.042910186,454667.5587167082,594637.8865495041,620040.7030951479,754581.9310375351,862252.4504913781,0.975366556276135
22,2019-11-30,695000.0,0.0948905109489051,67.0,33.0,,423681.9013697247,624360.6490860354,1056292.7335306944,455716.0421828358,595985.8983801052,622788.7727206633,757231.8014128566,865360.3878962095,0.97725090645369
23,2019-12-31,710000.0,0.0905982905982906,43.0,34.0,,426494.088089437,626320.6663948921,1059688.0029812625,457412.6551024274,598390.4105643276,626480.6890993429,761319.3486165375,870461.7140726858,0.9767404241505052
24,2020-01-31,694000.0,0.117252931323283,44.0,37.0,,429681.10422536806,629885.1521731308,1064561.6777491302,460055.4125262592,603174.771848293,631049.9513730572,766416.7511792853,876450.1288607799,0.9693309965515092
25,2020-02-29,766500.0,0.1890034364261168,75.0,35.0,,433216.8405459016,634232.0000153332,1071267.8789598783,463793.2802363317,609394.202499939,636288.9696951226,772476.8210208537,883555.3874967652,0.9786958141897606
26,2020-03-31,727000.0,0.1133093525179856,64.0,34.0,,437010.47653819335,639005.2112444697,1078078.3971530292,467701.8519081626,614644.795598134,641545.5267748836,778610.9227341517,890092.0573534323,0.9762156562302954
27,2020-04-30,647000.0,0.0852272727272727,46.0,36.0,,440637.5660774321,645618.2020404778,1084043.9434631185,471666.2209244901,618655.5451403613,646429.0886536363,784920.894356903,896996.7460488211,0.9731649682336712
