,date,sales_values,cut_price_shares,days_to_pending,market_heat,price_cut,zhdf_bot,zhdf_mid,zhdf_top,zvt1,zvt2,zvt3,zvt4,zvt5,sales_to_list
0,2018-01-31,,0.1363636363636363,,26.0,,81410.98700275825,137327.17450111697,254675.1251433892,92568.66348521107,94797.15289326163,137391.76902651918,175043.80161938342,243031.16397598383,0.9735592219342498
1,2018-02-28,133000.0,0.0802919708029197,,,,82024.24864826501,136968.73872650077,256001.54211072053,92917.11314289972,95274.90252359128,138252.62637462566,176204.7308888128,244150.73281876728,0.975966688038783
2,2018-03-31,123000.0,0.15,,,,82839.3529054735,138153.6264973118,257768.92869451284,93611.50044033585,95998.27339742317,139264.21050514615,177539.874574733,245760.38389588924,0.9796139779105558
3,2018-04-30,120000.0,0.130718954248366,,28.0,,83566.95974218434,139589.93155999502,259494.92399704925,94222.43267727636,96718.62184460944,140167.39976234277,178683.5376084567,247449.5954325192,0.9815554037738746
4,2018-05-31,107000.0,0.1581920903954802,,36.0,,84054.85608963652,141398.62508661317,260739.7474527089,94479.93050989404,97247.62176224958,140815.38838233284,179420.1365749784,248643.24408293908,0.9878348294035766
5,2018-06-30,125000.0,0.1798941798941798,,46.0,,84228.56568663816,143089.62778836166,261478.7182817691,94364.86982350284,97447.9296103739,141123.676301776,179746.7069632364,249402.2059147281,0.9889169163523838
6,2018-07-31,144900.0,0.205,,52.0,,84554.2093918944,145363.83191016415,262444.32932609355,94444.66301128098,97800.9497849794,141633.5159419897,180358.4974913044,250366.8699065399,0.985443042558176
7,2018-08-31,139900.0,0.131578947368421,,57.0,,85044.78236535091,147004.13212418274,263698.81887374533,94804.15644775527,98357.20771320976,142374.74655653478,181379.03622415484,251907.11588207344,0.98093916659753
8,2018-09-30,127500.0,0.1812865497076023,,58.0,,85577.82316444676,148254.96100052554,265088.4976309228,95320.11810410616,99023.0644797912,143359.93639067607,182710.3686211577,253451.47624512253,0.9748698512040312
9,2018-10-31,130000.0,0.1835443037974683,,46.0,,86050.3304884108,148658.67792207105,266259.5750391164,95730.30462371864,99645.56309683667,144312.47710700487,183956.66957003064,254832.44506512964,0.9778023231528042
10,2018-11-30,127863.0,0.1408450704225352,,42.0,,86875.89024701179,149283.7549723166,267816.83675458183,96604.41056964776,100576.52451503904,145519.4736258679,185522.4141048443,256645.75092647027,0.9732618037269558
11,2018-12-31,140000.0,0.0833333333333333,,59.0,,87879.24880485731,149036.6659823081,269586.0945053593,97760.5808338444,101605.00701731077,146724.50328535837,187038.12688411088,258535.9925069452,0.9724418877818805
12,2019-01-31,135000.0,0.0895522388059701,,67.0,,88743.55219923926,147435.32160265712,271295.265390577,99036.24288686732,102487.84576865932,147809.81589573924,188401.8774423072,260205.12832279853,0.9620074204718012
13,2019-02-28,131500.0,0.1094890510948905,,61.0,,89381.86099959405,146746.7064848518,272589.749751738,100002.7027868512,103218.3086503994,148589.77434266073,189248.3097337984,261261.4457845236,0.9749438107726756
14,2019-03-31,125000.0,0.1555555555555555,,54.0,,90248.78162886116,147620.7752838964,273733.32024991163,101173.36651168426,104191.90749133546,149351.24164684,190112.8278674207,262189.7400795736,0.9742845660605968
15,2019-04-30,125000.0,0.225,,56.0,,91131.1819033614,148906.58149973332,274755.6555427141,102166.41696537206,105166.26359876886,150035.77483932106,190827.4543807273,263087.26836470305,0.984696026156502
